TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10018_cand000412,none,25828.62595059191,AB,MP,P,M,MP_AB,M_P,5620.928625743993,5620.928625743993,1933.001163186135,2021.2688873595512,2021.2688873595512,1805.19942870885,5620.928625744047
Non-binding_donor1_row10203_cand000271,none,23092.372099617234,AB,MP,P,M,MP_AB,M_P,6897.311201671764,6897.311201671764,1722.6894537419514,1929.255597882653,1929.255597882653,1770.0468065435646,6897.311201671844
Non-binding_donor1_row10127_cand000113,none,34004.460573495904,AB,MP,P,M,MP_AB,M_P,9536.275060538355,9536.275060538355,1821.9821579731577,2090.030887710302,2090.030887710302,1809.1078414655772,9536.275060538297
Non-binding_donor1_row10176_cand000317,none,26843.40171255935,AB,MP,P,M,MP_AB,M_P,3738.9270680961745,3738.9270680961745,1707.4086307196076,2148.6461741204885,2148.6461741204885,1795.2888131404761,3738.9270680961636
Non-binding_donor1_row11171_cand000357,none,14900.947187795113,AB,MP,P,M,MP_AB,M_P,3502.6687465933246,3502.6687465933246,1918.0128573464247,2257.713693587476,2257.713693587476,1798.860571277041,3502.668746593181
Non-binding_donor1_row1118_cand000153,none,15314.607711813218,AB,MP,P,M,MP_AB,M_P,2427.1289399484685,2427.1289399484685,1724.0157410760703,1965.0235739005275,1965.0235739005275,1787.752861524291,2427.128939948694
Non-binding_donor1_row11148_cand000516,none,21304.243568896705,AB,MP,P,M,MP_AB,M_P,7238.815417282007,7238.815417282007,1901.8663665291297,1869.8060022172367,1869.8060022172367,1846.082502042737,7238.815417281505
Non-binding_donor1_row10956_cand000296,none,19984.945388962748,AB,MP,P,M,MP_AB,M_P,8598.961218942746,8598.961218942746,2122.2263786271205,2086.6425116990326,2086.6425116990326,1783.3114795131369,8598.961218942131
Non-binding_donor1_row11213_cand000577,none,15007.40014719449,AB,MP,P,M,MP_AB,M_P,1460.7692997054437,1460.7692997054437,1688.2223969068496,2134.2496510650158,2134.2496510650158,1805.8890664739547,1460.7692997050908
Non-binding_donor1_row11502_cand000452,none,17682.45205004151,AB,MP,P,M,MP_AB,M_P,5164.487841166769,5164.487841166769,1639.4904305433859,2144.432839053019,2144.432839053019,1778.0812474651757,5164.487841166905
