TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10289_cand000522,rosetta_sidechain,66375.67423716301,AB,MP,P,M,MP_AB,M_P,0.10596519538376015,0.10596519538376015,34.60208326305535,0.0,0.0,0.0,0.10596519558748696
Non-binding_donor1_row1046_cand000007,rosetta_sidechain,2267.3239627808966,AB,MP,P,M,MP_AB,M_P,-2.7915489226870704e-06,-2.7915489226870704e-06,0.0,1072.159381109784,1072.159381109784,838.1420754488679,-2.7916084945900366e-06
Non-binding_donor1_row1001_cand000507,rosetta_sidechain,8400.534829793001,AB,MP,P,M,MP_AB,M_P,144.55443692622612,144.55443692622612,178.03556054059968,-31.915090887083807,-31.915090887083807,1861.736499730214,144.55443692646804
Non-binding_donor1_row1050_cand000587,rosetta_sidechain,1172.7214047981772,AB,MP,P,M,MP_AB,M_P,-0.31538292343543617,-0.31538292343543617,180.6430902000981,237.91240193766373,237.91240193766373,118.7223610539945,-0.3153829237774062
Non-binding_donor1_row10081_cand000598,rosetta_sidechain,48931.59916282197,AB,MP,P,M,MP_AB,M_P,46072.12883144279,46072.12883144279,3414.7983420701235,-0.04741356983959122,-0.04741356983959122,2.851867997758717,46072.12883144258
Non-binding_donor1_row10550_cand000353,rosetta_sidechain,16098.212804191198,AB,MP,P,M,MP_AB,M_P,13317.419964255154,13317.419964255154,977.688937192788,0.0,0.0,0.0,13317.41996425505
Non-binding_donor1_row10602_cand000182,rosetta_sidechain,5454.455633245734,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-2.7284841053187847e-12
Non-binding_donor1_row10556_cand000282,rosetta_sidechain,3223.3652729169316,AB,MP,P,M,MP_AB,M_P,0.036457914582115336,0.036457914582115336,84.38054904601543,-0.30403870628867935,-0.30403870628867935,94.50958675251184,0.036457914280163095
Non-binding_donor1_row10555_cand000359,rosetta_sidechain,11745.891789209616,AB,MP,P,M,MP_AB,M_P,8379.636042246944,8379.636042246944,682.8688352741357,-0.5359130066500484,-0.5359130066500484,265.0220335432017,8379.636042247144
Non-binding_donor1_row10611_cand000369,rosetta_sidechain,661.5844799987201,AB,MP,P,M,MP_AB,M_P,3.463702423473137,3.463702423473137,822.558224483283,-29.43502899559985,-29.43502899559985,1856.4310788980772,3.4637024233263674
Non-binding_donor1_row10800_cand000152,rosetta_sidechain,6750.859667702639,AB,MP,P,M,MP_AB,M_P,-0.12248404317415407,-0.12248404317415407,45.6240934710231,3269.431644484758,3269.431644484758,614.0057138408837,-0.12248404297406523
Non-binding_donor1_row10783_cand000307,rosetta_sidechain,10870.85917179007,AB,MP,P,M,MP_AB,M_P,8464.344227692005,8464.344227692005,1655.1347707423356,-14.942823034435605,-14.942823034435605,1673.5926592656883,8464.344227692563
Non-binding_donor1_row10978_cand000478,rosetta_sidechain,2480.5662414909675,AB,MP,P,M,MP_AB,M_P,-0.7439946803483508,-0.7439946803483508,54.314615293987956,1028.088709075455,1028.088709075455,563.891741476558,-0.743994680013202
Non-binding_donor1_row10878_cand000525,rosetta_sidechain,2715.013381281131,AB,MP,P,M,MP_AB,M_P,-15.762208959246436,-15.762208959246436,1444.188056217144,-31.00118718091403,-31.00118718091403,1857.1596025989165,-15.762208958726205
Non-binding_donor1_row110_cand000198,rosetta_sidechain,27019.78960873977,AB,MP,P,M,MP_AB,M_P,1739.0371598012862,1739.0371598012862,1055.1882115035505,20637.20994039803,20637.20994039803,1316.219452749331,1739.0371598017227
Non-binding_donor1_row11048_cand000319,rosetta_sidechain,1295.6978911749454,AB,MP,P,M,MP_AB,M_P,-0.9938810117321282,-0.9938810117321282,180.88019899674578,-31.033666912189574,-31.033666912189574,1835.798192088964,-0.9938810118642323
Non-binding_donor1_row11126_cand000577,rosetta_sidechain,16223.943050823724,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,13891.50001376888,13891.50001376888,1657.306480052082,2.1827872842550278e-11
Non-binding_donor1_row11263_cand000110,rosetta_sidechain,2284.402120370022,AB,MP,P,M,MP_AB,M_P,31.014770458827115,31.014770458827115,446.0161133343854,757.0560564307301,757.0560564307301,717.6842986130305,31.01477045895217
Non-binding_donor1_row11340_cand000100,rosetta_sidechain,6313.8780662850795,AB,MP,P,M,MP_AB,M_P,4777.907076918401,4777.907076918401,597.6079266393766,-0.120089658966549,-0.120089658966549,11.410923864444449,4777.907076918304
Non-binding_donor1_row11436_cand000515,rosetta_sidechain,1555.2190707888753,AB,MP,P,M,MP_AB,M_P,0.0023557841013825964,0.0023557841013825964,0.0,14.385614738891945,14.385614738891945,147.46786402117107,0.002355784522023896
Non-binding_donor1_row11293_cand000138,rosetta_sidechain,2056.126423588354,AB,MP,P,M,MP_AB,M_P,-4.914141315593042,-4.914141315593042,582.182373158438,-35.37276844572091,-35.37276844572091,1966.7700185072688,-4.914141315217876
Non-binding_donor1_row11541_cand000202,rosetta_sidechain,2231.3972410438746,AB,MP,P,M,MP_AB,M_P,-3.2279716903126427,-3.2279716903126427,344.4766661496342,1.1323460399778469,1.1323460399778469,1426.7106160973722,-3.2279716902412474
Non-binding_donor1_row11491_cand000286,rosetta_sidechain,104097.60260997088,AB,MP,P,M,MP_AB,M_P,94358.91671677172,94358.91671677172,3682.6575750883476,656.4238875679375,656.4238875679375,253.57351140816,94358.91671677216
Non-binding_donor1_row1169_cand000347,rosetta_sidechain,3551.4734267092595,AB,MP,P,M,MP_AB,M_P,-2.1927756070663236,-2.1927756070663236,206.0993689300229,2576.512211124869,2576.512211124869,767.5751325717433,-2.192775607221847
Non-binding_donor1_row11664_cand000147,rosetta_sidechain,3589.6325148310234,AB,MP,P,M,MP_AB,M_P,-10.29498961956233,-10.29498961956233,681.4167911496468,-32.662362840176684,-32.662362840176684,1903.6736045489465,-10.29498961963509
Non-binding_donor1_row12000_cand000526,rosetta_sidechain,42130.070139556614,AB,MP,P,M,MP_AB,M_P,30415.73326076388,30415.73326076388,1812.0323306742562,9700.56737232085,9700.56737232085,1086.9875054274132,30415.733260764227
Non-binding_donor1_row12490_cand000167,rosetta_sidechain,10888.761841223946,AB,MP,P,M,MP_AB,M_P,0.2554499431844306,0.2554499431844306,47.55485425976829,0.0,0.0,0.0,0.2554499434208992
