TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row1046_cand000007,rosetta_sidechain,5692.464343086248,AB,MP,P,M,MP_AB,M_P,4824.6866810233105,4824.6866810233105,774.40979538044,0.0,0.0,0.0,4824.686681023386
Non-binding_donor1_row1001_cand000507,rosetta_sidechain,1144.3494821748518,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-0.1125589527973716,-0.1125589527973716,25.163203041929833,-3.183231456205249e-12
Non-binding_donor1_row10289_cand000522,rosetta_sidechain,1057.0878930313927,AB,MP,P,M,MP_AB,M_P,-0.017110561427443827,-0.017110561427443827,44.02479785679786,-1.4210854715202004e-13,-1.4210854715202004e-13,0.0,-0.017110561031586258
Non-binding_donor1_row10081_cand000598,rosetta_sidechain,1624.4908437154047,AB,MP,P,M,MP_AB,M_P,-0.037294809704008,-0.037294809704008,34.56446172140119,-0.0014477594303343722,-0.0014477594303343722,14.625277355295154,-0.03729481029699855
Non-binding_donor1_row10555_cand000359,rosetta_sidechain,2206.333511288173,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,781.5733947661384,781.5733947661384,233.58770735847844,2.7284841053187847e-12
Non-binding_donor1_row1050_cand000587,rosetta_sidechain,29011.657260021708,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,20639.21138688465,20639.21138688465,1417.6898469518544,-0.000149531289935112
Non-binding_donor1_row10550_cand000353,rosetta_sidechain,83705.17659618407,AB,MP,P,M,MP_AB,M_P,-0.15290692684357055,-0.15290692684357055,61.48349701891294,254.1160921015436,254.1160921015436,456.23019123905783,-0.1529069269890897
Non-binding_donor1_row10783_cand000307,rosetta_sidechain,6936.678925587011,AB,MP,P,M,MP_AB,M_P,5179.316374774229,5179.316374774229,564.8314267458317,0.0,0.0,0.0,5179.31637477364
Non-binding_donor1_row10602_cand000182,rosetta_sidechain,3343.8773606499235,AB,MP,P,M,MP_AB,M_P,15.642962727300983,15.642962727300983,163.752778840697,0.0,0.0,0.0,15.64296272726233
Non-binding_donor1_row10611_cand000369,rosetta_sidechain,681.7808620731985,AB,MP,P,M,MP_AB,M_P,-3.640911059512291,-3.640911059512291,1179.495083172604,-28.755631951122723,-28.755631951122723,1628.398956231188,-3.640911059522182
Non-binding_donor1_row10878_cand000525,rosetta_sidechain,2699.77976772383,AB,MP,P,M,MP_AB,M_P,297.1410741139048,297.1410741139048,343.2203238549163,0.0,0.0,0.0,297.14107411390205
Non-binding_donor1_row10800_cand000152,rosetta_sidechain,1927.1187798265607,AB,MP,P,M,MP_AB,M_P,-6.750165002490121,-6.750165002490121,596.9554992939245,-16.97207747121456,-16.97207747121456,1225.5666790638388,-6.7501650019924
Non-binding_donor1_row10978_cand000478,rosetta_sidechain,2352.0945291991975,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,1151.8962839185922,1151.8962839185922,633.266500362268,0.0
Non-binding_donor1_row10556_cand000282,rosetta_sidechain,172050.82736327997,AB,MP,P,M,MP_AB,M_P,164617.82768960096,164617.82768960096,5101.147356857014,4826.273532656475,4826.273532656475,459.25657664797825,164617.82768960026
Non-binding_donor1_row11048_cand000319,rosetta_sidechain,1137.2093741902247,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-3.637978807091713e-12
Non-binding_donor1_row11126_cand000577,rosetta_sidechain,13172.590334859746,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-0.286295039128845,-0.286295039128845,200.83595235521736,-1.6370904631912708e-11
Non-binding_donor1_row110_cand000198,rosetta_sidechain,4440.278069600793,AB,MP,P,M,MP_AB,M_P,-1.7753241885102398,-1.7753241885102398,148.3882032853138,0.5030723381311191,0.5030723381311191,75.38059198220047,-1.7753241886530304
Non-binding_donor1_row11263_cand000110,rosetta_sidechain,1421.870274010073,AB,MP,P,M,MP_AB,M_P,-0.8844083659857915,-0.8844083659857915,235.61377863842026,0.009084753860179262,0.009084753860179262,81.73563831244876,-0.8844083660674187
Non-binding_donor1_row11293_cand000138,rosetta_sidechain,9443.658392720046,AB,MP,P,M,MP_AB,M_P,-0.3658213280978089,-0.3658213280978089,240.9168956359443,8003.238220730651,8003.238220730651,571.9069992904358,-0.3658213279431948
Non-binding_donor1_row11340_cand000100,rosetta_sidechain,2766.676713930692,AB,MP,P,M,MP_AB,M_P,1546.55835776044,1546.55835776044,616.9916541532712,-0.1703890030159414,-0.1703890030159414,40.24690470004431,1546.558357760824
Non-binding_donor1_row11541_cand000202,rosetta_sidechain,7310.248627134355,AB,MP,P,M,MP_AB,M_P,5398.298861394671,5398.298861394671,713.7311821563958,0.0,0.0,0.0,5398.298861394675
Non-binding_donor1_row11436_cand000515,rosetta_sidechain,4675.002601429226,AB,MP,P,M,MP_AB,M_P,-5.110011948248939,-5.110011948248939,335.90403549987735,3796.626172223352,3796.626172223352,931.3130722352892,-5.110011948204374
Non-binding_donor1_row11491_cand000286,rosetta_sidechain,28488.200599134943,AB,MP,P,M,MP_AB,M_P,1818.410434303536,1818.410434303536,1191.0344632699953,23366.349859528098,23366.349859528098,1316.5196261096173,1818.410434303867
Non-binding_donor1_row11664_cand000147,rosetta_sidechain,8482.749020108726,AB,MP,P,M,MP_AB,M_P,-0.5028063273621228,-0.5028063273621228,61.34147375991398,4984.151588084522,4984.151588084522,901.032711209871,-0.502806327156577
Non-binding_donor1_row12071_cand000043,rosetta_sidechain,10215.379833268344,AB,MP,P,M,MP_AB,M_P,3.8165221573090093,3.8165221573090093,174.62387624600908,6018.14758051978,6018.14758051978,659.2869315625885,3.8165221576582553
Non-binding_donor1_row1169_cand000347,rosetta_sidechain,22555.058810032762,AB,MP,P,M,MP_AB,M_P,4609.28948060581,4609.28948060581,1256.1831362040584,17326.019973720373,17326.019973720373,1111.8009910293567,4609.289480605614
Non-binding_donor1_row12000_cand000526,rosetta_sidechain,39023.6267049041,AB,MP,P,M,MP_AB,M_P,30630.10832383524,30630.10832383524,2545.114839276611,6404.431274382562,6404.431274382562,394.46239947754225,30630.10832383525
Non-binding_donor1_row12490_cand000167,rosetta_sidechain,340.0709841188903,AB,MP,P,M,MP_AB,M_P,24.099944971802017,24.099944971802017,291.6588762502322,0.0,0.0,0.0,24.099944971199648
Non-binding_donor1_row12425_cand000325,rosetta_sidechain,702.251265971937,AB,MP,P,M,MP_AB,M_P,-0.441214287961202,-0.441214287961202,202.0607390970591,-30.682384124899045,-30.682384124899045,1556.0468130249346,-0.4412142878974237
Non-binding_donor1_row12567_cand000387,rosetta_sidechain,64068.30534060359,AB,MP,P,M,MP_AB,M_P,16066.656120369626,16066.656120369626,1179.9776395612141,-0.00012167995987510949,-0.00012167995987510949,0.0,16066.656120368985
Non-binding_donor1_row12617_cand000048,rosetta_sidechain,510.47749758219175,AB,MP,P,M,MP_AB,M_P,-0.6050138020057148,-0.6050138020057148,75.70267892087293,-0.6211655769228628,-0.6211655769228628,159.18095479975838,-0.6050138021938665
Non-binding_donor1_row12708_cand000135,rosetta_sidechain,1213.382325126959,AB,MP,P,M,MP_AB,M_P,-2.8105848726988825,-2.8105848726988825,155.37851067819355,-0.08431722279476617,-0.08431722279476617,101.50255480287353,-2.810584872626123
Non-binding_donor1_row12654_cand000312,rosetta_sidechain,16921.25980871263,AB,MP,P,M,MP_AB,M_P,3786.9784493210936,3786.9784493210936,786.9308184623228,12186.98034845664,12186.98034845664,1096.3787032533742,3786.978449320837
Non-binding_donor1_row12729_cand000290,rosetta_sidechain,12921.03432669599,AB,MP,P,M,MP_AB,M_P,4.110896040387161,4.110896040387161,166.6733197267576,12346.602673684503,12346.602673684503,905.9250707857025,4.110896040814623
Non-binding_donor1_row12819_cand000350,rosetta_sidechain,62399.893848060085,AB,MP,P,M,MP_AB,M_P,57333.68928080505,57333.68928080505,3082.217568606421,1873.5118510333937,1873.5118510333937,683.5666799652341,57333.689280805265
Non-binding_donor1_row13402_cand000136,rosetta_sidechain,1760.2893917631102,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,4.774847184307873e-12
Non-binding_donor1_row13444_cand000567,rosetta_sidechain,2742.0943374504327,AB,MP,P,M,MP_AB,M_P,-3.313614655161473,-3.313614655161473,135.31354625066047,559.614550860947,559.614550860947,248.661472275385,-3.313614655162837
Non-binding_donor1_row13019_cand000429,rosetta_sidechain,8322.552717002769,AB,MP,P,M,MP_AB,M_P,7667.466980741807,7667.466980741807,1885.4702548437042,-34.99001150900608,-34.99001150900608,1615.6330052776084,7667.46698074183
Non-binding_donor1_row13465_cand000129,rosetta_sidechain,916.5445678296171,AB,MP,P,M,MP_AB,M_P,-0.00047581884939518204,-0.00047581884939518204,0.0,534.9064700788567,534.9064700788567,582.5576034335791,-0.00047581888190961763
Non-binding_donor1_row13523_cand000227,rosetta_sidechain,701.7638831047658,AB,MP,P,M,MP_AB,M_P,-24.810689889250398,-24.810689889250398,1580.239147581622,-27.45361765754808,-27.45361765754808,1628.1183383155428,-24.81068988938671
Non-binding_donor1_row13567_cand000239,rosetta_sidechain,1127.8999264055906,AB,MP,P,M,MP_AB,M_P,-145.6474093955676,-145.6474093955676,616.0806543398813,-33.37060307733623,-33.37060307733623,1655.7523458018795,-145.64740939534227
Non-binding_donor1_row13905_cand000438,rosetta_sidechain,13966.320728914365,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,12263.453457658614,12263.453457658614,796.9972570263142,-7.275957614183426e-12
