TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Binding_donor1_row0_cand000001,openmm,-369.66604824679126,AB,MP,P,M,MP_AB,M_P,-45.49264434670289,-45.49264434670289,1939.9506609025937,-71.8168704478731,-71.8168704478731,1749.9989385856816,-45.492644346844145,-54146.55990287475 kJ/mol
Binding_donor1_row3_cand000004,openmm,-260.15122180614026,AB,MP,P,M,MP_AB,M_P,-26.911102625156985,-26.911102625156985,1696.0140043518672,-66.58843261743453,-66.58843261743453,1687.8476785949558,-26.911102625626825,-55973.427988475014 kJ/mol
Binding_donor2_row6_cand000007,openmm,-313.0750341634541,AB,MP,P,M,MP_AB,M_P,-49.38018357406992,-49.38018357406992,2309.1626606887758,-60.161739064955185,-60.161739064955185,1701.426239334226,-49.38018357381361,-57767.02726630839 kJ/mol
Binding_donor2_row5_cand000006,openmm,-217.6699426679094,AB,MP,P,M,MP_AB,M_P,-29.758888104622173,-29.758888104622173,1860.521199822484,-62.03140429325779,-62.03140429325779,1743.5819447025162,-29.75888810438761,-46936.33212238221 kJ/mol
Binding_donor2_row7_cand000008,openmm,-289.14523844231235,AB,MP,P,M,MP_AB,M_P,-37.208710241159764,-37.208710241159764,1854.9688963498886,-60.67980424948404,-60.67980424948404,1656.7286907424643,-37.20871024139234,-57973.39140652576 kJ/mol
Binding_donor2_row8_cand000009,openmm,-226.7401612511633,AB,MP,P,M,MP_AB,M_P,-47.029528994579806,-47.029528994579806,1926.2463433729533,-54.728118201397834,-54.728118201397834,1668.0808784598146,-47.02952899466109,-54115.017712281995 kJ/mol
Binding_donor3_row10_cand000011,openmm,195.23705160229014,AB,MP,P,M,MP_AB,M_P,313.3489078031528,313.3489078031528,1646.108307944946,-54.327654134551295,-54.327654134551295,1696.269722236851,313.3489078037115,-46042.75523515661 kJ/mol
Binding_donor3_row11_cand000012,openmm,-174.79220381472695,AB,MP,P,M,MP_AB,M_P,-31.12126151043435,-31.12126151043435,1694.6389098548434,-59.53460978113851,-59.53460978113851,1675.3739965994062,-31.12126151067352,-51651.70448752024 kJ/mol
Binding_donor3_row12_cand000013,openmm,-351.82687322962295,AB,MP,P,M,MP_AB,M_P,-47.70754168688609,-47.70754168688609,2210.4027938426757,-56.32837938949733,-56.32837938949733,1783.5130223781382,-47.70754168714234,-47603.11875965455 kJ/mol
Binding_donor3_row9_cand000010,openmm,-370.68763340916706,AB,MP,P,M,MP_AB,M_P,-41.624195332421664,-41.624195332421664,1760.4716742854998,-64.44070157017097,-64.44070157017097,1777.6671157402627,-41.624195332124486,-55284.74695821889 kJ/mol
