TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Binding_donor1_row1017_cand000370,openmm,-131.34150034810517,AB,MP,P,M,MP_AB,M_P,-44.871851734466674,-44.871851734466674,2095.3858288468164,-56.30234893467195,-56.30234893467195,1714.6192064211082,-44.87185173456227,-55845.25017388223 kJ/mol
Binding_donor1_row1003_cand000253,openmm,-105.48862165589846,AB,MP,P,M,MP_AB,M_P,-36.2929074288939,-36.2929074288939,1622.688906022288,-47.26298742100349,-47.26298742100349,1750.163216731899,-36.29290742966491,-47856.12669555201 kJ/mol
Binding_donor1_row118_cand000176,openmm,-374.7381581196705,AB,MP,P,M,MP_AB,M_P,-48.91468844523013,-48.91468844523013,1986.6623427222132,-44.03595437618863,-44.03595437618863,1725.9870865876883,-48.914688445717616,-55975.04398892833 kJ/mol
Binding_donor1_row1235_cand000014,openmm,199.36114163611535,AB,MP,P,M,MP_AB,M_P,-39.53706749952062,-39.53706749952062,1831.635806776506,-51.280618025421916,-51.280618025421916,1756.2532677825616,-39.537067499284944,-54069.61437113219 kJ/mol
Binding_donor1_row123_cand000506,openmm,-316.1417880282677,AB,MP,P,M,MP_AB,M_P,-33.13199853483576,-33.13199853483576,1659.2937429664785,-55.46153873295313,-55.46153873295313,1817.6723660305854,-33.131998535406865,-54724.870951151344 kJ/mol
Binding_donor1_row1250_cand000239,openmm,-291.2509327191514,AB,MP,P,M,MP_AB,M_P,-41.18386690955427,-41.18386690955427,2006.4226347185001,-55.107139162272134,-55.107139162272134,1744.1481605399388,-41.18386690926434,-56779.63998148086 kJ/mol
Binding_donor1_row1309_cand000136,openmm,-202.20373408153233,AB,MP,P,M,MP_AB,M_P,-50.39760245159624,-50.39760245159624,2100.9696335731555,-48.34863167102844,-48.34863167102844,1659.3620124897973,-50.397602451338145,-58918.659955440846 kJ/mol
Binding_donor1_row1358_cand000196,openmm,-246.00579167530685,AB,MP,P,M,MP_AB,M_P,-36.549581248855475,-36.549581248855475,1806.9163129725466,-54.514972550399904,-54.514972550399904,1682.6361952616708,-36.549581248459845,-57062.04312165538 kJ/mol
Binding_donor1_row1384_cand000230,openmm,-249.71726917011142,AB,MP,P,M,MP_AB,M_P,-43.12730748653385,-43.12730748653385,2246.8671123895324,-55.54056408832062,-55.54056408832062,1719.0356341024676,-43.12730748661619,-50132.220119952355 kJ/mol
Binding_donor1_row1415_cand000375,openmm,555.3193255043789,AB,MP,P,M,MP_AB,M_P,-48.51103265889924,-48.51103265889924,1885.3085597847808,-41.24883456545946,-41.24883456545946,1651.4033886708921,-48.511032659106945,-48164.7816605505 kJ/mol
Binding_donor1_row1417_cand000379,openmm,-207.7425791459461,AB,MP,P,M,MP_AB,M_P,-45.97795826118224,-45.97795826118224,2018.7289435172931,-47.86993086836338,-47.86993086836338,1704.6413530129284,-45.977958261321106,-56675.9703530276 kJ/mol
Binding_donor1_row1418_cand000179,openmm,-151.66163176976997,AB,MP,P,M,MP_AB,M_P,-43.46990373462137,-43.46990373462137,2002.323763876776,-58.15546860965837,-58.15546860965837,1611.9312938034498,-43.46990373461017,-51890.55154884115 kJ/mol
