TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10160_cand000174,none,13798.097199570902,AB,MP,P,M,MP_AB,M_P,4733.214354871319,4733.214354871319,2163.14659256749,170.76420660486292,170.76420660486292,1751.3325330316025,4733.214354871092
Non-binding_donor1_row0_cand000178,none,13076.592109705269,AB,MP,P,M,MP_AB,M_P,5587.237687678188,5587.237687678188,2105.70700791141,146.36846234090126,146.36846234090126,1750.8878619232892,5587.237687678264
Non-binding_donor1_row10221_cand000320,none,25251.941882508632,AB,MP,P,M,MP_AB,M_P,10745.250504772403,10745.250504772403,1843.0718478681415,133.75390592236727,133.75390592236727,1761.7166370334949,10745.250504771888
Non-binding_donor1_row10057_cand000021,none,24552.408056386357,AB,MP,P,M,MP_AB,M_P,9979.72642683887,9979.72642683887,1893.4293208126862,101.35559988186924,101.35559988186924,1701.0104941493819,9979.726426838795
Non-binding_donor1_row10167_cand000068,none,20967.580432673607,AB,MP,P,M,MP_AB,M_P,11323.421591573288,11323.421591573288,2208.5568948406726,163.93634753921606,163.93634753921606,1758.6850776929696,11323.421591573244
Non-binding_donor1_row10018_cand000412,none,27628.083479611716,AB,MP,P,M,MP_AB,M_P,9975.182964487853,9975.182964487853,2046.9804329789474,159.88612538109237,159.88612538109237,1714.3246181144282,9975.182964487853
Non-binding_donor1_row10226_cand000322,none,205961.18242768763,AB,MP,P,M,MP_AB,M_P,5300.568247415475,5300.568247415475,1422.1196244627374,2459.0292196007504,2459.0292196007504,1294.1033928988918,5300.568247415387
Non-binding_donor1_row1026_cand000433,none,22341.81020408461,AB,MP,P,M,MP_AB,M_P,10138.724880578666,10138.724880578666,2056.076010814715,38.8924922619849,38.8924922619849,1804.8379050861013,10138.724880578917
Non-binding_donor1_row10317_cand000179,none,35734.69953717676,AB,MP,P,M,MP_AB,M_P,3031.7340565135637,3031.7340565135637,1128.2205211548346,833.7004733375488,833.7004733375488,1647.0162282218337,3031.734056514266
Non-binding_donor1_row10248_cand000276,none,37383.945818138876,AB,MP,P,M,MP_AB,M_P,18278.290674597698,18278.290674597698,1911.0723887999632,99.56459293245689,99.56459293245689,1765.053916002818,18278.29067459738
Non-binding_donor1_row10356_cand000372,none,30153.063909346532,AB,MP,P,M,MP_AB,M_P,9328.863663849756,9328.863663849756,1794.4613641776348,104.35864548697828,104.35864548697828,1803.2918691636282,9328.863663849977
Non-binding_donor1_row10662_cand000006,none,19713.385236829068,AB,MP,P,M,MP_AB,M_P,9287.790183540506,9287.790183540506,2060.7225349476385,104.01509793250216,104.01509793250216,1784.1873012458252,9287.790183540967
Non-binding_donor1_row11448_cand000007,none,21401.6757059636,AB,MP,P,M,MP_AB,M_P,10979.208452087712,10979.208452087712,1747.7020154768877,62.37865222050277,62.37865222050277,1750.8519934679061,10979.208452087543
Non-binding_donor1_row11654_cand000352,none,20909.940237028826,AB,MP,P,M,MP_AB,M_P,10007.577903055355,10007.577903055355,1741.7306700864165,55.970505659309765,55.970505659309765,1795.4282067700694,10007.577903055266
Non-binding_donor1_row10778_cand000152,none,16977.302417777562,AB,MP,P,M,MP_AB,M_P,6935.841911067744,6935.841911067744,2072.9853191133966,193.89835469783338,193.89835469783338,1797.3421580988627,6935.841911067662
Non-binding_donor1_row11024_cand000353,none,35983.93680892762,AB,MP,P,M,MP_AB,M_P,15423.79281435694,15423.79281435694,1727.2002067731087,138.68422906868727,138.68422906868727,1762.1294112801008,15423.792814356813
