TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10127_cand000113,openmm,408.25419097236454,AB,MP,P,M,MP_AB,M_P,-51.87770133911107,-51.87770133911107,2048.3622140262605,-71.16695201056329,-71.16695201056329,1626.5026909054811,-51.87770133894605,-42615.212368559536 kJ/mol
Non-binding_donor1_row10018_cand000412,openmm,427.55618697906135,AB,MP,P,M,MP_AB,M_P,-43.6843621703033,-43.6843621703033,2065.10404828694,-70.07679528400314,-70.07679528400314,1664.4240646110363,-43.68436217035628,-48633.682526793295 kJ/mol
Non-binding_donor1_row10176_cand000317,openmm,384.3410901662613,AB,MP,P,M,MP_AB,M_P,-43.95148057962706,-43.95148057962706,1795.8424703643034,-72.3391827288311,-72.3391827288311,1793.8152975876787,-43.95148057972813,-45290.51238657449 kJ/mol
Non-binding_donor1_row10203_cand000271,openmm,-173.43744762446119,AB,MP,P,M,MP_AB,M_P,-34.00109842889313,-34.00109842889313,1929.6421955919732,-61.660929246052504,-61.660929246052504,1647.367031644466,-34.00109842867471,-57919.48830108203 kJ/mol
Non-binding_donor1_row11148_cand000516,openmm,-144.9641213592217,AB,MP,P,M,MP_AB,M_P,-48.91016035931982,-48.91016035931982,1850.3754612543014,-68.92619743292072,-68.92619743292072,1753.2944382512221,-48.9101603594072,-54540.19905730446 kJ/mol
Non-binding_donor1_row10956_cand000296,openmm,91.44142478638997,AB,MP,P,M,MP_AB,M_P,-50.37909598870692,-50.37909598870692,2331.528287108213,-67.7679093112439,-67.7679093112439,1701.8998363660096,-50.37909598890474,-45599.97137529154 kJ/mol
Non-binding_donor1_row11171_cand000357,openmm,-310.15830615710877,AB,MP,P,M,MP_AB,M_P,-32.29077999512123,-32.29077999512123,1906.072904793153,-70.01375340449553,-70.01375340449553,1709.3757796840023,-32.29077999539936,-52444.652586258264 kJ/mol
Non-binding_donor1_row1118_cand000153,openmm,-275.4638010953822,AB,MP,P,M,MP_AB,M_P,-33.91635644726662,-33.91635644726662,1912.2183642298035,-69.0164632223272,-69.0164632223272,1675.5208214531028,-33.916356447235444,-48764.30356529811 kJ/mol
Non-binding_donor1_row11213_cand000577,openmm,-247.89279855295615,AB,MP,P,M,MP_AB,M_P,-35.14509035999774,-35.14509035999774,1887.4692075855785,-61.93867724034082,-61.93867724034082,1728.7522000860947,-35.14509035970406,-55226.36697730262 kJ/mol
Non-binding_donor1_row11502_cand000452,openmm,-202.45477151022362,AB,MP,P,M,MP_AB,M_P,-43.93062136596981,-43.93062136596981,2064.3729570128457,-54.16294660318583,-54.16294660318583,1642.771199630039,-43.93062136582944,-52779.91390735889 kJ/mol
