TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10185_cand000231,rosetta_sidechain,9441.458315254351,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,2.000888343900442e-11
Non-binding_donor1_row10858_cand000323,rosetta_sidechain,13341.795321968479,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,1.73205309070471,1.73205309070471,443.32082852009677,-1.8189894035458565e-12
Non-binding_donor1_row10440_cand000343,rosetta_sidechain,1915.9047465619526,AB,MP,P,M,MP_AB,M_P,-0.001732088485823624,-0.001732088485823624,0.0,565.4776212995794,565.4776212995794,219.88823796564895,-0.001732088459220904
Non-binding_donor1_row10849_cand000521,rosetta_sidechain,36171.0763541552,AB,MP,P,M,MP_AB,M_P,32909.40366572855,32909.40366572855,1964.3197391348654,469.91678176762844,469.91678176762844,455.31254366047256,32909.4036657286
Non-binding_donor1_row11705_cand000165,rosetta_sidechain,5072.450343254174,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,0.0022226936862352886
Non-binding_donor1_row11923_cand000034,rosetta_sidechain,9343.624213219811,AB,MP,P,M,MP_AB,M_P,-1.092552900672672,-1.092552900672672,195.47473528614913,6174.261877497477,6174.261877497477,1178.9282545306883,-1.0925529002433905
Non-binding_donor1_row11092_cand000345,rosetta_sidechain,3551.530317341405,AB,MP,P,M,MP_AB,M_P,-1.6309749335509878,-1.6309749335509878,882.0192805070984,-21.704737652389383,-21.704737652389383,1641.4115881427351,-1.6309749335032393
Non-binding_donor1_row11284_cand000532,rosetta_sidechain,25209.142076066535,AB,MP,P,M,MP_AB,M_P,6777.998560305772,6777.998560305772,1786.6847975922594,-9.604260127804466,-9.604260127804466,1058.944772858335,6777.998560305947
Non-binding_donor1_row12056_cand000442,rosetta_sidechain,2089.4697942164703,AB,MP,P,M,MP_AB,M_P,-1.846196877073453,-1.846196877073453,398.91649524266955,11.595969801129911,11.595969801129911,1547.0267885532312,-1.8461968770520798
Non-binding_donor1_row12247_cand000449,rosetta_sidechain,2519.260628773827,AB,MP,P,M,MP_AB,M_P,58.063136364201455,58.063136364201455,391.13052715039083,0.5839436956570125,0.5839436956570125,216.81042352143638,58.063136363688955
Non-binding_donor1_row12236_cand000236,rosetta_sidechain,562.1199900437531,AB,MP,P,M,MP_AB,M_P,-0.04301733383726969,-0.04301733383726969,100.56369177760298,-7.319119544494356,-7.319119544494356,1654.3378223777986,-0.04301733363627136
Non-binding_donor1_row12729_cand000513,rosetta_sidechain,1212.8847098660692,AB,MP,P,M,MP_AB,M_P,-0.020087016660227164,-0.020087016660227164,27.41859507154588,14.130263033074584,14.130263033074584,1389.2590152132843,-0.020087016795287127
Non-binding_donor1_row12769_cand000557,rosetta_sidechain,30554.54644070282,AB,MP,P,M,MP_AB,M_P,30337.991468961056,30337.991468961056,1982.4770121478557,31.966972270286146,31.966972270286146,1477.7773210367582,30337.99146896074
Non-binding_donor1_row13586_cand000274,rosetta_sidechain,1982.6238930731104,AB,MP,P,M,MP_AB,M_P,73.24514471373664,73.24514471373664,1215.0251308493785,-1.050985606645554,-1.050985606645554,1795.5347494246291,73.24514471340444
Non-binding_donor1_row13896_cand000565,rosetta_sidechain,12513.505604728978,AB,MP,P,M,MP_AB,M_P,6577.38674813378,6577.38674813378,655.8038671801007,5026.727217888642,5026.727217888642,1031.1476585356359,6577.3867481335465
Non-binding_donor1_row12772_cand000426,rosetta_sidechain,347.4267443977246,AB,MP,P,M,MP_AB,M_P,-9.79729460230908,-9.79729460230908,987.8730885185532,-7.506568545924267,-7.506568545924267,2038.3179062371846,-9.797294602213526
Non-binding_donor1_row15163_cand000201,rosetta_sidechain,2217.795241891516,AB,MP,P,M,MP_AB,M_P,-0.319100191826692,-0.319100191826692,40.40389900551597,0.0,0.0,0.0,-0.31910019120277866
Non-binding_donor1_row15175_cand000238,rosetta_sidechain,55056.629724740334,AB,MP,P,M,MP_AB,M_P,966.2338799044228,966.2338799044228,371.80725784178503,0.0,0.0,0.0,966.2338799042991
Non-binding_donor1_row14506_cand000445,rosetta_sidechain,9400.568001093123,AB,MP,P,M,MP_AB,M_P,354.51603641345355,354.51603641345355,456.1847738934114,8975.197089073716,8975.197089073716,753.3512576733503,354.5160364139301
Non-binding_donor1_row15180_cand000346,rosetta_sidechain,5067.231086320408,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-0.03693498551729135,-0.03693498551729135,7.843455359330207,0.0
Non-binding_donor1_row15296_cand000344,rosetta_sidechain,10007.237538620207,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,9220.628854115294,9220.628854115294,1024.8478654509959,5.4569682106375694e-12
Non-binding_donor1_row14957_cand000356,rosetta_sidechain,112332.79721475474,AB,MP,P,M,MP_AB,M_P,103481.8338910909,103481.8338910909,4024.7100176920567,7070.438445976278,7070.438445976278,1042.6426917559886,103481.83389109094
Non-binding_donor1_row15299_cand000109,rosetta_sidechain,1059.588738985118,AB,MP,P,M,MP_AB,M_P,221.3871675942744,221.3871675942744,661.6436302590091,-12.86119839260482,-12.86119839260482,1599.20940271721,221.38716759413478
Non-binding_donor1_row15321_cand000583,rosetta_sidechain,4050.9242020079223,AB,MP,P,M,MP_AB,M_P,-3.369303336359735,-3.369303336359735,475.2982080838141,51.57533546088325,51.57533546088325,878.9950515494315,-3.3693033363720133
Non-binding_donor1_row17395_cand000406,rosetta_sidechain,837.8094758109708,AB,MP,P,M,MP_AB,M_P,-1.1134357843106955,-1.1134357843106955,186.89503023515752,12.05126768791962,12.05126768791962,1418.241308939334,-1.1134357841319797
Non-binding_donor1_row1631_cand000082,rosetta_sidechain,1050.5060586710345,AB,MP,P,M,MP_AB,M_P,-6.028041460865779,-6.028041460865779,717.8926521406241,-18.10528211932001,-18.10528211932001,1865.5915131688494,-6.028041461002431
Non-binding_donor1_row1751_cand000258,rosetta_sidechain,288.9469542890672,AB,MP,P,M,MP_AB,M_P,-4.877267982054036,-4.877267982054036,298.79175765045255,86.01532787668299,86.01532787668299,1650.786333331614,-4.877267982214619
Non-binding_donor1_row17674_cand000024,rosetta_sidechain,5335.145366426825,AB,MP,P,M,MP_AB,M_P,1.07838692950736,1.07838692950736,83.30135379186565,3618.340434558332,3618.340434558332,697.2689806699614,1.07838692898531
Non-binding_donor1_row17755_cand000175,rosetta_sidechain,4648.073555313757,AB,MP,P,M,MP_AB,M_P,2167.4776808805705,2167.4776808805705,445.97574580804155,0.0,0.0,0.0,2167.4776808806632
Non-binding_donor1_row18169_cand000006,rosetta_sidechain,354.4010238033367,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,2.6913862613731965,2.6913862613731965,127.42949841143827,7.73070496506989e-12
Non-binding_donor1_row18790_cand000241,rosetta_sidechain,10137.054046525993,AB,MP,P,M,MP_AB,M_P,6987.683302823858,6987.683302823858,769.603724882827,125.1835584682953,125.1835584682953,283.381089888779,6987.683302823811
Non-binding_donor1_row18795_cand000527,rosetta_sidechain,24430.07356426495,AB,MP,P,M,MP_AB,M_P,-0.6088987751936656,-0.6088987751936656,129.2063521882331,23327.802853058605,23327.802853058605,1380.4498575432974,-0.6088987757611903
Non-binding_donor1_row18221_cand000510,rosetta_sidechain,7743.104567381694,AB,MP,P,M,MP_AB,M_P,7360.785318994922,7360.785318994922,1272.9491413356232,-1.4586064348500827,-1.4586064348500827,114.43690287970436,7360.785318995256
Non-binding_donor1_row18803_cand000202,rosetta_sidechain,1708.0834003112427,AB,MP,P,M,MP_AB,M_P,-9.653467685149053,-9.653467685149053,860.0693604874112,-13.704843932520191,-13.704843932520191,1725.7033736215037,-9.65346768499694
Non-binding_donor1_row18823_cand000454,rosetta_sidechain,5463.514721270119,AB,MP,P,M,MP_AB,M_P,6.221973412119041,6.221973412119041,253.58709394824984,4441.655572836169,4441.655572836169,1304.9608612220009,6.2219734121799775
Non-binding_donor1_row18827_cand000223,rosetta_sidechain,1828.3761930185192,AB,MP,P,M,MP_AB,M_P,-1.2579782623163283,-1.2579782623163283,229.8707300711289,355.7003648434204,355.7003648434204,1476.7967019787607,-1.257978262051438
Non-binding_donor1_row1955_cand000562,rosetta_sidechain,399.8399918646524,AB,MP,P,M,MP_AB,M_P,-0.5153472212244878,-0.5153472212244878,174.0685822911946,-10.664565895683708,-10.664565895683708,1891.7134992605793,-0.5153472216047703
Non-binding_donor1_row19620_cand000057,rosetta_sidechain,3914.7882863425125,AB,MP,P,M,MP_AB,M_P,-0.9199140178970993,-0.9199140178970993,127.39503397647556,3423.4861106172257,3423.4861106172257,809.7976026016863,-0.9199140181649454
Non-binding_donor1_row1960_cand000240,rosetta_sidechain,38357.48803868034,AB,MP,P,M,MP_AB,M_P,-0.14701544498529984,-0.14701544498529984,9.409845699391212,-0.8901754525506931,-0.8901754525506931,209.91413895461633,-0.14701544483978068
Non-binding_donor1_row1963_cand000508,rosetta_sidechain,5295.45071802515,AB,MP,P,M,MP_AB,M_P,0.002217712049059628,0.002217712049059628,9.73452348237555,3932.832894983716,3932.832894983716,552.5505609690233,0.002217711896264518
Non-binding_donor1_row20059_cand000130,rosetta_sidechain,4401.439630367033,AB,MP,P,M,MP_AB,M_P,2257.646839672291,2257.646839672291,820.0107962062043,1.3133652993767555,1.3133652993767555,84.26344908873497,2257.6468396721984
Non-binding_donor1_row20314_cand000422,rosetta_sidechain,1495.8675643840888,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-12
Non-binding_donor1_row20587_cand000317,rosetta_sidechain,2812.5554700499083,AB,MP,P,M,MP_AB,M_P,-2.1723032675181457,-2.1723032675181457,223.19847596709468,2001.8569228193585,2001.8569228193585,726.1987050789407,-2.1723032679969947
Non-binding_donor1_row20811_cand000361,rosetta_sidechain,1249.068790078545,AB,MP,P,M,MP_AB,M_P,795.4140166717247,795.4140166717247,566.307059964789,7.456681796308089,7.456681796308089,1619.1838272201685,795.4140166716746
Non-binding_donor1_row21258_cand000045,rosetta_sidechain,3671.425642341032,AB,MP,P,M,MP_AB,M_P,1851.8265588161307,1851.8265588161307,380.05514089538747,20.125477732465924,20.125477732465924,1486.5616484892532,1851.8265588160689
Non-binding_donor1_row21168_cand000089,rosetta_sidechain,1588.7859912064603,AB,MP,P,M,MP_AB,M_P,64.80099705553994,64.80099705553994,884.3963258640882,434.98381675554356,434.98381675554356,1209.3854600729378,64.80099705545354
Non-binding_donor1_row21457_cand000227,rosetta_sidechain,2179.0001889907444,AB,MP,P,M,MP_AB,M_P,-38.87814902662467,-38.87814902662467,355.39664828803984,-20.585398758798647,-20.585398758798647,1687.8375711993322,-38.87814902698028
Non-binding_donor1_row21547_cand000493,rosetta_sidechain,7452.290169533946,AB,MP,P,M,MP_AB,M_P,11.105594568813103,11.105594568813103,191.86009634911767,6571.820982319909,6571.820982319909,662.6629413272685,11.105594568867673
Non-binding_donor1_row22175_cand000372,rosetta_sidechain,18149.571783540305,AB,MP,P,M,MP_AB,M_P,16257.812815340543,16257.812815340543,1979.278273536047,0.7475636514202506,0.7475636514202506,80.93897695761176,16257.812815340381
Non-binding_donor1_row217_cand000556,rosetta_sidechain,1788.722615782592,AB,MP,P,M,MP_AB,M_P,-4.895620000920644,-4.895620000920644,633.8599666070784,238.7134617602369,238.7134617602369,1354.0075143281092,-4.895620001145517
Non-binding_donor1_row22317_cand000448,rosetta_sidechain,1030.1874366205993,AB,MP,P,M,MP_AB,M_P,-0.014039913148053529,-0.014039913148053529,162.67293199695985,0.46655409860130703,0.46655409860130703,1503.0703222759032,-0.01403991316487918
Non-binding_donor1_row22333_cand000160,rosetta_sidechain,19602.71103081909,AB,MP,P,M,MP_AB,M_P,17632.838472427986,17632.838472427986,2244.720016100748,36.977764135830625,36.977764135830625,1051.6301445053405,17632.838472427968
Non-binding_donor1_row22723_cand000058,rosetta_sidechain,8928.814013232159,AB,MP,P,M,MP_AB,M_P,106.60689040327088,106.60689040327088,159.64510378252442,8191.119958198388,8191.119958198388,970.3233684966917,106.60689040317811
Non-binding_donor1_row23016_cand000319,rosetta_sidechain,1009.4000045633746,AB,MP,P,M,MP_AB,M_P,-0.1907442913181967,-0.1907442913181967,82.4490047983617,-17.088847261602155,-17.088847261602155,1685.980742557702,-0.19074429125487313
Non-binding_donor1_row23231_cand000228,rosetta_sidechain,49611.45616872013,AB,MP,P,M,MP_AB,M_P,32.129541143309325,32.129541143309325,146.36668537546495,256.2129978700266,256.2129978700266,314.30318133058915,32.129541143382085
Non-binding_donor1_row23137_cand000478,rosetta_sidechain,1348.8015611342385,AB,MP,P,M,MP_AB,M_P,-1.4469547623673407,-1.4469547623673407,433.32511069739604,-7.849495928828418,-7.849495928828418,1831.9614774579093,-1.4469547624773895
Non-binding_donor1_row23473_cand000254,rosetta_sidechain,6387.79079091812,AB,MP,P,M,MP_AB,M_P,4963.420366532212,4963.420366532212,1610.2540013642079,12.36629389098141,12.36629389098141,109.5447217153075,4963.420366532136
Non-binding_donor1_row23166_cand000066,rosetta_sidechain,615.4310028665388,AB,MP,P,M,MP_AB,M_P,1.22129928055881,1.22129928055881,937.3243119739511,-2.4484494479456202,-2.4484494479456202,1810.0144197781956,1.2212992804384157
Non-binding_donor1_row24095_cand000108,rosetta_sidechain,184103.78023212272,AB,MP,P,M,MP_AB,M_P,1.8007257811550517,1.8007257811550517,227.09067655432563,1.9114922478713652,1.9114922478713652,97.96299605175358,1.8007257816789206
Non-binding_donor1_row24025_cand000262,rosetta_sidechain,13294.305011982131,AB,MP,P,M,MP_AB,M_P,9980.909799866178,9980.909799866178,2135.0064783831695,0.071997211902044,0.071997211902044,0.0,9980.909799866055
Non-binding_donor1_row24107_cand000316,rosetta_sidechain,13153.380897628142,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,3340.1484620837064,3340.1484620837064,579.3512551862309,0.020289728861826006
Non-binding_donor1_row24409_cand000040,rosetta_sidechain,2578.1923896327485,AB,MP,P,M,MP_AB,M_P,78.88844934499048,78.88844934499048,193.12111612623082,230.18625180290837,230.18625180290837,376.30816721596034,78.88844934512281
Non-binding_donor1_row24230_cand000291,rosetta_sidechain,923.4712229437457,AB,MP,P,M,MP_AB,M_P,-6.162464145561785,-6.162464145561785,727.3986616032907,-14.218307086156074,-14.218307086156074,1878.6879984546804,-6.162464145570993
Non-binding_donor1_row2967_cand000154,rosetta_sidechain,2196.742889346855,AB,MP,P,M,MP_AB,M_P,4.853775570390098,4.853775570390098,131.1004765767241,0.0,0.0,0.0,4.853775570414655
Non-binding_donor1_row24477_cand000404,rosetta_sidechain,1538.9070849476363,AB,MP,P,M,MP_AB,M_P,-0.06504219682778967,-0.06504219682778967,22.667219314181082,-0.30100977874542423,-0.30100977874542423,128.1617299673106,-0.0650421960933727
Non-binding_donor1_row3012_cand000405,rosetta_sidechain,32592.42501014044,AB,MP,P,M,MP_AB,M_P,9077.993210128596,9077.993210128596,903.9997631812425,0.0,0.0,0.0,9077.993210128388
Non-binding_donor1_row3338_cand000367,rosetta_sidechain,2180.2499553806774,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-0.39436574932028634,-0.39436574932028634,137.4335550294541,7.38930883712419
Non-binding_donor1_row4115_cand000212,rosetta_sidechain,19589.946439004078,AB,MP,P,M,MP_AB,M_P,957.9453423548366,957.9453423548366,592.3594888680626,6658.296615536952,6658.296615536952,563.4263979128818,957.9453423549749
Non-binding_donor1_row4188_cand000190,rosetta_sidechain,3937.3765272002297,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,1717.3428869440786,1717.3428869440786,352.42442238506345,-1.3642420526593924e-12
Non-binding_donor1_row3602_cand000205,rosetta_sidechain,600.6733617233439,AB,MP,P,M,MP_AB,M_P,-0.8177115620497943,-0.8177115620497943,215.82217155684387,-15.162677814659219,-15.162677814659219,1837.096243874295,-0.8177115622994506
Non-binding_donor1_row4828_cand000243,rosetta_sidechain,2378.8366926674357,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,3.183231456205249e-12
Non-binding_donor1_row4908_cand000031,rosetta_sidechain,20154.703992184415,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,8480.436264483573,8480.436264483573,1001.3186861968966,7.275957614183426e-12
Non-binding_donor1_row4670_cand000425,rosetta_sidechain,2856.1677123921745,AB,MP,P,M,MP_AB,M_P,21.816698708277272,21.816698708277272,295.05057070712337,-14.279451026811557,-14.279451026811557,1795.0527748124368,21.816698707954856
Non-binding_donor1_row4567_cand000363,rosetta_sidechain,1805.533510166524,AB,MP,P,M,MP_AB,M_P,82.0058442765312,82.0058442765312,437.13274426460373,10.740409406025094,10.740409406025094,2040.4726509466027,82.00584427636545
Non-binding_donor1_row5508_cand000032,rosetta_sidechain,1760.8693247839435,AB,MP,P,M,MP_AB,M_P,5.555646902305398,5.555646902305398,240.66653009400045,-0.5892404670530595,-0.5892404670530595,55.04523338992941,5.555646902856552
Non-binding_donor1_row5687_cand000135,rosetta_sidechain,7878.193608698638,AB,MP,P,M,MP_AB,M_P,6127.134858288289,6127.134858288289,648.8806735147241,0.15861004983878502,0.15861004983878502,186.13021144289587,6127.134858288141
Non-binding_donor1_row5832_cand000007,rosetta_sidechain,1495.0187672461846,AB,MP,P,M,MP_AB,M_P,-3.7923885750949466,-3.7923885750949466,562.2678018132946,-11.568652733529007,-11.568652733529007,1835.192741249957,-3.792388574941924
Non-binding_donor1_row6001_cand000253,rosetta_sidechain,3020.474714782265,AB,MP,P,M,MP_AB,M_P,-0.6289547995979774,-0.6289547995979774,99.66759319751574,2.9157563766653993,2.9157563766653993,1584.576973390491,-0.6289547998089802
Non-binding_donor1_row5882_cand000446,rosetta_sidechain,23888.038300297514,AB,MP,P,M,MP_AB,M_P,5579.639129464405,5579.639129464405,1925.3067744589619,-18.16526196519817,-18.16526196519817,1645.4306625310578,5579.639129464875
Non-binding_donor1_row6676_cand000470,rosetta_sidechain,7008.719707607491,AB,MP,P,M,MP_AB,M_P,837.3364220839694,837.3364220839694,582.1036782017205,0.0,0.0,0.0,837.3364220840886
Non-binding_donor1_row634_cand000246,rosetta_sidechain,32789.61352485168,AB,MP,P,M,MP_AB,M_P,25169.104609523692,25169.104609523692,2873.3542419738096,7517.5001555636845,7517.5001555636845,1334.882367039171,25169.104609524053
Non-binding_donor1_row6905_cand000387,rosetta_sidechain,2481.252886572541,AB,MP,P,M,MP_AB,M_P,-1.8092737752253925,-1.8092737752253925,534.7428502556418,136.1138319504288,136.1138319504288,1278.2673457349033,-1.8092737755941926
Non-binding_donor1_row763_cand000166,rosetta_sidechain,46177.472074161866,AB,MP,P,M,MP_AB,M_P,20313.713355023407,20313.713355023407,1152.790226923878,0.0,0.0,0.0,20313.7133550233
Non-binding_donor1_row6986_cand000115,rosetta_sidechain,21599.961630039707,AB,MP,P,M,MP_AB,M_P,8611.439156344039,8611.439156344039,1538.9479619694862,9310.723971235497,9310.723971235497,730.7745084705738,8611.439156344017
Non-binding_donor1_row9584_cand000071,rosetta_sidechain,72001.9012931485,AB,MP,P,M,MP_AB,M_P,11657.272396048815,11657.272396048815,1421.8585154496202,1250.0847428193583,1250.0847428193583,539.5800884551857,11657.272396048611
Non-binding_donor1_row9521_cand000397,rosetta_sidechain,10220.71086430914,AB,MP,P,M,MP_AB,M_P,2632.009977506049,2632.009977506049,823.6196794352136,32.601367806801704,32.601367806801704,1427.4112843433497,2632.009977506734
Non-binding_donor1_row9745_cand000047,rosetta_sidechain,9447.44366917956,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,2.523951759162003,2.523951759162003,75.38084796382398,59.226360515967826
Non-binding_donor1_row9698_cand000433,rosetta_sidechain,18148.93590632301,AB,MP,P,M,MP_AB,M_P,0.5371907406915852,0.5371907406915852,139.1287739393689,15846.248103635724,15846.248103635724,1593.2966693615303,0.5371907406624814
Non-binding_donor1_row9955_cand000359,rosetta_sidechain,7837.31311495594,AB,MP,P,M,MP_AB,M_P,2225.5223894387627,2225.5223894387627,610.3488999921053,0.0,0.0,0.0,2225.5223894387127
Non-binding_donor1_row9852_cand000273,rosetta_sidechain,14706.72332992619,AB,MP,P,M,MP_AB,M_P,8272.291704187757,8272.291704187757,1291.9644259659121,0.0,0.0,0.0,8272.291704187788
Non-binding_donor1_row9993_cand000131,rosetta_sidechain,61523.12616491295,AB,MP,P,M,MP_AB,M_P,34685.97541756202,34685.97541756202,3005.064831357897,23992.1339856155,23992.1339856155,1205.4174889251137,34685.975417562106
Non-binding_donor2_row24833_cand000378,rosetta_sidechain,5086.980048677783,AB,MP,P,M,MP_AB,M_P,2704.7081978260544,2704.7081978260544,456.8406531122732,-0.491473169195217,-0.491473169195217,84.32444252832799,2704.7081978262227
Non-binding_donor2_row24799_cand000277,rosetta_sidechain,25134.716064942324,AB,MP,P,M,MP_AB,M_P,24303.203125977827,24303.203125977827,2302.7019404900843,0.0,0.0,0.0,24303.20312597776
Non-binding_donor2_row24691_cand000072,rosetta_sidechain,496.2826680759077,AB,MP,P,M,MP_AB,M_P,3.799387343903163,3.799387343903163,98.90084290754848,18.494307171508694,18.494307171508694,1306.1997502241984,3.799387343967055
Non-binding_donor2_row24896_cand000569,rosetta_sidechain,6104.563988556239,AB,MP,P,M,MP_AB,M_P,946.9837977728748,946.9837977728748,251.06849851041426,4171.011108648787,4171.011108648787,469.7528936852454,946.9837977727975
