TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10210_cand000230,openmm,-357.58407252378123,AB,MP,P,M,MP_AB,M_P,-43.142393496334876,-43.142393496334876,1925.2575872021312,-55.01102978279721,-55.01102978279721,1701.3556814903325,-43.14239349628798,-53907.9997523793 kJ/mol
Non-binding_donor1_row10018_cand000128,openmm,393.260562897373,AB,MP,P,M,MP_AB,M_P,-44.50483409423242,-44.50483409423242,2182.822224459526,-64.04037364279687,-64.04037364279687,1718.5766047521745,-44.50483409423907,-48636.96963579946 kJ/mol
Non-binding_donor1_row10876_cand000532,openmm,-268.8057445445252,AB,MP,P,M,MP_AB,M_P,-56.237934874819274,-56.237934874819274,1932.21848773637,-59.13775302990854,-59.13775302990854,1688.261081160093,-56.23793487480734,-53607.328252529085 kJ/mol
Non-binding_donor1_row10466_cand000354,openmm,283.5242329598987,AB,MP,P,M,MP_AB,M_P,-37.911662701673094,-37.911662701673094,2181.3002430526535,-68.47048094713963,-68.47048094713963,1672.7135873420816,-37.911662701891544,-41639.20934404511 kJ/mol
Non-binding_donor1_row11121_cand000336,openmm,-285.53117661462636,AB,MP,P,M,MP_AB,M_P,-49.37290706846633,-49.37290706846633,2030.2216186039009,-67.49776695311122,-67.49776695311122,1684.7876122099817,-49.37290706892634,-53656.60828666243 kJ/mol
Non-binding_donor1_row10885_cand000311,openmm,-236.86472957217316,AB,MP,P,M,MP_AB,M_P,-56.99249470355912,-56.99249470355912,2295.478154585401,-66.68085682825864,-66.68085682825864,1676.8526240276578,-56.9924947040094,-53728.83514411742 kJ/mol
Non-binding_donor1_row11314_cand000530,openmm,-160.4273767295675,AB,MP,P,M,MP_AB,M_P,-55.597551090735024,-55.597551090735024,2031.5126115020348,-69.34214736745353,-69.34214736745353,1687.7731258863296,-55.59755109109459,-52838.693116512826 kJ/mol
Non-binding_donor1_row11736_cand000165,openmm,-123.18548439260587,AB,MP,P,M,MP_AB,M_P,-64.69485344694422,-64.69485344694422,2392.5889800550844,-54.08595851451903,-54.08595851451903,1659.0251639441626,-64.69485344673923,-55305.06016003226 kJ/mol
Non-binding_donor1_row11954_cand000034,openmm,-162.00124616560166,AB,MP,P,M,MP_AB,M_P,-58.01320363209635,-58.01320363209635,2105.3360129685866,-66.14900776495345,-66.14900776495345,1724.8539102390298,-58.01320363229337,-50912.41634308026 kJ/mol
Non-binding_donor1_row12087_cand000435,openmm,-247.92366194022713,AB,MP,P,M,MP_AB,M_P,-49.189163228116,-49.189163228116,2093.3359280048203,-63.4612255382703,-63.4612255382703,1687.5350707333764,-49.18916322747421,-54106.81096072714 kJ/mol
Non-binding_donor1_row12267_cand000237,openmm,-408.1636141829703,AB,MP,P,M,MP_AB,M_P,-39.89501513375262,-39.89501513375262,1881.3672960530212,-67.00113954031663,-67.00113954031663,1772.1624636347565,-39.89501513391991,-54664.102474502826 kJ/mol
Non-binding_donor1_row12278_cand000441,openmm,-246.24227003766555,AB,MP,P,M,MP_AB,M_P,-45.96329943137536,-45.96329943137536,2067.4209224483398,-65.85582132642598,-65.85582132642598,1677.239520859221,-45.96329943159873,-51584.018438697254 kJ/mol
