TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10018_cand000412,none,32586.75407244223,AB,MP,P,M,MP_AB,M_P,6831.514669523462,6831.514669523462,2121.212838780921,1696.9698089332878,1696.9698089332878,1814.015653023053,6831.514669523724
Non-binding_donor1_row10127_cand000113,none,41728.22916872161,AB,MP,P,M,MP_AB,M_P,13352.933120878406,13352.933120878406,2033.552358406294,1458.4710207314638,1458.4710207314638,1829.6376142224826,13352.93312087853
Non-binding_donor1_row10203_cand000271,none,29137.311026515115,AB,MP,P,M,MP_AB,M_P,9276.754247584264,9276.754247584264,1898.9621774389052,1867.7351832356362,1867.7351832356362,1805.6841958478465,9276.754247584464
Non-binding_donor1_row10176_cand000317,none,31315.78542405192,AB,MP,P,M,MP_AB,M_P,7496.109646889519,7496.109646889519,1898.383573642303,1169.1563462281047,1169.1563462281047,1905.6122619829296,7496.109646890156
Non-binding_donor1_row11148_cand000516,none,24937.876372064253,AB,MP,P,M,MP_AB,M_P,9733.936599498236,9733.936599498236,2030.0613741075106,1765.6749167052385,1765.6749167052385,1787.1409956306554,9733.936599498193
Non-binding_donor1_row10956_cand000296,none,26720.314333274335,AB,MP,P,M,MP_AB,M_P,11555.989303964963,11555.989303964963,2287.8113498174293,1323.941598972805,1323.941598972805,1779.0794827130908,11555.989303965116
Non-binding_donor1_row11213_cand000577,none,19625.662159109164,AB,MP,P,M,MP_AB,M_P,2586.1751067879522,2586.1751067879522,1885.895323965263,1534.9680246814187,1534.9680246814187,1857.4765931761733,2586.1751067878795
Non-binding_donor1_row11502_cand000452,none,22111.95283459124,AB,MP,P,M,MP_AB,M_P,6047.415411925971,6047.415411925971,1864.5035447263263,1735.259455492248,1735.259455492248,1816.1354911474307,6047.415411925802
Non-binding_donor1_row11171_cand000357,none,19207.511506751653,AB,MP,P,M,MP_AB,M_P,5179.940228542424,5179.940228542424,2025.049339244125,3174.4993256746225,3174.4993256746225,1803.815747191907,5179.940228542717
Non-binding_donor1_row1118_cand000153,none,19640.376326732374,AB,MP,P,M,MP_AB,M_P,3805.9545028607063,3805.9545028607063,1734.000056080992,2106.3204499336134,2106.3204499336134,1807.1073528339602,3805.954502860306
