TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10875_cand000521,none,20171.92612292645,AB,MP,P,M,MP_AB,M_P,9305.456612567254,9305.456612567254,1600.0033491154325,802.2327682706841,802.2327682706841,1800.630870372867,9305.456612566913
Non-binding_donor1_row10209_cand000234,none,21728.91119161515,AB,MP,P,M,MP_AB,M_P,6660.11316548713,6660.11316548713,1832.8570408036921,838.0866545566391,838.0866545566391,1778.7919222655316,6660.1131654872515
Non-binding_donor1_row10465_cand000347,none,28071.911122288617,AB,MP,P,M,MP_AB,M_P,6409.038073409756,6409.038073409756,1940.140831977891,1070.0074278201014,1070.0074278201014,1747.1877018529094,6409.038073410291
Non-binding_donor1_row10017_cand000128,none,25276.345585642754,AB,MP,P,M,MP_AB,M_P,5798.418603306771,5798.418603306771,1979.6518748372189,1117.4389023825697,1117.4389023825697,1764.5612599756032,5798.418603306953
Non-binding_donor1_row11120_cand000336,none,21855.169125992987,AB,MP,P,M,MP_AB,M_P,7286.281076461346,7286.281076461346,1973.0964026526901,1195.1266929542157,1195.1266929542157,1758.138735337963,7286.281076461293
Non-binding_donor1_row10884_cand000310,none,19507.60682723403,AB,MP,P,M,MP_AB,M_P,8172.050778118864,8172.050778118864,2094.2060328145812,1093.8981953056582,1093.8981953056582,1752.4123798753394,8172.050778118832
Non-binding_donor1_row11313_cand000528,none,18552.52917009697,AB,MP,P,M,MP_AB,M_P,5042.852352119673,5042.852352119673,1964.6653453548358,1064.019075634587,1064.019075634587,1703.1808692518784,5042.852352119411
Non-binding_donor1_row11735_cand000163,none,46120.9403714365,AB,MP,P,M,MP_AB,M_P,22489.129970686714,22489.129970686714,1727.8356927892878,936.8158907373618,936.8158907373618,1772.846027654064,22489.129970686387
Non-binding_donor1_row12266_cand000236,none,12004.250808668323,AB,MP,P,M,MP_AB,M_P,3090.4007451977614,3090.4007451977614,1891.2848774243646,904.4567772911746,904.4567772911746,1707.204985702485,3090.400745197365
Non-binding_donor1_row11953_cand000034,none,20929.528869259375,AB,MP,P,M,MP_AB,M_P,6673.260315437563,6673.260315437563,2072.8523715665083,926.6094030440586,926.6094030440586,1765.4240111314489,6673.260315437268
Non-binding_donor1_row12047_cand000576,none,10972.12819460589,AB,MP,P,M,MP_AB,M_P,4284.753036875014,4284.753036875014,2128.814329449773,691.7183896604606,691.7183896604606,1772.4060572992028,4284.7530368748585
Non-binding_donor1_row12086_cand000439,none,16933.94911856336,AB,MP,P,M,MP_AB,M_P,6898.1557449590055,6898.1557449590055,2111.3593769277873,882.1665541892789,882.1665541892789,1678.2988348739364,6898.155744959073
Non-binding_donor1_row12277_cand000436,none,13754.142581757495,AB,MP,P,M,MP_AB,M_P,4756.401716425005,4756.401716425005,1847.3406284518019,926.6502713300088,926.6502713300088,1746.1717495738333,4756.401716424687
Non-binding_donor1_row12759_cand000529,none,18324.688396946553,AB,MP,P,M,MP_AB,M_P,3252.6279885865715,3252.6279885865715,1687.1235763948882,962.902149497917,962.902149497917,1762.4279634234376,3252.6279885866697
Non-binding_donor1_row12799_cand000548,none,13022.660936087013,AB,MP,P,M,MP_AB,M_P,4214.816538501427,4214.816538501427,2097.5313814888395,1107.6120083985866,1107.6120083985866,1708.457348646508,4214.816538501043
Non-binding_donor1_row12802_cand000431,none,13883.897576015877,AB,MP,P,M,MP_AB,M_P,3910.469765336071,3910.469765336071,2047.5617439751443,1090.600474772527,1090.600474772527,1723.668474854056,3910.4697653364947
Non-binding_donor1_row13931_cand000581,none,18523.129936100962,AB,MP,P,M,MP_AB,M_P,6541.91864838201,6541.91864838201,1939.2943628047121,1120.1891202636293,1120.1891202636293,1738.5146721075591,6541.918648382338
Non-binding_donor1_row14994_cand000352,none,13740.936424897716,AB,MP,P,M,MP_AB,M_P,1367.7858685874235,1367.7858685874235,1558.4390776530017,1018.6090971799831,1018.6090971799831,1748.6296928809077,1367.7858685873016
Non-binding_donor1_row13620_cand000277,none,13325.451642155558,AB,MP,P,M,MP_AB,M_P,6158.441490515544,6158.441490515544,2096.875044605863,1137.419439336324,1137.419439336324,1709.3672469632145,6158.441490515779
Non-binding_donor1_row14543_cand000435,none,19293.038099354406,AB,MP,P,M,MP_AB,M_P,6519.274490062155,6519.274490062155,1984.4134278033775,767.1201629104007,767.1201629104007,1717.3692170037202,6519.274490061733
Non-binding_donor1_row15200_cand000201,none,20854.61757820758,AB,MP,P,M,MP_AB,M_P,8195.100614253955,8195.100614253955,1772.4515211869627,1043.2305260567127,1043.2305260567127,1713.074590033093,8195.100614254658
Non-binding_donor1_row15212_cand000239,none,15061.1059640539,AB,MP,P,M,MP_AB,M_P,5593.6819096085455,5593.6819096085455,1837.824558135624,988.4027827885043,988.4027827885043,1707.6734941298712,5593.68190960846
Non-binding_donor1_row15333_cand000356,none,18737.088588945717,AB,MP,P,M,MP_AB,M_P,4442.113994764131,4442.113994764131,1563.1391252163198,793.162297367815,793.162297367815,1734.753596167776,4442.11399476416
Non-binding_donor1_row15217_cand000351,none,15907.612727691967,AB,MP,P,M,MP_AB,M_P,5484.754709017676,5484.754709017676,1796.2650494827958,1040.4426664446428,1040.4426664446428,1739.810575198656,5484.754709017796
Non-binding_donor1_row15336_cand000111,none,16247.456432370023,AB,MP,P,M,MP_AB,M_P,4452.921512586618,4452.921512586618,1552.75212008936,844.4265069295934,844.4265069295934,1706.0617562573345,4452.921512586601
Non-binding_donor1_row15358_cand000572,none,17086.214584589427,AB,MP,P,M,MP_AB,M_P,5270.473393944212,5270.473393944212,1648.3953796397411,978.9632132021898,978.9632132021898,1792.562166698784,5270.473393944394
Non-binding_donor1_row1636_cand000082,none,9293.80205595759,AB,MP,P,M,MP_AB,M_P,1851.9473722859657,1851.9473722859657,1848.1669448898847,895.9643015911497,895.9643015911497,1724.5285498383823,1851.947372286062
Non-binding_donor1_row17437_cand000406,none,18640.803443376917,AB,MP,P,M,MP_AB,M_P,5643.456904433246,5643.456904433246,2004.863776443788,1112.176881776803,1112.176881776803,1752.0113032132313,5643.4569044337
Non-binding_donor1_row1756_cand000260,none,12131.76156822768,AB,MP,P,M,MP_AB,M_P,4360.001318979383,4360.001318979383,2082.4184125984248,1151.9550284560773,1151.9550284560773,1730.9765174980066,4360.001318979408
Non-binding_donor1_row17718_cand000024,none,27496.364024805243,AB,MP,P,M,MP_AB,M_P,10551.836281418739,10551.836281418739,1817.5595014056235,1034.272612993961,1034.272612993961,1716.8515213195037,10551.83628141884
Non-binding_donor1_row17799_cand000173,none,24225.952451117657,AB,MP,P,M,MP_AB,M_P,9958.38307038684,9958.38307038684,2122.296292638446,1259.9062353651493,1259.9062353651493,1781.6935360254815,9958.383070387576
Non-binding_donor1_row18213_cand000006,none,19635.13181452285,AB,MP,P,M,MP_AB,M_P,5530.484066156103,5530.484066156103,1889.6729456263558,954.563823087994,954.563823087994,1744.969078092869,5530.484066156172
Non-binding_donor1_row18266_cand000493,none,15125.187716805676,AB,MP,P,M,MP_AB,M_P,3580.448542475415,3580.448542475415,1916.2051926905674,992.1590130912155,992.1590130912155,1735.7598289021735,3580.4485424753384
