TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10118_cand000320,openmm,-141.4210601683306,AB,MP,P,M,MP_AB,M_P,-32.18674760588969,-32.18674760588969,1877.6736673925536,-53.96352364576168,-53.96352364576168,1678.6527178330703,-32.18674760580642,-56372.348151355836 kJ/mol
Non-binding_donor1_row10012_cand000409,openmm,491.6023001741005,AB,MP,P,M,MP_AB,M_P,-33.78748583098496,-33.78748583098496,2069.0228864770656,-58.28137865833867,-58.28137865833867,1684.9778918835432,-33.787485831251956,-48443.02622469581 kJ/mol
Non-binding_donor1_row10514_cand000521,openmm,-421.43777570838864,AB,MP,P,M,MP_AB,M_P,-39.5115842185088,-39.5115842185088,2040.0905789807937,-65.40483330473036,-65.40483330473036,1808.3132202067104,-39.511584218366636,-51140.59883760512 kJ/mol
Non-binding_donor1_row10403_cand000414,openmm,-135.72247233873134,AB,MP,P,M,MP_AB,M_P,-54.06250518852303,-54.06250518852303,2082.4736658440333,-50.286824968592,-50.286824968592,1792.369769359063,-54.06250518793641,-59122.49886702459 kJ/mol
Non-binding_donor1_row10570_cand000286,openmm,-288.99727263961057,AB,MP,P,M,MP_AB,M_P,-53.59161695405555,-53.59161695405555,2176.152475872595,-65.00641307050925,-65.00641307050925,1771.7787549379602,-53.59161695387789,-57897.05852463946 kJ/mol
Non-binding_donor1_row10704_cand000432,openmm,-235.42858487399735,AB,MP,P,M,MP_AB,M_P,-42.06977207787676,-42.06977207787676,1964.738517314098,-54.210364164398385,-54.210364164398385,1757.637670702263,-42.06977207820108,-55298.14924640586 kJ/mol
Non-binding_donor1_row10743_cand000321,openmm,52.39066438245115,AB,MP,P,M,MP_AB,M_P,314.0321462388158,314.0321462388158,1852.1432315619666,-54.1239250742466,-54.1239250742466,1744.7880137577577,314.0321462384562,-47295.59648903138 kJ/mol
Non-binding_donor1_row10928_cand000254,openmm,-165.6867868181538,AB,MP,P,M,MP_AB,M_P,-51.78254330688344,-51.78254330688344,2069.4440460611,-50.75070756868948,-50.75070756868948,1715.6757356660387,-51.78254330679418,-56306.2992103494 kJ/mol
Non-binding_donor1_row11240_cand000542,openmm,-230.62301911312,AB,MP,P,M,MP_AB,M_P,-37.10882322330056,-37.10882322330056,1844.9980630438117,-57.31246890247668,-57.31246890247668,1746.618010871021,-37.108823223409104,-53598.79054102368 kJ/mol
Non-binding_donor1_row11173_cand000585,openmm,-158.85755188826943,AB,MP,P,M,MP_AB,M_P,-35.88570021001229,-35.88570021001229,2040.0104257045227,-63.16144128264685,-63.16144128264685,1785.386334684927,-35.88570020971784,-51916.00880409749 kJ/mol
Non-binding_donor1_row11300_cand000356,openmm,-158.0212602260687,AB,MP,P,M,MP_AB,M_P,-36.834312175334205,-36.834312175334205,1877.4647631166185,-50.40315643299752,-50.40315643299752,1808.5021967010975,-36.83431217526807,-50140.33727189521 kJ/mol
Non-binding_donor1_row11437_cand000280,openmm,-350.7595450439209,AB,MP,P,M,MP_AB,M_P,-61.49276876858693,-61.49276876858693,2090.6356011282487,-57.25817218447647,-57.25817218447647,1723.625787979062,-61.4927687686137,-55068.20010244693 kJ/mol
Non-binding_donor1_row1166_cand000555,openmm,164.76384590919503,AB,MP,P,M,MP_AB,M_P,271.49130204895954,271.49130204895954,1806.3575904153786,-61.74384406271302,-61.74384406271302,1705.542586739526,271.4913020487977,-47509.72950374026 kJ/mol
Non-binding_donor1_row11827_cand000328,openmm,-264.1634175647519,AB,MP,P,M,MP_AB,M_P,-41.34723038812237,-41.34723038812237,2106.927629134104,-59.99368747274333,-59.99368747274333,1740.224683652512,-41.347230388200074,-55160.32548758954 kJ/mol
Non-binding_donor1_row11861_cand000442,openmm,-14.622985585968209,AB,MP,P,M,MP_AB,M_P,-56.20920511926608,-56.20920511926608,2274.2328976764234,-57.58551560563786,-57.58551560563786,1726.3806466984852,-56.209205118998,-54746.08327448159 kJ/mol
Non-binding_donor1_row12040_cand000509,openmm,-336.5278080052986,AB,MP,P,M,MP_AB,M_P,-36.435904869452145,-36.435904869452145,1983.7892515207502,-62.17701989281929,-62.17701989281929,1749.4666209208428,-36.435904869681224,-55003.47248057572 kJ/mol
Non-binding_donor1_row12114_cand000451,openmm,-275.69536690911167,AB,MP,P,M,MP_AB,M_P,-44.08580097107492,-44.08580097107492,2005.688076056958,-58.21324105664628,-58.21324105664628,1770.2218591890298,-44.08580097097632,-51397.86692101024 kJ/mol
Non-binding_donor1_row12078_cand000535,openmm,-233.7526271694267,AB,MP,P,M,MP_AB,M_P,-45.821825065421535,-45.821825065421535,2028.0331463763164,-53.54452394899593,-53.54452394899593,1794.120365626889,-45.8218250655288,-50547.284335728764 kJ/mol
Non-binding_donor1_row12674_cand000007,openmm,-473.77925016737447,AB,MP,P,M,MP_AB,M_P,-44.210345488044425,-44.210345488044425,1953.8418295034426,-57.650788456791446,-57.650788456791446,1729.8908684041344,-44.21034548841544,-54665.02505552078 kJ/mol
Non-binding_donor1_row12410_cand000557,openmm,-138.5610694411161,AB,MP,P,M,MP_AB,M_P,-53.94600961672603,-53.94600961672603,2318.649277604199,-45.98958915177052,-45.98958915177052,1544.4513264098562,-53.946009616905584,-49140.81832858863 kJ/mol
Non-binding_donor1_row12753_cand000066,openmm,-265.42113390497565,AB,MP,P,M,MP_AB,M_P,-43.555050909043075,-43.555050909043075,2027.4626874495564,-55.2133369007818,-55.2133369007818,1808.8455456285687,-43.55505090860993,-57058.45379996879 kJ/mol
Non-binding_donor1_row12831_cand000303,openmm,-272.68680737763873,AB,MP,P,M,MP_AB,M_P,-35.159014086284685,-35.159014086284685,1906.2969197419018,-58.926791302514474,-58.926791302514474,1678.0461887684364,-35.159014085901276,-55037.319680278764 kJ/mol
Non-binding_donor1_row12954_cand000380,openmm,-286.2713902508101,AB,MP,P,M,MP_AB,M_P,-36.67601777041813,-36.67601777041813,1974.707380337375,-48.95695053673434,-48.95695053673434,1695.0137522790403,-36.676017770318055,-53577.030016503464 kJ/mol
Non-binding_donor1_row13535_cand000245,openmm,-201.38330932058054,AB,MP,P,M,MP_AB,M_P,-38.54842421120924,-38.54842421120924,2001.1926198670676,-51.34070279618443,-51.34070279618443,1790.637999376102,-38.548424210821025,-50993.89586377567 kJ/mol
Non-binding_donor1_row13772_cand000450,openmm,30.251626365584713,AB,MP,P,M,MP_AB,M_P,289.6551835476457,289.6551835476457,1830.8551869367489,-52.730698251464844,-52.730698251464844,1807.6711174534112,289.6551835476663,-44034.61427586404 kJ/mol
Non-binding_donor1_row13693_cand000219,openmm,378.81150148318045,AB,MP,P,M,MP_AB,M_P,-19.00700251551683,-19.00700251551683,1276.3952047379685,-58.46842189059882,-58.46842189059882,1584.004932031876,-19.00700251611704,-38537.43206686654 kJ/mol
Non-binding_donor1_row13840_cand000120,openmm,-188.833837394011,AB,MP,P,M,MP_AB,M_P,-41.68018620479782,-41.68018620479782,1919.5739651566162,-60.55434686281328,-60.55434686281328,1744.3368422676074,-41.68018620499035,-53221.161851359466 kJ/mol
Non-binding_donor1_row13774_cand000014,openmm,-363.0402188249898,AB,MP,P,M,MP_AB,M_P,-36.98899943955024,-36.98899943955024,1916.1233716552347,-69.86936678498445,-69.86936678498445,1773.8435027141259,-36.98899943888648,-51581.00787067186 kJ/mol
