TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Binding_donor1_row100_cand000067,openmm,579.1489593205469,AB,MP,P,M,MP_AB,M_P,-57.04820596230604,-57.04820596230604,2199.514483612429,-49.86393672172388,-49.86393672172388,1656.103094925379,-57.04820596230991,-41586.54308136835 kJ/mol
Binding_donor1_row102_cand000157,openmm,1029.47047076687,AB,MP,P,M,MP_AB,M_P,721.5355460467636,721.5355460467636,2367.741247214708,-49.41002752253314,-49.41002752253314,1648.0518290297782,721.5355460465789,-30177.687907624208 kJ/mol
Binding_donor1_row104_cand000248,openmm,-188.59326383180633,AB,MP,P,M,MP_AB,M_P,-47.68150619263409,-47.68150619263409,2200.9038898093195,-55.22651977761872,-55.22651977761872,1651.5494223086616,-47.681506192460915,-55799.88313167966 kJ/mol
Binding_donor1_row106_cand000033,openmm,-90.58068078473947,AB,MP,P,M,MP_AB,M_P,-29.58498996815743,-29.58498996815743,2065.8187800081796,-58.965422620586395,-58.965422620586395,1600.5651201810265,-29.584989968228143,-55741.731262857895 kJ/mol
Binding_donor1_row107_cand000426,openmm,-316.2397897249955,AB,MP,P,M,MP_AB,M_P,-55.115863241231125,-55.115863241231125,2270.0762680719868,-56.6017488142226,-56.6017488142226,1534.6393103086916,-55.11586324119503,-56704.06002526009 kJ/mol
Binding_donor1_row108_cand000423,openmm,-301.0376194197501,AB,MP,P,M,MP_AB,M_P,-42.27813646212962,-42.27813646212962,1831.097570506247,-57.66267231167585,-57.66267231167585,1640.4912333645545,-42.27813646166618,-52658.86344451211 kJ/mol
Binding_donor1_row109_cand000484,openmm,-281.62300448587416,AB,MP,P,M,MP_AB,M_P,-41.94959095410107,-41.94959095410107,1985.2401476064433,-49.74415078510832,-49.74415078510832,1536.0433074581288,-41.949590954201824,-55564.058590721135 kJ/mol
Binding_donor1_row10_cand000016,openmm,-315.29621612293005,AB,MP,P,M,MP_AB,M_P,-51.10891338488557,-51.10891338488557,1926.364847350654,-55.72882997000187,-55.72882997000187,1620.0974566629643,-51.108913384757955,-52697.79415093898 kJ/mol
Binding_donor1_row110_cand000398,openmm,-287.3486662848577,AB,MP,P,M,MP_AB,M_P,-49.098749477978345,-49.098749477978345,2056.599919871069,-55.1745699018246,-55.1745699018246,1598.0873499336499,-49.09874947812105,-55157.89182248857 kJ/mol
Binding_donor1_row111_cand000078,openmm,-341.54612937760555,AB,MP,P,M,MP_AB,M_P,-45.16154700985703,-45.16154700985703,2517.4518981097863,-53.79129461138895,-53.79129461138895,1576.8218782334252,-45.16154700978524,-56438.06546234964 kJ/mol
