TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10336_cand000547,none,20448.25608972473,AB,MP,P,M,MP_AB,M_P,6394.802426828312,6394.802426828312,1881.3884106584605,1049.3739807904058,1049.3739807904058,1908.3426550647496,6394.8024268282115
Non-binding_donor1_row10000_cand000262,none,40964.8869340826,AB,MP,P,M,MP_AB,M_P,16809.340696037892,16809.340696037892,1637.2884068037858,2179.307041847253,2179.307041847253,1944.3220668462711,16809.34069603784
Non-binding_donor1_row10327_cand000342,none,16928.79303924918,AB,MP,P,M,MP_AB,M_P,4446.969840191394,4446.969840191394,1736.4805335279636,1309.640675336268,1309.640675336268,1887.0765938310883,4446.969840191992
Non-binding_donor1_row10156_cand000420,none,19173.053940083995,AB,MP,P,M,MP_AB,M_P,9373.581228661213,9373.581228661213,2164.246095697114,1128.9791965710247,1128.9791965710247,1817.9386567323268,9373.58122866112
Non-binding_donor1_row10964_cand000331,none,28765.30753573321,AB,MP,P,M,MP_AB,M_P,8315.353317655408,8315.353317655408,1915.0545552923707,1383.6258816084946,1383.6258816084946,1926.7470899708785,8315.353317655296
Non-binding_donor1_row10577_cand000416,none,31888.001712609082,AB,MP,P,M,MP_AB,M_P,16154.80028394204,16154.80028394204,2008.8031629769748,1562.5265472132005,1562.5265472132005,2029.217899143626,16154.800283942044
Non-binding_donor1_row10606_cand000061,none,18244.449127458396,AB,MP,P,M,MP_AB,M_P,8829.558929595174,8829.558929595174,2140.34036747466,1866.319425682727,1866.319425682727,1947.5108764738911,8829.558929594818
Non-binding_donor1_row11008_cand000325,none,22983.42642530921,AB,MP,P,M,MP_AB,M_P,6693.612687426117,6693.612687426117,2043.7491847009367,2193.338757451801,2193.338757451801,1982.1494565108605,6693.612687426059
Non-binding_donor1_row11424_cand000294,none,17117.47050308947,AB,MP,P,M,MP_AB,M_P,3123.9147177801897,3123.9147177801897,1165.4934003235182,1522.9669578522485,1522.9669578522485,1924.7390692739118,3123.9147177804225
Non-binding_donor1_row11477_cand000218,none,25901.341657186054,AB,MP,P,M,MP_AB,M_P,9090.969002037662,9090.969002037662,1945.2595646362151,1106.3434613366549,1106.3434613366549,1936.8860566615638,9090.969002037513
Non-binding_donor1_row11510_cand000025,none,17401.624536413798,AB,MP,P,M,MP_AB,M_P,5480.453363642022,5480.453363642022,1927.7098601283915,2495.1318871405056,2495.1318871405056,1782.9847461201448,5480.4533636423075
Non-binding_donor1_row11754_cand000079,none,21212.69801726209,AB,MP,P,M,MP_AB,M_P,8353.164463764277,8353.164463764277,1846.6819799771927,1732.4830719331962,1732.4830719331962,1990.91595057691,8353.164463763856
Non-binding_donor1_row11820_cand000250,none,13909.604234686689,AB,MP,P,M,MP_AB,M_P,6978.740045505801,6978.740045505801,2058.7139324742543,1917.743726677842,1917.743726677842,1981.4262929100798,6978.740045505346
Non-binding_donor1_row12002_cand000148,none,25084.52123972186,AB,MP,P,M,MP_AB,M_P,9880.349425335842,9880.349425335842,1864.6180615963137,1794.962504410637,1794.962504410637,1987.4414189152094,9880.349425335833
Non-binding_donor1_row12109_cand000074,none,22532.115576066062,AB,MP,P,M,MP_AB,M_P,9315.379784123463,9315.379784123463,1907.8230744249402,2353.248164649126,2353.248164649126,1989.5636849865023,9315.379784123354
Non-binding_donor1_row12132_cand000446,none,16897.285034709646,AB,MP,P,M,MP_AB,M_P,7700.762192825892,7700.762192825892,1913.5836228268645,1017.068546511588,1017.068546511588,1908.105538511083,7700.762192825749
Non-binding_donor1_row12151_cand000107,none,13784.45776190321,AB,MP,P,M,MP_AB,M_P,8028.009839559688,8028.009839559688,1788.7803484904682,1631.676588122591,1631.676588122591,2038.9121636979223,8028.0098395597515
Non-binding_donor1_row12548_cand000564,none,36007.47764045997,AB,MP,P,M,MP_AB,M_P,1417.8468194183733,1417.8468194183733,921.7379399772248,1953.5011775527892,1953.5011775527892,1967.8472434786188,1417.8468194185334
Non-binding_donor1_row1259_cand000421,none,11801.10158170325,AB,MP,P,M,MP_AB,M_P,3993.483770054151,3993.483770054151,1885.343419827707,1912.7772925209408,1912.7772925209408,1982.0386785239816,3993.4837700532244
Non-binding_donor1_row12258_cand000233,none,18053.448792415045,AB,MP,P,M,MP_AB,M_P,7189.407456428331,7189.407456428331,2066.148763592089,2915.357907326727,2915.357907326727,1971.4689257888094,7189.407456427838
Non-binding_donor1_row12719_cand000464,none,11630.93209022668,AB,MP,P,M,MP_AB,M_P,3973.1578173198404,3973.1578173198404,1470.862396353527,1531.9309522948884,1531.9309522948884,1922.2705221220042,3973.1578173200323
Non-binding_donor1_row12925_cand000378,none,16926.231049888836,AB,MP,P,M,MP_AB,M_P,1237.3479268928677,1237.3479268928677,1761.0183191642434,1523.3478285108595,1523.3478285108595,1850.838229487703,1237.3479268928495
Non-binding_donor1_row1267_cand000487,none,12406.837024905635,AB,MP,P,M,MP_AB,M_P,4992.524866033241,4992.524866033241,2153.5170525788762,1397.0419750480735,1397.0419750480735,1905.9437892136,4992.524866032491
Non-binding_donor1_row12729_cand000543,none,16029.852831162689,AB,MP,P,M,MP_AB,M_P,5141.226295796352,5141.226295796352,1621.9751361713925,2327.7781109906573,2327.7781109906573,1963.6022769429749,5141.226295796385
Non-binding_donor1_row13565_cand000406,none,180693.6323669265,AB,MP,P,M,MP_AB,M_P,91.88289152330253,91.88289152330253,1133.350765229203,675.4142040189472,675.4142040189472,990.9788359878162,91.88289152347716
Non-binding_donor1_row13509_cand000164,none,29029.181019152762,AB,MP,P,M,MP_AB,M_P,12134.677997807477,12134.677997807477,1899.655057637909,2944.847317230733,2944.847317230733,1852.594193612606,12134.677997807845
Non-binding_donor1_row1347_cand000384,none,9697.307722106729,AB,MP,P,M,MP_AB,M_P,3944.999060365616,3944.999060365616,1759.4489035868123,1114.2910753254675,1114.2910753254675,1889.9496384904373,3944.999060366081
