TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10081_cand000598,rosetta_sidechain,3466.791102114146,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-0.09532031263006502
Non-binding_donor1_row1046_cand000007,rosetta_sidechain,393.13172083667496,AB,MP,P,M,MP_AB,M_P,-0.2676683389954633,-0.2676683389954633,47.64170960036637,0.0,0.0,0.0,-0.26766833874694385
Non-binding_donor1_row10289_cand000522,rosetta_sidechain,9392.944670671608,AB,MP,P,M,MP_AB,M_P,7534.76946893049,7534.76946893049,1002.7334888736581,4.594098514574398,4.594098514574398,171.89228082625993,7534.769468930358
Non-binding_donor1_row10550_cand000353,rosetta_sidechain,4105.087957184002,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-12
Non-binding_donor1_row1001_cand000507,rosetta_sidechain,612.6869797318517,AB,MP,P,M,MP_AB,M_P,-9.174220985869965,-9.174220985869965,851.597136690267,-17.9191928124645,-17.9191928124645,1945.9069266483277,-9.174220986173623
Non-binding_donor1_row10555_cand000359,rosetta_sidechain,1325.282276913845,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,87.74221775375622,87.74221775375622,112.54640877605748,-2.5011104298755527e-12
Non-binding_donor1_row10556_cand000282,rosetta_sidechain,2424.8240574800416,AB,MP,P,M,MP_AB,M_P,-1.5300753237670506,-1.5300753237670506,229.6633694419541,0.9053709821389475,0.9053709821389475,196.73577833431898,-1.5300753234760123
Non-binding_donor1_row1050_cand000587,rosetta_sidechain,550.4684969258961,AB,MP,P,M,MP_AB,M_P,59.027452378955104,59.027452378955104,719.1580468763956,-19.98732456538565,-19.98732456538565,2083.842911548808,59.02745237866759
Non-binding_donor1_row10611_cand000369,rosetta_sidechain,3356.84252149135,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,2992.0592895342897,2992.0592895342897,751.3120537604148,1.3642420526593924e-12
Non-binding_donor1_row10602_cand000182,rosetta_sidechain,2329.935613835103,AB,MP,P,M,MP_AB,M_P,-0.11063882097687383,-0.11063882097687383,28.717213119256414,0.0,0.0,0.0,-0.1106388208872886
Non-binding_donor1_row10878_cand000525,rosetta_sidechain,1427.537410117318,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,1.3642420526593924e-12
Non-binding_donor1_row10800_cand000152,rosetta_sidechain,3738.617963959519,AB,MP,P,M,MP_AB,M_P,-0.0488663867786272,-0.0488663867786272,40.41467350476492,-3.4112959302461263,-3.4112959302461263,178.0646416044474,-0.048866386601275735
Non-binding_donor1_row10783_cand000307,rosetta_sidechain,43626.92722097512,AB,MP,P,M,MP_AB,M_P,40947.44640203845,40947.44640203845,2330.7448669846344,819.586114568521,819.586114568521,480.98057349226815,40947.44640203825
Non-binding_donor1_row10978_cand000478,rosetta_sidechain,24462.195413109166,AB,MP,P,M,MP_AB,M_P,1044.196339185346,1044.196339185346,313.0971665744802,22490.178298480114,22490.178298480114,1288.5805040419566,1044.1963391851023
Non-binding_donor1_row110_cand000198,rosetta_sidechain,17316.24076274476,AB,MP,P,M,MP_AB,M_P,13337.441370155637,13337.441370155637,1319.889981007521,0.0,0.0,0.0,13337.441370155779
Non-binding_donor1_row11048_cand000319,rosetta_sidechain,1289.4804689706039,AB,MP,P,M,MP_AB,M_P,43.40762077633667,43.40762077633667,429.7416006772013,81.69002489654096,81.69002489654096,151.7033437227029,43.40762077641739
Non-binding_donor1_row11126_cand000577,rosetta_sidechain,1798.4254597368279,AB,MP,P,M,MP_AB,M_P,-0.8721180885627291,-0.8721180885627291,171.60773785905263,7.2308825682818565,7.2308825682818565,379.16668297891437,-0.8721180885195281
Non-binding_donor1_row11263_cand000110,rosetta_sidechain,2609.8989265130162,AB,MP,P,M,MP_AB,M_P,1772.7720386904052,1772.7720386904052,430.87423403453784,0.0,0.0,0.0,1772.7720386901017
Non-binding_donor1_row11340_cand000100,rosetta_sidechain,1178.3238387073172,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-2.2737367544323206e-13
Non-binding_donor1_row11293_cand000138,rosetta_sidechain,6042.672875877999,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,4803.955393862395,4803.955393862395,535.0858811453381,0.0
Non-binding_donor1_row11541_cand000202,rosetta_sidechain,1114.8468153416375,AB,MP,P,M,MP_AB,M_P,0.23787668183831556,0.23787668183831556,45.86216413801402,0.0,0.0,0.0,0.23787668225395464
Non-binding_donor1_row11491_cand000286,rosetta_sidechain,2055.369105486441,AB,MP,P,M,MP_AB,M_P,-0.16154908626458564,-0.16154908626458564,28.435679875381396,211.30795366237112,211.30795366237112,295.6971492603266,-0.16154908605358287
Non-binding_donor1_row11664_cand000147,rosetta_sidechain,38333.64638287379,AB,MP,P,M,MP_AB,M_P,6212.018951725386,6212.018951725386,857.8932374339115,29628.09005858252,29628.09005858252,1711.5998023291957,6212.0189517255785
Non-binding_donor1_row11436_cand000515,rosetta_sidechain,56196.13442901542,AB,MP,P,M,MP_AB,M_P,45362.37024143124,45362.37024143124,2952.0056895725106,9340.2511759836,9340.2511759836,982.4863973994243,45362.37024143027
Non-binding_donor1_row12000_cand000526,rosetta_sidechain,10751.269647003282,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,7039.24831007765,7039.24831007765,562.9390011444794,-33.90947263946509
Non-binding_donor1_row1169_cand000347,rosetta_sidechain,42484.987249735364,AB,MP,P,M,MP_AB,M_P,36994.04459662261,36994.04459662261,2209.4210732879956,687.2948749695854,687.2948749695854,695.9348897748315,36994.04459662305
Non-binding_donor1_row12425_cand000325,rosetta_sidechain,1566.4706762680144,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,7.503331289626658e-12
Non-binding_donor1_row12071_cand000043,rosetta_sidechain,36383.02938515154,AB,MP,P,M,MP_AB,M_P,12472.61790195867,12472.61790195867,943.5968779222599,23525.213151314434,23525.213151314434,1546.8709035014622,12472.617901958994
Non-binding_donor1_row12567_cand000387,rosetta_sidechain,38371.87908695167,AB,MP,P,M,MP_AB,M_P,23854.449728398344,23854.449728398344,2265.612631173615,3.716311649569434,3.716311649569434,237.4386793902676,23854.449728398617
Non-binding_donor1_row12490_cand000167,rosetta_sidechain,88.87212135270443,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-0.08506587728342652,-0.08506587728342652,56.220282126598775,0.15299493016333088
Non-binding_donor1_row12708_cand000135,rosetta_sidechain,13553.982070300695,AB,MP,P,M,MP_AB,M_P,4.019038296635699,4.019038296635699,631.7400974546248,12630.801934193974,12630.801934193974,1040.4150620970076,4.019038296577492
Non-binding_donor1_row12729_cand000290,rosetta_sidechain,9596.915383529345,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,8996.545001836681,8996.545001836681,980.2402207082589,-0.02263025656429818
Non-binding_donor1_row12617_cand000048,rosetta_sidechain,19467.390431070544,AB,MP,P,M,MP_AB,M_P,-0.07248879500184557,-0.07248879500184557,60.37296340841617,5579.7142960701685,5579.7142960701685,556.1558371842451,-0.07248879463077174
Non-binding_donor1_row12654_cand000312,rosetta_sidechain,85743.5757261573,AB,MP,P,M,MP_AB,M_P,55546.73909788014,55546.73909788014,3446.383961151429,29887.437936491602,29887.437936491602,1733.79443302405,55546.73909788021
Non-binding_donor1_row12819_cand000350,rosetta_sidechain,3110.6958849376456,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,2818.991474409858,2818.991474409858,569.3695620536973,-8.185452315956354e-12
Non-binding_donor1_row13444_cand000567,rosetta_sidechain,18472.150561189123,AB,MP,P,M,MP_AB,M_P,318.6227434308894,318.6227434308894,360.9204136881105,16752.922096991133,16752.922096991133,1466.5762322905166,318.6227434305474
Non-binding_donor1_row13019_cand000429,rosetta_sidechain,67289.85654185366,AB,MP,P,M,MP_AB,M_P,63573.31028812969,63573.31028812969,3077.605772647103,3073.4484328940794,3073.4484328940794,380.8290198857217,63573.310288129884
Non-binding_donor1_row13465_cand000129,rosetta_sidechain,19286.48583405417,AB,MP,P,M,MP_AB,M_P,2.1309010430632043,2.1309010430632043,243.79397394512074,19180.033041894552,19180.033041894552,1493.715132531666,2.1309010431905335
Non-binding_donor1_row13523_cand000227,rosetta_sidechain,580.5027153986616,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-2.0463630789890885e-12
Non-binding_donor1_row13402_cand000136,rosetta_sidechain,73449.57882182654,AB,MP,P,M,MP_AB,M_P,64449.83242034745,64449.83242034745,3890.5531748283724,8262.859568495454,8262.859568495454,983.0691667151748,64449.83242034748
Non-binding_donor1_row13567_cand000239,rosetta_sidechain,434.23642228205375,AB,MP,P,M,MP_AB,M_P,-0.13376515033968417,-0.13376515033968417,89.00777371592174,70.63013275122955,70.63013275122955,993.1286705042713,-0.1337651499447361
Non-binding_donor1_row13966_cand000443,rosetta_sidechain,36129.37274244801,AB,MP,P,M,MP_AB,M_P,0.008856363128870726,0.008856363128870726,0.0,-0.32488816964178113,-0.32488816964178113,89.82096527802985,0.008856363594532013
Non-binding_donor1_row13997_cand000569,rosetta_sidechain,2229.9413672036467,AB,MP,P,M,MP_AB,M_P,-0.3892981481726565,-0.3892981481726565,78.7007201827409,629.1606828540752,629.1606828540752,363.3609967868917,-0.3892981481217248
Non-binding_donor1_row14332_cand000097,rosetta_sidechain,3393.847674725204,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,1899.5413581986577,1899.5413581986577,629.4498531391013,2.7284841053187847e-12
Non-binding_donor1_row14037_cand000585,rosetta_sidechain,7743.344711699388,AB,MP,P,M,MP_AB,M_P,1608.3356348701045,1608.3356348701045,500.05702997358514,-1.747013089925531e-05,-1.747013089925531e-05,0.0,1608.3356348702946
Non-binding_donor1_row13905_cand000438,rosetta_sidechain,15245.55857676821,AB,MP,P,M,MP_AB,M_P,165.59873216406413,165.59873216406413,597.1851380813733,-21.769982407870458,-21.769982407870458,1900.3756769364913,165.59873216368396
Non-binding_donor1_row1468_cand000119,rosetta_sidechain,34403.75336356136,AB,MP,P,M,MP_AB,M_P,22452.458049794775,22452.458049794775,2320.1646422739504,11672.542240845632,11672.542240845632,1188.9536196796166,22452.458049794994
Non-binding_donor1_row15069_cand000132,rosetta_sidechain,655.6887685486106,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,361.9015579891601,361.9015579891601,548.3883307969428,-1.1368683772161603e-13
Non-binding_donor1_row14993_cand000490,rosetta_sidechain,11262.221616763763,AB,MP,P,M,MP_AB,M_P,6417.653019811207,6417.653019811207,1050.1887973099113,17.357541866439533,17.357541866439533,566.4474852778951,6417.653019811425
Non-binding_donor1_row14691_cand000448,rosetta_sidechain,1939.4570798059908,AB,MP,P,M,MP_AB,M_P,1722.6356010748455,1722.6356010748455,993.4325827476667,-17.827504978711858,-17.827504978711858,1937.5009400355511,1722.6356010749814
Non-binding_donor1_row15460_cand000329,rosetta_sidechain,29042.13052637254,AB,MP,P,M,MP_AB,M_P,-0.0007578155491501093,-0.0007578155491501093,0.0,28255.992735826927,28255.992735826927,1607.6477438558086,-0.0007578153345093597
Non-binding_donor1_row15110_cand000028,rosetta_sidechain,76399.65552462949,AB,MP,P,M,MP_AB,M_P,-0.21955567959230393,-0.21955567959230393,116.51679235675867,0.0,0.0,0.0,-0.21955567960685585
Non-binding_donor1_row17128_cand000236,rosetta_sidechain,28108.970944091245,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,27201.555238898665,27201.555238898665,1513.937758368296,-0.7552406677168619
Non-binding_donor1_row15502_cand000568,rosetta_sidechain,83067.20376633517,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.335376402552356,0.335376402552356,32.07525762816914,0.00012582029739860445
Non-binding_donor1_row17393_cand000421,rosetta_sidechain,9463.299587629124,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,9148.636584470021,9148.636584470021,1011.3509861207191,-185.16081698608286
Non-binding_donor1_row17218_cand000087,rosetta_sidechain,36442.04182512773,AB,MP,P,M,MP_AB,M_P,33391.93927386018,33391.93927386018,2182.513339967018,0.0,0.0,0.0,33391.93927386015
Non-binding_donor1_row17449_cand000391,rosetta_sidechain,507.48398289124015,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,7.958078640513122e-13
Non-binding_donor1_row17433_cand000199,rosetta_sidechain,1888.2011798333267,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,1210.0311442741881,1210.0311442741881,370.641215004056,-2.0463630789890885e-12
Non-binding_donor1_row17505_cand000038,rosetta_sidechain,578.5369920243497,AB,MP,P,M,MP_AB,M_P,0.009043205082889472,0.009043205082889472,0.0,0.0,0.0,0.0,0.009043204516615333
Non-binding_donor1_row17749_cand000396,rosetta_sidechain,5538.474101324416,AB,MP,P,M,MP_AB,M_P,0.006059432897018269,0.006059432897018269,59.32063846772814,-0.02325683029908987,-0.02325683029908987,44.60181922154503,0.0060594328488150495
Non-binding_donor1_row17634_cand000250,rosetta_sidechain,1128.3471130081348,AB,MP,P,M,MP_AB,M_P,279.6944292100833,279.6944292100833,491.52378170877205,200.89907225498544,200.89907225498544,427.5432304935027,279.6944292098592
Non-binding_donor1_row17536_cand000374,rosetta_sidechain,393.9618044591015,AB,MP,P,M,MP_AB,M_P,-0.03476661534421055,-0.03476661534421055,40.497642578895295,19.283942159961157,19.283942159961157,817.9583355479725,-0.034766615331818684
Non-binding_donor1_row17823_cand000549,rosetta_sidechain,1597.3638227514477,AB,MP,P,M,MP_AB,M_P,-4.7168617234228805,-4.7168617234228805,488.24959833116304,5.485166703395407,5.485166703395407,1258.375316286677,-4.716861723841703
Non-binding_donor1_row17924_cand000541,rosetta_sidechain,4847.799095417292,AB,MP,P,M,MP_AB,M_P,194.89258066262846,194.89258066262846,147.96722211271378,3061.950718624072,3061.950718624072,1238.6476735829312,194.8925806627185
Non-binding_donor1_row17918_cand000080,rosetta_sidechain,7583.11609840147,AB,MP,P,M,MP_AB,M_P,-2.73031309916405e-06,-2.73031309916405e-06,0.0,2545.8048666453196,2545.8048666453196,785.8579529355934,-2.730525011429563e-06
Non-binding_donor1_row1792_cand000022,rosetta_sidechain,3484.0969126532136,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,2626.8161355583607,2626.8161355583607,449.66734212955765,-4.092726157978177e-12
Non-binding_donor1_row18150_cand000345,rosetta_sidechain,21650.347233844986,AB,MP,P,M,MP_AB,M_P,4367.477572973443,4367.477572973443,1007.0892721812751,13718.547432936932,13718.547432936932,1253.6655259076229,4367.477572973028
Non-binding_donor1_row18496_cand000449,rosetta_sidechain,24162.893080432816,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,19164.27215044705,19164.27215044705,1045.8010395703975,0.0
Non-binding_donor1_row18253_cand000554,rosetta_sidechain,4483.092189189889,AB,MP,P,M,MP_AB,M_P,59.361892623062886,59.361892623062886,269.7161780151389,-4.784166374218557,-4.784166374218557,1563.0989671294865,59.36189262295375
Non-binding_donor1_row18095_cand000469,rosetta_sidechain,95223.11088999861,AB,MP,P,M,MP_AB,M_P,74306.37658480149,74306.37658480149,3109.036437518907,20076.736197415026,20076.736197415026,1245.496050801039,74306.37658480133
Non-binding_donor1_row18506_cand000444,rosetta_sidechain,4962.289503681252,AB,MP,P,M,MP_AB,M_P,-1.7059907389830187,-1.7059907389830187,229.2663574577483,-1.3092511998282816,-1.3092511998282816,180.73870321503173,-1.7059907391776505
Non-binding_donor1_row18822_cand000480,rosetta_sidechain,1782.4391276425717,AB,MP,P,M,MP_AB,M_P,-0.7385285312238921,-0.7385285312238921,112.54308877196911,0.0,0.0,0.0,-0.7385285308146194
Non-binding_donor1_row18783_cand000255,rosetta_sidechain,31087.223544331828,AB,MP,P,M,MP_AB,M_P,28509.360541673712,28509.360541673712,1581.5559558386476,0.0,0.0,0.0,28509.36054167358
Non-binding_donor1_row18893_cand000355,rosetta_sidechain,9421.761382384257,AB,MP,P,M,MP_AB,M_P,6441.976004623775,6441.976004623775,1157.5565349426213,2506.8983404052506,2506.8983404052506,463.5417710836259,6441.976004624543
Non-binding_donor1_row18991_cand000328,rosetta_sidechain,14390.779976082802,AB,MP,P,M,MP_AB,M_P,-0.0009763235466380138,-0.0009763235466380138,0.0,13326.794985412258,13326.794985412258,1103.9647186695258,-0.000976323042777949
Non-binding_donor1_row19797_cand000492,rosetta_sidechain,6657.275612840946,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,4216.188961524122,4216.188961524122,610.3603260809416,2.7284841053187847e-12
Non-binding_donor1_row19642_cand000540,rosetta_sidechain,48064.77673948467,AB,MP,P,M,MP_AB,M_P,19927.31324858925,19927.31324858925,1763.4393157903075,26252.516185109565,26252.516185109565,1544.5642375769319,19927.3132485888
Non-binding_donor1_row19828_cand000219,rosetta_sidechain,50046.784931863214,AB,MP,P,M,MP_AB,M_P,-0.556379739085969,-0.556379739085969,175.84587821806653,0.0,0.0,0.0,-0.5563797396607697
Non-binding_donor1_row19952_cand000121,rosetta_sidechain,21168.45781532203,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,19675.621476156,19675.621476156,1437.7080210413965,7.275957614183426e-12
Non-binding_donor1_row20101_cand000037,rosetta_sidechain,28731.120401758966,AB,MP,P,M,MP_AB,M_P,18967.86158314158,18967.86158314158,1055.6821629529213,7803.1145204944005,7803.1145204944005,911.7469616930704,18967.861583141384
Non-binding_donor1_row20187_cand000418,rosetta_sidechain,5075.551858044015,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,3.2285193989952177,3.2285193989952177,292.14856909622836,-2.7284841053187847e-12
Non-binding_donor1_row1939_cand000194,rosetta_sidechain,329.12529896545396,AB,MP,P,M,MP_AB,M_P,0.010247012242132314,0.010247012242132314,0.0,0.0,0.0,0.0,0.010247011934836792
