TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10012_cand000128,openmm,478.00319513973056,AB,MP,P,M,MP_AB,M_P,-38.57895714453207,-38.57895714453207,2128.553065296278,-53.664205880479216,-53.664205880479216,1673.3914344384616,-38.578957143699085,-48217.218295895924 kJ/mol
Non-binding_donor1_row10204_cand000234,openmm,-328.5822024172756,AB,MP,P,M,MP_AB,M_P,-56.862345929481876,-56.862345929481876,2209.6625492862822,-51.36316875019247,-51.36316875019247,1758.7344356042158,-56.86234592908448,-54167.298916523985 kJ/mol
Non-binding_donor1_row10870_cand000525,openmm,-248.98857091892773,AB,MP,P,M,MP_AB,M_P,-38.71290968788995,-38.71290968788995,1848.0894988132088,-63.06225503143956,-63.06225503143956,1837.478688177011,-38.71290968770495,-53738.91693088777 kJ/mol
Non-binding_donor1_row10460_cand000347,openmm,333.0251307638424,AB,MP,P,M,MP_AB,M_P,-40.56550624766709,-40.56550624766709,1961.6380678887424,-59.00432949052852,-59.00432949052852,1791.0211340535,-40.565506247593135,-40895.89532163908 kJ/mol
Non-binding_donor1_row10879_cand000307,openmm,-259.4446864944516,AB,MP,P,M,MP_AB,M_P,-50.890226271437314,-50.890226271437314,2256.5885808091048,-50.3332765030232,-50.3332765030232,1610.5303374054215,-50.8902262711232,-53276.21119850375 kJ/mol
Non-binding_donor1_row11115_cand000339,openmm,-306.9428399726236,AB,MP,P,M,MP_AB,M_P,-62.48565628979193,-62.48565628979193,2138.525659445645,-54.810844674448674,-54.810844674448674,1727.3344109570585,-62.485656289966016,-54211.582298734385 kJ/mol
Non-binding_donor1_row11308_cand000535,openmm,-231.49726075583618,AB,MP,P,M,MP_AB,M_P,-48.258597354143944,-48.258597354143944,1980.7016709897468,-59.525762681483585,-59.525762681483585,1830.408266292955,-48.258597354333745,-53038.4572298566 kJ/mol
Non-binding_donor1_row11729_cand000165,openmm,355.8193375422691,AB,MP,P,M,MP_AB,M_P,307.3827738078823,307.3827738078823,2124.693482973513,-52.61147763642773,-52.61147763642773,1628.8774091568014,307.3827738081955,-48342.02931170969 kJ/mol
Non-binding_donor1_row11947_cand000034,openmm,-180.1721150945092,AB,MP,P,M,MP_AB,M_P,-56.75828258563914,-56.75828258563914,2132.019560686401,-62.254932543870616,-62.254932543870616,1707.767672096309,-56.758282585640245,-51740.585203428476 kJ/mol
Non-binding_donor1_row12080_cand000441,openmm,-197.48886035229043,AB,MP,P,M,MP_AB,M_P,-44.513840470999014,-44.513840470999014,2124.7855665448483,-64.49876847314096,-64.49876847314096,1785.5095161450229,-44.513840470757316,-54129.39567214179 kJ/mol
