TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Binding_donor1_row1017_cand000370,rosetta_sidechain,3465.7255898925578,AB,MP,P,M,MP_AB,M_P,-0.18422853433867203,-0.18422853433867203,76.21290459589142,0.0,0.0,0.0,-0.18422853390984528
Binding_donor1_row118_cand000176,rosetta_sidechain,1138.2252893818945,AB,MP,P,M,MP_AB,M_P,-0.44396319400266293,-0.44396319400266293,37.36953938116875,0.0,0.0,0.0,-0.4439631939312676
Binding_donor1_row1235_cand000014,rosetta_sidechain,5776.7543954904495,AB,MP,P,M,MP_AB,M_P,-2.194306637884438,-2.194306637884438,274.9166696526459,4167.892035790104,4167.892035790104,717.3423459489609,-2.1943066376488787
Binding_donor1_row1003_cand000253,rosetta_sidechain,1011.0246182665342,AB,MP,P,M,MP_AB,M_P,-2.560403522653928,-2.560403522653928,510.35823471451704,-9.156481130515203,-9.156481130515203,696.4374747862357,-2.5604035227433997
Binding_donor1_row123_cand000506,rosetta_sidechain,1051.3086870526433,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,73.71978548333186,73.71978548333186,280.4649937745468,-0.013428292735397918
Binding_donor1_row1250_cand000239,rosetta_sidechain,934.7307279044762,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-2.299538755323738e-05
Binding_donor1_row1384_cand000230,rosetta_sidechain,6343.170808158525,AB,MP,P,M,MP_AB,M_P,5779.119994771203,5779.119994771203,730.5583281109123,0.0,0.0,0.0,5779.119994771321
Binding_donor1_row1309_cand000136,rosetta_sidechain,8671.849057367683,AB,MP,P,M,MP_AB,M_P,59.49967361538438,59.49967361538438,508.09264220505037,5962.843760352477,5962.843760352477,997.8781070069119,59.49967361537165
Binding_donor1_row1358_cand000196,rosetta_sidechain,83544.99347924869,AB,MP,P,M,MP_AB,M_P,47440.98792006426,47440.98792006426,2769.2174190672963,14034.858776326832,14034.858776326832,1115.4613188076958,47440.98792006454
Binding_donor1_row1417_cand000379,rosetta_sidechain,1661.0547999316511,AB,MP,P,M,MP_AB,M_P,-0.17303023613681034,-0.17303023613681034,147.04715434423258,0.0,0.0,0.0,-0.17303023628778647
Binding_donor1_row1431_cand000119,rosetta_sidechain,179.38297405684722,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-0.045286116793732845,-0.045286116793732845,17.73918520843884,-2.1600499167107046e-12
Binding_donor1_row1415_cand000375,rosetta_sidechain,101448.5837783246,AB,MP,P,M,MP_AB,M_P,90606.09942656067,90606.09942656067,4310.728765501731,5682.977708903718,5682.977708903718,485.37033254265754,90606.0994265608
Binding_donor1_row1418_cand000179,rosetta_sidechain,2509.394924701837,AB,MP,P,M,MP_AB,M_P,-9.707563633108748,-9.707563633108748,753.1245277679876,-22.067369544917256,-22.067369544917256,1635.6611471364342,-9.707563632916845
Binding_donor1_row1433_cand000310,rosetta_sidechain,26193.66526866823,AB,MP,P,M,MP_AB,M_P,0.3966965774525306,0.3966965774525306,40.369132046816276,12088.958522725441,12088.958522725441,887.7041281615998,0.39669657729245955
Binding_donor1_row1445_cand000255,rosetta_sidechain,898.984211205549,AB,MP,P,M,MP_AB,M_P,0.8714362235716635,0.8714362235716635,110.52913395554569,0.0,0.0,0.0,0.8714362236892157
Binding_donor1_row1462_cand000027,rosetta_sidechain,1457.6286668423438,AB,MP,P,M,MP_AB,M_P,-1.3652137030196627,-1.3652137030196627,383.2121002034137,-20.270649401847095,-20.270649401847095,1461.4895283632206,-1.365213703089239
Binding_donor1_row1476_cand000516,rosetta_sidechain,2432.795450397034,AB,MP,P,M,MP_AB,M_P,8.870918478935891,8.870918478935891,124.25438767919134,57.293906733923336,57.293906733923336,375.2601551777793,8.870918479295597
Binding_donor1_row1491_cand000242,rosetta_sidechain,7598.134417400742,AB,MP,P,M,MP_AB,M_P,2919.010964737532,2919.010964737532,884.0559323608168,0.0,0.0,0.0,2919.010964737323
Binding_donor1_row1567_cand000420,rosetta_sidechain,11802.506812070971,AB,MP,P,M,MP_AB,M_P,10576.620783708502,10576.620783708502,801.3763346616817,0.0,0.0,0.0,10576.620783708391
Binding_donor1_row1477_cand000234,rosetta_sidechain,1154.0087453602807,AB,MP,P,M,MP_AB,M_P,0.006298744970081316,0.006298744970081316,0.0,0.0,0.0,0.0,0.006298744471450846
Binding_donor1_row1513_cand000219,rosetta_sidechain,920.3242290727335,AB,MP,P,M,MP_AB,M_P,-0.7253162792057992,-0.7253162792057992,105.28259665386177,-11.025547700598054,-11.025547700598054,1650.5205468361016,-0.7253162794723949
Binding_donor1_row1583_cand000461,rosetta_sidechain,2833.4980471316053,AB,MP,P,M,MP_AB,M_P,-2.773958840407431e-10,-2.773958840407431e-10,0.0,0.0,0.0,0.0,-1.318767317570746e-11
Binding_donor1_row1550_cand000009,rosetta_sidechain,68.69208196876443,AB,MP,P,M,MP_AB,M_P,-1.5207913971785416,-1.5207913971785416,293.89831209197564,-20.931335348094677,-20.931335348094677,1753.2281933098354,-1.520791396890104
Binding_donor1_row159_cand000322,rosetta_sidechain,10169.927021339547,AB,MP,P,M,MP_AB,M_P,6269.782917456809,6269.782917456809,623.4795704602193,0.0,0.0,0.0,6269.782917456896
Binding_donor1_row1590_cand000518,rosetta_sidechain,13332.329536875794,AB,MP,P,M,MP_AB,M_P,2390.8917724363546,2390.8917724363546,540.8081331449645,0.0,0.0,0.0,2390.8917724362054
Binding_donor1_row1601_cand000246,rosetta_sidechain,1925.5978495937327,AB,MP,P,M,MP_AB,M_P,-0.49646059507449536,-0.49646059507449536,286.1165560609581,0.0,0.0,0.0,-0.4964605949057841
Binding_donor1_row1622_cand000389,rosetta_sidechain,2291.688989211251,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,1.8189894035458565e-12
Binding_donor1_row160_cand000097,rosetta_sidechain,4715.00742743633,AB,MP,P,M,MP_AB,M_P,1855.1386670838192,1855.1386670838192,538.0066469849467,0.0,0.0,0.0,1855.1386670839515
Binding_donor1_row165_cand000221,rosetta_sidechain,1645.9949538387245,AB,MP,P,M,MP_AB,M_P,-0.3276068952825426,-0.3276068952825426,115.84560078259281,0.0,0.0,0.0,-0.3276068954642142
Binding_donor1_row1639_cand000213,rosetta_sidechain,6595.978820862656,AB,MP,P,M,MP_AB,M_P,66.08774767842806,66.08774767842806,305.7974161837311,3992.7615296885165,3992.7615296885165,516.4359365910952,66.0877476785272
