TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10127_cand000443,openmm,132.63189517503815,AB,MP,P,M,MP_AB,M_P,-37.21282995749934,-37.21282995749934,1824.6984100095278,-56.68543463852302,-56.68543463852302,1838.9695406670457,-37.21282995756911,-47636.841628108035 kJ/mol
Non-binding_donor1_row1001_cand000240,openmm,232.68903222569702,AB,MP,P,M,MP_AB,M_P,-37.96315330919222,-37.96315330919222,1860.9170094687609,-52.24279264170798,-52.24279264170798,1687.5313706353622,-37.96315330856879,-47711.64751240438 kJ/mol
Non-binding_donor1_row10282_cand000445,openmm,860.1453679016875,AB,MP,P,M,MP_AB,M_P,-47.015740925762884,-47.015740925762884,1890.9563521600066,-48.29736578094548,-48.29736578094548,1831.493938657885,-47.015740926218086,-39142.60015398709 kJ/mol
Non-binding_donor1_row10303_cand000332,openmm,292.40367242804183,AB,MP,P,M,MP_AB,M_P,-39.775467411905936,-39.775467411905936,2262.1609516895874,-54.62205545626398,-54.62205545626398,1952.240183512492,-39.775467411620355,-45969.46917685428 kJ/mol
Non-binding_donor1_row1061_cand000350,openmm,221.12370146684518,AB,MP,P,M,MP_AB,M_P,-43.60632068823526,-43.60632068823526,1838.6482604583382,-50.73036910093748,-50.73036910093748,1959.649036374038,-43.606320688318675,-46677.81373362758 kJ/mol
Non-binding_donor1_row10779_cand000225,openmm,249.51552567979724,AB,MP,P,M,MP_AB,M_P,-47.002773063637335,-47.002773063637335,2122.178890157428,-48.40444530234828,-48.40444530234828,1965.2540487900437,-47.0027730640287,-51956.94757652488 kJ/mol
Non-binding_donor1_row10833_cand000387,openmm,368.00459090025345,AB,MP,P,M,MP_AB,M_P,-39.76684573948097,-39.76684573948097,1967.9217884302261,-48.70165959838687,-48.70165959838687,1908.7460278044512,-39.76684573942316,-48207.22361931186 kJ/mol
Non-binding_donor1_row10840_cand000486,openmm,647.7746631531047,AB,MP,P,M,MP_AB,M_P,-51.37592004732926,-51.37592004732926,2257.5441989951946,-47.77510296127302,-47.77510296127302,1706.132787279381,-51.37592004709279,-49041.11594516881 kJ/mol
Non-binding_donor1_row10999_cand000091,openmm,109.81454652959995,AB,MP,P,M,MP_AB,M_P,-53.601138969817185,-53.601138969817185,2258.890763176711,-60.59520404123839,-60.59520404123839,1968.6460535276906,-53.60113897007814,-46479.20868519522 kJ/mol
Non-binding_donor1_row11056_cand000007,openmm,676.5767988410996,AB,MP,P,M,MP_AB,M_P,-50.762594796852454,-50.762594796852454,2261.558138237006,-53.28575276548415,-53.28575276548415,1994.5566841255131,-50.76259479683017,-38577.597218255396 kJ/mol
Non-binding_donor1_row11074_cand000029,openmm,478.99006287999373,AB,MP,P,M,MP_AB,M_P,-64.30135932537627,-64.30135932537627,2327.0707782547697,-56.781718232980275,-56.781718232980275,1782.2134114320088,-64.30135932526196,-44174.351814773814 kJ/mol
Non-binding_donor1_row110_cand000018,openmm,426.5615533714215,AB,MP,P,M,MP_AB,M_P,-36.3742071032969,-36.3742071032969,2125.5406114932975,-45.50736155634763,-45.50736155634763,1849.103217070843,-36.37420710306151,-48752.953105481676 kJ/mol
Non-binding_donor1_row11250_cand000037,openmm,13.275875725324454,AB,MP,P,M,MP_AB,M_P,-63.63501492002993,-63.63501492002993,2275.4492680527605,-50.25491077875205,-50.25491077875205,1842.9741792431996,-63.63501491940707,-55289.69733251938 kJ/mol
Non-binding_donor1_row11344_cand000167,openmm,365.9917675414523,AB,MP,P,M,MP_AB,M_P,326.3921977794998,326.3921977794998,1915.4294752867552,-45.17626337918209,-45.17626337918209,1823.1068326291054,326.392197779483,-47134.619882053805 kJ/mol
Non-binding_donor1_row11612_cand000119,openmm,388.4038111707393,AB,MP,P,M,MP_AB,M_P,-43.03083253452007,-43.03083253452007,1951.1511368443414,-45.43439715946465,-45.43439715946465,1941.0142102496266,-43.030832534574984,-43161.023949612005 kJ/mol
Non-binding_donor1_row11712_cand000122,openmm,-304.29921442578495,AB,MP,P,M,MP_AB,M_P,-48.70974099322086,-48.70974099322086,2079.4880202983636,-48.22309931463066,-48.22309931463066,1853.5005314576385,-48.709740993327216,-56036.75360476589 kJ/mol
Non-binding_donor1_row11814_cand000572,openmm,-285.3876862532521,AB,MP,P,M,MP_AB,M_P,-45.85943983237206,-45.85943983237206,1951.8561024787887,-53.137314841460714,-53.137314841460714,1756.5773560321106,-45.85943983199613,-55126.19744828637 kJ/mol
Non-binding_donor1_row11903_cand000064,openmm,170.01846757217817,AB,MP,P,M,MP_AB,M_P,-66.19827185779076,-66.19827185779076,2514.900715435561,-48.31905248271863,-48.31905248271863,1813.6182299168454,-66.19827185819764,-46260.36405783952 kJ/mol
Non-binding_donor1_row11919_cand000010,openmm,671.6278120117794,AB,MP,P,M,MP_AB,M_P,-38.93843028998913,-38.93843028998913,1847.5396657996985,-56.273613477402364,-56.273613477402364,1934.4422543999403,-38.93843028989147,-41288.261070775814 kJ/mol
Non-binding_donor1_row12032_cand000541,openmm,146.59255794717137,AB,MP,P,M,MP_AB,M_P,316.70740784530255,316.70740784530255,2317.3037916483067,-59.255331259501524,-59.255331259501524,2101.274577500064,316.7074078450677,-47371.695561384855 kJ/mol
Non-binding_donor1_row12246_cand000382,openmm,96.52125987523601,AB,MP,P,M,MP_AB,M_P,-37.952471649599815,-37.952471649599815,1911.0261414532952,-52.96680318155455,-52.96680318155455,1875.4710541195177,-37.952471649570896,-47445.30867565644 kJ/mol
Non-binding_donor1_row12302_cand000139,openmm,137.7712303351497,AB,MP,P,M,MP_AB,M_P,-42.556859824554806,-42.556859824554806,2011.6189918649338,-58.14178197796218,-58.14178197796218,1847.0535954815273,-42.55685982439428,-49265.244560805986 kJ/mol
Non-binding_donor1_row12336_cand000330,openmm,284.50410061836044,AB,MP,P,M,MP_AB,M_P,-47.70602380430074,-47.70602380430074,2231.542446696379,-55.131623342997955,-55.131623342997955,1870.8064328615058,-47.706023804182905,-48659.90840124303 kJ/mol
Non-binding_donor1_row12560_cand000501,openmm,148.39929845273443,AB,MP,P,M,MP_AB,M_P,-46.45888187737074,-46.45888187737074,1876.7855352708746,-57.123114740803146,-57.123114740803146,1915.26666321711,-46.45888187742426,-45941.496637576194 kJ/mol
Non-binding_donor1_row12582_cand000235,openmm,205.83805490075247,AB,MP,P,M,MP_AB,M_P,-52.424041871373845,-52.424041871373845,2242.4210528959848,-45.67926046090224,-45.67926046090224,1939.4043418186436,-52.42404187180449,-47431.84536449111 kJ/mol
Non-binding_donor1_row12605_cand000518,openmm,141.80599584401585,AB,MP,P,M,MP_AB,M_P,-28.722888914226274,-28.722888914226274,1743.0804922158704,-61.90906840307406,-61.90906840307406,1983.821326793893,-28.722888914196687,-47413.912378683424 kJ/mol
Non-binding_donor1_row12620_cand000549,openmm,-125.04197442262384,AB,MP,P,M,MP_AB,M_P,-46.5938080938254,-46.5938080938254,2210.238461397327,-58.693849949677556,-58.693849949677556,1753.9562205614648,-46.59380809364383,-57126.59214407896 kJ/mol
Non-binding_donor1_row12625_cand000054,openmm,-226.58467354990754,AB,MP,P,M,MP_AB,M_P,-47.26529724832986,-47.26529724832986,1967.35862885825,-48.52546592392811,-48.52546592392811,1823.1526533397346,-47.26529724822842,-56844.106762790274 kJ/mol
Non-binding_donor1_row12849_cand000292,openmm,293.61345926171185,AB,MP,P,M,MP_AB,M_P,-45.6487021437776,-45.6487021437776,2106.6415813052295,-65.79520517644528,-65.79520517644528,1938.237500007968,-45.64870214334013,-45563.5135002452 kJ/mol
Non-binding_donor1_row12870_cand000126,openmm,494.42304187276807,AB,MP,P,M,MP_AB,M_P,-35.80087116234199,-35.80087116234199,1875.3025096129081,256.10875542649273,256.10875542649273,1939.4276283893748,-35.800871162156,-42869.11729376082 kJ/mol
Non-binding_donor1_row12934_cand000312,openmm,14448.40833971719,AB,MP,P,M,MP_AB,M_P,6283.36008128085,6283.36008128085,1826.6416208136036,1232.5999519847055,1232.5999519847055,1741.3368617510152,6283.360081280902,4948061639.902399 kJ/mol
Non-binding_donor1_row13423_cand000470,openmm,-186.5983399400356,AB,MP,P,M,MP_AB,M_P,-36.59818137058713,-36.59818137058713,1799.880914028814,-56.42858890093888,-56.42858890093888,1997.6017949780528,-36.598181370483815,-49899.267570100084 kJ/mol
Non-binding_donor1_row13583_cand000329,openmm,3374.5955947770967,AB,MP,P,M,MP_AB,M_P,-32.82773904676014,-32.82773904676014,1871.3883876902726,-11.138797998152768,-11.138797998152768,1270.862549794241,-32.82773904675241,-22333.08445620156 kJ/mol
Non-binding_donor1_row13627_cand000143,openmm,301.9095251377551,AB,MP,P,M,MP_AB,M_P,-46.90417294713359,-46.90417294713359,2025.7273647519398,-60.157408622601224,-60.157408622601224,1925.3492363804091,-46.90417294698335,-41843.742204468945 kJ/mol
Non-binding_donor1_row13693_cand000564,openmm,89.18618154567726,AB,MP,P,M,MP_AB,M_P,-41.69130320222199,-41.69130320222199,1798.8215922570805,-56.14330413515984,-56.14330413515984,1948.1869549699625,-41.69130320188536,-43902.18137317426 kJ/mol
Non-binding_donor1_row13966_cand000310,openmm,-2.3646842451097427,AB,MP,P,M,MP_AB,M_P,-27.80030767126739,-27.80030767126739,1920.0774344681747,-48.59423452988581,-48.59423452988581,1908.7444531296148,-27.800307671539287,-51777.21158465756 kJ/mol
Non-binding_donor1_row14000_cand000016,openmm,289.48415006576636,AB,MP,P,M,MP_AB,M_P,-29.43710181051216,-29.43710181051216,1467.0193830231265,-51.286466248908255,-51.286466248908255,1834.4396665843067,-29.437101810493118,-45891.72235796348 kJ/mol
Non-binding_donor1_row14022_cand000482,openmm,170.21873955025222,AB,MP,P,M,MP_AB,M_P,-39.20373934952488,-39.20373934952488,2155.1872938879415,-52.78092965827079,-52.78092965827079,1654.304397383368,-39.203739349753874,-45404.38763446501 kJ/mol
Non-binding_donor1_row14024_cand000370,openmm,384.77710888551735,AB,MP,P,M,MP_AB,M_P,-34.896470825467304,-34.896470825467304,1778.0373504952338,-47.70125298614221,-47.70125298614221,1799.1554543504392,-34.8964708257725,-47990.36406611494 kJ/mol
Non-binding_donor1_row14207_cand000026,openmm,-137.74954032631754,AB,MP,P,M,MP_AB,M_P,-29.984011570230805,-29.984011570230805,1446.6783928351354,-50.155311627500225,-50.155311627500225,1837.0389893178112,-29.984011570340797,-52479.718515004104 kJ/mol
Non-binding_donor1_row14317_cand000418,openmm,148.06454569188256,AB,MP,P,M,MP_AB,M_P,-32.389913437712494,-32.389913437712494,1758.9360017402737,-56.55151134342253,-56.55151134342253,1880.3508085396406,-32.38991343818057,-45127.406258897994 kJ/mol
Non-binding_donor1_row14423_cand000002,openmm,27185.047904119787,AB,MP,P,M,MP_AB,M_P,13372.357948462679,13372.357948462679,1627.2131795373834,1524.1258944165374,1524.1258944165374,1762.276872209347,13372.357948462599,1.8675032993414484e+21 kJ/mol
Non-binding_donor1_row14486_cand000539,openmm,461.65907085643073,AB,MP,P,M,MP_AB,M_P,-31.666946928764048,-31.666946928764048,1771.681900800003,-59.84541176350086,-59.84541176350086,1823.8822242381245,-31.66694692865235,-43768.19987541093 kJ/mol
