TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10214_cand000323,openmm,-300.1021233228047,AB,MP,P,M,MP_AB,M_P,-43.129747940453115,-43.129747940453115,1765.9852702337953,-68.3917000835252,-68.3917000835252,1860.3489552178594,-43.12974794010819,-55391.02562971318 kJ/mol
Non-binding_donor1_row10079_cand000117,openmm,-287.25232115198537,AB,MP,P,M,MP_AB,M_P,-27.939903533224367,-27.939903533224367,1985.7819676194324,-57.21289753296428,-57.21289753296428,1891.208827611091,-27.939903533656206,-54421.48356160084 kJ/mol
Non-binding_donor1_row10285_cand000195,openmm,256.2549738938623,AB,MP,P,M,MP_AB,M_P,436.0115337211267,436.0115337211267,2118.0471062845213,-61.771437626535544,-61.771437626535544,1916.1901440739068,436.011533720381,-41506.67477866833 kJ/mol
Non-binding_donor1_row10351_cand000179,openmm,-380.9401456542636,AB,MP,P,M,MP_AB,M_P,-64.2556867351712,-64.2556867351712,2403.8757916171644,-69.16473592308884,-69.16473592308884,1767.018218141277,-64.2556867350977,-55852.18982095562 kJ/mol
Non-binding_donor1_row1046_cand000125,openmm,-165.27444802428744,AB,MP,P,M,MP_AB,M_P,-35.13922152602683,-35.13922152602683,1941.7274836513127,-62.74420651862141,-62.74420651862141,1871.3838575912355,-35.139221526041126,-54072.41248495836 kJ/mol
Non-binding_donor1_row10545_cand000552,openmm,-210.03167004570238,AB,MP,P,M,MP_AB,M_P,-48.703865242497756,-48.703865242497756,1910.7053421797589,-64.39898438959126,-64.39898438959126,1889.5881769238401,-48.703865242075295,-53358.12152957589 kJ/mol
Non-binding_donor1_row10575_cand000004,openmm,-275.3971495398576,AB,MP,P,M,MP_AB,M_P,-41.059080499704834,-41.059080499704834,1843.1911197907125,-66.58465444794808,-66.58465444794808,1941.1424648000818,-41.05908049910687,-57663.227947872365 kJ/mol
Non-binding_donor1_row10597_cand000354,openmm,-230.78460223636375,AB,MP,P,M,MP_AB,M_P,-45.948373137449636,-45.948373137449636,1981.4355160055493,-64.00615846781537,-64.00615846781537,1900.0134319109852,-45.94837313726967,-56683.797581665356 kJ/mol
Non-binding_donor1_row1061_cand000048,openmm,-217.35513158039265,AB,MP,P,M,MP_AB,M_P,-38.43093456212671,-38.43093456212671,1687.4911117072825,-65.2342787093369,-65.2342787093369,1955.3597152043365,-38.43093456212492,-54035.622986471535 kJ/mol
Non-binding_donor1_row10712_cand000545,openmm,467.11818023205217,AB,MP,P,M,MP_AB,M_P,191.5018525414597,191.5018525414597,2587.6558280165345,-59.631377910466945,-59.631377910466945,1885.122942079576,191.50185254127547,-46829.912954151136 kJ/mol
Non-binding_donor1_row10717_cand000489,openmm,447.7125334598475,AB,MP,P,M,MP_AB,M_P,-46.798820369770226,-46.798820369770226,2361.5477951021385,-69.13514643247477,-69.13514643247477,1824.8606170316984,-46.798820370567284,-42719.88165870865 kJ/mol
Non-binding_donor1_row10752_cand000324,openmm,899.0612235305986,AB,MP,P,M,MP_AB,M_P,386.13291414618914,386.13291414618914,2077.637661010494,-60.89051314950559,-60.89051314950559,1890.7597272449868,386.1329141460186,-37620.54930230393 kJ/mol
Non-binding_donor1_row10891_cand000370,openmm,364.31780283751664,AB,MP,P,M,MP_AB,M_P,-47.441788136274795,-47.441788136274795,2092.221911492839,-62.09154931037597,-62.09154931037597,1818.8586391735998,-47.44178813644538,-48219.74832600601 kJ/mol
Non-binding_donor1_row10902_cand000478,openmm,3617.0108676857717,AB,MP,P,M,MP_AB,M_P,-29.33843190090556,-29.33843190090556,1424.5163028345569,-24.660865185671355,-24.660865185671355,1360.1433783323826,-29.338431900559954,-19266.581094136844 kJ/mol
