TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Binding_donor1_row1_cand000009,openmm,-179.3446692552236,AB,MP,P,M,MP_AB,M_P,-25.148780731306545,-25.148780731306545,1905.2485198527759,-42.677343984850566,-42.677343984850566,1733.690744952444,-25.14878073148884,-56331.60814321823 kJ/mol
Binding_donor1_row0_cand000012,openmm,-211.63681163697476,AB,MP,P,M,MP_AB,M_P,-22.41087084489672,-22.41087084489672,1524.637681637592,-54.86434276330871,-54.86434276330871,1748.721466171487,-22.41087084464405,-53812.166863801795 kJ/mol
Binding_donor1_row2_cand000006,openmm,-342.58258558477917,AB,MP,P,M,MP_AB,M_P,-32.19497607110253,-32.19497607110253,1601.6640415342335,-67.47181572394605,-67.47181572394605,1816.6769776086073,-32.19497607067626,-56457.865191694436 kJ/mol
Binding_donor1_row3_cand000001,openmm,-403.5818512104138,AB,MP,P,M,MP_AB,M_P,-40.62835689729877,-40.62835689729877,1872.9218494851123,-62.758880885183885,-62.758880885183885,1692.482986078554,-40.628356897277854,-54514.68656086763 kJ/mol
Binding_donor1_row4_cand000003,openmm,-298.1646546838184,AB,MP,P,M,MP_AB,M_P,-40.87828533933691,-40.87828533933691,1929.886782154838,-59.58026117000799,-59.58026117000799,1716.206160618267,-40.87828533910886,-53137.237895649145 kJ/mol
Binding_donor1_row5_cand000005,openmm,-222.8711400466059,AB,MP,P,M,MP_AB,M_P,-42.08504078142494,-42.08504078142494,1979.5324788023447,-61.46642445639523,-61.46642445639523,1770.792659424621,-42.08504078188409,-52947.233575059916 kJ/mol
Binding_donor1_row6_cand000002,openmm,-217.29575277794902,AB,MP,P,M,MP_AB,M_P,-35.26329795169863,-35.26329795169863,1508.4038623015451,-67.54648476157638,-67.54648476157638,1660.13414615088,-35.26329795173646,-54920.52452052652 kJ/mol
Binding_donor1_row9_cand000007,openmm,-305.86329014300316,AB,MP,P,M,MP_AB,M_P,-49.942144145358526,-49.942144145358526,2217.780835825159,-54.544045168865864,-54.544045168865864,1690.8601479119739,-49.942144145535394,-49730.932956427365 kJ/mol
Binding_donor2_row10_cand000011,openmm,-249.40810459901803,AB,MP,P,M,MP_AB,M_P,-39.631363465057234,-39.631363465057234,1874.7919581430958,-63.97408694136506,-63.97408694136506,1734.3524186644217,-39.63136346487477,-53157.090675997 kJ/mol
Binding_donor3_row11_cand000008,openmm,2277.426023985947,AB,MP,P,M,MP_AB,M_P,-21.2601535879553,-21.2601535879553,1410.4232190317991,-30.292642016732316,-30.292642016732316,1382.5381401147988,-21.260153587776585,-45055.99268449796 kJ/mol
