TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row1001_cand000507,openmm,-313.10922019575924,AB,MP,P,M,MP_AB,M_P,-22.912842973876764,-22.912842973876764,1552.3221019897446,-55.52476496633331,-55.52476496633331,1739.2046589385143,-22.912842973423267,-54896.90210879426 kJ/mol
Non-binding_donor1_row10081_cand000598,openmm,-181.69963613026806,AB,MP,P,M,MP_AB,M_P,-35.10142127354695,-35.10142127354695,1832.809707474378,-50.68271757866441,-50.68271757866441,1720.3942139062578,-35.10142127376545,-56810.627795945125 kJ/mol
Non-binding_donor1_row1046_cand000007,openmm,30.432111108123053,AB,MP,P,M,MP_AB,M_P,305.4057405364515,305.4057405364515,1884.4743156733837,-58.21467727916783,-58.21467727916783,1733.9359675908588,305.40574053625994,-38919.71208242477 kJ/mol
Non-binding_donor1_row10289_cand000522,openmm,-157.95656697229376,AB,MP,P,M,MP_AB,M_P,-39.25454946661398,-39.25454946661398,1896.040217018386,-37.66659806320267,-37.66659806320267,1711.270268652381,-39.254549466582674,-55435.500646953 kJ/mol
Non-binding_donor1_row1050_cand000587,openmm,-341.6645072378777,AB,MP,P,M,MP_AB,M_P,-36.47909262641559,-36.47909262641559,1701.1379962690044,-43.913078661715105,-43.913078661715105,1697.3492898279078,-36.47909262663836,-55615.511613475384 kJ/mol
Non-binding_donor1_row10550_cand000353,openmm,-239.33452135860068,AB,MP,P,M,MP_AB,M_P,-37.97354422285309,-37.97354422285309,1736.9955607976804,-55.42714234315832,-55.42714234315832,1770.9384991369177,-37.973544223088936,-53229.007481950124 kJ/mol
Non-binding_donor1_row10555_cand000359,openmm,323.9147633400112,AB,MP,P,M,MP_AB,M_P,-18.748380398979293,-18.748380398979293,1588.758184987815,-50.615399836617925,-50.615399836617925,1763.9404502391778,-18.748380399442567,-41411.36776250437 kJ/mol
Non-binding_donor1_row10556_cand000282,openmm,-270.05221539370723,AB,MP,P,M,MP_AB,M_P,-46.544301404007854,-46.544301404007854,2055.926408948253,-47.346138579446354,-47.346138579446354,1725.500535334346,-46.54430140386725,-53716.6119693672 kJ/mol
Non-binding_donor1_row10611_cand000369,openmm,-300.710264511543,AB,MP,P,M,MP_AB,M_P,-40.932559003948654,-40.932559003948654,1965.976545287199,-45.65309778759544,-45.65309778759544,1707.1637959321383,-40.932559004012376,-56658.94265640097 kJ/mol
Non-binding_donor1_row10602_cand000182,openmm,487.04399320793533,AB,MP,P,M,MP_AB,M_P,-40.63938368935567,-40.63938368935567,1982.1760475716417,-46.5383738281992,-46.5383738281992,1723.9629700765097,-40.63938368920907,-47910.93703266629 kJ/mol
Non-binding_donor1_row10800_cand000152,openmm,308.1329825710898,AB,MP,P,M,MP_AB,M_P,-35.30487500496167,-35.30487500496167,1753.5166845996616,-49.347839814113556,-49.347839814113556,1744.3028044686844,-35.304875004899884,-42310.85503071365 kJ/mol
Non-binding_donor1_row10783_cand000307,openmm,775.7319475794437,AB,MP,P,M,MP_AB,M_P,-30.417502276050186,-30.417502276050186,1799.2520292357167,-49.90907106963103,-49.90907106963103,1762.8275119528228,-30.417502276220034,-39893.14854767353 kJ/mol
Non-binding_donor1_row10878_cand000525,openmm,-203.44310268790764,AB,MP,P,M,MP_AB,M_P,-23.58402034328185,-23.58402034328185,1706.8128839112412,-51.24879489343684,-51.24879489343684,1775.3977378055745,-23.5840203429824,-52711.02256777755 kJ/mol
Non-binding_donor1_row10978_cand000478,openmm,-37.13151274363028,AB,MP,P,M,MP_AB,M_P,-52.70335597370224,-52.70335597370224,2031.6770835737243,-58.55302362657319,-58.55302362657319,1731.3311451309555,-52.70335597365751,-52010.47296244244 kJ/mol
Non-binding_donor1_row11048_cand000319,openmm,513.4421553634751,AB,MP,P,M,MP_AB,M_P,-35.03306732127567,-35.03306732127567,1932.9545900446722,-41.4228907926796,-41.4228907926796,1742.005648649323,-35.03306732131614,-42924.8433455276 kJ/mol
Non-binding_donor1_row110_cand000198,openmm,-103.06288055265524,AB,MP,P,M,MP_AB,M_P,-45.03558968975649,-45.03558968975649,2162.712052125857,-42.70205975639026,-42.70205975639026,1772.4001619648402,-45.03558968962542,-56900.40019994795 kJ/mol
Non-binding_donor1_row11126_cand000577,openmm,-327.11848210855874,AB,MP,P,M,MP_AB,M_P,-32.3643689962376,-32.3643689962376,2125.2019400482227,-52.18172341073331,-52.18172341073331,1809.9393938914163,-32.3643689961213,-53919.45705029995 kJ/mol
Non-binding_donor1_row11263_cand000110,openmm,-150.57288164450696,AB,MP,P,M,MP_AB,M_P,-38.19373464851327,-38.19373464851327,1883.4665160211684,-52.215983296284485,-52.215983296284485,1800.6926007292557,-38.193734648549054,-53614.53434335036 kJ/mol
Non-binding_donor1_row11293_cand000138,openmm,-204.31114118537852,AB,MP,P,M,MP_AB,M_P,-34.267599625531886,-34.267599625531886,1991.9279157482727,-45.646155855644494,-45.646155855644494,1747.6602749581987,-34.2675996256319,-52535.515385205355 kJ/mol
Non-binding_donor1_row11340_cand000100,openmm,-189.64748300658775,AB,MP,P,M,MP_AB,M_P,-36.53843464041216,-36.53843464041216,1927.6846343029363,-51.193309033675106,-51.193309033675106,1757.9598739962187,-36.538434640418274,-50664.46250062909 kJ/mol
Non-binding_donor1_row11436_cand000515,openmm,-258.9594825619113,AB,MP,P,M,MP_AB,M_P,-44.06351690981279,-44.06351690981279,1918.6185641670559,-50.154813409545696,-50.154813409545696,1772.3371206722582,-44.06351690985747,-52791.30556089119 kJ/mol
Non-binding_donor1_row11491_cand000286,openmm,-238.52094755677342,AB,MP,P,M,MP_AB,M_P,-36.10143559538801,-36.10143559538801,1751.0067072098216,-54.2762315773498,-54.2762315773498,1837.3167759215585,-36.10143559556326,-54774.12428126804 kJ/mol
Non-binding_donor1_row11541_cand000202,openmm,-96.61349648396099,AB,MP,P,M,MP_AB,M_P,-31.319833811760674,-31.319833811760674,1752.0044615225634,-51.85231949703993,-51.85231949703993,1762.8257045674197,-31.319833811631426,-55644.03937492909 kJ/mol
Non-binding_donor1_row11664_cand000147,openmm,-287.4725006176776,AB,MP,P,M,MP_AB,M_P,-33.22977304494154,-33.22977304494154,1616.9889787230488,-49.09731713952429,-49.09731713952429,1736.5567539956533,-33.22977304497829,-56084.19693324518 kJ/mol
Non-binding_donor1_row1169_cand000347,openmm,-150.1326702429752,AB,MP,P,M,MP_AB,M_P,-23.87711299422749,-23.87711299422749,1539.6246610270703,-39.686095292368506,-39.686095292368506,1731.4778458723497,-23.877112994513467,-49651.47007873805 kJ/mol
Non-binding_donor1_row12000_cand000526,openmm,-75.39831510277205,AB,MP,P,M,MP_AB,M_P,-40.99168550600566,-40.99168550600566,2067.831842767429,-48.940011062457444,-48.940011062457444,1666.7829818148614,-40.99168550597405,-51821.561861755225 kJ/mol
Non-binding_donor1_row12071_cand000043,openmm,-349.16385744512627,AB,MP,P,M,MP_AB,M_P,-35.77694570164164,-35.77694570164164,1797.0867427376168,-53.86718340552166,-53.86718340552166,1763.9744570100254,-35.77694570128756,-52506.17515289508 kJ/mol
Non-binding_donor1_row12425_cand000325,openmm,-21.99871396071927,AB,MP,P,M,MP_AB,M_P,270.0211048331428,270.0211048331428,1692.7023700870197,-51.56179099706253,-51.56179099706253,1742.6946425818592,270.02110483284264,-46594.27708148711 kJ/mol
Non-binding_donor1_row12490_cand000167,openmm,-238.79263812566012,AB,MP,P,M,MP_AB,M_P,-36.98869151803575,-36.98869151803575,1922.9124542208883,-49.12783476017583,-49.12783476017583,1739.783216193003,-36.98869151802651,-52019.96009660992 kJ/mol
Non-binding_donor1_row12567_cand000387,openmm,-204.9552474548402,AB,MP,P,M,MP_AB,M_P,-25.238645036300767,-25.238645036300767,1284.6995123470333,-58.942941509253544,-58.942941509253544,1702.4955599033194,-25.23864503642841,-55717.49523835149 kJ/mol
Non-binding_donor1_row12617_cand000048,openmm,-239.37142725712994,AB,MP,P,M,MP_AB,M_P,-32.675006265819604,-32.675006265819604,1583.5780012257817,-51.217581872139945,-51.217581872139945,1821.948523539217,-32.67500626619673,-54139.880245485976 kJ/mol
Non-binding_donor1_row12654_cand000312,openmm,-253.84334441645376,AB,MP,P,M,MP_AB,M_P,-39.79877372833266,-39.79877372833266,1780.6699818678849,-53.035463662192385,-53.035463662192385,1724.6610009360613,-39.7987737283357,-54127.60173149949 kJ/mol
Non-binding_donor1_row12708_cand000135,openmm,-304.38751995657003,AB,MP,P,M,MP_AB,M_P,-28.737580011131172,-28.737580011131172,1591.990899342396,-57.61284391512837,-57.61284391512837,1799.4438835841145,-28.73758001116323,-53708.26942691309 kJ/mol
