TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10354_cand00497,openmm,-293.96707431802844,AB,MP,P,M,MP_AB,M_P,-55.24265102911289,-55.24265102911289,1745.984239156018,-60.241562944617755,-60.241562944617755,1789.9870148361651,-55.24265102910476,-55534.11498603897 kJ/mol
Non-binding_donor1_row10288_cand00570,openmm,-288.4713472199305,AB,MP,P,M,MP_AB,M_P,-66.06694702334767,-66.06694702334767,2222.8266990479588,-38.6890005423828,-38.6890005423828,1787.539434906338,-66.0669470232271,-60145.69754343269 kJ/mol
Non-binding_donor1_row10363_cand00287,openmm,-177.7658757255939,AB,MP,P,M,MP_AB,M_P,-48.59299403332366,-48.59299403332366,2279.1757089031657,-51.07113546957818,-51.07113546957818,1706.6135207685504,-48.59299403308631,-55318.87799450129 kJ/mol
Non-binding_donor1_row10586_cand00511,openmm,-289.3478919694747,AB,MP,P,M,MP_AB,M_P,-50.80923886416457,-50.80923886416457,2129.63682167754,-51.13940619783038,-51.13940619783038,1699.03474265103,-50.80923886382081,-55782.366980976716 kJ/mol
Non-binding_donor1_row11167_cand00150,openmm,335.7465200193009,AB,MP,P,M,MP_AB,M_P,230.100575352318,230.100575352318,2484.124099126158,-47.71837241182692,-47.71837241182692,1667.7128622122486,230.1005753525454,-48695.17774756363 kJ/mol
Non-binding_donor1_row11375_cand00041,openmm,-202.7962969515917,AB,MP,P,M,MP_AB,M_P,-56.31798116223152,-56.31798116223152,2240.4411979346355,-50.16291071786751,-50.16291071786751,1775.88117073732,-56.31798116236067,-53390.70131999359 kJ/mol
Non-binding_donor1_row11665_cand00184,openmm,-350.38889164897773,AB,MP,P,M,MP_AB,M_P,-38.53572581677838,-38.53572581677838,1884.0124162260981,-50.21719063624041,-50.21719063624041,1766.420935443169,-38.535725816953175,-56660.55638654105 kJ/mol
Non-binding_donor1_row11675_cand00481,openmm,-275.71335649789233,AB,MP,P,M,MP_AB,M_P,-48.16791977002882,-48.16791977002882,2088.9970782694572,-59.10709178116869,-59.10709178116869,1650.1382111316498,-48.16791976967886,-53452.807572664344 kJ/mol
Non-binding_donor1_row12130_cand00436,openmm,-225.950936148728,AB,MP,P,M,MP_AB,M_P,-47.94186502270688,-47.94186502270688,2040.4329505238836,-44.453832484829334,-44.453832484829334,1799.87678729476,-47.941865022852,-54790.38065401628 kJ/mol
Non-binding_donor1_row12168_cand00477,openmm,-279.30892480269887,AB,MP,P,M,MP_AB,M_P,-54.14925592724103,-54.14925592724103,2248.703912408369,-49.3403455293265,-49.3403455293265,1645.8818185071702,-54.14925592742546,-53672.543068209285 kJ/mol
Non-binding_donor1_row12171_cand00401,openmm,-237.43304549634382,AB,MP,P,M,MP_AB,M_P,-55.78111182530938,-55.78111182530938,2204.3855967135,-55.673106791893666,-55.673106791893666,1638.5801909178476,-55.78111182523301,-54149.005481005865 kJ/mol
Non-binding_donor1_row12944_cand00277,openmm,-399.6413919583012,AB,MP,P,M,MP_AB,M_P,-49.471936845208575,-49.471936845208575,2178.6341401434593,-62.472964144986534,-62.472964144986534,1788.3813274383679,-49.4719368455813,-54121.41042914842 kJ/mol
Non-binding_donor1_row13230_cand00565,openmm,-114.65494130138828,AB,MP,P,M,MP_AB,M_P,-34.33773193866442,-34.33773193866442,2049.5530095112917,-40.402500494522215,-40.402500494522215,1671.9656012808282,-34.33773193823366,-54028.77350478075 kJ/mol
Non-binding_donor1_row13370_cand00472,openmm,-257.8863193875802,AB,MP,P,M,MP_AB,M_P,-34.97756817189088,-34.97756817189088,1863.4731799061374,-48.12197338511966,-48.12197338511966,1711.6363766732986,-34.97756817163918,-55853.39562105225 kJ/mol
Non-binding_donor1_row13814_cand00555,openmm,-149.79989788762157,AB,MP,P,M,MP_AB,M_P,-34.97048741215505,-34.97048741215505,1796.617233654792,-55.955122269590476,-55.955122269590476,1798.7106591298234,-34.97048741226172,-54319.42234342001 kJ/mol
Non-binding_donor1_row14242_cand00441,openmm,-292.31796722490407,AB,MP,P,M,MP_AB,M_P,-36.5116917792065,-36.5116917792065,1627.6738378616444,-50.277302499029545,-50.277302499029545,1742.6195934240232,-36.51169177889045,-54485.63917374451 kJ/mol
Non-binding_donor1_row14440_cand00152,openmm,-267.47713703908454,AB,MP,P,M,MP_AB,M_P,-30.929317360150094,-30.929317360150094,1747.6607558933702,-56.645371280973485,-56.645371280973485,1836.9401493830155,-30.929317360180193,-55624.1749199731 kJ/mol
Non-binding_donor1_row14452_cand00188,openmm,-37.402308262294014,AB,MP,P,M,MP_AB,M_P,-27.356009737222646,-27.356009737222646,1642.935881141238,-55.35364805424996,-55.35364805424996,1735.8102184969334,-27.356009736737633,-48716.559316983214 kJ/mol
Non-binding_donor1_row14457_cand00273,openmm,-55.306275282750136,AB,MP,P,M,MP_AB,M_P,-26.030538649423693,-26.030538649423693,1692.3528853576006,-52.75218586794959,-52.75218586794959,1722.9857641068274,-26.030538649576414,-49000.9240381914 kJ/mol
Non-binding_donor1_row14551_cand00564,openmm,-4.359172474736539,AB,MP,P,M,MP_AB,M_P,-38.53408706124566,-38.53408706124566,1810.2082211383363,-43.48572912532907,-43.48572912532907,1771.1693868044094,-38.53408706130196,-49105.777904058836 kJ/mol
Non-binding_donor1_row14569_cand00269,openmm,-83.85850242126646,AB,MP,P,M,MP_AB,M_P,-25.563971399995097,-25.563971399995097,1555.8653685958973,-51.378910658930536,-51.378910658930536,1734.331637610795,-25.563971400347583,-49535.58785422056 kJ/mol
Non-binding_donor1_row14572_cand00087,openmm,-64.57019726780241,AB,MP,P,M,MP_AB,M_P,-17.266743249677894,-17.266743249677894,1488.6892436325286,-54.03911742674279,-54.03911742674279,1766.6369916905278,-17.26674324897384,-49572.87124373724 kJ/mol
Non-binding_donor1_row14594_cand00461,openmm,210.14192866213557,AB,MP,P,M,MP_AB,M_P,278.50887293251276,278.50887293251276,1642.5844726711318,-54.43261695634699,-54.43261695634699,1747.9162720958618,278.5088729323413,-41023.182124636856 kJ/mol
Non-binding_donor1_row1555_cand00089,openmm,-260.4363437770585,AB,MP,P,M,MP_AB,M_P,-39.83203727970988,-39.83203727970988,1803.1680050858688,-54.47283979222527,-54.47283979222527,1673.5146624406716,-39.8320372796162,-54719.46931481616 kJ/mol
Non-binding_donor1_row16174_cand00539,openmm,-268.9044288695439,AB,MP,P,M,MP_AB,M_P,-38.569965517627594,-38.569965517627594,2052.1620983315897,-54.65673956125644,-54.65673956125644,1682.2966472734597,-38.56996551785829,-53580.2562808378 kJ/mol
Non-binding_donor1_row16567_cand00327,openmm,-292.3574247032441,AB,MP,P,M,MP_AB,M_P,-56.630752902301595,-56.630752902301595,2171.404373577205,-58.19282290255451,-58.19282290255451,1746.5619586524656,-56.63075290235,-55502.11696256037 kJ/mol
Non-binding_donor1_row1667_cand00275,openmm,-358.5131753797728,AB,MP,P,M,MP_AB,M_P,-29.81506951601392,-29.81506951601392,1922.1539729130657,-60.591629735568574,-60.591629735568574,1774.286265595791,-29.815069515670586,-56982.38515496801 kJ/mol
Non-binding_donor1_row16681_cand00524,openmm,-375.03342836201864,AB,MP,P,M,MP_AB,M_P,-42.66687275413341,-42.66687275413341,1947.4887612130144,-60.805738715203724,-60.805738715203724,1812.925908223202,-42.6668727544195,-54460.89569689965 kJ/mol
