TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10466_cand000356,none,34108.530544296824,AB,MP,P,M,MP_AB,M_P,10227.454484648937,10227.454484648937,1596.5036459274088,561.6487585062459,561.6487585062459,1719.870095410394,10227.454484649028
Non-binding_donor1_row10018_cand000128,none,26179.809299502143,AB,MP,P,M,MP_AB,M_P,6118.62036662046,6118.62036662046,1829.3221750490052,305.2247233610615,305.2247233610615,1694.8951862451877,6118.620366620427
Non-binding_donor1_row10210_cand000233,none,21880.06104659301,AB,MP,P,M,MP_AB,M_P,6000.017441883383,6000.017441883383,1489.3201607645776,241.01757732926762,241.01757732926762,1776.2505211921361,6000.0174418838615
Non-binding_donor1_row10876_cand000532,none,25530.950368594134,AB,MP,P,M,MP_AB,M_P,12307.999810971582,12307.999810971582,1386.2273395174764,235.43883520411146,235.43883520411146,1753.4102040012522,12307.999810971814
Non-binding_donor1_row11121_cand000340,none,20323.11074416301,AB,MP,P,M,MP_AB,M_P,5396.172635714309,5396.172635714309,1734.0175248875498,-0.9928813991118659,-0.9928813991118659,1712.1528079634354,5396.172635714631
Non-binding_donor1_row11736_cand000161,none,46911.08634475567,AB,MP,P,M,MP_AB,M_P,23437.022836747958,23437.022836747958,1511.2732689190323,384.1959764489211,384.1959764489211,1747.0367735362165,23437.02283674782
Non-binding_donor1_row11314_cand000535,none,16935.794768455362,AB,MP,P,M,MP_AB,M_P,4592.970239912938,4592.970239912938,1628.0167679100953,37.49495221516463,37.49495221516463,1761.7795154286791,4592.970239913107
Non-binding_donor1_row10885_cand000309,none,18252.461919159017,AB,MP,P,M,MP_AB,M_P,5784.936130006594,5784.936130006594,1819.6637013799036,22.468951913944693,22.468951913944693,1749.2221507132608,5784.936130006186
Non-binding_donor1_row11954_cand000034,none,22133.292288473844,AB,MP,P,M,MP_AB,M_P,8152.519586449662,8152.519586449662,1779.9411013441768,221.66050321463126,221.66050321463126,1786.0076641416176,8152.519586449715
Non-binding_donor1_row12267_cand000236,none,11461.94796533238,AB,MP,P,M,MP_AB,M_P,2114.159519635774,2114.159519635774,1503.7069408168425,257.2066485808282,257.2066485808282,1709.73582947316,2114.159519635832
Non-binding_donor1_row12087_cand000439,none,17878.216074361506,AB,MP,P,M,MP_AB,M_P,8002.639895628752,8002.639895628752,1786.3419373569786,320.8686627801085,320.8686627801085,1735.3171203196407,8002.639895628683
Non-binding_donor1_row12048_cand000575,none,11612.503164233769,AB,MP,P,M,MP_AB,M_P,3464.900458763691,3464.900458763691,1836.1087908826491,239.6577530627428,239.6577530627428,1752.5096141072231,3464.900458763812
Non-binding_donor1_row12278_cand000454,none,16933.92264739178,AB,MP,P,M,MP_AB,M_P,7231.452670909663,7231.452670909663,1521.1310902167863,276.42910113282414,276.42910113282414,1755.6702657562446,7231.452670909743
Non-binding_donor1_row12761_cand000534,none,15043.4626379317,AB,MP,P,M,MP_AB,M_P,1800.68073271703,1800.68073271703,1405.4342845706904,467.2164342270821,467.2164342270821,1728.443044097925,1800.6807327169154
Non-binding_donor1_row12801_cand000558,none,12445.638999837935,AB,MP,P,M,MP_AB,M_P,4033.1377840195964,4033.1377840195964,1723.7302439955395,229.62417404962935,229.62417404962935,1766.3695994921034,4033.1377840190307
Non-binding_donor1_row12804_cand000425,none,13363.383580884045,AB,MP,P,M,MP_AB,M_P,3984.6480280859887,3984.6480280859887,1667.4227884905672,244.55644804855274,244.55644804855274,1785.204013712754,3984.648028085856
Non-binding_donor1_row13622_cand000274,none,10646.430865503224,AB,MP,P,M,MP_AB,M_P,4023.5516642170924,4023.5516642170924,1786.2779962502045,255.43997111703902,255.43997111703902,1691.315019500138,4023.5516642170696
Non-binding_donor1_row13933_cand000571,none,21865.50900435131,AB,MP,P,M,MP_AB,M_P,8480.95041220755,8480.95041220755,1645.45667957244,271.0927570716249,271.0927570716249,1788.1561722078416,8480.950412207225
Non-binding_donor1_row14545_cand000436,none,18958.668643787845,AB,MP,P,M,MP_AB,M_P,7333.083301818391,7333.083301818391,1657.4188094427404,103.06242843658856,103.06242843658856,1751.9606653938667,7333.0833018183985
Non-binding_donor1_row14996_cand000351,none,15849.503879144555,AB,MP,P,M,MP_AB,M_P,3373.2572226870598,3373.2572226870598,1314.2549799564558,239.1182709906193,239.1182709906193,1783.6575433972225,3373.2572226868706
Non-binding_donor1_row15202_cand000201,none,20037.11552932196,AB,MP,P,M,MP_AB,M_P,6992.12766374041,6992.12766374041,1614.2312731776908,205.84860999969987,205.84860999969987,1712.7669621776463,6992.127663740557
