TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Binding_donor1_row0_cand000009,openmm,-197.450315767297,AB,MP,P,M,MP_AB,M_P,-31.269173395758145,-31.269173395758145,1935.1742067031323,-62.081734641041486,-62.081734641041486,1955.6974325360877,-31.26917339576181,-57711.94949745393 kJ/mol
Binding_donor1_row1_cand000010,openmm,-78.58137257948646,AB,MP,P,M,MP_AB,M_P,-38.18949819093926,-38.18949819093926,2127.102743229985,-53.98198716408158,-53.98198716408158,1957.7917578253112,-38.18949819107142,-58109.93049292822 kJ/mol
Binding_donor1_row2_cand000003,openmm,-165.93971583238886,AB,MP,P,M,MP_AB,M_P,-52.86415226369917,-52.86415226369917,2241.0524587807977,-62.01015780275482,-62.01015780275482,1990.361952044251,-52.864152264009434,-55444.94882531044 kJ/mol
Binding_donor1_row3_cand000004,openmm,-136.36837137086968,AB,MP,P,M,MP_AB,M_P,-35.90278476089502,-35.90278476089502,1818.0452226579444,-53.556135761575476,-53.556135761575476,1824.456825412976,-35.90278476095148,-55528.22923049747 kJ/mol
Binding_donor1_row4_cand000005,openmm,-71.82629201570879,AB,MP,P,M,MP_AB,M_P,-31.092836532897564,-31.092836532897564,1747.3822789149403,-55.62431456320158,-55.62431456320158,1930.9327230689735,-31.092836532254978,-51312.45388870398 kJ/mol
Binding_donor1_row5_cand000006,openmm,61.59473451980769,AB,MP,P,M,MP_AB,M_P,-57.6215759220857,-57.6215759220857,2094.5776405618967,-47.81021901952984,-47.81021901952984,1921.8767370576606,-57.621575921773555,-50799.08046996834 kJ/mol
Binding_donor1_row6_cand000007,openmm,-212.29153899642722,AB,MP,P,M,MP_AB,M_P,-29.849442142753617,-29.849442142753617,1595.348237962589,-59.04663332826068,-59.04663332826068,1912.6485297127788,-29.849442142581466,-51370.59158201498 kJ/mol
Binding_donor2_row8_cand000012,openmm,-81.94372319073085,AB,MP,P,M,MP_AB,M_P,-52.25125560992382,-52.25125560992382,2240.0422932378183,-45.980468635568414,-45.980468635568414,2007.6448771581436,-52.25125560975777,-55198.93929406075 kJ/mol
Binding_donor3_row10_cand000014,openmm,-238.0976030062476,AB,MP,P,M,MP_AB,M_P,-31.05909026140094,-31.05909026140094,1793.494444015011,-60.015855787467316,-60.015855787467316,1960.6985067317714,-31.059090261275998,-53137.09560989751 kJ/mol
Binding_donor3_row11_cand000013,openmm,659.6071986548748,AB,MP,P,M,MP_AB,M_P,-35.56185910579745,-35.56185910579745,2015.9244786620181,657.5306396347212,657.5306396347212,1894.3676951457667,-35.561859105770964,-39277.5080084333 kJ/mol
Binding_donor3_row12_cand000018,openmm,-143.61438576809041,AB,MP,P,M,MP_AB,M_P,-53.21899355274118,-53.21899355274118,1909.4474950233748,-56.25729107814064,-56.25729107814064,1937.027226648484,-53.21899355262046,-54233.32807415034 kJ/mol
Binding_donor3_row13_cand000001,openmm,-196.72104467643103,AB,MP,P,M,MP_AB,M_P,-47.279791539000456,-47.279791539000456,1681.7767951379888,-75.56269248598511,-75.56269248598511,1824.7875536707002,-47.27979153897002,-51772.76930258768 kJ/mol
Binding_donor3_row14_cand000015,openmm,-197.26590316541535,AB,MP,P,M,MP_AB,M_P,-42.03973725042118,-42.03973725042118,1789.7053109378742,-62.397537925453804,-62.397537925453804,1840.0821066164938,-42.039737250385826,-54932.64757920892 kJ/mol
Binding_donor3_row16_cand000017,openmm,-161.71982353553693,AB,MP,P,M,MP_AB,M_P,-43.54893209588671,-43.54893209588671,1924.9471125207497,-56.637660533332244,-56.637660533332244,1865.3429162272137,-43.5489320960113,-55340.88538350742 kJ/mol
Binding_donor3_row17_cand000019,openmm,621.4636193820843,AB,MP,P,M,MP_AB,M_P,-39.51098476725747,-39.51098476725747,1918.7203983111453,-51.81401242177471,-51.81401242177471,1925.9667416267835,-39.51098476726429,-42123.08625775239 kJ/mol
Binding_donor3_row19_cand000022,openmm,-120.19405848621216,AB,MP,P,M,MP_AB,M_P,-48.42252307554833,-48.42252307554833,2089.964463853215,-54.43288857534495,-54.43288857534495,1883.4787255689141,-48.42252307523327,-52904.48822906874 kJ/mol
Binding_donor3_row20_cand000021,openmm,-245.5035733317642,AB,MP,P,M,MP_AB,M_P,-47.69531331343191,-47.69531331343191,1999.9287222359435,-59.83227920615287,-59.83227920615287,1938.065185590173,-47.6953133132979,-52928.507402370255 kJ/mol
Binding_donor3_row21_cand000023,openmm,345.13830764049317,AB,MP,P,M,MP_AB,M_P,-53.80054929463745,-53.80054929463745,2283.1463950076045,408.3880770676569,408.3880770676569,1846.5486057942653,-53.80054929481304,-38830.00385164737 kJ/mol
Binding_donor3_row9_cand000011,openmm,-258.45487561985897,AB,MP,P,M,MP_AB,M_P,-42.65805678442149,-42.65805678442149,2021.669924148149,-59.37658792829795,-59.37658792829795,1959.8545042906014,-42.658056784307945,-53262.04325740671 kJ/mol
Binding_donor4_row22_cand000002,openmm,-99.52727571566959,AB,MP,P,M,MP_AB,M_P,-43.72306485190575,-43.72306485190575,1996.6280253677419,-50.326902227339545,-50.326902227339545,1734.7642775827983,-43.72306485149676,-55179.28997529044 kJ/mol
Binding_donor4_row23_cand000024,openmm,-135.36748897236146,AB,MP,P,M,MP_AB,M_P,-41.006109426394744,-41.006109426394744,1971.7864903854645,-57.626450062342144,-57.626450062342144,1991.4634176996565,-41.006109426042315,-49978.30540366365 kJ/mol
Binding_donor4_row24_cand000025,openmm,-217.72927088940116,AB,MP,P,M,MP_AB,M_P,-40.257406096316544,-40.257406096316544,1922.8578835929427,-59.18058915624077,-59.18058915624077,1932.0302947008915,-40.25740609608104,-54175.93615859418 kJ/mol
Binding_donor4_row25_cand000026,openmm,-63.87589126868954,AB,MP,P,M,MP_AB,M_P,-45.39835189051024,-45.39835189051024,1859.888172781296,-59.93655314534025,-59.93655314534025,1930.2516335386938,-45.39835189023551,-48297.420316158066 kJ/mol
