TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Binding_donor1_row1_cand000003,openmm,-140.85809094243757,AB,MP,P,M,MP_AB,M_P,-45.58953210724387,-45.58953210724387,1990.1195607177342,-50.43947565254571,-50.43947565254571,1872.7769328580641,-45.58953210771071,-49955.30091832329 kJ/mol
Binding_donor1_row0_cand000014,openmm,-242.16348699876187,AB,MP,P,M,MP_AB,M_P,-43.486243472691484,-43.486243472691484,2013.9362073351651,-62.46003591080927,-62.46003591080927,1964.3171482905539,-43.48624347280713,-49904.86147713666 kJ/mol
Binding_donor1_row2_cand000001,openmm,-268.9973408960914,AB,MP,P,M,MP_AB,M_P,-39.094610148111855,-39.094610148111855,1935.054174592708,-59.50585444802857,-59.50585444802857,1955.8874329569694,-39.09461014799817,-56085.059812755964 kJ/mol
Binding_donor1_row3_cand000026,openmm,-265.1880679300225,AB,MP,P,M,MP_AB,M_P,-53.26817287003476,-53.26817287003476,1992.7795045539237,-55.35765553103215,-55.35765553103215,2018.090610675178,-53.26817287039063,-54719.7301362913 kJ/mol
Binding_donor1_row4_cand000029,openmm,-364.92995913628044,AB,MP,P,M,MP_AB,M_P,-48.21067548341824,-48.21067548341824,2166.222840093885,-53.307310056167154,-53.307310056167154,1910.7759775938416,-48.21067548307116,-52581.07783942966 kJ/mol
Binding_donor1_row5_cand000006,openmm,-30.085663548830624,AB,MP,P,M,MP_AB,M_P,-26.181850361374313,-26.181850361374313,1915.5402920587278,-45.228292333927115,-45.228292333927115,2013.862321730164,-26.181850361695425,-59568.5363217263 kJ/mol
Binding_donor1_row6_cand000016,openmm,-33.041347265386875,AB,MP,P,M,MP_AB,M_P,-26.816615831264656,-26.816615831264656,1818.8313267100616,-42.0834523201495,-42.0834523201495,1985.1803797758357,-26.816615831733685,-49774.5030633145 kJ/mol
Binding_donor1_row7_cand000023,openmm,-304.6269321802399,AB,MP,P,M,MP_AB,M_P,-24.579651128619332,-24.579651128619332,1588.9381167981662,-54.47763006650838,-54.47763006650838,2003.2165657238315,-24.579651128969658,-53137.813193363014 kJ/mol
Binding_donor2_row10_cand000019,openmm,-143.78189947079738,AB,MP,P,M,MP_AB,M_P,-40.200064370880284,-40.200064370880284,1906.2934988965678,-61.816959799690466,-61.816959799690466,1927.4604564567912,-40.20006437115856,-56348.69015395002 kJ/mol
Binding_donor2_row11_cand000005,openmm,783.3702168939211,AB,MP,P,M,MP_AB,M_P,-43.02065197617162,-43.02065197617162,1725.8288511591936,-58.846208998541755,-58.846208998541755,1993.3949929753858,-43.02065197580271,-40327.50615148717 kJ/mol
Binding_donor2_row12_cand000011,openmm,189472.67311644927,AB,MP,P,M,MP_AB,M_P,4749.409257627471,4749.409257627471,1433.921052172532,2868.5051877651713,2868.5051877651713,1400.0507350442158,4749.409257627674,6.717818022178673e+16 kJ/mol
Binding_donor2_row13_cand000012,openmm,365.6310780226054,AB,MP,P,M,MP_AB,M_P,-42.193827450439585,-42.193827450439585,2461.4351756731025,-54.63196429069126,-54.63196429069126,1739.1382821278057,-42.19382745031339,-43425.224008859645 kJ/mol
Binding_donor2_row14_cand000022,openmm,15783.626364691198,AB,MP,P,M,MP_AB,M_P,9485.67113289115,9485.67113289115,2283.683172958309,748.6651459538689,748.6651459538689,1935.9256989369278,9485.671132891095,378924972155.127 kJ/mol
Binding_donor2_row15_cand000030,openmm,-312.3472637977086,AB,MP,P,M,MP_AB,M_P,-30.826045807723688,-30.826045807723688,1648.6253597360214,-56.906744784490826,-56.906744784490826,1960.108298434898,-30.82604580764223,-54328.322454084686 kJ/mol
Binding_donor2_row16_cand000013,openmm,-191.4742719121051,AB,MP,P,M,MP_AB,M_P,-42.05052453784771,-42.05052453784771,1729.6471040852723,-47.463029184467516,-47.463029184467516,2009.0874965046714,-42.05052453706884,-58711.47363885241 kJ/mol
Binding_donor2_row17_cand000002,openmm,-180.0170804404553,AB,MP,P,M,MP_AB,M_P,-38.0459568142889,-38.0459568142889,1723.690613385991,-55.766643533291784,-55.766643533291784,1874.4763715862593,-38.04595681439096,-55927.50372073236 kJ/mol
Binding_donor2_row18_cand000007,openmm,-259.0730826122076,AB,MP,P,M,MP_AB,M_P,-42.264151542678974,-42.264151542678974,2294.192754497891,-62.04217731169685,-62.04217731169685,1932.7439326824665,-42.26415154272553,-54383.50598886887 kJ/mol
Binding_donor2_row19_cand000025,openmm,-88.90715463806758,AB,MP,P,M,MP_AB,M_P,-41.12594845864073,-41.12594845864073,2037.4104746524874,-45.536221530947095,-45.536221530947095,1858.9916708362255,-41.125948458306155,-48733.25245010456 kJ/mol
