TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Binding_donor1_row0_cand000001,rosetta_sidechain,1975.3466307740362,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-1.0686562745831907e-11
Binding_donor1_row2_cand000003,rosetta_sidechain,4709.739056052262,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-25.723642508719195,-25.723642508719195,1829.7049761745902,-0.24526950312974805
Binding_donor1_row3_cand000004,rosetta_sidechain,2451.404153293985,AB,MP,P,M,MP_AB,M_P,1482.7277433711968,1482.7277433711968,811.8285065044015,0.0,0.0,0.0,1482.7277433707882
Binding_donor1_row1_cand000002,rosetta_sidechain,780.5273023130586,AB,MP,P,M,MP_AB,M_P,-3.443503507705941,-3.443503507705941,305.9463121614735,-18.898879803877946,-18.898879803877946,1822.5501579249265,-3.443503508116123
Binding_donor1_row4_cand000005,rosetta_sidechain,921.9997229146659,AB,MP,P,M,MP_AB,M_P,174.44899172199143,174.44899172199143,342.52075710562247,0.0,0.0,0.0,174.44899172213684
Binding_donor1_row5_cand000006,rosetta_sidechain,962.7699076418241,AB,MP,P,M,MP_AB,M_P,-0.33321197307577677,-0.33321197307577677,226.56050758372092,-22.310472133736994,-22.310472133736994,1776.018159691054,-0.33321197320037754
Binding_donor1_row9_cand000010,rosetta_sidechain,3000.435278099844,AB,MP,P,M,MP_AB,M_P,2334.014911288957,2334.014911288957,1378.6483829885212,84.32732630363961,84.32732630363961,1218.864304455424,2334.0149112889408
Binding_donor1_row6_cand000007,rosetta_sidechain,1744.8332415557466,AB,MP,P,M,MP_AB,M_P,0.4784822633175736,0.4784822633175736,302.88270081886293,-26.38344665587192,-26.38344665587192,1795.5445775675732,0.4784822631438601
Binding_donor2_row10_cand000011,rosetta_sidechain,2061.0942059554923,AB,MP,P,M,MP_AB,M_P,-3.0072163178938354,-3.0072163178938354,476.7763157917996,-26.61849512835306,-26.61849512835306,1748.3030836002172,-3.007216318037081
Binding_donor3_row11_cand000012,rosetta_sidechain,97751.30526219442,AB,MP,P,M,MP_AB,M_P,12858.071522510436,12858.071522510436,1532.9758874192391,1219.6458437288966,1219.6458437288966,610.451556380198,12858.071522510596
