TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10127_cand000083,openmm,-116.49023374536434,AB,MP,P,M,MP_AB,M_P,-41.95876380624958,-41.95876380624958,2319.1957750995834,-51.59474417062739,-51.59474417062739,1599.5774965349642,-41.958763806592415,-54748.813405146706 kJ/mol
Non-binding_donor1_row10279_cand000005,openmm,-292.01057707700244,AB,MP,P,M,MP_AB,M_P,-47.5572745744617,-47.5572745744617,2245.243878614989,-53.08444870320047,-53.08444870320047,1720.5476477400555,-47.55727457442444,-61018.21969642738 kJ/mol
Non-binding_donor1_row10635_cand000424,openmm,457.80673374407763,AB,MP,P,M,MP_AB,M_P,-53.12365197867814,-53.12365197867814,2192.010095306139,-52.17361727318557,-52.17361727318557,1602.8953752000248,-53.12365197859191,-45922.07341844068 kJ/mol
Non-binding_donor1_row10328_cand000450,openmm,160.67595374961496,AB,MP,P,M,MP_AB,M_P,317.41854090420463,317.41854090420463,2152.81792797966,-51.3402511839561,-51.3402511839561,1640.0387742092678,317.4185409039793,-46446.06974064941 kJ/mol
Non-binding_donor1_row10653_cand000141,openmm,331.17489439608585,AB,MP,P,M,MP_AB,M_P,-56.64235551936656,-56.64235551936656,2399.3736876620796,-51.531534182704945,-51.531534182704945,1641.1980606835366,-56.642355519631735,-50936.082301720635 kJ/mol
Non-binding_donor1_row10642_cand000505,openmm,473.30409755181506,AB,MP,P,M,MP_AB,M_P,-59.611269572076935,-59.611269572076935,2676.8062765810423,-51.29349033453384,-51.29349033453384,1624.0753955800726,-59.611269571914704,-43240.88305236788 kJ/mol
Non-binding_donor1_row106_cand000554,openmm,-82.73528455014961,AB,MP,P,M,MP_AB,M_P,-45.66392784502561,-45.66392784502561,2091.5449564536325,-50.978824740530705,-50.978824740530705,1594.3691703083712,-45.66392784462383,-50886.30786502002 kJ/mol
Non-binding_donor1_row10686_cand000167,openmm,413.2130940333426,AB,MP,P,M,MP_AB,M_P,-64.19514499195878,-64.19514499195878,2350.54415351492,-57.87065479876668,-57.87065479876668,1679.7809141755974,-64.19514499183657,-49720.6443937104 kJ/mol
Non-binding_donor1_row10749_cand000591,openmm,-284.69649572388,AB,MP,P,M,MP_AB,M_P,-55.550030689457145,-55.550030689457145,2102.657405744928,-57.3271732187964,-57.3271732187964,1658.5295990348607,-55.55003068965783,-55585.51736792516 kJ/mol
Non-binding_donor1_row10761_cand000036,openmm,-119.38056161275905,AB,MP,P,M,MP_AB,M_P,-57.89342025564247,-57.89342025564247,2312.3917292444758,-54.12812015338468,-54.12812015338468,1725.8010965455778,-57.89342025602674,-59402.984558817385 kJ/mol
Non-binding_donor1_row11042_cand000310,openmm,-259.0001156285267,AB,MP,P,M,MP_AB,M_P,-50.960864106377784,-50.960864106377784,2327.7682893940573,-46.59116812567058,-46.59116812567058,1651.4759633396998,-50.960864106416636,-59364.860181593795 kJ/mol
Non-binding_donor1_row10775_cand000482,openmm,-89.66484713943905,AB,MP,P,M,MP_AB,M_P,-51.16807673472104,-51.16807673472104,2371.699708257363,-44.474276276065595,-44.474276276065595,1676.658489115704,-51.16807673462912,-58570.93446915089 kJ/mol
Non-binding_donor1_row11376_cand000051,openmm,-140.4668370297652,AB,MP,P,M,MP_AB,M_P,-49.59503494407838,-49.59503494407838,2106.493336917074,-62.07849065187122,-62.07849065187122,1657.4500081727472,-49.59503494404592,-53764.066241925706 kJ/mol
Non-binding_donor1_row11199_cand000182,openmm,-92.80754376183832,AB,MP,P,M,MP_AB,M_P,-39.970334970047944,-39.970334970047944,2366.580611019151,-58.35443738975276,-58.35443738975276,1699.2179246523006,-39.970334970077246,-54194.767386878804 kJ/mol
Non-binding_donor1_row11441_cand000133,openmm,-145.4283723709246,AB,MP,P,M,MP_AB,M_P,-41.71969290091141,-41.71969290091141,2255.9293971001925,-50.65088171776082,-50.65088171776082,1656.179966982656,-41.71969290059616,-57771.107488820875 kJ/mol
Non-binding_donor1_row11587_cand000132,openmm,-71.64098624851002,AB,MP,P,M,MP_AB,M_P,-37.04627743108366,-37.04627743108366,2128.8860508465027,-41.012266522815295,-41.012266522815295,1678.4403849547823,-37.046277431378556,-57578.68984392064 kJ/mol
Non-binding_donor1_row11612_cand000109,openmm,-209.04214521398,AB,MP,P,M,MP_AB,M_P,-48.44425955266013,-48.44425955266013,2227.47759813954,-54.78941834862313,-54.78941834862313,1623.2501185825215,-48.44425955320082,-55022.50284447571 kJ/mol
Non-binding_donor1_row11614_cand000332,openmm,299.37966919914163,AB,MP,P,M,MP_AB,M_P,-37.27156477741045,-37.27156477741045,2030.4419644827108,-52.34900642510685,-52.34900642510685,1570.9476429625347,-37.27156477733678,-46117.572534715335 kJ/mol
Non-binding_donor1_row11761_cand000026,openmm,-123.33524807393226,AB,MP,P,M,MP_AB,M_P,-61.67788644539233,-61.67788644539233,2396.558533634765,-59.047054292522084,-59.047054292522084,1597.6604656696686,-61.67788644537973,-54358.8578630451 kJ/mol
Non-binding_donor1_row12351_cand000304,openmm,-230.50735229797235,AB,MP,P,M,MP_AB,M_P,-53.33106563127069,-53.33106563127069,2175.606823892271,-46.61745163598062,-46.61745163598062,1567.7294807754054,-53.33106563146788,-52588.98764040032 kJ/mol
Non-binding_donor1_row12378_cand000501,openmm,-192.99478774354264,AB,MP,P,M,MP_AB,M_P,-55.00132156694019,-55.00132156694019,2329.934561033556,-48.64971217033917,-48.64971217033917,1611.2380722956148,-55.00132156688812,-55426.83444356888 kJ/mol
Non-binding_donor1_row12407_cand000047,openmm,-251.301712832509,AB,MP,P,M,MP_AB,M_P,-59.36853120674925,-59.36853120674925,2369.3297217875706,-53.0621118406646,-53.0621118406646,1557.980917088825,-59.36853120632324,-56377.309857375294 kJ/mol
Non-binding_donor1_row12577_cand000353,openmm,-128.4110328823819,AB,MP,P,M,MP_AB,M_P,-52.68235560812492,-52.68235560812492,2274.2256526207725,-47.055278513033095,-47.055278513033095,1576.4366103758305,-52.682355607987006,-60141.95426615158 kJ/mol
Non-binding_donor1_row1259_cand000064,openmm,-241.49573111832316,AB,MP,P,M,MP_AB,M_P,-50.8113875740915,-50.8113875740915,2122.1089839031215,-49.18024156767504,-49.18024156767504,1758.066160669156,-50.811387574453676,-54884.32533553941 kJ/mol
