TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Binding_donor1_row2_cand000007,none,35400.11720918622,AB,MP,P,M,MP_AB,M_P,12366.283562348788,12366.283562348788,2068.2948281973604,1312.78652340397,1312.78652340397,1871.6087025410059,12366.283562348643
Binding_donor1_row0_cand000005,none,19505.979992925644,AB,MP,P,M,MP_AB,M_P,3977.6793610807144,3977.6793610807144,1991.8823820473433,1304.5302098929546,1304.5302098929546,1875.4837601164725,3977.6793610807126
Binding_donor1_row4_cand000010,none,21063.358696341827,AB,MP,P,M,MP_AB,M_P,7807.576834341255,7807.576834341255,2069.9442574247223,477.92978109478554,477.92978109478554,1880.3481633961967,7807.576834341484
Binding_donor1_row3_cand000011,none,35786.156413012955,AB,MP,P,M,MP_AB,M_P,11510.938623822974,11510.938623822974,2213.560715021045,1320.33691888377,1320.33691888377,1902.8693490726084,11510.938623822807
Binding_donor2_row11_cand000012,none,14755.15788820625,AB,MP,P,M,MP_AB,M_P,5414.811942388886,5414.811942388886,1645.970799270946,1030.878383217144,1030.878383217144,1841.4329371584056,5414.811942388602
Binding_donor2_row10_cand000002,none,22920.20899563119,AB,MP,P,M,MP_AB,M_P,9636.655521007897,9636.655521007897,1907.7079835355548,1242.947023984516,1242.947023984516,1875.8869699587779,9636.65552100777
Binding_donor2_row12_cand000013,none,19890.32418491501,AB,MP,P,M,MP_AB,M_P,3799.463524885876,3799.463524885876,1827.77995557983,1465.4297461664319,1465.4297461664319,1915.0628165174962,3799.463524885965
Binding_donor2_row15_cand000017,none,17105.56491359224,AB,MP,P,M,MP_AB,M_P,7510.264575780084,7510.264575780084,1694.8116121235835,480.9559808326594,480.9559808326594,1842.71301593095,7510.264575779767
Binding_donor2_row14_cand000016,none,9708.131471576562,AB,MP,P,M,MP_AB,M_P,4281.06585720047,4281.06585720047,1743.4892715977444,651.7933961354806,651.7933961354806,1896.3769181806622,4281.065857200765
Binding_donor2_row13_cand000022,none,40016.29732602438,AB,MP,P,M,MP_AB,M_P,18557.903377498347,18557.903377498347,2162.227603024635,513.706399071923,513.706399071923,1855.786633525071,18557.90337749869
