TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10386_cand000472,none,30665.02567180524,AB,MP,P,M,MP_AB,M_P,9896.233799927719,9896.233799927719,1818.5086890230466,97.9473453858227,97.9473453858227,1791.5547859255896,9896.233799927508
Non-binding_donor1_row1001_cand000045,none,11298.781901800212,AB,MP,P,M,MP_AB,M_P,6436.882962531496,6436.882962531496,1758.078889937167,161.50445092251175,161.50445092251175,1788.3693040590765,6436.8829625317485
Non-binding_donor1_row10726_cand000023,none,32809.471430910206,AB,MP,P,M,MP_AB,M_P,10726.56983108817,10726.56983108817,1718.1580127413952,343.6616506233049,343.6616506233049,1803.4151980070835,10726.56983108753
Non-binding_donor1_row1061_cand000096,none,11454.430191942874,AB,MP,P,M,MP_AB,M_P,2594.796883652556,2594.796883652556,1677.2282964528758,307.868488278978,307.868488278978,1778.0996626280396,2594.7968836527707
Non-binding_donor1_row10847_cand000506,none,21052.90972989162,AB,MP,P,M,MP_AB,M_P,7524.938261535384,7524.938261535384,1859.9898440279878,247.7719887795456,247.7719887795456,1822.4832381228962,7524.938261535699
Non-binding_donor1_row10330_cand000046,none,20760.79373974831,AB,MP,P,M,MP_AB,M_P,6432.677996798,6432.677996798,1932.3275203939975,319.2970357222671,319.2970357222671,1789.0770234352321,6432.677996797853
Non-binding_donor1_row10882_cand000048,none,14658.020225724898,AB,MP,P,M,MP_AB,M_P,5129.014990029578,5129.014990029578,1637.0978866626383,86.73123834251464,86.73123834251464,1798.8933834669785,5129.014990029533
Non-binding_donor1_row11127_cand000072,none,18673.47814429626,AB,MP,P,M,MP_AB,M_P,4645.689182403667,4645.689182403667,1788.951026177275,285.79751326662836,285.79751326662836,1738.3026727810836,4645.689182403252
Non-binding_donor1_row110_cand000163,none,26271.46376752381,AB,MP,P,M,MP_AB,M_P,10027.67667487485,10027.67667487485,1812.7111318839611,361.81078277149663,361.81078277149663,1749.7462692091253,10027.67667487487
Non-binding_donor1_row11378_cand000061,none,16332.342837780561,AB,MP,P,M,MP_AB,M_P,7083.691025928958,7083.691025928958,2098.222376732252,109.6332463404292,109.6332463404292,1747.4133225045694,7083.691025928847
