TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row1001_cand000507,openmm,-216.64526017012213,AB,MP,P,M,MP_AB,M_P,-41.350428033277524,-41.350428033277524,2076.957362696142,-65.67605745908659,-65.67605745908659,1851.7146717819037,-41.35042803245983,-58450.23565174951 kJ/mol
Non-binding_donor1_row10217_cand000284,openmm,525.9633171069598,AB,MP,P,M,MP_AB,M_P,-52.36135237318729,-52.36135237318729,2460.8737924584525,-56.991890173109674,-56.991890173109674,1810.4640553786037,-52.361352373055865,-41525.88907475525 kJ/mol
Non-binding_donor1_row1046_cand000007,openmm,-245.28673738318878,AB,MP,P,M,MP_AB,M_P,-37.0309221424053,-37.0309221424053,2221.2990938023863,-78.81444253981235,-78.81444253981235,1942.965519381432,-37.03092214257359,-54540.2129466703 kJ/mol
Non-binding_donor1_row10344_cand000167,openmm,396.09930076534926,AB,MP,P,M,MP_AB,M_P,-49.550141670292305,-49.550141670292305,2109.607524022899,-68.18705081270423,-68.18705081270423,1993.2953773387014,-49.55014167009284,-46513.309304301365 kJ/mol
Non-binding_donor1_row10555_cand000286,openmm,368.8488245499218,AB,MP,P,M,MP_AB,M_P,-51.41088255308841,-51.41088255308841,1939.611671419743,-66.62418680602333,-66.62418680602333,1929.388440232771,-51.41088255332153,-42571.315032326864 kJ/mol
Non-binding_donor1_row10593_cand000330,openmm,-111.33965591161416,AB,MP,P,M,MP_AB,M_P,-39.984766274764155,-39.984766274764155,2068.095938232822,-72.91208989804015,-72.91208989804015,2053.532973010332,-39.984766275010145,-58490.94442017067 kJ/mol
Non-binding_donor1_row10600_cand000157,openmm,-327.89785078232416,AB,MP,P,M,MP_AB,M_P,-42.617067773830854,-42.617067773830854,2125.4214869540856,-66.02789724323088,-66.02789724323088,1905.1612068480626,-42.61706777357455,-59306.90467601259 kJ/mol
Non-binding_donor1_row10697_cand000536,openmm,-177.5617759497645,AB,MP,P,M,MP_AB,M_P,-62.04498667008113,-62.04498667008113,2478.0623146523585,-65.98715287789877,-65.98715287789877,1948.575434233381,-62.0449866698457,-62819.163258709224 kJ/mol
Non-binding_donor1_row10831_cand000170,openmm,-336.04780298824573,AB,MP,P,M,MP_AB,M_P,-54.93795708492149,-54.93795708492149,2215.1394157500968,-79.52848709695175,-79.52848709695175,1971.4340812599212,-54.937957085065136,-56813.56614365316 kJ/mol
Non-binding_donor1_row10856_cand000431,openmm,-255.63590312656004,AB,MP,P,M,MP_AB,M_P,-67.40374727529371,-67.40374727529371,2360.426905871413,-61.23375117291864,-61.23375117291864,1812.7815190734395,-67.40374727578325,-55967.70562383497 kJ/mol
