TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10010_cand000496,openmm,123.16838918468508,AB,MP,P,M,MP_AB,M_P,-44.36716777242347,-44.36716777242347,2138.7595723505065,-51.8271891710572,-51.8271891710572,1883.5345373198836,-44.3671677723257,-55181.517876073056 kJ/mol
Non-binding_donor1_row10064_cand000161,openmm,635.1994795674485,AB,MP,P,M,MP_AB,M_P,-48.732937362667144,-48.732937362667144,2253.0898860335374,-50.140002691964135,-50.140002691964135,1955.910331676756,-48.732937362570965,-41915.77795460515 kJ/mol
Non-binding_donor1_row10138_cand000295,openmm,-97.18131456439312,AB,MP,P,M,MP_AB,M_P,-40.854151174702295,-40.854151174702295,2302.020610492219,-66.75934158143485,-66.75934158143485,2018.0426257562763,-40.85415117491101,-57687.671417494676 kJ/mol
Non-binding_donor1_row10120_cand000419,openmm,696.480515657133,AB,MP,P,M,MP_AB,M_P,-45.567298533639246,-45.567298533639246,1999.685477637348,-57.73603153158789,-57.73603153158789,1650.3536157894216,-45.56729853363129,-37042.56121621958 kJ/mol
Non-binding_donor1_row10167_cand000182,openmm,-174.39874912515435,AB,MP,P,M,MP_AB,M_P,-44.33534193406578,-44.33534193406578,1913.1443506037037,-57.95289771095796,-57.95289771095796,1972.4932556482954,-44.335341933926856,-56069.60888315862 kJ/mol
Non-binding_donor1_row10210_cand000050,openmm,-58.60777178394869,AB,MP,P,M,MP_AB,M_P,-46.68514719524694,-46.68514719524694,2178.4546039410698,-70.27946852316597,-70.27946852316597,1895.2484038003606,-46.685147195222164,-53127.30997073986 kJ/mol
Non-binding_donor1_row1056_cand000193,openmm,-206.71235641485896,AB,MP,P,M,MP_AB,M_P,-39.85101775007965,-39.85101775007965,1791.8904321332961,-59.89032693899049,-59.89032693899049,1986.5084977664146,-39.8510177503297,-55036.61433098445 kJ/mol
Non-binding_donor1_row10230_cand000526,openmm,136.52135211176738,AB,MP,P,M,MP_AB,M_P,-60.48466961240888,-60.48466961240888,2361.0005219048626,-51.34775736428833,-51.34775736428833,1742.1087627015308,-60.48466961266516,-51762.868550727195 kJ/mol
Non-binding_donor1_row10781_cand000452,openmm,930.5354020881673,AB,MP,P,M,MP_AB,M_P,-42.8286370393173,-42.8286370393173,2302.9505219176804,-62.22082436654611,-62.22082436654611,1862.269849078567,-42.82863703959106,-40812.40484342234 kJ/mol
Non-binding_donor1_row10853_cand000375,openmm,-206.36791247820352,AB,MP,P,M,MP_AB,M_P,-57.77246065340174,-57.77246065340174,2139.0435412983156,-62.39614865790941,-62.39614865790941,1875.6522813520262,-57.77246065347006,-54215.89756568466 kJ/mol
Non-binding_donor1_row10874_cand000331,openmm,-167.06035034433816,AB,MP,P,M,MP_AB,M_P,-38.738440587058875,-38.738440587058875,1801.0911330891654,-64.38031162726621,-64.38031162726621,1887.372415503773,-38.73844058703085,-54327.82718207631 kJ/mol
Non-binding_donor1_row11106_cand000047,openmm,565.9864713675408,AB,MP,P,M,MP_AB,M_P,-48.60910169161548,-48.60910169161548,2100.074465835336,-42.22359249377654,-42.22359249377654,1812.9221926111504,-48.60910169142221,-44776.636856237456 kJ/mol
Non-binding_donor1_row11209_cand000472,openmm,-123.22663635247434,AB,MP,P,M,MP_AB,M_P,-36.91016813500697,-36.91016813500697,1805.9412944821927,-68.25635912861789,-68.25635912861789,1857.6847915633891,-36.91016813490353,-52412.906571571286 kJ/mol
Non-binding_donor1_row11107_cand000123,openmm,-163.74970234399564,AB,MP,P,M,MP_AB,M_P,-41.31004399013263,-41.31004399013263,2043.693962483404,-66.29538000211275,-66.29538000211275,1927.8242063439639,-41.31004399060397,-53191.62132639341 kJ/mol
Non-binding_donor1_row11253_cand000470,openmm,618.988053114366,AB,MP,P,M,MP_AB,M_P,-42.57857662303434,-42.57857662303434,1947.2930748972803,404.2483620823207,404.2483620823207,1927.4612554297373,-42.578576623291724,-41519.3885270827 kJ/mol
Non-binding_donor1_row11746_cand000512,openmm,-155.0656499301333,AB,MP,P,M,MP_AB,M_P,-33.64697660132856,-33.64697660132856,1962.6064696419764,-52.715053027060534,-52.715053027060534,1994.012234483118,-33.64697660140402,-58703.38096727396 kJ/mol
Non-binding_donor1_row12012_cand000480,openmm,-257.12572171499994,AB,MP,P,M,MP_AB,M_P,-46.02686405753468,-46.02686405753468,2007.8980274698708,-65.8990988141567,-65.8990988141567,1919.196190579277,-46.026864057112874,-52127.307351575844 kJ/mol
Non-binding_donor1_row12035_cand000427,openmm,-258.99513768580846,AB,MP,P,M,MP_AB,M_P,-51.294912000772115,-51.294912000772115,2316.1453119040048,-52.91727933959313,-52.91727933959313,1968.053735321677,-51.294912000813895,-56905.596228135524 kJ/mol
Non-binding_donor1_row12111_cand000072,openmm,-114.12670538573278,AB,MP,P,M,MP_AB,M_P,-48.067368696097944,-48.067368696097944,2221.5281352993807,-56.19182713970015,-56.19182713970015,1821.5320879796916,-48.067368696256054,-51822.98908713809 kJ/mol
Non-binding_donor1_row12123_cand000436,openmm,307.05888416432276,AB,MP,P,M,MP_AB,M_P,-54.520956581293035,-54.520956581293035,2204.4557201643356,390.79022148327886,390.79022148327886,1962.486615942987,-54.52095658155895,-40419.47238239653 kJ/mol
Non-binding_donor1_row12247_cand000373,openmm,-214.1266173071022,AB,MP,P,M,MP_AB,M_P,-51.94369813815928,-51.94369813815928,2289.2789855499027,-45.76176227604266,-45.76176227604266,1826.547520417355,-51.943698138124404,-55593.48805866276 kJ/mol
Non-binding_donor1_row12266_cand000044,openmm,-188.61736587875777,AB,MP,P,M,MP_AB,M_P,-44.59306104119523,-44.59306104119523,2026.2421360400322,-55.745012328392406,-55.745012328392406,1819.2539446136486,-44.59306104098903,-54572.42162180009 kJ/mol
Non-binding_donor1_row12339_cand000191,openmm,-84.83839108100725,AB,MP,P,M,MP_AB,M_P,-36.859058895441926,-36.859058895441926,2087.7511381370814,-67.75176637836293,-67.75176637836293,1954.0159668206784,-36.85905889542657,-56671.391478239886 kJ/mol
Non-binding_donor1_row12392_cand000299,openmm,-198.23003554071295,AB,MP,P,M,MP_AB,M_P,-31.81868218114076,-31.81868218114076,1844.876479529609,-51.00580952951309,-51.00580952951309,1996.6448037996188,-31.81868218131268,-54244.98034311122 kJ/mol
Non-binding_donor1_row12493_cand000289,openmm,-239.35774565224693,AB,MP,P,M,MP_AB,M_P,-47.207549083126054,-47.207549083126054,1939.5142044772924,-48.095289619497464,-48.095289619497464,1944.3382479876916,-47.20754908339285,-56488.643737641614 kJ/mol
Non-binding_donor1_row12579_cand000500,openmm,-296.8291894912984,AB,MP,P,M,MP_AB,M_P,-47.79675082124825,-47.79675082124825,2177.334218916574,-55.82237030713729,-55.82237030713729,1943.402712723528,-47.796750821184446,-52819.54498438656 kJ/mol
Non-binding_donor1_row12596_cand000018,openmm,-200.54104813444968,AB,MP,P,M,MP_AB,M_P,-36.99104495342246,-36.99104495342246,1895.277981313417,-67.81176355746932,-67.81176355746932,1938.184558353991,-36.99104495334342,-53154.63902208708 kJ/mol
Non-binding_donor1_row12678_cand000058,openmm,-302.81794830792745,AB,MP,P,M,MP_AB,M_P,-35.0272655162957,-35.0272655162957,1791.360084751256,-64.28356456585945,-64.28356456585945,1945.910898242003,-35.027265516000114,-55438.09804850517 kJ/mol
Non-binding_donor1_row12761_cand000584,openmm,-337.2048962680469,AB,MP,P,M,MP_AB,M_P,-43.9163616629458,-43.9163616629458,1821.644952604654,-58.24424523441427,-58.24424523441427,1988.1571280208298,-43.91636166324139,-53992.066033212395 kJ/mol
Non-binding_donor1_row12779_cand000349,openmm,-197.47483211350715,AB,MP,P,M,MP_AB,M_P,-25.40023408867816,-25.40023408867816,1683.6518993161435,-56.30375783109096,-56.30375783109096,1834.9068795895369,-25.400234089082915,-53422.73723001261 kJ/mol
Non-binding_donor1_row12806_cand000208,openmm,-198.3286010548582,AB,MP,P,M,MP_AB,M_P,-44.22488621187824,-44.22488621187824,2213.1229476595513,-46.54222091481832,-46.54222091481832,1889.7092019326826,-44.22488621187904,-54272.77597479282 kJ/mol
Non-binding_donor1_row12904_cand000079,openmm,-258.0120715022379,AB,MP,P,M,MP_AB,M_P,-43.76263537818869,-43.76263537818869,2145.897852635881,-57.37552570164869,-57.37552570164869,1963.565919795401,-43.76263537845463,-51481.75645332041 kJ/mol
Non-binding_donor1_row1338_cand000336,openmm,72.97724709667364,AB,MP,P,M,MP_AB,M_P,-41.23533753759891,-41.23533753759891,1969.157497054675,402.37185376651826,402.37185376651826,1967.9703318544884,-41.23533753776525,-42039.83016438039 kJ/mol
Non-binding_donor1_row13401_cand000280,openmm,241.02774147883636,AB,MP,P,M,MP_AB,M_P,-52.22122057057615,-52.22122057057615,1933.5080145579325,400.4580659657451,400.4580659657451,2007.1879654740092,-52.22122057085201,-36722.763947330444 kJ/mol
Non-binding_donor1_row13405_cand000413,openmm,-159.6709709920088,AB,MP,P,M,MP_AB,M_P,-45.74092827918709,-45.74092827918709,1994.3798706367577,-50.02096827624448,-50.02096827624448,1999.1658349413879,-45.74092827876753,-57404.30863797459 kJ/mol
Non-binding_donor1_row13437_cand000310,openmm,19.81554964938819,AB,MP,P,M,MP_AB,M_P,-46.713581092517025,-46.713581092517025,2038.4560277156781,-65.30442578872385,-65.30442578872385,1878.7267059789804,-46.71358109258473,-47493.99716844377 kJ/mol
Non-binding_donor1_row13613_cand000370,openmm,-248.055480621493,AB,MP,P,M,MP_AB,M_P,-53.51342232585358,-53.51342232585358,2076.180249028927,-67.55171058398048,-67.55171058398048,1891.5340561424168,-53.5134223256793,-51033.4860097903 kJ/mol
Non-binding_donor1_row13620_cand000369,openmm,30807.795193077407,AB,MP,P,M,MP_AB,M_P,15889.78059717425,15889.78059717425,2061.9148818364497,4614.702817987714,4614.702817987714,1834.6793119261336,15889.780597174096,263030124584462.53 kJ/mol
Non-binding_donor1_row13622_cand000489,openmm,3421.7316620909196,AB,MP,P,M,MP_AB,M_P,-34.37073299392068,-34.37073299392068,1675.41351861069,-26.620743559335097,-26.620743559335097,1531.8337749848097,-34.37073299369331,-28566.159141436994 kJ/mol
Non-binding_donor1_row13652_cand000366,openmm,33.348901207563415,AB,MP,P,M,MP_AB,M_P,-57.88639934346381,-57.88639934346381,2544.593319382077,-58.39518021289628,-58.39518021289628,1788.992471929246,-57.88639934354899,-51259.179160909654 kJ/mol
Non-binding_donor1_row13699_cand000152,openmm,-243.59058754265118,AB,MP,P,M,MP_AB,M_P,-43.87620024391032,-43.87620024391032,2125.4610632645017,-50.62978767740589,-50.62978767740589,1874.8484059696143,-43.876200244536506,-52108.130893495836 kJ/mol
Non-binding_donor1_row1371_cand000541,openmm,-159.6509448081032,AB,MP,P,M,MP_AB,M_P,-34.030967296849,-34.030967296849,1580.8406113129154,-65.53704348983166,-65.53704348983166,1912.0428228921473,-34.030967296414886,-55753.55700877829 kJ/mol
Non-binding_donor1_row13771_cand000100,openmm,-130.61498499472378,AB,MP,P,M,MP_AB,M_P,-52.29357741623234,-52.29357741623234,2241.565996702885,-45.71910855707378,-45.71910855707378,1793.8186951619555,-52.293577416219335,-53199.64874193621 kJ/mol
Non-binding_donor1_row13800_cand000339,openmm,226.5691446316669,AB,MP,P,M,MP_AB,M_P,-35.1132087958695,-35.1132087958695,1582.6063182535554,-43.596292170441856,-43.596292170441856,1947.003334727411,-35.11320879588473,-53444.878497529804 kJ/mol
Non-binding_donor1_row13944_cand000069,openmm,-199.0076322089526,AB,MP,P,M,MP_AB,M_P,-44.46272036807622,-44.46272036807622,2024.922178433335,-46.437903841028216,-46.437903841028216,1765.9926471587676,-44.462720368083836,-53426.11880579915 kJ/mol
Non-binding_donor1_row13976_cand000296,openmm,-225.81952853446927,AB,MP,P,M,MP_AB,M_P,-53.10822804632684,-53.10822804632684,2039.4741985021592,-48.44943194335531,-48.44943194335531,1783.0308615974916,-53.108228046487596,-53942.119274916455 kJ/mol
Non-binding_donor1_row14015_cand000021,openmm,-153.66961125189425,AB,MP,P,M,MP_AB,M_P,-30.878889028135347,-30.878889028135347,1850.460610050742,-38.67115853721857,-38.67115853721857,1779.792554432285,-30.878889028202167,-52668.07555984129 kJ/mol
Non-binding_donor1_row14148_cand000055,openmm,-109.02867658905163,AB,MP,P,M,MP_AB,M_P,-39.857591040078816,-39.857591040078816,1865.9339312540524,-51.987481394005655,-51.987481394005655,1959.1455050063278,-39.857591039966536,-54671.35078926398 kJ/mol
Non-binding_donor1_row14188_cand000326,openmm,305.33201125582843,AB,MP,P,M,MP_AB,M_P,279.0042319381034,279.0042319381034,2213.2017124294384,-53.69084958375434,-53.69084958375434,1822.2577881256516,279.00423193831557,-45448.172281836814 kJ/mol
Non-binding_donor1_row14229_cand000081,openmm,-94.39521840957515,AB,MP,P,M,MP_AB,M_P,-47.373456266612436,-47.373456266612436,2157.6243940852364,-57.288370326194546,-57.288370326194546,1982.051764614862,-47.37345626661256,-51512.4533322659 kJ/mol
Non-binding_donor1_row1427_cand000524,openmm,-278.68172949389725,AB,MP,P,M,MP_AB,M_P,-30.220443634334686,-30.220443634334686,1632.7819511610983,-42.20507635022615,-42.20507635022615,2030.3155328316955,-30.2204436343861,-52904.622983225185 kJ/mol
Non-binding_donor1_row14340_cand000101,openmm,-156.4345078791356,AB,MP,P,M,MP_AB,M_P,-44.33600574018588,-44.33600574018588,1863.9116609133705,-48.14633678095495,-48.14633678095495,1860.8864313002657,-44.336005740417775,-51579.856061756116 kJ/mol
Non-binding_donor1_row14403_cand000307,openmm,238.3572111929403,AB,MP,P,M,MP_AB,M_P,-44.096876049122926,-44.096876049122926,1860.1833195933364,-57.40100683700404,-57.40100683700404,1827.0093655655078,-44.09687604869114,-46938.627531400925 kJ/mol
Non-binding_donor1_row14474_cand000401,openmm,-160.47507997050135,AB,MP,P,M,MP_AB,M_P,-29.72633327523735,-29.72633327523735,1484.9713898020443,-54.627946286582244,-54.627946286582244,1976.8358752948434,-29.726333275127274,-54023.3018553657 kJ/mol
Non-binding_donor1_row14495_cand000418,openmm,-188.99004994184986,AB,MP,P,M,MP_AB,M_P,-31.70844001798747,-31.70844001798747,1539.2335754053015,-57.610860861095475,-57.610860861095475,1895.8589432437645,-31.70844001772909,-56056.373459443486 kJ/mol
Non-binding_donor1_row14717_cand000235,openmm,-71.4535438066352,AB,MP,P,M,MP_AB,M_P,-38.084671114216064,-38.084671114216064,1796.0943950670464,-55.58623164962517,-55.58623164962517,1917.806613727971,-38.08467111418023,-55351.471979793605 kJ/mol
Non-binding_donor1_row14787_cand000246,openmm,-114.99207466721863,AB,MP,P,M,MP_AB,M_P,-52.35593183695122,-52.35593183695122,2318.759652226095,-57.972329897483604,-57.972329897483604,1776.6115328516385,-52.35593183696797,-59219.57704508078 kJ/mol
Non-binding_donor1_row14896_cand000356,openmm,-219.77339373750468,AB,MP,P,M,MP_AB,M_P,-30.529040207844105,-30.529040207844105,1818.6179233631644,-57.73346192073167,-57.73346192073167,1911.087227977115,-30.52904020813864,-52500.30949005783 kJ/mol
Non-binding_donor1_row14930_cand000002,openmm,-170.23344893396057,AB,MP,P,M,MP_AB,M_P,-32.702655873727196,-32.702655873727196,1558.9451610799285,-66.88821586279576,-66.88821586279576,1920.6091005434268,-32.70265587374067,-54700.50471750603 kJ/mol
Non-binding_donor1_row14948_cand000263,openmm,-153.6537622163525,AB,MP,P,M,MP_AB,M_P,-31.753048058674636,-31.753048058674636,1672.25961556811,-65.60053884541023,-65.60053884541023,1938.4177420990766,-31.75304805892368,-51640.740371416076 kJ/mol
Non-binding_donor1_row15041_cand000484,openmm,-72.7462345161531,AB,MP,P,M,MP_AB,M_P,-40.214485780604726,-40.214485780604726,1610.2544745423606,-55.44590728592836,-55.44590728592836,1877.6861096508662,-40.214485780646704,-51536.58741439232 kJ/mol
Non-binding_donor1_row15048_cand000029,openmm,173204.53968387732,AB,MP,P,M,MP_AB,M_P,2743.9266061059316,2743.9266061059316,1330.3348302244015,61.451085757726105,61.451085757726105,984.7040437750842,2743.9266061058734,15658843147712.496 kJ/mol
Non-binding_donor1_row15058_cand000390,openmm,-245.22921449837241,AB,MP,P,M,MP_AB,M_P,-38.88761465104608,-38.88761465104608,1691.4496735911837,-53.22014761952707,-53.22014761952707,1956.5728664178314,-38.88761465084252,-52844.444602591466 kJ/mol
Non-binding_donor1_row15182_cand000577,openmm,790.3862200404233,AB,MP,P,M,MP_AB,M_P,356.1514498820606,356.1514498820606,1852.5258542761164,401.641023834224,401.641023834224,1936.2930480808686,356.15144988237057,-31903.374425722388 kJ/mol
Non-binding_donor1_row151_cand000253,openmm,-162.17111138203433,AB,MP,P,M,MP_AB,M_P,-32.12705594674583,-32.12705594674583,1766.729951804999,-50.29022674057958,-50.29022674057958,1970.975354433364,-32.12705594639232,-51691.32909104167 kJ/mol
Non-binding_donor1_row15254_cand000354,openmm,-186.74451563986793,AB,MP,P,M,MP_AB,M_P,-52.55572811831013,-52.55572811831013,1976.7558073457803,-54.72320674107758,-54.72320674107758,1967.8802418370103,-52.55572811789099,-52642.275577368346 kJ/mol
Non-binding_donor1_row15429_cand000022,openmm,-184.27745629967825,AB,MP,P,M,MP_AB,M_P,-41.43326064880273,-41.43326064880273,2046.4950375214203,-58.265187879651776,-58.265187879651776,1916.6907588025106,-41.43326064853716,-50918.57114486355 kJ/mol
Non-binding_donor1_row15525_cand000458,openmm,-160.3434516622098,AB,MP,P,M,MP_AB,M_P,-24.221914806400576,-24.221914806400576,1568.2160552998048,-52.83903490997576,-52.83903490997576,1902.9430097240618,-24.221914805769558,-55053.47842034214 kJ/mol
Non-binding_donor1_row1684_cand000063,openmm,-129.01912395699208,AB,MP,P,M,MP_AB,M_P,-55.27192640684346,-55.27192640684346,2218.890516163578,-48.08320545527416,-48.08320545527416,1697.0258609249659,-55.27192640695435,-55846.40050925757 kJ/mol
Non-binding_donor1_row17193_cand000012,openmm,5.857975929726663,AB,MP,P,M,MP_AB,M_P,-57.89792133304769,-57.89792133304769,2396.6926059493917,-45.765296331471816,-45.765296331471816,1778.3042540014674,-57.89792133332587,-53087.63912913306 kJ/mol
Non-binding_donor1_row17197_cand000456,openmm,-286.76176740673577,AB,MP,P,M,MP_AB,M_P,-48.27190666239201,-48.27190666239201,2186.4599637988345,-56.674859492717644,-56.674859492717644,1925.2159552817075,-48.271906662038674,-57807.14547317944 kJ/mol
Non-binding_donor1_row17319_cand000311,openmm,-124.08736970953304,AB,MP,P,M,MP_AB,M_P,-63.310086050433476,-63.310086050433476,2465.2608443092467,-43.42850521727018,-43.42850521727018,1784.8277595111185,-63.31008605092058,-51653.45092721149 kJ/mol
Non-binding_donor1_row17359_cand000341,openmm,-99.65237003175801,AB,MP,P,M,MP_AB,M_P,-52.789463375991616,-52.789463375991616,1896.9406905571318,-54.026233627191274,-54.026233627191274,1963.086450700312,-52.78946337588152,-51444.267014056415 kJ/mol
Non-binding_donor1_row17524_cand000544,openmm,147.352697023632,AB,MP,P,M,MP_AB,M_P,-45.700610438096135,-45.700610438096135,1847.0559458582534,393.7711095219937,393.7711095219937,2033.512076207158,-45.70061043858129,-41263.62933601669 kJ/mol
Non-binding_donor1_row17545_cand000348,openmm,-267.9267981456587,AB,MP,P,M,MP_AB,M_P,-55.63920490887861,-55.63920490887861,2074.711876379658,-50.95308999048203,-50.95308999048203,1981.6601282447523,-55.63920490866724,-54345.37730775781 kJ/mol
Non-binding_donor1_row17625_cand000494,openmm,-69.96978016241448,AB,MP,P,M,MP_AB,M_P,-39.39790431509041,-39.39790431509041,1923.1537052656265,-57.942383623273145,-57.942383623273145,1967.460858610303,-39.397904314647676,-55582.43623874872 kJ/mol
Non-binding_donor1_row1764_cand000539,openmm,-295.07899387636047,AB,MP,P,M,MP_AB,M_P,-35.365468043463125,-35.365468043463125,1815.418339236296,-43.77913346898558,-43.77913346898558,1961.627425258815,-35.3654680427756,-55018.20678448863 kJ/mol
Non-binding_donor1_row17706_cand000132,openmm,-120.12750958313698,AB,MP,P,M,MP_AB,M_P,-53.02965600910859,-53.02965600910859,2112.9209268880545,-59.472466676695525,-59.472466676695525,1945.54778443038,-53.02965600910859,-49282.36194538813 kJ/mol
Non-binding_donor1_row17799_cand000465,openmm,-180.670213950669,AB,MP,P,M,MP_AB,M_P,-50.38526463655401,-50.38526463655401,2045.0673116511753,-46.58179523707289,-46.58179523707289,1865.7162382757058,-50.38526463619692,-53663.608386694454 kJ/mol
Non-binding_donor1_row17926_cand000086,openmm,-82.0842559490033,AB,MP,P,M,MP_AB,M_P,-35.56581108306148,-35.56581108306148,1681.6970297126634,-48.901070952716836,-48.901070952716836,1908.5700908588312,-35.56581108285914,-52376.847213209345 kJ/mol
Non-binding_donor1_row18031_cand000078,openmm,-269.3969677827809,AB,MP,P,M,MP_AB,M_P,-40.913112839439435,-40.913112839439435,2051.802087327526,-63.113369282424955,-63.113369282424955,1769.3056078738464,-40.91311283938202,-54295.82223897174 kJ/mol
Non-binding_donor1_row18070_cand000138,openmm,-90.06031186586854,AB,MP,P,M,MP_AB,M_P,-38.08161111152415,-38.08161111152415,1877.2493351877893,-42.20658441487927,-42.20658441487927,1824.806085188847,-38.08161111096422,-51885.08956646825 kJ/mol
Non-binding_donor1_row18458_cand000378,openmm,-119.34993159437613,AB,MP,P,M,MP_AB,M_P,-50.272561018013135,-50.272561018013135,2017.8473350485071,-53.350580760233115,-53.350580760233115,1874.6873314722022,-50.272561017756914,-58574.19794086108 kJ/mol
Non-binding_donor1_row18537_cand000398,openmm,187851.67978737538,AB,MP,P,M,MP_AB,M_P,17820.637099319283,17820.637099319283,2267.5513429067305,789.7659034637036,789.7659034637036,794.5684258111633,17820.637099319167,272147175339597.44 kJ/mol
Non-binding_donor1_row1858_cand000239,openmm,63.48949295298097,AB,MP,P,M,MP_AB,M_P,335.7386194969346,335.7386194969346,1565.111898019415,-61.88103194358581,-61.88103194358581,1933.5943113931705,335.738619497135,-46693.150476614566 kJ/mol
Non-binding_donor1_row18727_cand000288,openmm,-198.37407662802696,AB,MP,P,M,MP_AB,M_P,-46.98615042734335,-46.98615042734335,2259.7098268021246,-53.16014414252786,-53.16014414252786,1932.5959753040106,-46.98615042726914,-54888.21661083777 kJ/mol
Non-binding_donor1_row18774_cand000531,openmm,601.9852739378756,AB,MP,P,M,MP_AB,M_P,288.3124254956185,288.3124254956185,2195.21994196901,391.1037875303091,391.1037875303091,1930.2544415795348,288.3124254957204,-33122.24981641212 kJ/mol
Non-binding_donor1_row18794_cand000535,openmm,446.53220928854114,AB,MP,P,M,MP_AB,M_P,269.3671536724153,269.3671536724153,1992.734444031148,-54.543099621905895,-54.543099621905895,1931.0047702604957,269.3671536724506,-47211.430702394355 kJ/mol
