tcr,region,best_method,best_score
1KGC,A_CDR1,dihed_pca,0.7429366150400694
1KGC,A_CDR2,dihed_kpca_cosine,0.6135827815416646
1KGC,A_CDR3,dihed_kpca_cosine,0.44704379047061815
1KGC,A_variable_A_CDR1,dihed_pca,0.742936542561901
1KGC,A_variable_A_CDR1A_CDR2A_CDR3,dihed_diffmap,0.4572898477369371
1KGC,A_variable_A_CDR1A_CDR2A_CDR3B_CDR1B_CDR2B_CDR3,dihed_pca,0.15895697171860002
1KGC,A_variable_A_CDR2,dihed_pca,0.6135855630705138
1KGC,A_variable_A_CDR3,dihed_kpca_cosine,0.4470442007962581
1KGC,A_variable_A_variable,dihed_diffmap,0.4580809030820062
1KGC,A_variable_B_CDR1,dihed_pca,0.588295128768322
1KGC,A_variable_B_CDR1B_CDR2B_CDR3,dihed_pca,0.4683880930564474
1KGC,A_variable_B_CDR2,dihed_pca,0.3350366812958534
1KGC,A_variable_B_CDR3,dihed_kpca_cosine,0.524294211563006
1KGC,B_CDR1,dihed_kpca_cosine,0.588291554289167
1KGC,B_CDR2,dihed_pca,0.33503746152573993
1KGC,B_CDR3,dihed_pca,0.524294061967875
1KGC,B_variable_A_CDR1,dihed_kpca_cosine,0.7429360403185826
1KGC,B_variable_A_CDR1A_CDR2A_CDR3,dihed_diffmap,0.4572908400682594
1KGC,B_variable_A_CDR1A_CDR2A_CDR3B_CDR1B_CDR2B_CDR3,dihed_pca,0.15895589589423811
1KGC,B_variable_A_CDR2,dihed_pca,0.6135850553177277
1KGC,B_variable_A_CDR3,dihed_kpca_cosine,0.4470441752922198
1KGC,B_variable_B_CDR1,dihed_pca,0.5882894904798837
1KGC,B_variable_B_CDR1B_CDR2B_CDR3,dihed_pca,0.4683871290020632
1KGC,B_variable_B_CDR2,dihed_pca,0.33503596133613567
1KGC,B_variable_B_CDR3,dihed_kpca_cosine,0.5242905809234855
1KGC,B_variable_B_variable,dihed_kpca_cosine,0.4653841605473173
2BNU,A_CDR1,dihed_diffmap,0.45624586417880597
2BNU,A_CDR2,dihed_kpca_cosine,0.7552166583056708
2BNU,A_CDR3,dihed_kpca_rbf,0.35893477757993536
2BNU,A_variable_A_CDR1,dihed_diffmap,0.4562451267939075
2BNU,A_variable_A_CDR1A_CDR2A_CDR3,dihed_diffmap,0.5040363352225107
