TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10874_cand000532,none,28462.01498734062,AB,MP,P,M,MP_AB,M_P,13278.155463716828,13278.155463716828,1578.6502929148337,1965.3900239444747,1965.3900239444747,1792.2800827065673,13278.155463716454
Non-binding_donor1_row10209_cand000230,none,29544.24845897866,AB,MP,P,M,MP_AB,M_P,11871.370159055543,11871.370159055543,1771.2232437866162,2587.818692960631,2587.818692960631,1808.243376008555,11871.370159055623
Non-binding_donor1_row10017_cand000127,none,30300.14813681267,AB,MP,P,M,MP_AB,M_P,7142.230464833949,7142.230464833949,1938.2069373535112,2251.2927481748548,2251.2927481748548,1771.6907670726032,7142.230464833716
Non-binding_donor1_row10465_cand000349,none,39551.893407466865,AB,MP,P,M,MP_AB,M_P,13580.338389158285,13580.338389158285,1772.6109356823292,1922.4830799880892,1922.4830799880892,1712.4063228550513,13580.338389157892
Non-binding_donor1_row11312_cand000527,none,24944.86211639951,AB,MP,P,M,MP_AB,M_P,8353.570002853648,8353.570002853648,1796.5523849768074,2301.5373724518413,2301.5373724518413,1759.5265901310731,8353.570002853736
Non-binding_donor1_row10883_cand000305,none,27972.550473144624,AB,MP,P,M,MP_AB,M_P,11396.493069967852,11396.493069967852,2028.9956527951872,2362.6359969529813,2362.6359969529813,1729.2928643032685,11396.493069967652
Non-binding_donor1_row11119_cand000336,none,27224.98411118216,AB,MP,P,M,MP_AB,M_P,9864.178772879259,9864.178772879259,1910.999333195984,1905.0286087103714,1905.0286087103714,1744.1435761417697,9864.178772879637
Non-binding_donor1_row11733_cand000165,none,50816.98439212012,AB,MP,P,M,MP_AB,M_P,22936.40149254639,22936.40149254639,1735.2626738039978,2225.2089926785493,2225.2089926785493,1804.2965737653021,22936.40149254629
Non-binding_donor1_row12272_cand000445,none,18336.26356023779,AB,MP,P,M,MP_AB,M_P,5742.623967487849,5742.623967487849,1771.7695628705658,1934.0899271661365,1934.0899271661365,1765.6347615778818,5742.6239674875105
Non-binding_donor1_row12043_cand000579,none,15182.70220370072,AB,MP,P,M,MP_AB,M_P,5028.354389103011,5028.354389103011,1971.4145646003742,1741.7807491669437,1741.7807491669437,1719.5738858867644,5028.354389103013
Non-binding_donor1_row12082_cand000443,none,24394.258021862195,AB,MP,P,M,MP_AB,M_P,11377.67465870399,11377.67465870399,1950.7602839331405,1989.4173417408156,1989.4173417408156,1774.5119327895643,11377.674658703963
Non-binding_donor1_row11951_cand000034,none,25384.15908031934,AB,MP,P,M,MP_AB,M_P,7426.257813300268,7426.257813300268,2071.587108700058,1878.793325468443,1878.793325468443,1763.7836110740843,7426.257813300508
Non-binding_donor1_row12755_cand000523,none,26444.469724965886,AB,MP,P,M,MP_AB,M_P,10160.874834475757,10160.874834475757,1532.2920674183074,2178.3463963592085,2178.3463963592085,1737.080500154611,10160.874834475773
