TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row1046_cand000007,none,20723.165750307337,AB,MP,P,M,MP_AB,M_P,11001.15316930734,11001.15316930734,2167.4535842262394,2851.23455697562,2851.23455697562,1887.2984755996395,11001.153169307516
Non-binding_donor1_row10289_cand000522,none,27889.335157305948,AB,MP,P,M,MP_AB,M_P,10916.368423310432,10916.368423310432,1657.6303355910627,1063.762094264779,1063.762094264779,1816.7186017720128,10916.36842331049
Non-binding_donor1_row10081_cand000598,none,28917.794423549614,AB,MP,P,M,MP_AB,M_P,4907.388656781106,4907.388656781106,1775.7313827024047,1571.9431332598524,1571.9431332598524,1806.216187717892,4907.388656780891
Non-binding_donor1_row1001_cand000507,none,16245.991005443264,AB,MP,P,M,MP_AB,M_P,7251.326759145899,7251.326759145899,1888.2218168300963,2001.2431105789328,2001.2431105789328,1834.695904189556,7251.326759146037
Non-binding_donor1_row1050_cand000587,none,19882.697170868345,AB,MP,P,M,MP_AB,M_P,4313.847257195772,4313.847257195772,1943.2687800352387,1916.6923828606477,1916.6923828606477,1865.9021042055147,4313.847257195794
Non-binding_donor1_row10550_cand000353,none,23703.84692996219,AB,MP,P,M,MP_AB,M_P,4643.27787726235,4643.27787726235,1844.5979404950285,1443.6782725199264,1443.6782725199264,1861.9171529433236,4643.277877262011
Non-binding_donor1_row10556_cand000282,none,33736.42602911412,AB,MP,P,M,MP_AB,M_P,17606.84315091534,17606.84315091534,2131.020720391013,1944.1520352050165,1944.1520352050165,1770.1177677524408,17606.843150915898
Non-binding_donor1_row10555_cand000359,none,28570.055243368548,AB,MP,P,M,MP_AB,M_P,5975.416856453809,5975.416856453809,1755.0211118727675,1272.3635599852123,1272.3635599852123,1888.3109760053067,5975.416856454016
Non-binding_donor1_row10602_cand000182,none,35935.630953378204,AB,MP,P,M,MP_AB,M_P,8830.646321222637,8830.646321222637,2117.38595229281,2064.7578296546744,2064.7578296546744,1799.3468820627977,8830.646321223077
Non-binding_donor1_row10611_cand000369,none,16657.1727730455,AB,MP,P,M,MP_AB,M_P,3312.014526250274,3312.014526250274,2180.1049950387746,2608.0584959157786,2608.0584959157786,1830.1790153564514,3312.0145262499427
Non-binding_donor1_row10800_cand000152,none,24187.921846760484,AB,MP,P,M,MP_AB,M_P,2992.3426870950534,2992.3426870950534,1805.872078602568,1235.789045862165,1235.789045862165,1874.7345794743087,2992.342687095752
