TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10203_cand000271,none,21379.568215723528,AB,MP,P,M,MP_AB,M_P,7533.796627972761,7533.796627972761,1629.309777633144,435.4232575382134,435.4232575382134,1682.7710355211705,7533.79662797233
Non-binding_donor1_row10176_cand000317,none,27227.288407907945,AB,MP,P,M,MP_AB,M_P,6279.388048057899,6279.388048057899,1644.1999339127397,577.8513806845103,577.8513806845103,1664.7087316905463,6279.388048057579
Non-binding_donor1_row10018_cand000412,none,23133.748207997967,AB,MP,P,M,MP_AB,M_P,5505.28173062663,5505.28173062663,1881.885976878638,488.5642656184052,488.5642656184052,1707.8011979319854,5505.281730626542
Non-binding_donor1_row10127_cand000113,none,37235.10797260634,AB,MP,P,M,MP_AB,M_P,14988.820852027828,14988.820852027828,1809.5770325106262,609.699181663475,609.699181663475,1689.4145498701882,14988.820852027482
Non-binding_donor1_row11171_cand000357,none,14633.895302380655,AB,MP,P,M,MP_AB,M_P,5733.681334548632,5733.681334548632,1903.177209638622,366.89846873863235,366.89846873863235,1633.1529538609404,5733.681334548608
Non-binding_donor1_row11148_cand000516,none,19864.047052016103,AB,MP,P,M,MP_AB,M_P,7789.265068449955,7789.265068449955,1874.1416329497642,628.0806081823252,628.0806081823252,1747.4849042749581,7789.265068449631
Non-binding_donor1_row1118_cand000153,none,15260.316216159632,AB,MP,P,M,MP_AB,M_P,4419.427969146487,4419.427969146487,1648.018349736216,348.7304615458602,348.7304615458602,1750.2286394292826,4419.42796914666
Non-binding_donor1_row10956_cand000296,none,15666.10928371035,AB,MP,P,M,MP_AB,M_P,6641.824278109731,6641.824278109731,2119.0484520970144,432.8791894032595,432.8791894032595,1681.1463279130367,6641.824278109489
Non-binding_donor1_row12104_cand000009,none,12688.088671903428,AB,MP,P,M,MP_AB,M_P,3749.521286912446,3749.521286912446,1960.950935640742,391.9238313164665,391.9238313164665,1726.0722353841297,3749.5212869123025
Non-binding_donor1_row11213_cand000577,none,13576.037893008948,AB,MP,P,M,MP_AB,M_P,1664.3544390227853,1664.3544390227853,1764.4273428013514,380.6108000168442,380.6108000168442,1700.1351766229216,1664.3544390234529
Non-binding_donor1_row11502_cand000452,none,17530.86358351089,AB,MP,P,M,MP_AB,M_P,7324.05203537739,7324.05203537739,1621.5116077501386,383.93167778784346,383.93167778784346,1680.6951331518296,7324.052035377126
Non-binding_donor1_row11584_cand000078,none,12310.376920185445,AB,MP,P,M,MP_AB,M_P,5232.168657267844,5232.168657267844,2036.7860889303518,240.77667223377512,240.77667223377512,1680.833316686474,5232.168657267428
Non-binding_donor1_row12123_cand000318,none,13041.317641026491,AB,MP,P,M,MP_AB,M_P,8016.991248838015,8016.991248838015,1717.267421644725,376.27169916712955,376.27169916712955,1695.7237367047135,8016.991248837555
Non-binding_donor1_row12429_cand000178,none,17280.745810196622,AB,MP,P,M,MP_AB,M_P,9028.38515752863,9028.38515752863,1647.6153027913074,359.80417622332993,359.80417622332993,1700.9774414918584,9028.385157528395
Non-binding_donor1_row12385_cand000594,none,13787.069380858577,AB,MP,P,M,MP_AB,M_P,4682.787285118731,4682.787285118731,1891.2425473722392,393.57014867196676,393.57014867196676,1706.1690590997468,4682.787285118944
Non-binding_donor1_row12543_cand000526,none,10865.885663088353,AB,MP,P,M,MP_AB,M_P,4750.14744057766,4750.14744057766,1735.0909799477151,381.2593737321158,381.2593737321158,1673.4729529500578,4750.147440578114
Non-binding_donor1_row12603_cand000211,none,16029.378658151138,AB,MP,P,M,MP_AB,M_P,8916.417102257645,8916.417102257645,1766.6931757784043,588.8177861723188,588.8177861723188,1723.8147179313355,8916.417102257717
Non-binding_donor1_row12670_cand000470,none,37732.4163227761,AB,MP,P,M,MP_AB,M_P,20506.18997970773,20506.18997970773,1847.3535749163418,499.24475741894094,499.24475741894094,1723.6548457718527,20506.189979707517
Non-binding_donor1_row12844_cand000226,none,16481.425628224093,AB,MP,P,M,MP_AB,M_P,6372.998550762524,6372.998550762524,1677.9595040822546,412.5531872292386,412.5531872292386,1694.592623723081,6372.998550762279
Non-binding_donor1_row12923_cand000474,none,13563.697567276871,AB,MP,P,M,MP_AB,M_P,6722.033940413692,6722.033940413692,1542.9373269754306,397.31324105515523,397.31324105515523,1670.805477048518,6722.033940414009
Non-binding_donor1_row12973_cand000423,none,13329.129483693741,AB,MP,P,M,MP_AB,M_P,4226.993209455171,4226.993209455171,1861.0105358456115,395.6319047632037,395.6319047632037,1660.2209859774403,4226.9932094552605
Non-binding_donor1_row13475_cand000502,none,15145.658488474648,AB,MP,P,M,MP_AB,M_P,4668.562927168234,4668.562927168234,1747.669971231821,419.52937823423554,419.52937823423554,1703.6359657935911,4668.56292716791
Non-binding_donor1_row13699_cand000203,none,10913.610495688778,AB,MP,P,M,MP_AB,M_P,1020.2140007607304,1020.2140007607304,1632.1730562057007,329.6280983304746,329.6280983304746,1706.6755226205996,1020.2140007609032
Non-binding_donor1_row13851_cand000217,none,20732.01931286137,AB,MP,P,M,MP_AB,M_P,7636.094166218185,7636.094166218185,1724.5937087971236,823.7188667994769,823.7188667994769,1687.327601505937,7636.0941662179175
Non-binding_donor1_row14151_cand000414,none,15206.457850801231,AB,MP,P,M,MP_AB,M_P,2774.1946443827364,2774.1946443827364,1722.665903432578,461.57158295898034,461.57158295898034,1734.71239864041,2774.1946443825655
Non-binding_donor1_row14387_cand000209,none,29972.40585890188,AB,MP,P,M,MP_AB,M_P,17043.32093374356,17043.32093374356,1621.3767830046768,428.7143553970127,428.7143553970127,1639.3438228862178,17043.320933743555
Non-binding_donor1_row14221_cand000425,none,40879.32876870251,AB,MP,P,M,MP_AB,M_P,20506.734728837448,20506.734728837448,1414.2679776914508,567.166721606045,567.166721606045,1734.653972774072,20506.734728838073
Non-binding_donor1_row14299_cand000430,none,14903.851641669618,AB,MP,P,M,MP_AB,M_P,6943.579738686926,6943.579738686926,1806.114082078141,427.70549677112695,427.70549677112695,1693.2135110902686,6943.579738687054
Non-binding_donor1_row145_cand000319,none,17456.42735854493,AB,MP,P,M,MP_AB,M_P,8812.949412776092,8812.949412776092,1811.0285026157178,408.6053966979025,408.6053966979025,1684.6295784639779,8812.949412776306
Non-binding_donor1_row14709_cand000140,none,29973.89062401027,AB,MP,P,M,MP_AB,M_P,15376.058865221208,15376.058865221208,1782.2511493289467,440.5002836051417,440.5002836051417,1637.0597996998501,15376.058865221245
Non-binding_donor1_row14785_cand000120,none,22095.727041816128,AB,MP,P,M,MP_AB,M_P,12236.046227727085,12236.046227727085,1493.7433835944917,583.6205978302178,583.6205978302178,1720.2116369524617,12236.046227726809
Non-binding_donor1_row1476_cand000416,none,17197.86231061905,AB,MP,P,M,MP_AB,M_P,7604.907867220954,7604.907867220954,1763.3520182996326,337.0555726208954,337.0555726208954,1692.7677927844034,7604.907867221129
Non-binding_donor1_row14826_cand000112,none,20126.810106058387,AB,MP,P,M,MP_AB,M_P,8370.847404512246,8370.847404512246,1627.2416322826998,488.7050663403793,488.7050663403793,1688.2757574398472,8370.847404512424
Non-binding_donor1_row1488_cand000221,none,23462.729749922775,AB,MP,P,M,MP_AB,M_P,5468.564310934842,5468.564310934842,1781.9859833949458,296.4863671037674,296.4863671037674,1716.4221935945698,5468.564310935493
Non-binding_donor1_row14999_cand000509,none,11560.222063876216,AB,MP,P,M,MP_AB,M_P,2678.8497037927646,2678.8497037927646,1916.4030121864982,321.09290976010925,321.09290976010925,1690.8692546521595,2678.849703792761
Non-binding_donor1_row15266_cand000019,none,33239.08512487136,AB,MP,P,M,MP_AB,M_P,15296.74021484502,15296.74021484502,1611.1020917543367,390.0872284156749,390.0872284156749,1684.946832779877,15296.74021484529
Non-binding_donor1_row15385_cand000542,none,10265.816771001715,AB,MP,P,M,MP_AB,M_P,990.5342210340878,990.5342210340878,1569.124797820695,325.4229007511253,325.4229007511253,1659.9113568111175,990.5342210337112
Non-binding_donor1_row15422_cand000299,none,10127.593316937015,AB,MP,P,M,MP_AB,M_P,2176.7866126702083,2176.7866126702083,1688.7112675088429,195.40273478990457,195.40273478990457,1607.3635421974327,2176.7866126700937
Non-binding_donor1_row15534_cand000168,none,17227.118297825506,AB,MP,P,M,MP_AB,M_P,4660.452425126601,4660.452425126601,1494.2949774512917,409.8359807562647,409.8359807562647,1688.1149854661726,4660.452425126881
Non-binding_donor1_row1569_cand000166,none,12207.571964363791,AB,MP,P,M,MP_AB,M_P,5513.833415571046,5513.833415571046,1741.0201504264392,422.72121056265814,422.72121056265814,1670.117150219607,5513.833415571014
Non-binding_donor1_row16978_cand000562,none,15284.14011816009,AB,MP,P,M,MP_AB,M_P,6985.500516405369,6985.500516405369,1906.684879285054,342.1654559721587,342.1654559721587,1658.0903733538134,6985.500516405307
Non-binding_donor1_row17106_cand000239,none,16834.889683066194,AB,MP,P,M,MP_AB,M_P,7212.123300752233,7212.123300752233,1826.455452360057,343.1321851232674,343.1321851232674,1651.7782776372019,7212.123300751955
Non-binding_donor1_row17115_cand000490,none,23060.49373025126,AB,MP,P,M,MP_AB,M_P,13838.345851698195,13838.345851698195,1853.6574094078267,395.3369838073295,395.3369838073295,1709.9679582636752,13838.345851698017
Non-binding_donor1_row17265_cand000054,none,21884.395839376783,AB,MP,P,M,MP_AB,M_P,9616.399028609363,9616.399028609363,1939.2938818695397,365.00416944113476,365.00416944113476,1686.0814829621268,9616.399028609394
Non-binding_donor1_row17346_cand000090,none,11915.315690834235,AB,MP,P,M,MP_AB,M_P,5655.533049253056,5655.533049253056,2207.876930078133,364.1640122219487,364.1640122219487,1709.8469410118519,5655.533049252957
Non-binding_donor1_row17466_cand000356,none,12009.547215767338,AB,MP,P,M,MP_AB,M_P,5442.684024023864,5442.684024023864,1942.236700913874,397.309519745892,397.309519745892,1614.3152661783151,5442.684024023931
Non-binding_donor1_row17542_cand000548,none,25119.98979866641,AB,MP,P,M,MP_AB,M_P,5072.346020975394,5072.346020975394,1719.7355964597252,515.0110570295478,515.0110570295478,1694.3177615154577,5072.3460209754085
Non-binding_donor1_row17548_cand000448,none,24111.49310773693,AB,MP,P,M,MP_AB,M_P,10363.75047487204,10363.75047487204,1675.6327009366655,364.7678761908858,364.7678761908858,1684.756475536126,10363.750474871798
Non-binding_donor1_row17695_cand000132,none,17334.13574742219,AB,MP,P,M,MP_AB,M_P,5842.510647611425,5842.510647611425,1991.9079724526864,362.00692135395025,362.00692135395025,1668.94061213531,5842.510647611516
Non-binding_donor1_row17869_cand000466,none,17873.385211960092,AB,MP,P,M,MP_AB,M_P,8696.666383519452,8696.666383519452,1506.4791287164833,1145.5022964575883,1145.5022964575883,1669.0741802437099,8696.666383519347
Non-binding_donor1_row17794_cand000087,none,17388.479970098888,AB,MP,P,M,MP_AB,M_P,7864.866122462223,7864.866122462223,1764.539292098084,655.5594134060384,655.5594134060384,1726.4099216878053,7864.866122462465
Non-binding_donor1_row17716_cand000027,none,26707.190079350337,AB,MP,P,M,MP_AB,M_P,8902.025581809306,8902.025581809306,1839.6469223422919,575.0027321562648,575.0027321562648,1696.6908507928097,8902.025581809427
