TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10209_cand000233,openmm,-404.7240452868509,AB,MP,P,M,MP_AB,M_P,-50.32438672818677,-50.32438672818677,1992.9200074372202,-58.11015497728961,-58.11015497728961,1779.3023030809281,-50.324386728412605,-55362.45724503694 kJ/mol
Non-binding_donor1_row10017_cand000127,openmm,329.45975462556225,AB,MP,P,M,MP_AB,M_P,-43.97805031190285,-43.97805031190285,2156.8246687079345,-67.76738935240337,-67.76738935240337,1885.0099300712548,-43.97805031161863,-48438.68840806943 kJ/mol
Non-binding_donor1_row10875_cand000518,openmm,-282.2763069278258,AB,MP,P,M,MP_AB,M_P,-36.72905066065326,-36.72905066065326,1776.2174918056703,-63.67299154556186,-63.67299154556186,1897.9096120306315,-36.729050660869916,-53809.59288323284 kJ/mol
Non-binding_donor1_row10465_cand000353,openmm,364.1098155102346,AB,MP,P,M,MP_AB,M_P,-44.19699439126947,-44.19699439126947,1940.9187446180515,-65.68029457660646,-65.68029457660646,1930.963029741807,-44.19699439085434,-41838.37269595883 kJ/mol
Non-binding_donor1_row11120_cand000342,openmm,-230.52680343419945,AB,MP,P,M,MP_AB,M_P,-35.83180222970029,-35.83180222970029,2036.4470373913484,-53.79753215198569,-53.79753215198569,1852.2613089036283,-35.83180222992709,-54133.72060865727 kJ/mol
Non-binding_donor1_row10884_cand000312,openmm,-270.9505562579148,AB,MP,P,M,MP_AB,M_P,-42.20736326161233,-42.20736326161233,2093.547112844312,-60.26664142757261,-60.26664142757261,1864.4032619860163,-42.207363262351066,-54599.661088607114 kJ/mol
Non-binding_donor1_row11313_cand000536,openmm,-75.89234262789577,AB,MP,P,M,MP_AB,M_P,-39.81140545418819,-39.81140545418819,1844.089785944055,-67.43871413695301,-67.43871413695301,1878.7817342710414,-39.81140545400723,-53122.46352381924 kJ/mol
Non-binding_donor1_row11735_cand000162,openmm,-87.42684249198254,AB,MP,P,M,MP_AB,M_P,-57.721493358223455,-57.721493358223455,2376.3619558675928,-52.284720774486054,-52.284720774486054,1783.2338395109896,-57.721493358410456,-55453.12511379367 kJ/mol
Non-binding_donor1_row11953_cand000034,openmm,-291.0567227236169,AB,MP,P,M,MP_AB,M_P,-46.08167843830603,-46.08167843830603,2031.955971674155,-55.55247337760851,-55.55247337760851,1834.598708742767,-46.08167843813794,-52341.35031571111 kJ/mol
Non-binding_donor1_row12047_cand000574,openmm,-344.80681347414753,AB,MP,P,M,MP_AB,M_P,-39.24778409041954,-39.24778409041954,2021.2449558678354,-65.92525579626982,-65.92525579626982,1894.5066311112441,-39.24778409008974,-56538.963221813 kJ/mol
