BA,BC1,AC1,BC2,AC2,dc,alpha_cdr3_bend_deg,alpha_cdr3_apex_height_A,alpha_cdr3_apex_resi,beta_cdr3_bend_deg,beta_cdr3_apex_height_A,beta_cdr3_apex_resi,alpha_germline,beta_germline,tcr_name,state,alpha_v_gene,alpha_v_score,alpha_j_gene,alpha_j_score,beta_v_gene,beta_v_score,beta_j_gene,beta_j_score,alpha_vj,beta_vj,germline_vj_pair,PC1,PC2
-62.75968956047505,106.96349978291107,-107.9194277000616,-159.86715817236546,148.1019671448397,26.814335898394894,138.7114607121087,15.603648110166567,110,164.59979690943896,18.664327033939905,110,"{'v_gene': [('human', 'TRAV12-2*01'), 0.9347826086956522], 'j_gene': [('human', 'TRAJ24*02'), 0.9285714285714286]}","{'v_gene': [('human', 'TRBV6-5*01'), 0.9473684210526315], 'j_gene': [('human', 'TRBJ2-7*01'), 1.0]}",1ao7_DE_aho,unbound,TRAV12-2*01,0.9347826086956522,TRAJ24*02,0.9285714285714286,TRBV6-5*01,0.9473684210526316,TRBJ2-7*01,1.0,TRAV12-2*01-TRAJ24*02,TRBV6-5*01-TRBJ2-7*01,TRAV12-2*01-TRAJ24*02|TRBV6-5*01-TRBJ2-7*01,-2.013929165088173,0.3448521634631057
-64.8264402167931,94.95246503588265,-100.83688832034832,157.89287483218186,157.33138177235287,25.8292462803675,143.98393206472815,14.231368529407204,113,143.6794629182443,17.02118182933137,110,"{'v_gene': [('mouse', 'TRAV14D-2*01'), 0.956989247311828], 'j_gene': [('mouse', 'TRAJ4*02'), 0.8571428571428571]}","{'v_gene': [('mouse', 'TRBV13-2*01'), 0.9578947368421052], 'j_gene': [('mouse', 'TRBJ2-1*01'), 1.0]}",1bwm_AA_aho,unbound,TRAV14D-2*01,0.956989247311828,TRAJ4*02,0.8571428571428571,TRBV13-2*01,0.9578947368421052,TRBJ2-1*01,1.0,TRAV14D-2*01-TRAJ4*02,TRBV13-2*01-TRBJ2-1*01,TRAV14D-2*01-TRAJ4*02|TRBV13-2*01-TRBJ2-1*01,4.391005302414832,2.2326527676953893
-71.07907332478344,103.29692553631531,-108.67371029186884,-158.4637387007866,153.11981846707693,26.082096967161245,126.352797599684,14.32138656762887,113,145.41198955367403,15.92013112411174,110,"{'v_gene': [('mouse', 'TRAV14D-2*01'), 0.956989247311828], 'j_gene': [('mouse', 'TRAJ4*02'), 0.8571428571428571]}","{'v_gene': [('mouse', 'TRBV13-2*01'), 0.9578947368421052], 'j_gene': [('mouse', 'TRBJ2-1*01'), 1.0]}",1d9k_AB_aho,unbound,TRAV14D-2*01,0.956989247311828,TRAJ4*02,0.8571428571428571,TRBV13-2*01,0.9578947368421052,TRBJ2-1*01,1.0,TRAV14D-2*01-TRAJ4*02,TRBV13-2*01-TRBJ2-1*01,TRAV14D-2*01-TRAJ4*02|TRBV13-2*01-TRBJ2-1*01,0.7073852401582204,-1.4318401795188784
-68.2063485450075,102.6735512897261,-108.8791395972822,-157.61427543452882,154.50277661962832,25.84296129502811,134.77695833932995,13.934858516409488,113,154.39836437606425,15.832511697393551,110,"{'v_gene': [('mouse', 'TRAV14D-2*01'), 0.956989247311828], 'j_gene': [('mouse', 'TRAJ4*02'), 0.8571428571428571]}","{'v_gene': [('mouse', 'TRBV13-2*01'), 0.9578947368421052], 'j_gene': [('mouse', 'TRBJ2-1*01'), 1.0]}",1d9k_EF_aho,unbound,TRAV14D-2*01,0.956989247311828,TRAJ4*02,0.8571428571428571,TRBV13-2*01,0.9578947368421052,TRBJ2-1*01,1.0,TRAV14D-2*01-TRAJ4*02,TRBV13-2*01-TRBJ2-1*01,TRAV14D-2*01-TRAJ4*02|TRBV13-2*01-TRBJ2-1*01,1.0651881541290544,-1.6119435914399292
-61.37113855857271,100.0770837913957,-111.83982887568824,-160.3837973722367,153.4226336365212,26.33858961306962,144.06138551577249,15.499358959278876,110,-174.93082164417945,17.407832233104312,110,"{'v_gene': [('human', 'TRAV8-4*01'), 0.9680851063829787], 'j_gene': [('human', 'TRAJ48*01'), 0.9285714285714286]}","{'v_gene': [('human', 'TRBV28*01'), 0.9578947368421052], 'j_gene': [('human', 'TRBJ1-2*01'), 1.0]}",1fyt_DE_aho,unbound,TRAV8-4*01,0.9680851063829788,TRAJ48*01,0.9285714285714286,TRBV28*01,0.9578947368421052,TRBJ1-2*01,1.0,TRAV8-4*01-TRAJ48*01,TRBV28*01-TRBJ1-2*01,TRAV8-4*01-TRAJ48*01|TRBV28*01-TRBJ1-2*01,2.47437120661758,0.17314284517698325
-67.49122693537814,104.7386152202132,-110.16897161572788,-159.8099514128267,149.11625420475525,26.05151888820585,167.05981486169185,13.597706566972038,109,152.80575519156517,13.825249763333597,109,"{'v_gene': [('mouse', 'TRAV9-4*01'), 0.9680851063829787], 'j_gene': [('mouse', 'TRAJ35*02'), 0.9285714285714286]}","{'v_gene': [('mouse', 'TRBV13-2*01'), 0.9578947368421052], 'j_gene': [('mouse', 'TRBJ2-4*01'), 1.0]}",1g6r_AB_aho,unbound,TRAV9-4*01,0.9680851063829788,TRAJ35*02,0.9285714285714286,TRBV13-2*01,0.9578947368421052,TRBJ2-4*01,1.0,TRAV9-4*01-TRAJ35*02,TRBV13-2*01-TRBJ2-4*01,TRAV9-4*01-TRAJ35*02|TRBV13-2*01-TRBJ2-4*01,0.2835223873476914,-0.2852153428533561
-67.25122175379393,104.70781265304583,-110.31631596268448,-160.51621209171023,149.3052406092399,25.942578007251765,155.47212769701918,13.211097521623264,113,151.2495785132319,13.836277992033883,109,"{'v_gene': [('mouse', 'TRAV9-4*01'), 0.9680851063829787], 'j_gene': [('mouse', 'TRAJ35*02'), 0.9285714285714286]}","{'v_gene': [('mouse', 'TRBV13-2*01'), 0.9578947368421052], 'j_gene': [('mouse', 'TRBJ2-4*01'), 1.0]}",1g6r_CD_aho,unbound,TRAV9-4*01,0.9680851063829788,TRAJ35*02,0.9285714285714286,TRBV13-2*01,0.9578947368421052,TRBJ2-4*01,1.0,TRAV9-4*01-TRAJ35*02,TRBV13-2*01-TRBJ2-4*01,TRAV9-4*01-TRAJ35*02|TRBV13-2*01-TRBJ2-4*01,0.5715358210219461,-0.2239978527833322
-60.93951825244103,99.51530223986458,-111.80858587196136,160.67213443390915,152.89337928451243,26.50491649482777,145.34208538920075,15.40798729620098,110,175.87894157586416,17.445438059458795,110,"{'v_gene': [('human', 'TRAV8-4*01'), 0.9680851063829787], 'j_gene': [('human', 'TRAJ48*01'), 0.9285714285714286]}","{'v_gene': [('human', 'TRBV28*01'), 0.9578947368421052], 'j_gene': [('human', 'TRBJ1-2*01'), 1.0]}",1j8h_DE_aho,unbound,TRAV8-4*01,0.9680851063829788,TRAJ48*01,0.9285714285714286,TRBV28*01,0.9578947368421052,TRBJ1-2*01,1.0,TRAV8-4*01-TRAJ48*01,TRBV28*01-TRBJ1-2*01,TRAV8-4*01-TRAJ48*01|TRBV28*01-TRBJ1-2*01,4.559787111662711,3.4324424186381344
-70.35165449898476,100.11076698002717,-108.0787174908716,-161.23475063736095,149.84626390517303,26.055542419869862,135.14164441595796,16.44358714276801,110,123.38195814812195,22.12765030373656,112B,"{'v_gene': [('mouse', 'TRAV14D-1*01'), 0.956989247311828], 'j_gene': [('mouse', 'TRAJ15*01'), 0.9285714285714286]}","{'v_gene': [('mouse', 'TRBV1*01'), 0.968421052631579], 'j_gene': [('mouse', 'TRBJ2-3*01'), 1.0]}",1kb5_AB_aho,unbound,TRAV14D-1*01,0.956989247311828,TRAJ15*01,0.9285714285714286,TRBV1*01,0.968421052631579,TRBJ2-3*01,1.0,TRAV14D-1*01-TRAJ15*01,TRBV1*01-TRBJ2-3*01,TRAV14D-1*01-TRAJ15*01|TRBV1*01-TRBJ2-3*01,1.8760733719283145,-0.028455844240841688
-71.54851697535462,106.13729004175002,-103.06196957928366,-157.93189078120622,148.55437620642874,26.435218319546426,149.42697842423124,20.56205065233151,111,157.510505015736,16.00781630825649,113,"{'v_gene': [('human', 'TRAV26-2*01'), 0.9347826086956522], 'j_gene': [('human', 'TRAJ52*01'), 0.9285714285714286]}","{'v_gene': [('human', 'TRBV7-8*01'), 0.96875], 'j_gene': [('human', 'TRBJ2-7*01'), 1.0]}",1kgc_DE_aho,unbound,TRAV26-2*01,0.9347826086956522,TRAJ52*01,0.9285714285714286,TRBV7-8*01,0.96875,TRBJ2-7*01,1.0,TRAV26-2*01-TRAJ52*01,TRBV7-8*01-TRBJ2-7*01,TRAV26-2*01-TRAJ52*01|TRBV7-8*01-TRBJ2-7*01,-2.4573250252374828,-0.899648405806178
-64.90032041942851,94.80437948548763,-110.00548860377056,162.24450356002592,149.87029631885838,26.251397713698594,149.21995034547396,16.129823758483273,110,146.2381453110531,14.97474514191494,109,"{'v_gene': [('mouse', 'TRAV14D-1*01'), 0.956989247311828], 'j_gene': [('mouse', 'TRAJ15*01'), 0.9285714285714286]}","{'v_gene': [('mouse', 'TRBV1*01'), 0.968421052631579], 'j_gene': [('mouse', 'TRBJ2-3*01'), 1.0]}",1kj2_AB_aho,unbound,TRAV14D-1*01,0.956989247311828,TRAJ15*01,0.9285714285714286,TRBV1*01,0.968421052631579,TRBJ2-3*01,1.0,TRAV14D-1*01-TRAJ15*01,TRBV1*01-TRBJ2-3*01,TRAV14D-1*01-TRAJ15*01|TRBV1*01-TRBJ2-3*01,5.628179885815713,3.874473751061169
-63.80619426198524,95.77611798495798,-109.9284339486818,161.2371260029267,149.95282323976664,26.420042618656943,153.0086333597263,16.022909299562397,110,129.64478764667223,14.78529325368487,111,"{'v_gene': [('mouse', 'TRAV14D-1*01'), 0.956989247311828], 'j_gene': [('mouse', 'TRAJ15*01'), 0.9285714285714286]}","{'v_gene': [('mouse', 'TRBV1*01'), 0.968421052631579], 'j_gene': [('mouse', 'TRBJ2-3*01'), 1.0]}",1kj2_DE_aho,unbound,TRAV14D-1*01,0.956989247311828,TRAJ15*01,0.9285714285714286,TRBV1*01,0.968421052631579,TRBJ2-3*01,1.0,TRAV14D-1*01-TRAJ15*01,TRBV1*01-TRBJ2-3*01,TRAV14D-1*01-TRAJ15*01|TRBV1*01-TRBJ2-3*01,5.106492626064553,3.9450295145201375
-71.70900746505687,102.82962363413975,-108.37220135246572,-160.1594709109563,152.41842185549058,25.88555768614796,162.85684656208608,16.934991401023808,111,163.5292653184864,15.46240740729032,109,"{'v_gene': [('mouse', 'TRAV12-2*02'), 0.956989247311828], 'j_gene': [('mouse', 'TRAJ50*01'), 0.9285714285714286]}","{'v_gene': [('mouse', 'TRBV13-3*01'), 0.968421052631579], 'j_gene': [('mouse', 'TRBJ2-7*01'), 1.0]}",1lp9_EF_aho,unbound,TRAV12-2*02,0.956989247311828,TRAJ50*01,0.9285714285714286,TRBV13-3*01,0.968421052631579,TRBJ2-7*01,1.0,TRAV12-2*02-TRAJ50*01,TRBV13-3*01-TRBJ2-7*01,TRAV12-2*02-TRAJ50*01|TRBV13-3*01-TRBJ2-7*01,1.2565719949567375,-1.111800926547136
-71.09384645263066,103.1716966985137,-107.79602055748752,-160.10968119133037,152.95323771236713,25.88802762493135,163.26430925263105,16.932915511180674,111,166.66795006855534,15.49973402908817,109,"{'v_gene': [('mouse', 'TRAV12-2*02'), 0.956989247311828], 'j_gene': [('mouse', 'TRAJ50*01'), 0.9285714285714286]}","{'v_gene': [('mouse', 'TRBV13-3*01'), 0.968421052631579], 'j_gene': [('mouse', 'TRBJ2-7*01'), 1.0]}",1lp9_LM_aho,unbound,TRAV12-2*02,0.956989247311828,TRAJ50*01,0.9285714285714286,TRBV13-3*01,0.968421052631579,TRBJ2-7*01,1.0,TRAV12-2*02-TRAJ50*01,TRBV13-3*01-TRBJ2-7*01,TRAV12-2*02-TRAJ50*01|TRBV13-3*01-TRBJ2-7*01,1.0280009218167039,-1.2147302420965587
-72.51489622942002,105.5790006961513,-101.98275576729864,-158.81808453328082,148.9813421269917,26.49956136651014,153.61868336942018,17.092319762297233,111,146.9736357272112,14.444346862965944,113,"{'v_gene': [('human', 'TRAV26-2*01'), 0.9347826086956522], 'j_gene': [('human', 'TRAJ52*01'), 0.9285714285714286]}","{'v_gene': [('human', 'TRBV7-8*01'), 0.96875], 'j_gene': [('human', 'TRBJ2-7*01'), 1.0]}",1mi5_DE_aho,unbound,TRAV26-2*01,0.9347826086956522,TRAJ52*01,0.9285714285714286,TRBV7-8*01,0.96875,TRBJ2-7*01,1.0,TRAV26-2*01-TRAJ52*01,TRBV7-8*01-TRBJ2-7*01,TRAV26-2*01-TRAJ52*01|TRBV7-8*01-TRBJ2-7*01,-2.242869677884427,-0.8210821909588928
-66.77075657760022,104.55086751449602,-109.58675989080032,-160.37673362591477,150.078388013376,26.024865825513057,167.3824286687261,13.47604630010098,109,161.52497386778285,14.200077558026242,109,"{'v_gene': [('mouse', 'TRAV9-4*01'), 0.9680851063829787], 'j_gene': [('mouse', 'TRAJ35*02'), 0.9285714285714286]}","{'v_gene': [('mouse', 'TRBV13-2*01'), 0.9578947368421052], 'j_gene': [('mouse', 'TRBJ2-4*01'), 1.0]}",1mwa_AB_aho,unbound,TRAV9-4*01,0.9680851063829788,TRAJ35*02,0.9285714285714286,TRBV13-2*01,0.9578947368421052,TRBJ2-4*01,1.0,TRAV9-4*01-TRAJ35*02,TRBV13-2*01-TRBJ2-4*01,TRAV9-4*01-TRAJ35*02|TRBV13-2*01-TRBJ2-4*01,0.42873189713336585,-0.3228764959977838
-67.01101557763134,104.44875390673803,-111.6335157424856,-160.57050458706323,149.98529667745572,25.966268411236356,149.90014120917866,13.545366868377489,113,-171.3696745151389,14.162376181667147,109,"{'v_gene': [('mouse', 'TRAV9-4*01'), 0.9680851063829787], 'j_gene': [('mouse', 'TRAJ35*02'), 0.9285714285714286]}","{'v_gene': [('mouse', 'TRBV13-2*01'), 0.9578947368421052], 'j_gene': [('mouse', 'TRBJ2-4*01'), 1.0]}",1mwa_CD_aho,unbound,TRAV9-4*01,0.9680851063829788,TRAJ35*02,0.9285714285714286,TRBV13-2*01,0.9578947368421052,TRBJ2-4*01,1.0,TRAV9-4*01-TRAJ35*02,TRBV13-2*01-TRBJ2-4*01,TRAV9-4*01-TRAJ35*02|TRBV13-2*01-TRBJ2-4*01,1.0455215821105501,-0.25086614103207056
-57.57673840935243,103.35108383272808,-106.76949092188372,-161.92400120424702,151.2295713902381,26.40924146457381,163.6868838050496,14.721960840097545,110,152.6486433847553,14.57587044009417,110,"{'v_gene': [('mouse', 'TRAV12-1*06'), 0.9680851063829787], 'j_gene': [('mouse', 'TRAJ40*01'), 0.9285714285714286]}","{'v_gene': [('mouse', 'TRBV12-1*01'), 0.968421052631579], 'j_gene': [('mouse', 'TRBJ2-7*01'), 1.0]}",1nfd_AB_aho,unbound,TRAV12-1*06,0.9680851063829788,TRAJ40*01,0.9285714285714286,TRBV12-1*01,0.968421052631579,TRBJ2-7*01,1.0,TRAV12-1*06-TRAJ40*01,TRBV12-1*01-TRBJ2-7*01,TRAV12-1*06-TRAJ40*01|TRBV12-1*01-TRBJ2-7*01,0.025500104166883815,0.8030883275190368
-59.18379763343421,103.69631700997815,-107.44866088612407,-162.36655633979657,150.57305631905086,26.362825185576774,163.86164414941587,14.88514303767964,110,151.72458686437716,16.018807044911924,110,"{'v_gene': [('mouse', 'TRAV12-1*06'), 0.9680851063829787], 'j_gene': [('mouse', 'TRAJ40*01'), 0.9285714285714286]}","{'v_gene': [('mouse', 'TRBV12-1*01'), 0.968421052631579], 'j_gene': [('mouse', 'TRBJ2-7*01'), 1.0]}",1nfd_CD_aho,unbound,TRAV12-1*06,0.9680851063829788,TRAJ40*01,0.9285714285714286,TRBV12-1*01,0.968421052631579,TRBJ2-7*01,1.0,TRAV12-1*06-TRAJ40*01,TRBV12-1*01-TRBJ2-7*01,TRAV12-1*06-TRAJ40*01|TRBV12-1*01-TRBJ2-7*01,0.15245657758906592,0.7835037585385448
-57.67746962103848,107.19523899442402,-104.97156771758624,-157.30673033214154,151.18621972070923,26.053407046452445,169.23100031399815,10.542088713087894,113,171.90158575992197,14.38410514118353,109,"{'v_gene': [('human', 'TRAV27*01'), 0.967032967032967], 'j_gene': [('human', 'TRAJ42*01'), 0.9285714285714286]}","{'v_gene': [('human', 'TRBV19*01'), 0.9578947368421052], 'j_gene': [('human', 'TRBJ2-7*01'), 1.0]}",1oga_DE_aho,unbound,TRAV27*01,0.967032967032967,TRAJ42*01,0.9285714285714286,TRBV19*01,0.9578947368421052,TRBJ2-7*01,1.0,TRAV27*01-TRAJ42*01,TRBV19*01-TRBJ2-7*01,TRAV27*01-TRAJ42*01|TRBV19*01-TRBJ2-7*01,-2.477379445578257,-0.49128173273405723
