TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10006_cand00068,none,20196.087566220074,AB,MP,P,M,MP_AB,M_P,5573.689359364353,5573.689359364353,2022.054912753064,2833.879249510117,2833.879249510117,1632.837925809465,5573.689359363911
Non-binding_donor1_row10175_cand00149,none,37163.45372576552,AB,MP,P,M,MP_AB,M_P,13203.852254536007,13203.852254536007,1910.457753650581,1802.9150253752323,1802.9150253752323,1571.1742177275198,13203.852254536174
Non-binding_donor1_row10210_cand00029,none,41179.49505213934,AB,MP,P,M,MP_AB,M_P,14438.975453857016,14438.975453857016,1801.9172633587953,1826.0796218383348,1826.0796218383348,1562.3224274816703,14438.975453857001
Non-binding_donor1_row10223_cand00223,none,27951.493077346076,AB,MP,P,M,MP_AB,M_P,7562.28490587206,7562.28490587206,1818.0427326548781,1749.5917398944976,1749.5917398944976,1569.5017113689366,7562.284905871507
Non-binding_donor1_row10537_cand00117,none,15597.811785545837,AB,MP,P,M,MP_AB,M_P,4343.9828358864925,4343.9828358864925,1944.8740950961294,1847.19171792029,1847.19171792029,1574.3174703831532,4343.98283588682
Non-binding_donor1_row10505_cand00250,none,14593.778826195909,AB,MP,P,M,MP_AB,M_P,4708.012529750793,4708.012529750793,1943.58981977636,2005.0660856001123,2005.0660856001123,1654.6079915889882,4708.012529751142
Non-binding_donor1_row10874_cand00405,none,17556.42898601785,AB,MP,P,M,MP_AB,M_P,5997.030191902508,5997.030191902508,1774.224667108724,1940.5425102504214,1940.5425102504214,1516.4396451874259,5997.030191902593
Non-binding_donor1_row1086_cand00349,none,22930.75373869024,AB,MP,P,M,MP_AB,M_P,8550.418713581344,8550.418713581344,1890.2359267868962,4182.7658147106495,4182.7658147106495,1571.9458239113164,8550.418713581403
Non-binding_donor1_row10666_cand00191,none,26527.591058873026,AB,MP,P,M,MP_AB,M_P,8999.071547114338,8999.071547114338,2258.8691909071563,2483.975014285102,2483.975014285102,1660.5936564363449,8999.071547114498
Non-binding_donor1_row10820_cand00367,none,20469.141802580656,AB,MP,P,M,MP_AB,M_P,5701.133646838247,5701.133646838247,1831.5030996972027,2396.4141743566,2396.4141743566,1569.7889848067966,5701.1336468382815
Non-binding_donor1_row11022_cand00519,none,18611.1829120439,AB,MP,P,M,MP_AB,M_P,2867.689507779658,2867.689507779658,1598.875494081737,1866.8418901552868,1866.8418901552868,1487.6360266346678,2867.689507779567
Non-binding_donor1_row10913_cand00145,none,22607.485340473904,AB,MP,P,M,MP_AB,M_P,8403.31090864427,8403.31090864427,2069.2308366396765,3049.646264713207,3049.646264713207,1560.480422503153,8403.310908644544
Non-binding_donor1_row11137_cand00366,none,14107.683071975827,AB,MP,P,M,MP_AB,M_P,2579.2152424770684,2579.2152424770684,1821.0433570040384,2475.633762357501,2475.633762357501,1572.750265556108,2579.2152424771903
Non-binding_donor1_row10988_cand00565,none,19853.070715396094,AB,MP,P,M,MP_AB,M_P,8080.653143948628,8080.653143948628,1618.9346717731726,2711.1044986851125,2711.1044986851125,1613.1005790750783,8080.653143948741
Non-binding_donor1_row11361_cand00128,none,27609.580174436847,AB,MP,P,M,MP_AB,M_P,8734.167233809647,8734.167233809647,1588.6102508804154,1540.7043796091457,1540.7043796091457,1571.101883526298,8734.167233809443
Non-binding_donor1_row11185_cand00281,none,16999.61246862828,AB,MP,P,M,MP_AB,M_P,4972.04143631176,4972.04143631176,1840.2821756479043,2574.794076455005,2574.794076455005,1575.6283367637034,4972.041436311785
Non-binding_donor1_row11309_cand00122,none,15031.867238699006,AB,MP,P,M,MP_AB,M_P,3072.4678848957246,3072.4678848957246,1637.2992976583182,1817.0105155849615,1817.0105155849615,1505.9605177040362,3072.467884895619
Non-binding_donor1_row11313_cand00559,none,20766.832602018672,AB,MP,P,M,MP_AB,M_P,11742.88318613254,11742.88318613254,2120.8391909376355,2121.5676369223593,2121.5676369223593,1497.808364020651,11742.883186132114
Non-binding_donor1_row113_cand00058,none,24669.401224613677,AB,MP,P,M,MP_AB,M_P,7193.474583398674,7193.474583398674,1792.2406615365294,1687.891595921632,1687.891595921632,1554.927506226065,7193.474583398431
Non-binding_donor1_row11390_cand00560,none,11520.446780526037,AB,MP,P,M,MP_AB,M_P,2856.717931784324,2856.717931784324,1876.2133697999575,1876.5909795152756,1876.5909795152756,1631.6529636026441,2856.717931784102
Non-binding_donor1_row11399_cand00431,none,15258.453650776277,AB,MP,P,M,MP_AB,M_P,5710.646891825236,5710.646891825236,1965.152881749579,2379.267046884973,2379.267046884973,1667.5213414156633,5710.646891825412
Non-binding_donor1_row11416_cand00466,none,26146.73875037906,AB,MP,P,M,MP_AB,M_P,4357.810365760863,4357.810365760863,2048.4950374608475,1718.9872478830403,1718.9872478830403,1538.6631242355613,4357.810365761077
Non-binding_donor1_row11480_cand00292,none,21912.439141103383,AB,MP,P,M,MP_AB,M_P,9805.134011494642,9805.134011494642,1923.9787030104978,2086.669334023806,2086.669334023806,1549.7509837769517,9805.134011494585
Non-binding_donor1_row11626_cand00165,none,14725.228370089368,AB,MP,P,M,MP_AB,M_P,1927.989339998814,1927.989339998814,1810.9733657253928,3076.4735097303883,3076.4735097303883,1573.9562803122176,1927.9893399990688
Non-binding_donor1_row11482_cand00042,none,19672.868759910358,AB,MP,P,M,MP_AB,M_P,8567.183485562124,8567.183485562124,1872.6611903790915,2831.011220174426,2831.011220174426,1625.9813882074768,8567.18348556212
