TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10289_cand000522,none,28473.042167319127,AB,MP,P,M,MP_AB,M_P,13752.876616931797,13752.876616931797,1608.177137124523,731.0187104352808,731.0187104352808,1693.3692332446408,13752.876616931753
Non-binding_donor1_row1001_cand000507,none,9744.95167643055,AB,MP,P,M,MP_AB,M_P,4380.178663695749,4380.178663695749,1708.4978480421728,451.6342541390227,451.6342541390227,1672.285043076057,4380.178663695464
Non-binding_donor1_row10081_cand000598,none,24172.56463379321,AB,MP,P,M,MP_AB,M_P,6026.064590616334,6026.064590616334,1563.0332884504792,783.8432246943416,783.8432246943416,1692.1934553481954,6026.064590616439
Non-binding_donor1_row1046_cand000007,none,19418.087160974672,AB,MP,P,M,MP_AB,M_P,14181.753147773918,14181.753147773918,1962.046839513598,252.78115555814998,252.78115555814998,1691.337390742639,14181.753147774074
Non-binding_donor1_row10550_cand000353,none,21139.314441803566,AB,MP,P,M,MP_AB,M_P,7367.848746314599,7367.848746314599,1698.7505487496735,775.0609916005733,775.0609916005733,1712.570469131947,7367.848746314528
Non-binding_donor1_row10555_cand000359,none,31658.19164490341,AB,MP,P,M,MP_AB,M_P,12803.449382097879,12803.449382097879,1451.7861260406628,719.2398799673733,719.2398799673733,1650.3221765918292,12803.449382098068
Non-binding_donor1_row1050_cand000587,none,14074.11876705419,AB,MP,P,M,MP_AB,M_P,4098.494945133365,4098.494945133365,1828.0888943714704,393.89994744595583,393.89994744595583,1686.7760464342314,4098.494945133136
Non-binding_donor1_row10556_cand000282,none,26752.126102296577,AB,MP,P,M,MP_AB,M_P,16712.388596100634,16712.388596100634,1813.6433393870172,666.4863065962877,666.4863065962877,1718.3393951142812,16712.388596100493
Non-binding_donor1_row10611_cand000369,none,12615.156177142624,AB,MP,P,M,MP_AB,M_P,4604.545470078866,4604.545470078866,1982.322182050657,767.818075122339,767.818075122339,1712.605135249401,4604.545470079025
Non-binding_donor1_row10800_cand000152,none,19364.43988359179,AB,MP,P,M,MP_AB,M_P,3457.7243175328676,3457.7243175328676,1605.3356402610311,596.2609691590801,596.2609691590801,1681.3686363176273,3457.7243175333915
Non-binding_donor1_row10783_cand000307,none,29517.580873902054,AB,MP,P,M,MP_AB,M_P,8311.225650530007,8311.225650530007,1917.0353023108921,658.2583741385711,658.2583741385711,1717.6768293451298,8311.225650529563
Non-binding_donor1_row10602_cand000182,none,35185.1078565426,AB,MP,P,M,MP_AB,M_P,13870.13201788742,13870.13201788742,1897.8834010637754,502.93276103168364,502.93276103168364,1695.0273813612437,13870.132017887016
Non-binding_donor1_row110_cand000198,none,21733.43890043394,AB,MP,P,M,MP_AB,M_P,5828.427491062837,5828.427491062837,1701.0592470131542,432.4500186177347,432.4500186177347,1698.5959746340982,5828.427491063319
Non-binding_donor1_row10978_cand000478,none,28324.95771821729,AB,MP,P,M,MP_AB,M_P,15340.990232098982,15340.990232098982,1688.1957050048225,510.4230929464734,510.4230929464734,1698.6329058010701,15340.990232098915
Non-binding_donor1_row10878_cand000525,none,19855.122013135708,AB,MP,P,M,MP_AB,M_P,8020.030908984372,8020.030908984372,1841.8846206118026,496.9224875362088,496.9224875362088,1718.3860690969886,8020.030908984452
Non-binding_donor1_row11048_cand000319,none,29209.619375790455,AB,MP,P,M,MP_AB,M_P,13882.412512067607,13882.412512067607,2095.1839291589454,448.33513233501753,448.33513233501753,1653.0572316420066,13882.412512066961
Non-binding_donor1_row11263_cand000110,none,15939.400398463786,AB,MP,P,M,MP_AB,M_P,4996.882359720694,4996.882359720694,1867.1644426758414,465.4938981542696,465.4938981542696,1683.7802081657305,4996.882359720188
Non-binding_donor1_row11340_cand000100,none,17449.692421053045,AB,MP,P,M,MP_AB,M_P,4623.436582136552,4623.436582136552,1888.100644437894,414.48083017572617,414.48083017572617,1705.5173996991653,4623.436582137139
Non-binding_donor1_row11293_cand000138,none,21771.056371486135,AB,MP,P,M,MP_AB,M_P,11991.501482414165,11991.501482414165,2237.5886473192136,329.7108787982779,329.7108787982779,1711.8969271810547,11991.501482414345
Non-binding_donor1_row11126_cand000577,none,14006.15722084269,AB,MP,P,M,MP_AB,M_P,3018.505045311007,3018.505045311007,2040.5125918369067,518.3052901529691,518.3052901529691,1689.8133769968167,3018.505045310516
Non-binding_donor1_row11491_cand000286,none,26927.434754868787,AB,MP,P,M,MP_AB,M_P,13053.287774744216,13053.287774744216,1627.2799674700925,451.94602037289997,451.94602037289997,1722.2321464498539,13053.287774744404
Non-binding_donor1_row11436_cand000515,none,23073.5239768284,AB,MP,P,M,MP_AB,M_P,15141.904020277436,15141.904020277436,1781.3394668978929,454.89969569757113,454.89969569757113,1703.9739701350418,15141.904020277634
Non-binding_donor1_row11541_cand000202,none,21697.50136653423,AB,MP,P,M,MP_AB,M_P,8289.12651499057,8289.12651499057,1663.4043656918323,428.36454459945116,428.36454459945116,1719.9193214523186,8289.126514991063
Non-binding_donor1_row11664_cand000147,none,21963.717025428436,AB,MP,P,M,MP_AB,M_P,6754.248430733489,6754.248430733489,1528.8964323958162,366.2508775732276,366.2508775732276,1680.372138641946,6754.248430733747
Non-binding_donor1_row12425_cand000325,none,16154.659951018497,AB,MP,P,M,MP_AB,M_P,7201.143827658918,7201.143827658918,1504.8107646059925,466.2753619716409,466.2753619716409,1700.5512786306351,7201.143827658776
Non-binding_donor1_row1169_cand000347,none,17919.243127185382,AB,MP,P,M,MP_AB,M_P,10730.660866585582,10730.660866585582,1839.3260454985677,287.9712774765301,287.9712774765301,1692.7252998348818,10730.660866585267
Non-binding_donor1_row12000_cand000526,none,23900.05008492678,AB,MP,P,M,MP_AB,M_P,5995.992170213536,5995.992170213536,1899.3118250657212,434.40142114363925,434.40142114363925,1734.4288408146028,5995.992170213438
Non-binding_donor1_row12071_cand000043,none,19247.34828798598,AB,MP,P,M,MP_AB,M_P,13601.308971082908,13601.308971082908,1759.4506799441406,370.9819015311423,370.9819015311423,1705.2361301939327,13601.308971082966
Non-binding_donor1_row12567_cand000387,none,18797.761723817417,AB,MP,P,M,MP_AB,M_P,3813.3921611693204,3813.3921611693204,1162.4219543918205,375.1588617230427,375.1588617230427,1693.9213390646887,3813.3921611689766
Non-binding_donor1_row12490_cand000167,none,19888.97587984976,AB,MP,P,M,MP_AB,M_P,12375.489178140511,12375.489178140511,1719.3801310687356,436.5785255751889,436.5785255751889,1714.4077423289361,12375.489178140338
Non-binding_donor1_row12617_cand000048,none,9110.023838382203,AB,MP,P,M,MP_AB,M_P,3541.054572564959,3541.054572564959,1651.343954392098,374.23987031644083,374.23987031644083,1644.3970242488947,3541.054572565042
Non-binding_donor1_row12654_cand000312,none,19498.46055952211,AB,MP,P,M,MP_AB,M_P,10765.923096867431,10765.923096867431,1759.2555676478053,476.06476629189183,476.06476629189183,1705.7898882590055,10765.923096867553
Non-binding_donor1_row12729_cand000290,none,16892.117065043647,AB,MP,P,M,MP_AB,M_P,8677.924833239964,8677.924833239964,1667.1833913733449,444.19284492807174,444.19284492807174,1682.502712480478,8677.924833240151
Non-binding_donor1_row12708_cand000135,none,19439.912077008867,AB,MP,P,M,MP_AB,M_P,12742.272215202836,12742.272215202836,1761.2125083753301,408.5723185770926,408.5723185770926,1686.689594458616,12742.272215202836
Non-binding_donor1_row12819_cand000350,none,11662.550489997242,AB,MP,P,M,MP_AB,M_P,5867.721092564007,5867.721092564007,1478.7724922622072,429.74872507396776,429.74872507396776,1731.3065243529743,5867.72109256407
