TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10210_cand000232,openmm,-424.0137525937417,AB,MP,P,M,MP_AB,M_P,-52.63684138278671,-52.63684138278671,1984.8689975232421,-64.30925987517463,-64.30925987517463,1830.2075767000326,-52.63684138258378,-55359.17043863363 kJ/mol
Non-binding_donor1_row10018_cand000128,openmm,420.5895911120749,AB,MP,P,M,MP_AB,M_P,-45.77191619767859,-45.77191619767859,2138.0059702075714,-66.57819952754677,-66.57819952754677,1856.0088953875486,-45.7719161977401,-49128.69860998944 kJ/mol
Non-binding_donor1_row10466_cand000345,openmm,411.55178474472063,AB,MP,P,M,MP_AB,M_P,-36.23789689852674,-36.23789689852674,1924.8023743051358,-62.98842045342659,-62.98842045342659,1823.0133993364823,-36.23789689868249,-40250.42314255202 kJ/mol
Non-binding_donor1_row10876_cand000516,openmm,-271.25587465595913,AB,MP,P,M,MP_AB,M_P,-49.790299042807135,-49.790299042807135,1955.2488906753442,-67.96157425176702,-67.96157425176702,1933.3406180901195,-49.790299043000516,-54188.24497379302 kJ/mol
Non-binding_donor1_row10885_cand000307,openmm,-156.44468795488692,AB,MP,P,M,MP_AB,M_P,-46.199375608861715,-46.199375608861715,2065.8523523859676,-60.27823237434635,-60.27823237434635,1878.3363417599703,-46.199375608702184,-54510.64766137281 kJ/mol
Non-binding_donor1_row11121_cand000340,openmm,-279.82490373521875,AB,MP,P,M,MP_AB,M_P,-56.827975626115915,-56.827975626115915,1983.1860036751102,-57.11600953221488,-57.11600953221488,1855.1418933853467,-56.82797562647366,-54252.578898889515 kJ/mol
Non-binding_donor1_row11314_cand000536,openmm,-188.96385251314135,AB,MP,P,M,MP_AB,M_P,-43.534737201710044,-43.534737201710044,2046.2300655128927,-68.8674276325323,-68.8674276325323,1944.103124987882,-43.53473720173898,-53291.18916132793 kJ/mol
Non-binding_donor1_row11736_cand000162,openmm,-106.00595726070688,AB,MP,P,M,MP_AB,M_P,-65.34664031457547,-65.34664031457547,2426.529087082426,-61.27627124048068,-61.27627124048068,1697.718818694159,-65.34664031453697,-55143.20274468678 kJ/mol
Non-binding_donor1_row11954_cand000034,openmm,-193.50468078871825,AB,MP,P,M,MP_AB,M_P,-53.496224341496344,-53.496224341496344,2112.476426434157,-65.25968923057786,-65.25968923057786,1918.0998212852874,-53.49622434159983,-51600.053307999144 kJ/mol
Non-binding_donor1_row12048_cand000577,openmm,-317.8035895285186,AB,MP,P,M,MP_AB,M_P,-49.61964300419936,-49.61964300419936,2162.2072253359906,-60.800383369740615,-60.800383369740615,1870.6888907541484,-49.619643004363866,-56115.99257601535 kJ/mol
Non-binding_donor1_row12087_cand000453,openmm,9258.896349564024,AB,MP,P,M,MP_AB,M_P,2528.9367689382943,2528.9367689382943,1934.938773422566,1011.7148173331416,1011.7148173331416,1889.1109108221187,2528.936768938407,1.2101473740752266e+18 kJ/mol
Non-binding_donor1_row12267_cand000237,openmm,-440.204861880828,AB,MP,P,M,MP_AB,M_P,-42.451641694729176,-42.451641694729176,1730.4136992348615,-66.95751042725229,-66.95751042725229,1908.2545663581461,-42.451641694814214,-54945.52882749129 kJ/mol
Non-binding_donor1_row12278_cand000442,openmm,-198.50906373250893,AB,MP,P,M,MP_AB,M_P,-47.21992986714119,-47.21992986714119,1858.6892246694017,-70.5604555485639,-70.5604555485639,1897.4558652102078,-47.21992986729802,-52097.6023298448 kJ/mol
Non-binding_donor1_row12761_cand000520,openmm,-192.33182394437802,AB,MP,P,M,MP_AB,M_P,-38.22920691490805,-38.22920691490805,1993.527886223143,-68.13912635664029,-68.13912635664029,1848.5228214028753,-38.2292069148011,-53824.711561773205 kJ/mol
Non-binding_donor1_row12801_cand000550,openmm,-326.71393066758213,AB,MP,P,M,MP_AB,M_P,-57.44603491738394,-57.44603491738394,2197.643226915649,-69.78054079303487,-69.78054079303487,1913.4093303692514,-57.44603491758272,-52534.718212820204 kJ/mol
Non-binding_donor1_row12804_cand000432,openmm,-222.63311867034082,AB,MP,P,M,MP_AB,M_P,-50.16680289480732,-50.16680289480732,2229.338980151264,-69.02426294152106,-69.02426294152106,1938.6599627711776,-50.16680289500931,-52836.51173615102 kJ/mol
Non-binding_donor1_row13622_cand000272,openmm,-314.6482067993421,AB,MP,P,M,MP_AB,M_P,-43.253358772670424,-43.253358772670424,1944.1781198465847,-68.02328955108713,-68.02328955108713,1833.8398473410189,-43.253358773109085,-52421.93219162131 kJ/mol
Non-binding_donor1_row14545_cand000449,openmm,-204.60612247496067,AB,MP,P,M,MP_AB,M_P,-33.76288985295585,-33.76288985295585,1808.699031055628,-70.39860151726573,-70.39860151726573,1922.8507238644993,-33.762889853435354,-52715.3374835382 kJ/mol
Non-binding_donor1_row14996_cand000352,openmm,-21.723151681958996,AB,MP,P,M,MP_AB,M_P,-33.20763310179021,-33.20763310179021,1459.1904720742293,-68.32363324716664,-68.32363324716664,1885.2611954273905,-33.207633101806906,-46123.45168280738 kJ/mol
Non-binding_donor1_row15202_cand000203,openmm,-346.43905983434036,AB,MP,P,M,MP_AB,M_P,-24.146877421117438,-24.146877421117438,1530.2228671132943,-65.03902356271637,-65.03902356271637,1928.3083063793347,-24.146877420972828,-53834.492101728305 kJ/mol
Non-binding_donor1_row15214_cand000238,openmm,-58.61331286780923,AB,MP,P,M,MP_AB,M_P,-27.12910649960659,-27.12910649960659,1651.3242050219844,-67.26829506105537,-67.26829506105537,1930.6496694493947,-27.129106499748474,-47893.382705372445 kJ/mol
Non-binding_donor1_row15219_cand000355,openmm,-393.31043375456005,AB,MP,P,M,MP_AB,M_P,-31.587785317450653,-31.587785317450653,1716.1359983823372,-64.69587209301324,-64.69587209301324,1925.9794088386436,-31.58778531777358,-54122.79578386615 kJ/mol
Non-binding_donor1_row15335_cand000357,openmm,-121.4066183843738,AB,MP,P,M,MP_AB,M_P,-25.653238518480975,-25.653238518480975,1636.4438923993685,-60.35089573129733,-60.35089573129733,1945.6105542273008,-25.653238517947443,-47453.85637710951 kJ/mol
Non-binding_donor1_row15338_cand000110,openmm,-116.9369076175548,AB,MP,P,M,MP_AB,M_P,-26.63971464750965,-26.63971464750965,1607.057551072973,-59.91981919188822,-59.91981919188822,1937.018344861846,-26.639714647672363,-47247.41531821647 kJ/mol
Non-binding_donor1_row1636_cand000082,openmm,34.96798366550651,AB,MP,P,M,MP_AB,M_P,268.3375865351123,268.3375865351123,1727.6990063592903,-72.19368686785617,-72.19368686785617,1932.3974887044553,268.33758653520425,-47785.06522698923 kJ/mol
Non-binding_donor1_row17026_cand000572,openmm,-263.8073150858848,AB,MP,P,M,MP_AB,M_P,-38.971702463384304,-38.971702463384304,1911.215420471419,-59.84883368070905,-59.84883368070905,1933.754858413297,-38.97170246342188,-51736.9919065581 kJ/mol
Non-binding_donor1_row17439_cand000408,openmm,-263.3661352339106,AB,MP,P,M,MP_AB,M_P,-50.498751001516695,-50.498751001516695,2106.1893083183963,-70.21307034464444,-70.21307034464444,1815.1819130573112,-50.49875100124052,-53979.37610632629 kJ/mol
Non-binding_donor1_row1756_cand000260,openmm,-372.324571799771,AB,MP,P,M,MP_AB,M_P,-36.851095929975656,-36.851095929975656,1893.9883381365714,-64.39300846956843,-64.39300846956843,1914.1868318874108,-36.851095930233555,-55276.00346622275 kJ/mol
Non-binding_donor1_row17720_cand000024,openmm,-239.4997155789403,AB,MP,P,M,MP_AB,M_P,-38.94040560693611,-38.94040560693611,1716.1330739862115,-59.810279171825854,-59.810279171825854,1836.6418764923594,-38.9404056072313,-53873.5400298514 kJ/mol
Non-binding_donor1_row17801_cand000173,openmm,-225.0460861577975,AB,MP,P,M,MP_AB,M_P,-51.42070504464894,-51.42070504464894,2339.29294666958,-57.18047315836468,-57.18047315836468,1810.3847010752797,-51.420705045181705,-53157.59475603255 kJ/mol
Non-binding_donor1_row18215_cand000006,openmm,153.58529057006467,AB,MP,P,M,MP_AB,M_P,-28.294590685683914,-28.294590685683914,1665.4411726859282,-67.59992276611507,-67.59992276611507,1885.6178243712147,-28.29459068581957,-39971.6118487723 kJ/mol
Non-binding_donor1_row18268_cand000510,openmm,-353.11223645971893,AB,MP,P,M,MP_AB,M_P,-38.45675300847563,-38.45675300847563,1722.2983448491268,-67.58611804426512,-67.58611804426512,1859.1488047680373,-38.45675300829362,-50734.265305579676 kJ/mol
Non-binding_donor1_row18837_cand000240,openmm,-323.13228167534305,AB,MP,P,M,MP_AB,M_P,-44.05248046760414,-44.05248046760414,2067.9561800233405,-68.1006278478236,-68.1006278478236,1901.85066632288,-44.052480467496935,-54231.01143394836 kJ/mol
Non-binding_donor1_row18842_cand000535,openmm,-306.49175493735333,AB,MP,P,M,MP_AB,M_P,-36.95159519422282,-36.95159519422282,1994.7886112335366,-64.98892613443246,-64.98892613443246,1871.3141142343259,-36.9515951941014,-54125.60642597511 kJ/mol
Non-binding_donor1_row18850_cand000201,openmm,-337.1344006637411,AB,MP,P,M,MP_AB,M_P,-50.176949692425524,-50.176949692425524,2114.807201173422,-67.07440038949962,-67.07440038949962,1862.326568400748,-50.176949692536596,-54526.85396001824 kJ/mol
Non-binding_donor1_row18870_cand000465,openmm,-385.1337977051564,AB,MP,P,M,MP_AB,M_P,-45.06142427652031,-45.06142427652031,2118.7179643068753,-69.1749664338404,-69.1749664338404,1915.185563584534,-45.06142427681198,-54907.01312097965 kJ/mol
Non-binding_donor1_row18874_cand000221,openmm,-377.66641124791204,AB,MP,P,M,MP_AB,M_P,-47.31392139637086,-47.31392139637086,2024.0430987527084,-72.73324442465179,-72.73324442465179,1881.5800167822538,-47.31392139662023,-54639.84168070846 kJ/mol
Non-binding_donor1_row1960_cand000576,openmm,-198.83224581361685,AB,MP,P,M,MP_AB,M_P,-48.20615517687861,-48.20615517687861,2218.8992117817625,-62.969898169321006,-62.969898169321006,1846.2729213426394,-48.20615517694108,-54783.999761697894 kJ/mol
Non-binding_donor1_row1965_cand000241,openmm,-260.68837758475973,AB,MP,P,M,MP_AB,M_P,-31.706364433872835,-31.706364433872835,1726.016524474406,-64.62341690024518,-64.62341690024518,1906.1239847625952,-31.706364433758665,-55991.32186542567 kJ/mol
Non-binding_donor1_row19670_cand000057,openmm,-308.02434794792055,AB,MP,P,M,MP_AB,M_P,-43.83631770476819,-43.83631770476819,2137.679283356693,-70.23072255653591,-70.23072255653591,1878.619302295322,-43.83631770455804,-55568.15275761704 kJ/mol
Non-binding_donor1_row1968_cand000478,openmm,-253.44239724761997,AB,MP,P,M,MP_AB,M_P,-38.16486945270856,-38.16486945270856,1830.5468842206574,-71.67825923905359,-71.67825923905359,1855.3788935837295,-38.16486945273698,-58308.550633103536 kJ/mol
