TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row1001_cand000045,openmm,-301.06000034293805,AB,MP,P,M,MP_AB,M_P,-27.14161459936821,-27.14161459936821,1733.7537629739693,-52.42274913527591,-52.42274913527591,1626.59088045333,-27.141614599152092,-55193.196180301224 kJ/mol
Non-binding_donor1_row10359_cand000117,openmm,390.663754808597,AB,MP,P,M,MP_AB,M_P,-51.18907713081683,-51.18907713081683,1891.6224396157386,-63.97754888337797,-63.97754888337797,1731.8933195615318,-51.18907713047895,-47479.16860721246 kJ/mol
Non-binding_donor1_row10552_cand000273,openmm,347.4001188252165,AB,MP,P,M,MP_AB,M_P,-29.80562073937807,-29.80562073937807,1865.503835584248,-60.83208231215907,-60.83208231215907,1635.9630347978973,-29.80562073932083,-41340.554058114314 kJ/mol
Non-binding_donor1_row10381_cand000498,openmm,-1.587100042933514,AB,MP,P,M,MP_AB,M_P,271.85498338712335,271.85498338712335,2188.3989780556863,-62.91989584102588,-62.91989584102588,1694.2374686128474,271.85498338736653,-43591.61858804984 kJ/mol
Non-binding_donor1_row1061_cand000096,openmm,-260.4980197324751,AB,MP,P,M,MP_AB,M_P,-46.03207560009889,-46.03207560009889,1865.3728428061213,-63.121101198506935,-63.121101198506935,1654.0564675453586,-46.03207560020013,-53500.984845915365 kJ/mol
Non-binding_donor1_row10698_cand000023,openmm,-223.7160267471516,AB,MP,P,M,MP_AB,M_P,-49.246009873916336,-49.246009873916336,1973.5586201377494,-63.04820033502841,-63.04820033502841,1662.2247946131451,-49.24600987424088,-59446.129429320164 kJ/mol
Non-binding_donor1_row10911_cand000429,openmm,-257.89762502850283,AB,MP,P,M,MP_AB,M_P,-43.29139265176775,-43.29139265176775,2045.042698630212,-52.971165275528605,-52.971165275528605,1574.658965383108,-43.29139265199814,-58773.4983508388 kJ/mol
Non-binding_donor1_row11098_cand000391,openmm,-299.4692944935575,AB,MP,P,M,MP_AB,M_P,-47.93984907144275,-47.93984907144275,2069.0027492560066,-62.321246843823516,-62.321246843823516,1777.1674939100776,-47.939849071503204,-55511.090313712586 kJ/mol
Non-binding_donor1_row110_cand000163,openmm,-118.08952426682204,AB,MP,P,M,MP_AB,M_P,-40.929497640599166,-40.929497640599166,1977.0902279445008,-53.90448147771404,-53.90448147771404,1720.9904804348907,-40.929497640728286,-56513.621935585215 kJ/mol
Non-binding_donor1_row11163_cand000572,openmm,-62.135564872771255,AB,MP,P,M,MP_AB,M_P,-35.02601933578116,-35.02601933578116,1805.3871718372322,-62.93394556356429,-62.93394556356429,1780.2781826003786,-35.02601933574759,-52512.423531950706 kJ/mol
Non-binding_donor1_row11168_cand000476,openmm,-309.1290028585582,AB,MP,P,M,MP_AB,M_P,-35.51733472449746,-35.51733472449746,1789.868627213747,-63.967220839038596,-63.967220839038596,1715.1362970578512,-35.5173347241485,-52224.58812826611 kJ/mol
Non-binding_donor1_row11225_cand000100,openmm,-165.92182425495085,AB,MP,P,M,MP_AB,M_P,-34.44978827923373,-34.44978827923373,1900.4198686731509,-56.04742075454621,-56.04742075454621,1694.5836333381787,-34.449788279285315,-56363.27385341768 kJ/mol
Non-binding_donor1_row11414_cand000376,openmm,303.29281544075934,AB,MP,P,M,MP_AB,M_P,331.7205966225023,331.7205966225023,2101.567746272285,-49.77608420478497,-49.77608420478497,1617.4668731433019,331.7205966223902,-43343.8425101276 kJ/mol
Non-binding_donor1_row11471_cand000384,openmm,-393.37555817853445,AB,MP,P,M,MP_AB,M_P,-51.1520145376204,-51.1520145376204,1979.9075539371077,-62.15333478230109,-62.15333478230109,1660.5135031600744,-51.152014537511604,-54558.5052291302 kJ/mol
Non-binding_donor1_row11497_cand000421,openmm,-315.30039330815544,AB,MP,P,M,MP_AB,M_P,-28.879518218311034,-28.879518218311034,1490.4857614522293,-51.429171006507914,-51.429171006507914,1671.4441744705211,-28.87951821822412,-55029.25099066797 kJ/mol
Non-binding_donor1_row11538_cand000032,openmm,-284.2920302958812,AB,MP,P,M,MP_AB,M_P,-26.979929905915753,-26.979929905915753,1695.1866329592149,-54.7045028310135,-54.7045028310135,1712.5371217077059,-26.97992990569435,-56265.73638645036 kJ/mol
Non-binding_donor1_row11554_cand000259,openmm,53.00289197792104,AB,MP,P,M,MP_AB,M_P,-36.50432585065148,-36.50432585065148,1851.3190560611,-66.01011833831255,-66.01011833831255,1711.264962851455,-36.50432585091902,-46863.69963986787 kJ/mol
