tcr,region,best_method,best_score
1KGC,A_CDR1,coords_kpca_cosine,0.9378457997934759
1KGC,A_CDR2,coords_kpca_poly,0.8574044484555446
1KGC,A_CDR3,coords_kpca_cosine,0.915685653481027
1KGC,A_variable_A_CDR1,coords_kpca_rbf,0.1384573833544124
1KGC,A_variable_A_CDR1A_CDR2A_CDR3,coords_diffmap,0.19956146327852198
1KGC,A_variable_A_CDR1A_CDR2A_CDR3B_CDR1B_CDR2B_CDR3,coords_pca,0.8065042066074385
1KGC,A_variable_A_CDR2,coords_diffmap,0.12213582022684294
1KGC,A_variable_A_CDR3,coords_diffmap,0.2031756647726744
1KGC,A_variable_A_variable,coords_diffmap,0.19332998848200425
1KGC,A_variable_B_CDR1,coords_diffmap,0.19104076008907817
1KGC,A_variable_B_CDR1B_CDR2B_CDR3,coords_diffmap,0.7942390927887636
1KGC,A_variable_B_CDR2,coords_diffmap,0.0199081731674133
1KGC,A_variable_B_CDR3,coords_pca,0.8745182948102276
1KGC,B_CDR1,coords_diffmap,0.90663662579757
1KGC,B_CDR2,coords_pca,0.783115751612278
1KGC,B_CDR3,coords_pca,0.8745182948102276
1KGC,B_variable_A_CDR1,coords_kpca_poly,0.6117333552958245
1KGC,B_variable_A_CDR1A_CDR2A_CDR3,coords_kpca_cosine,0.8667954305256113
1KGC,B_variable_A_CDR1A_CDR2A_CDR3B_CDR1B_CDR2B_CDR3,coords_kpca_cosine,0.7898329488655526
1KGC,B_variable_A_CDR2,coords_diffmap,0.28048824595256777
1KGC,B_variable_A_CDR3,coords_diffmap,0.8030115755456282
1KGC,B_variable_B_CDR1,coords_kpca_rbf,0.02668922984173091
1KGC,B_variable_B_CDR1B_CDR2B_CDR3,coords_kpca_poly,0.17431080585129427
1KGC,B_variable_B_CDR2,coords_kpca_cosine,-0.016085625808882033
1KGC,B_variable_B_CDR3,coords_kpca_poly,0.2047973994692674
1KGC,B_variable_B_variable,coords_kpca_poly,0.08574060622384297
2BNU,A_CDR1,coords_pca,0.8751003187811568
2BNU,A_CDR2,coords_kpca_poly,0.9246177454635471
2BNU,A_CDR3,coords_kpca_cosine,0.8925736364809903
2BNU,A_variable_A_CDR1,coords_diffmap,0.13125905212632438
2BNU,A_variable_A_CDR1A_CDR2A_CDR3,coords_diffmap,0.6216751186878055
2BNU,A_variable_A_CDR1A_CDR2A_CDR3B_CDR1B_CDR2B_CDR3,coords_kpca_cosine,0.9159713154748658
2BNU,A_variable_A_CDR2,coords_kpca_cosine,0.27776324998591323
2BNU,A_variable_A_CDR3,coords_diffmap,0.5450863342505695
2BNU,A_variable_A_variable,coords_kpca_rbf,0.45543816926281405
2BNU,A_variable_B_CDR1,coords_kpca_poly,0.1713401584149
2BNU,A_variable_B_CDR1B_CDR2B_CDR3,coords_kpca_poly,0.9059811237671942
2BNU,A_variable_B_CDR2,coords_kpca_rbf,-0.011490847297085573
2BNU,A_variable_B_CDR3,coords_pca,0.9811855160025122
2BNU,B_CDR1,coords_kpca_cosine,0.8382601231755897
2BNU,B_CDR2,coords_kpca_poly,0.8693256339254809
2BNU,B_CDR3,coords_kpca_cosine,0.9812037782832425
2BNU,B_variable_A_CDR1,coords_kpca_cosine,0.34530032053767035
2BNU,B_variable_A_CDR1A_CDR2A_CDR3,coords_diffmap,0.887051027496957
2BNU,B_variable_A_CDR1A_CDR2A_CDR3B_CDR1B_CDR2B_CDR3,coords_kpca_cosine,0.938709119206298
2BNU,B_variable_A_CDR2,coords_pca,0.775429704134607
2BNU,B_variable_A_CDR3,coords_diffmap,0.6436166912619671
2BNU,B_variable_B_CDR1,coords_kpca_cosine,0.13151228689099664
2BNU,B_variable_B_CDR1B_CDR2B_CDR3,coords_kpca_rbf,0.8249812978074289
2BNU,B_variable_B_CDR2,coords_kpca_rbf,0.05967159442995043
2BNU,B_variable_B_CDR3,coords_kpca_rbf,0.9121562226424665
2BNU,B_variable_B_variable,coords_kpca_rbf,0.5729429807151901
2CDF,A_CDR1,coords_pca,0.9029722558123534
2CDF,A_CDR2,coords_kpca_cosine,0.8500926558516777
2CDF,A_CDR3,coords_pca,0.9844730181074697
2CDF,A_variable_A_CDR1,coords_kpca_rbf,0.10721341779181406
2CDF,A_variable_A_CDR1A_CDR2A_CDR3,coords_kpca_cosine,0.4061853392631361
2CDF,A_variable_A_CDR1A_CDR2A_CDR3B_CDR1B_CDR2B_CDR3,coords_kpca_cosine,0.6193581027326456
2CDF,A_variable_A_CDR2,coords_kpca_cosine,0.08099991892975325
2CDF,A_variable_A_CDR3,coords_kpca_cosine,0.45773669891875884
2CDF,A_variable_A_variable,coords_kpca_cosine,0.4454216298820307
2CDF,A_variable_B_CDR1,coords_diffmap,0.05972256738793776
2CDF,A_variable_B_CDR1B_CDR2B_CDR3,coords_kpca_rbf,0.8933658820773619
2CDF,A_variable_B_CDR2,coords_diffmap,-0.02159346597260285
2CDF,A_variable_B_CDR3,coords_kpca_cosine,0.9473147261148263
2CDF,B_CDR1,coords_pca,0.7911715126042054
