TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Binding_donor1_row1_cand000006,openmm,-208.19330733323648,AB,MP,P,M,MP_AB,M_P,-23.199869602774385,-23.199869602774385,1920.0725010041558,-43.42883549586476,-43.42883549586476,1734.2959553238654,-23.199869602392596,-56128.471244118584 kJ/mol
Binding_donor1_row0_cand000005,openmm,-201.7609834109646,AB,MP,P,M,MP_AB,M_P,-26.27477169570861,-26.27477169570861,1470.2748564711535,-52.01249304563896,-52.01249304563896,1755.6194029833323,-26.27477169525426,-54075.27751532524 kJ/mol
Binding_donor1_row2_cand000003,openmm,-288.78665205242004,AB,MP,P,M,MP_AB,M_P,-35.537924306421104,-35.537924306421104,1672.4778825658545,-66.51718299719136,-66.51718299719136,1802.5063934300415,-35.53792430684939,-56153.51595588855 kJ/mol
Binding_donor1_row3_cand000009,openmm,-403.148797229749,AB,MP,P,M,MP_AB,M_P,-41.11135093237931,-41.11135093237931,1892.4542092381062,-69.78887206350313,-69.78887206350313,1701.6245863074416,-41.11135093209123,-54483.37645644492 kJ/mol
Binding_donor1_row4_cand000012,openmm,-339.3660185791707,AB,MP,P,M,MP_AB,M_P,-44.26545216948625,-44.26545216948625,1923.4431351547394,-57.90475167597356,-57.90475167597356,1693.722464614188,-44.26545216975768,-53038.165906115755 kJ/mol
Binding_donor1_row5_cand000004,openmm,-288.51327349282417,AB,MP,P,M,MP_AB,M_P,-43.84677933371316,-43.84677933371316,1850.002193504942,-61.06051426564704,-61.06051426564704,1857.3722380009415,-43.84677933375366,-52952.81583800289 kJ/mol
Binding_donor1_row6_cand000010,openmm,-315.02967453813994,AB,MP,P,M,MP_AB,M_P,-32.47958622151532,-32.47958622151532,1548.495696436804,-59.861726090412915,-59.861726090412915,1691.9836745291245,-32.47958622129744,-55182.82483651695 kJ/mol
Binding_donor1_row9_cand000011,openmm,-320.2739970255163,AB,MP,P,M,MP_AB,M_P,-55.688338953989444,-55.688338953989444,2217.8645030309913,-53.95167635354396,-53.95167635354396,1747.8884709401325,-55.688338954079256,-50413.511086270766 kJ/mol
Binding_donor2_row10_cand000002,openmm,-275.05438642432813,AB,MP,P,M,MP_AB,M_P,-40.68769484348917,-40.68769484348917,1863.831755861705,-68.18843183666235,-68.18843183666235,1729.1368241111218,-40.68769484317124,-53301.90551121226 kJ/mol
Binding_donor3_row11_cand000007,openmm,2835.988355342466,AB,MP,P,M,MP_AB,M_P,-25.995983544078626,-25.995983544078626,1473.8269660788503,-32.40815733667387,-32.40815733667387,1376.430085023274,-25.995983543686634,-44010.74683712221 kJ/mol
