TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10332_cand000046,rosetta_sidechain,1445.7585329173444,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-0.0006641034090080211,-0.0006641034090080211,0.0,-0.16997800137414742
Non-binding_donor1_row10376_cand000117,rosetta_sidechain,26944.402974582747,AB,MP,P,M,MP_AB,M_P,703.7223611932386,703.7223611932386,774.804131193126,25196.501662231392,25196.501662231392,1485.1191687690653,703.7223611926674
Non-binding_donor1_row10378_cand000498,rosetta_sidechain,8664.760595248827,AB,MP,P,M,MP_AB,M_P,2107.9729397175233,2107.9729397175233,706.5635648255507,0.0,0.0,0.0,2107.9729397178917
Non-binding_donor1_row1060_cand000096,rosetta_sidechain,2384.1019383258604,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-2.2737367544323206e-12
Non-binding_donor1_row1000_cand000045,rosetta_sidechain,753.5348033137526,AB,MP,P,M,MP_AB,M_P,-20.47086576558081,-20.47086576558081,1369.5925598746044,-39.52877155729709,-39.52877155729709,1845.0091167957416,-20.470865765567055
Non-binding_donor1_row10742_cand000529,rosetta_sidechain,3221.759628902608,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,59.55811313598724,59.55811313598724,210.83706906307089,-9.094947017729282e-13
Non-binding_donor1_row10170_cand000054,rosetta_sidechain,40167.96124946659,AB,MP,P,M,MP_AB,M_P,14720.367486694526,14720.367486694526,1584.68395043811,24664.656027909827,24664.656027909827,1567.580794237173,14720.36748669437
Non-binding_donor1_row10992_cand000186,rosetta_sidechain,4011.1585525376813,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-9.094947017729282e-13
Non-binding_donor1_row10947_cand000194,rosetta_sidechain,12080.06480738042,AB,MP,P,M,MP_AB,M_P,26.05924444867378,26.05924444867378,144.19000381660442,9991.569239640858,9991.569239640858,1362.36709069682,26.059244448859317
Non-binding_donor1_row110_cand000163,rosetta_sidechain,64110.885600587564,AB,MP,P,M,MP_AB,M_P,59643.49021695303,59643.49021695303,3303.1060741589354,0.0,0.0,0.0,59643.49021695256
Non-binding_donor1_row11122_cand000577,rosetta_sidechain,29605.185722858932,AB,MP,P,M,MP_AB,M_P,20450.202308796823,20450.202308796823,1615.4906872518918,4830.091337818286,4830.091337818286,742.2425084800677,20450.202308796954
Non-binding_donor1_row11162_cand000572,rosetta_sidechain,34024.535773267155,AB,MP,P,M,MP_AB,M_P,2873.331762988284,2873.331762988284,977.1250019189213,19347.716747616356,19347.716747616356,1008.5642538106451,2873.331762988306
Non-binding_donor1_row11218_cand000100,rosetta_sidechain,1999.2737844178675,AB,MP,P,M,MP_AB,M_P,0.6207803080399117,0.6207803080399117,344.8594052190682,-23.131052991854915,-23.131052991854915,1077.4386539493742,0.6207803083505041
Non-binding_donor1_row11383_cand000061,rosetta_sidechain,1170.8868515622542,AB,MP,P,M,MP_AB,M_P,0.4018298831017546,0.4018298831017546,83.37416117123993,-0.3386100396688789,-0.3386100396688789,74.78278956382616,0.4018298832013443
Non-binding_donor1_row11402_cand000376,rosetta_sidechain,526.7011211897659,AB,MP,P,M,MP_AB,M_P,1.5897952417662964,1.5897952417662964,237.31082820479494,109.33383287477812,109.33383287477812,1493.7115953310488,1.5897952419398962
Non-binding_donor1_row11453_cand000038,rosetta_sidechain,15136.944030141294,AB,MP,P,M,MP_AB,M_P,803.739861411008,803.739861411008,274.72448175243517,0.0,0.0,0.0,803.739861410957
Non-binding_donor1_row11399_cand000314,rosetta_sidechain,152.2717826070696,AB,MP,P,M,MP_AB,M_P,232.1499740650936,232.1499740650936,784.650363504648,-41.736554274689375,-41.736554274689375,1754.0740419215028,232.14997406530165
Non-binding_donor1_row11464_cand000384,rosetta_sidechain,33061.484691361395,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,32575.991336254654,32575.991336254654,1451.8831120479415,-7.275957614183426e-12
Non-binding_donor1_row11457_cand000183,rosetta_sidechain,424.1700504548702,AB,MP,P,M,MP_AB,M_P,-1.1453825774672168,-1.1453825774672168,143.27171240545061,-29.832800477272485,-29.832800477272485,1793.086944541255,-1.1453825772933897
Non-binding_donor1_row11493_cand000421,rosetta_sidechain,523.2082399603613,AB,MP,P,M,MP_AB,M_P,-2.2310505334371555,-2.2310505334371555,989.3378153689397,-38.74401634022428,-38.74401634022428,1796.0639875529664,-2.231050533935445
Non-binding_donor1_row11501_cand000394,rosetta_sidechain,5753.011523335914,AB,MP,P,M,MP_AB,M_P,5386.200180038245,5386.200180038245,719.3735756464696,2.4365352803752103,2.4365352803752103,119.28092847078389,5386.200180038633
Non-binding_donor1_row11576_cand000552,rosetta_sidechain,8894.520659027163,AB,MP,P,M,MP_AB,M_P,7629.938697166325,7629.938697166325,702.676227889169,0.032925426514566425,0.032925426514566425,65.00366322278862,7629.938697166411
Non-binding_donor1_row11649_cand000122,rosetta_sidechain,100151.86043522612,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,921.646143811091,921.646143811091,680.040571884883,1.0186340659856796e-10
Non-binding_donor1_row11665_cand000522,rosetta_sidechain,3707.3711409514985,AB,MP,P,M,MP_AB,M_P,72.37416515650739,72.37416515650739,411.8869057003559,2686.0311781511036,2686.0311781511036,472.82039905134263,72.37416515635778
Non-binding_donor1_row11967_cand000206,rosetta_sidechain,1280.0983020839792,AB,MP,P,M,MP_AB,M_P,-0.038820859982479305,-0.038820859982479305,26.680887060331777,0.0,0.0,0.0,-0.03882085977966199
Non-binding_donor1_row11757_cand000437,rosetta_sidechain,912.0890371891351,AB,MP,P,M,MP_AB,M_P,21.19035568082552,21.19035568082552,950.5872783993664,-39.839935175013295,-39.839935175013295,1844.438045064489,21.19035568047252
Non-binding_donor1_row11636_cand000523,rosetta_sidechain,-74.58709463591532,AB,MP,P,M,MP_AB,M_P,-0.9003150672187132,-0.9003150672187132,560.7218124329347,-49.45308380205725,-49.45308380205725,1837.3361994968782,-0.9003150675794416
Non-binding_donor1_row12002_cand000435,rosetta_sidechain,1441.8981753703692,AB,MP,P,M,MP_AB,M_P,1.5735461732467684,1.5735461732467684,396.60892950394725,912.1037510754479,912.1037510754479,213.29588891328046,1.5735461730735096
Non-binding_donor1_row12481_cand000441,rosetta_sidechain,5442.930931108752,AB,MP,P,M,MP_AB,M_P,4968.77911352819,4968.77911352819,1139.638224653795,0.0,0.0,0.0,4968.779113527851
Non-binding_donor1_row12003_cand000409,rosetta_sidechain,1480.058890650723,AB,MP,P,M,MP_AB,M_P,0.00622789994872619,0.00622789994872619,0.0,0.0,0.0,0.0,0.006227899823215921
Non-binding_donor1_row12379_cand000131,rosetta_sidechain,183.16169267356977,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,2.8137492336099967e-12
Non-binding_donor1_row12802_cand000255,rosetta_sidechain,20837.859655284818,AB,MP,P,M,MP_AB,M_P,0.035564101781346835,0.035564101781346835,7.160837696327974,19927.323224257278,19927.323224257278,1283.6118386712278,0.035564101901400136
Non-binding_donor1_row12969_cand000530,rosetta_sidechain,14186.351834410265,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,12592.995388589998,12592.995388589998,1032.8764110382456,-5.4569682106375694e-12
Non-binding_donor1_row12869_cand000492,rosetta_sidechain,631.3647397208076,AB,MP,P,M,MP_AB,M_P,0.027553486961551243,0.027553486961551243,18.830590010333772,0.0,0.0,0.0,0.02755348693290216
Non-binding_donor1_row12714_cand000579,rosetta_sidechain,38693.110448737134,AB,MP,P,M,MP_AB,M_P,29265.096058421914,29265.096058421914,2121.540107408218,1230.0682299716882,1230.0682299716882,1332.3104731244887,29265.096058422096
Non-binding_donor1_row13443_cand000541,rosetta_sidechain,330.621901014529,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-0.023065954507387687,-0.023065954507387687,24.08237881381143,3.751665644813329e-12
Non-binding_donor1_row13464_cand000387,rosetta_sidechain,3524.739871980445,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-1.8189894035458565e-12
Non-binding_donor1_row13494_cand000500,rosetta_sidechain,389.9361264409501,AB,MP,P,M,MP_AB,M_P,3.3812089370650256,3.3812089370650256,409.22020550070545,157.4884570100194,157.4884570100194,609.9010562630623,3.381208937220322
Non-binding_donor1_row1329_cand000427,rosetta_sidechain,509.8387077017886,AB,MP,P,M,MP_AB,M_P,-3.625952827519768,-3.625952827519768,523.906698220464,-28.893370552421857,-28.893370552421857,1830.683353454126,-3.6259528276608535
Non-binding_donor1_row13710_cand000542,rosetta_sidechain,3162.244124708191,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,602.6966383663948,602.6966383663948,524.4405905601395,1.3642420526593924e-12
Non-binding_donor1_row13521_cand000019,rosetta_sidechain,106941.08910562948,AB,MP,P,M,MP_AB,M_P,2236.5338323074393,2236.5338323074393,427.4294350262727,23576.855427327493,23576.855427327493,1332.0932145392003,2236.533832306872
Non-binding_donor1_row13597_cand000533,rosetta_sidechain,71390.8959364479,AB,MP,P,M,MP_AB,M_P,9304.16068615629,9304.16068615629,1251.6025467317656,0.0,0.0,0.0,9304.160686156742
Non-binding_donor1_row13803_cand000347,rosetta_sidechain,92784.6321577851,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,0.030282646039268002
Non-binding_donor1_row13924_cand000123,rosetta_sidechain,3612.7761077778346,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-5.4569682106375694e-12
Non-binding_donor1_row13997_cand000249,rosetta_sidechain,2229.939294311383,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,5.9117155615240335e-12
Non-binding_donor1_row13970_cand000095,rosetta_sidechain,22419.981276704435,AB,MP,P,M,MP_AB,M_P,7064.511292715417,7064.511292715417,859.8689268761124,13925.424366545532,13925.424366545532,940.7026333302626,7064.511292714902
Non-binding_donor1_row13861_cand000457,rosetta_sidechain,262.9251735275763,AB,MP,P,M,MP_AB,M_P,-6.862617826182429,-6.862617826182429,1032.6403494391486,-39.3842552196364,-39.3842552196364,1853.8764443504429,-6.862617826469716
Non-binding_donor1_row14309_cand000050,rosetta_sidechain,2636.7390613628627,AB,MP,P,M,MP_AB,M_P,0.00957412548314096,0.00957412548314096,10.73272770221395,1061.5566799988505,1061.5566799988505,352.14810185788787,0.009574125257586275
Non-binding_donor1_row14230_cand000512,rosetta_sidechain,6442.874215261116,AB,MP,P,M,MP_AB,M_P,1791.975678544938,1791.975678544938,1054.1626172499844,1.6161416520089915,1.6161416520089915,229.51203776027793,1791.9756785448299
Non-binding_donor1_row14316_cand000034,rosetta_sidechain,18329.379711603677,AB,MP,P,M,MP_AB,M_P,484.82219531536975,484.82219531536975,422.18656679452744,17430.501033929053,17430.501033929053,1405.3511370851259,484.82219531535884
Non-binding_donor1_row15528_cand000442,rosetta_sidechain,614.0455696268405,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-0.1782874246188726,-0.1782874246188726,90.06745231052486,-0.0004902090806808701
Non-binding_donor1_row1586_cand000480,rosetta_sidechain,8769.35992656517,AB,MP,P,M,MP_AB,M_P,-0.003169851825077785,-0.003169851825077785,16.621235887875855,8223.942837316199,8223.942837316199,894.3889176081727,-0.0031698517723270925
Non-binding_donor1_row14559_cand000071,rosetta_sidechain,1911.0965299717232,AB,MP,P,M,MP_AB,M_P,-11.189032421845923,-11.189032421845923,802.4258515615285,-38.97458154349715,-38.97458154349715,1830.2346874810798,-11.189032421982347
Non-binding_donor1_row17238_cand000107,rosetta_sidechain,696.3151239476344,AB,MP,P,M,MP_AB,M_P,269.8448101575592,269.8448101575592,170.41365339800814,0.0,0.0,0.0,269.8448101572334
Non-binding_donor1_row17324_cand000151,rosetta_sidechain,777.2287830406202,AB,MP,P,M,MP_AB,M_P,-1.4852626251155243,-1.4852626251155243,168.0952355898479,42.32994775399132,42.32994775399132,177.46306927488888,-1.4852626252941263
Non-binding_donor1_row1660_cand000227,rosetta_sidechain,101674.86345039558,AB,MP,P,M,MP_AB,M_P,56934.70962576591,56934.70962576591,2834.8077301152825,3.4486725825136375,3.4486725825136375,303.4177722254108,56934.70962576538
Non-binding_donor1_row17383_cand000396,rosetta_sidechain,832.8765850606751,AB,MP,P,M,MP_AB,M_P,-0.11705308000080095,-0.11705308000080095,53.224583484437936,-31.26303925743815,-31.26303925743815,1818.3940790688325,-0.11705307991155678
Non-binding_donor1_row17535_cand000256,rosetta_sidechain,4045.2814490090304,AB,MP,P,M,MP_AB,M_P,-0.09918482589819178,-0.09918482589819178,24.084837788802055,663.0539816552323,663.0539816552323,617.1346315255946,-0.09918482562625286
Non-binding_donor1_row17776_cand000250,rosetta_sidechain,1874.1527216562724,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.21665745624500232,0.21665745624500232,93.05057682505245,7.048583938740194e-12
Non-binding_donor1_row17820_cand000424,rosetta_sidechain,10331.368521340644,AB,MP,P,M,MP_AB,M_P,3140.3139578498785,3140.3139578498785,315.37479022025707,-0.17178637134247765,-0.17178637134247765,77.62341764120221,3140.3139578496093
Non-binding_donor1_row18276_cand000333,rosetta_sidechain,6916.6695316616915,AB,MP,P,M,MP_AB,M_P,4732.370469803461,4732.370469803461,1175.3158496150998,-2.4206231066425516,-2.4206231066425516,368.24010737444564,4732.370469803343
Non-binding_donor1_row17798_cand000540,rosetta_sidechain,1116.4542103538179,AB,MP,P,M,MP_AB,M_P,-1.7434841349934231,-1.7434841349934231,286.2311970432479,-27.1563732889216,-27.1563732889216,1600.0382634574917,-1.7434841351462183
