TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10462_cand000345,rosetta_sidechain,1175.467264073269,AB,MP,P,M,MP_AB,M_P,369.8634352986928,369.8634352986928,233.28182483228335,-0.018334357217327124,-0.018334357217327124,12.03800902915765,369.86343529899773
Non-binding_donor1_row10014_cand000127,rosetta_sidechain,6317.662147858978,AB,MP,P,M,MP_AB,M_P,0.01769422949382715,0.01769422949382715,55.69586110699734,4650.483375878339,4650.483375878339,815.4153442857034,0.017694229448352417
Non-binding_donor1_row10872_cand000524,rosetta_sidechain,1265.4851025556802,AB,MP,P,M,MP_AB,M_P,0.00036334195442577766,0.00036334195442577766,0.0,0.0,0.0,0.0,0.00036334186006570235
Non-binding_donor1_row10881_cand000309,rosetta_sidechain,14259.676913402222,AB,MP,P,M,MP_AB,M_P,-0.4595011689943931,-0.4595011689943931,145.49037495058587,9300.278533381794,9300.278533381794,1017.3788336368414,-0.45950116889434867
Non-binding_donor1_row10206_cand000232,rosetta_sidechain,28420.6409677073,AB,MP,P,M,MP_AB,M_P,1907.0308974051331,1907.0308974051331,451.30530648298816,24662.88711967595,24662.88711967595,1475.5834887091144,1907.0308974051259
Non-binding_donor1_row11116_cand000342,rosetta_sidechain,2685.629964866063,AB,MP,P,M,MP_AB,M_P,0.002485949616129801,0.002485949616129801,7.172806776487249,-0.03770096486914554,-0.03770096486914554,0.446804288510549,0.0024859496356839372
Non-binding_donor1_row11731_cand000162,rosetta_sidechain,44436.58424498536,AB,MP,P,M,MP_AB,M_P,-0.4869420520190033,-0.4869420520190033,102.81771081487415,-0.5581191041845841,-0.5581191041845841,108.40963713999946,-0.486942051560618
Non-binding_donor1_row11309_cand000513,rosetta_sidechain,1243.5407439698333,AB,MP,P,M,MP_AB,M_P,-0.6209101407437174,-0.6209101407437174,137.23310590411728,0.1598560733193608,0.1598560733193608,77.3811659410253,-0.620910140837168
Non-binding_donor1_row12043_cand000562,rosetta_sidechain,9941.450082664851,AB,MP,P,M,MP_AB,M_P,-3.1106722485656064,-3.1106722485656064,516.2958448298017,9562.289068266098,9562.289068266098,1008.3958411733558,-3.1106722483691556
Non-binding_donor1_row11949_cand000034,rosetta_sidechain,7726.623413573673,AB,MP,P,M,MP_AB,M_P,1898.7802351332048,1898.7802351332048,998.6354092478616,3170.592705256057,3170.592705256057,409.1971438835226,1898.7802351332784
Non-binding_donor1_row12273_cand000447,rosetta_sidechain,141945.01458335138,AB,MP,P,M,MP_AB,M_P,8925.192023112351,8925.192023112351,901.7751432455939,0.0,0.0,0.0,8925.192023111624
Non-binding_donor1_row12082_cand000451,rosetta_sidechain,127583.25982083191,AB,MP,P,M,MP_AB,M_P,124980.43972285665,124980.43972285665,4321.042094463203,0.0,0.0,0.0,124980.43972285658
Non-binding_donor1_row12262_cand000235,rosetta_sidechain,3581.2119731246285,AB,MP,P,M,MP_AB,M_P,859.6970046248748,859.6970046248748,779.279566517241,2507.12693787614,2507.12693787614,296.76064430822737,859.6970046250726
Non-binding_donor1_row12799_cand000427,rosetta_sidechain,1053.4908598156283,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,480.48301250105214,480.48301250105214,313.5862311019457,2.2737367544323206e-13
Non-binding_donor1_row12756_cand000525,rosetta_sidechain,3468.133250108139,AB,MP,P,M,MP_AB,M_P,-3.825010013004885,-3.825010013004885,394.7332590634141,-7.733535704257861,-7.733535704257861,1353.0053462716141,-3.8250100130721876
Non-binding_donor1_row12796_cand000559,rosetta_sidechain,17758.009155125408,AB,MP,P,M,MP_AB,M_P,17379.00175571584,17379.00175571584,1852.753026331556,0.7325335873665324,0.7325335873665324,159.64780322510086,17379.001755716137
Non-binding_donor1_row14539_cand000452,rosetta_sidechain,401.60504568166533,AB,MP,P,M,MP_AB,M_P,1.469981881433796,1.469981881433796,173.6658145989665,0.009814316748304464,0.009814316748304464,0.0,1.4699818814901278
Non-binding_donor1_row15196_cand000202,rosetta_sidechain,39862.6270523374,AB,MP,P,M,MP_AB,M_P,7341.045336318417,7341.045336318417,876.7329186703935,9250.571738885434,9250.571738885434,777.2773480704101,7341.045336318166
Non-binding_donor1_row13616_cand000276,rosetta_sidechain,1184.5859048880277,AB,MP,P,M,MP_AB,M_P,0.46899928063271545,0.46899928063271545,313.0966080691193,-16.283081592579947,-16.283081592579947,1516.144769871047,0.46899928085463216
Non-binding_donor1_row15208_cand000239,rosetta_sidechain,7923.820640915508,AB,MP,P,M,MP_AB,M_P,73.12008208706538,73.12008208706538,348.70991958674244,5722.366716956571,5722.366716956571,1208.274484312364,73.12008208698171
Non-binding_donor1_row15213_cand000357,rosetta_sidechain,30345.339915917844,AB,MP,P,M,MP_AB,M_P,15.659319100312132,15.659319100312132,268.2757539049586,28255.042188384105,28255.042188384105,1428.381338341608,15.659319100559514
