TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10014_cand000127,openmm,450.49565819466267,AB,MP,P,M,MP_AB,M_P,-45.71271235788623,-45.71271235788623,2266.198193016169,-53.98735686964251,-53.98735686964251,1844.9286920238096,-45.712712358374006,-49282.04050551327 kJ/mol
Non-binding_donor1_row10206_cand000232,openmm,-279.1784620342369,AB,MP,P,M,MP_AB,M_P,-60.217894476863705,-60.217894476863705,2359.6505213639734,-53.07798114807659,-53.07798114807659,1838.0616746892908,-60.21789447707164,-56541.71860302267 kJ/mol
Non-binding_donor1_row10462_cand000345,openmm,365.6669507422153,AB,MP,P,M,MP_AB,M_P,-43.13279023029713,-43.13279023029713,2279.962154264114,-61.36636470501798,-61.36636470501798,1707.2156826315452,-43.132790230245746,-42488.02936325599 kJ/mol
Non-binding_donor1_row10872_cand000524,openmm,190.83338880541686,AB,MP,P,M,MP_AB,M_P,384.3875409969876,384.3875409969876,2229.9937811444997,-55.081928239759634,-55.081928239759634,1733.7219126543753,384.38754099672985,-43618.90613672823 kJ/mol
Non-binding_donor1_row11116_cand000342,openmm,-269.6324117443803,AB,MP,P,M,MP_AB,M_P,-68.18252127145058,-68.18252127145058,2261.0845722332974,-55.13924171809445,-55.13924171809445,1807.197489393552,-68.18252127163427,-55314.51785174106 kJ/mol
Non-binding_donor1_row10881_cand000309,openmm,-197.98387044602106,AB,MP,P,M,MP_AB,M_P,-56.60395418050447,-56.60395418050447,2443.30931082963,-58.185438783533314,-58.185438783533314,1772.6172111106177,-56.60395418077596,-55261.56609526384 kJ/mol
Non-binding_donor1_row11309_cand000513,openmm,-115.87172653885392,AB,MP,P,M,MP_AB,M_P,-45.47989548180085,-45.47989548180085,2125.336477783985,-53.77686248673071,-53.77686248673071,1934.71207454528,-45.47989548164874,-54184.11493901921 kJ/mol
Non-binding_donor1_row11731_cand000162,openmm,566.3506182053729,AB,MP,P,M,MP_AB,M_P,550.7193757116173,550.7193757116173,2787.5897864573008,-49.80093162378425,-49.80093162378425,1651.3488257999659,550.719375711813,-38661.39712863929 kJ/mol
Non-binding_donor1_row12043_cand000562,openmm,-363.0381388647755,AB,MP,P,M,MP_AB,M_P,-50.69320987233931,-50.69320987233931,2231.2961225612808,-60.569546594956634,-60.569546594956634,1804.2229363849062,-50.69320987195613,-57029.65710506026 kJ/mol
Non-binding_donor1_row11949_cand000034,openmm,-204.03923828184503,AB,MP,P,M,MP_AB,M_P,-53.60334567078078,-53.60334567078078,2331.103342098956,-63.43385765424987,-63.43385765424987,1804.7240708337768,-53.60334567090666,-53254.838484153785 kJ/mol
