TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10018_cand000412,openmm,461.92918545560326,AB,MP,P,M,MP_AB,M_P,-47.40859205004227,-47.40859205004227,2105.272335600455,-46.504630067830114,-46.504630067830114,1775.785418096046,-47.40859204948697,-48720.18979546339 kJ/mol
Non-binding_donor1_row10127_cand000113,openmm,488.572912252455,AB,MP,P,M,MP_AB,M_P,-50.04033108675998,-50.04033108675998,2192.704356254506,-46.707414957384565,-46.707414957384565,1697.972031062038,-50.04033108681165,-41915.98686160974 kJ/mol
Non-binding_donor1_row10176_cand000317,openmm,449.241477588585,AB,MP,P,M,MP_AB,M_P,-49.90764671453019,-49.90764671453019,1905.8490294707462,-52.91044065076375,-52.91044065076375,1849.8230451534973,-49.907646713896156,-46076.25781606701 kJ/mol
Non-binding_donor1_row10203_cand000271,openmm,-241.498135636953,AB,MP,P,M,MP_AB,M_P,-55.571614398337545,-55.571614398337545,2059.334051835998,-46.42483856626815,-46.42483856626815,1677.343015005355,-55.57161439828678,-58021.1736971886 kJ/mol
Non-binding_donor1_row10956_cand000296,openmm,-304.66510534797925,AB,MP,P,M,MP_AB,M_P,-56.891970077393154,-56.891970077393154,2201.158304515127,-49.244567481759944,-49.244567481759944,1784.9033594172963,-56.891970077974406,-53412.21521448371 kJ/mol
Non-binding_donor1_row11148_cand000516,openmm,-54.33237392805573,AB,MP,P,M,MP_AB,M_P,-51.568611326061266,-51.568611326061266,2047.427601847346,-47.682963672081236,-47.682963672081236,1737.788289343936,-51.56861132551282,-54276.276224670946 kJ/mol
Non-binding_donor1_row11171_cand000357,openmm,-283.7667176719029,AB,MP,P,M,MP_AB,M_P,-40.42342547449152,-40.42342547449152,1940.9280452837106,-50.91281263607975,-50.91281263607975,1881.0712416697695,-40.42342547459498,-52298.74497185852 kJ/mol
Non-binding_donor1_row1118_cand000153,openmm,-193.6473427273879,AB,MP,P,M,MP_AB,M_P,-37.80266087860696,-37.80266087860696,2004.777409795381,-54.23088321102824,-54.23088321102824,1756.4345415571838,-37.802660878914,-48502.61191031749 kJ/mol
Non-binding_donor1_row11502_cand000452,openmm,-132.85392885447607,AB,MP,P,M,MP_AB,M_P,-48.73472784093215,-48.73472784093215,1984.4013966670673,-48.53648304732219,-48.53648304732219,1803.448095524229,-48.7347278405835,-53215.01429106042 kJ/mol
Non-binding_donor1_row11213_cand000577,openmm,-263.1407868892901,AB,MP,P,M,MP_AB,M_P,-43.63102548213101,-43.63102548213101,1910.1692933888291,-54.91395127433242,-54.91395127433242,1946.3955955678289,-43.631025481724976,-55641.885441853636 kJ/mol
Non-binding_donor1_row11584_cand000078,openmm,-364.82931338281907,AB,MP,P,M,MP_AB,M_P,-33.81326530615456,-33.81326530615456,2134.568346441787,-54.28476452647739,-54.28476452647739,1779.1152735982844,-33.813265306258074,-55383.235087032364 kJ/mol
Non-binding_donor1_row12104_cand000009,openmm,-306.37080667357947,AB,MP,P,M,MP_AB,M_P,-50.48300292736397,-50.48300292736397,2317.996167641084,-48.9129935998981,-48.9129935998981,1820.3398186610696,-50.48300292690166,-57157.69174835957 kJ/mol
Non-binding_donor1_row12385_cand000594,openmm,-261.1415014843807,AB,MP,P,M,MP_AB,M_P,-50.37212713596438,-50.37212713596438,2126.1637716064497,-51.720577003148094,-51.720577003148094,1751.6013757925607,-50.37212713613317,-52915.418804282424 kJ/mol
Non-binding_donor1_row12123_cand000318,openmm,-207.31798682857817,AB,MP,P,M,MP_AB,M_P,-39.79832477194938,-39.79832477194938,2245.4956016352407,-47.64863950106394,-47.64863950106394,1725.4877750382593,-39.79832477193281,-50778.267481403884 kJ/mol
Non-binding_donor1_row12429_cand000178,openmm,-316.87004776917195,AB,MP,P,M,MP_AB,M_P,-45.19887778345071,-45.19887778345071,1881.218818954299,-53.003309154541554,-53.003309154541554,1758.8115093439837,-45.19887778365552,-53480.99071818507 kJ/mol
Non-binding_donor1_row12543_cand000526,openmm,-377.57478072279156,AB,MP,P,M,MP_AB,M_P,-56.57850357277334,-56.57850357277334,2125.172308236033,-57.88230903284129,-57.88230903284129,1727.3614519249365,-56.578503572825696,-51454.114398902624 kJ/mol
Non-binding_donor1_row12603_cand000211,openmm,10329.203516025462,AB,MP,P,M,MP_AB,M_P,4330.559090521593,4330.559090521593,1821.5441811721537,1243.370289122216,1243.370289122216,1816.0519713249587,4330.559090521587,298327039.64648104 kJ/mol
Non-binding_donor1_row12670_cand000470,openmm,-70.21599104070384,AB,MP,P,M,MP_AB,M_P,-49.15891580330148,-49.15891580330148,2225.3777653669,-55.919970191424454,-55.919970191424454,1763.1021026647845,-49.15891580373622,-54319.67947237945 kJ/mol
Non-binding_donor1_row12844_cand000226,openmm,-251.9570483193233,AB,MP,P,M,MP_AB,M_P,-42.925603942071916,-42.925603942071916,2080.6457708828907,-56.088667288115154,-56.088667288115154,1734.5629519143263,-42.925603941810664,-52812.9446147421 kJ/mol
Non-binding_donor1_row12923_cand000474,openmm,7007.238054896286,AB,MP,P,M,MP_AB,M_P,1831.4444944793286,1831.4444944793286,1686.176072050566,916.5940321005537,916.5940321005537,1772.209060047275,1831.4444944792149,725139531726.5408 kJ/mol
Non-binding_donor1_row12973_cand000423,openmm,-420.6226560850979,AB,MP,P,M,MP_AB,M_P,-41.874134611903685,-41.874134611903685,2129.282659465726,-59.92734251335193,-59.92734251335193,1774.846624883946,-41.87413461216829,-52963.31973965331 kJ/mol
Non-binding_donor1_row13475_cand000502,openmm,-214.62144579240692,AB,MP,P,M,MP_AB,M_P,-46.435009354869635,-46.435009354869635,2040.562857319364,-59.53181660831501,-59.53181660831501,1839.5178222767765,-46.43500935484525,-49756.75580133536 kJ/mol
Non-binding_donor1_row13699_cand000203,openmm,-400.7421909342478,AB,MP,P,M,MP_AB,M_P,-28.487721121668415,-28.487721121668415,1679.2574239982634,-53.18236216890597,-53.18236216890597,1872.8925124396405,-28.48772112173549,-51279.533892683365 kJ/mol
Non-binding_donor1_row13851_cand000217,openmm,-172.3855561245462,AB,MP,P,M,MP_AB,M_P,-46.41436742508881,-46.41436742508881,2118.4586704361795,-54.89258169526092,-54.89258169526092,1734.9091476677327,-46.41436742475422,-48949.963293255474 kJ/mol
Non-binding_donor1_row14151_cand000414,openmm,-145.32986541075564,AB,MP,P,M,MP_AB,M_P,-33.04085697881723,-33.04085697881723,1810.9649105747933,-49.42257767263086,-49.42257767263086,1757.1357760655403,-33.04085697874393,-53655.730715265374 kJ/mol
Non-binding_donor1_row14221_cand000425,openmm,-118.52375873077497,AB,MP,P,M,MP_AB,M_P,-62.62960738460331,-62.62960738460331,1966.296033624541,-37.49734373853391,-37.49734373853391,1663.2775849749669,-62.629607384297586,-53098.040838244204 kJ/mol
Non-binding_donor1_row14299_cand000430,openmm,-288.50248378410254,AB,MP,P,M,MP_AB,M_P,-33.73003803557796,-33.73003803557796,1785.1451689673954,-54.19503093331734,-54.19503093331734,1908.5637456173731,-33.73003803527706,-54683.161153086 kJ/mol
Non-binding_donor1_row14387_cand000209,openmm,-201.2539071381989,AB,MP,P,M,MP_AB,M_P,-50.06014819345435,-50.06014819345435,1882.8103575496268,-57.44382148909868,-57.44382148909868,1851.1239747928398,-50.06014819304542,-51944.56796177902 kJ/mol
Non-binding_donor1_row145_cand000319,openmm,-265.34237626060906,AB,MP,P,M,MP_AB,M_P,-39.227626940974545,-39.227626940974545,1933.3881220738485,-62.94016215981986,-62.94016215981986,1879.115580850363,-39.22762694063451,-46921.06238262393 kJ/mol
Non-binding_donor1_row14709_cand000140,openmm,221.09344697168603,AB,MP,P,M,MP_AB,M_P,-45.478783734179075,-45.478783734179075,2127.5955931826734,-60.770725090013386,-60.770725090013386,1777.05473788338,-45.4787837342011,-46924.73451787557 kJ/mol
Non-binding_donor1_row1476_cand000416,openmm,-237.41254437476516,AB,MP,P,M,MP_AB,M_P,-40.40332725050382,-40.40332725050382,2177.9248150643916,-58.34947774885191,-58.34947774885191,1770.253321657679,-40.403327250838316,-53075.2239703639 kJ/mol
