TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Binding_donor1_row1021_cand00361,openmm,-231.0433333164123,AB,MP,P,M,MP_AB,M_P,-41.56251787638894,-41.56251787638894,1911.465669658079,-48.784470088774086,-48.784470088774086,1713.4207004592918,-41.56251787620755,-51852.2646169258 kJ/mol
Binding_donor1_row1003_cand00194,openmm,-63.773349710574635,AB,MP,P,M,MP_AB,M_P,-38.523046225158325,-38.523046225158325,1688.9140514968674,-53.655340686276844,-53.655340686276844,1749.5289175396101,-38.52304622503699,-47861.19796574701 kJ/mol
Binding_donor1_row1022_cand00441,openmm,176844.62672486977,AB,MP,P,M,MP_AB,M_P,2926.299396029237,2926.299396029237,1143.5422391808077,2414.726388869196,2414.726388869196,784.7230390147012,2926.299396029237,6082445501624492.0 kJ/mol
Binding_donor1_row111_cand00487,openmm,-382.171251762947,AB,MP,P,M,MP_AB,M_P,-41.65324683862053,-41.65324683862053,1837.0908139610667,-48.078196037778554,-48.078196037778554,1811.2787673164157,-41.65324683847166,-52460.25368955753 kJ/mol
Binding_donor1_row1147_cand00497,openmm,-222.29121026644435,AB,MP,P,M,MP_AB,M_P,-49.77096311274673,-49.77096311274673,2055.550139232579,-43.42270429941089,-43.42270429941089,1801.068560164173,-49.770963112728964,-53860.20842529296 kJ/mol
Binding_donor1_row115_cand00398,openmm,11033.337213827022,AB,MP,P,M,MP_AB,M_P,3865.335677016824,3865.335677016824,1987.456483045909,1320.485850370137,1320.485850370137,1557.8674551734073,3865.335677016802,7484993160495.725 kJ/mol
Binding_donor1_row116_cand00068,openmm,-300.1737237790925,AB,MP,P,M,MP_AB,M_P,-34.84896234262101,-34.84896234262101,1787.2924591816527,-52.978565325807836,-52.978565325807836,1686.2090704089567,-34.848962342325876,-54754.60680039772 kJ/mol
Binding_donor1_row1178_cand00013,openmm,132.34196972299844,AB,MP,P,M,MP_AB,M_P,-52.63425020519324,-52.63425020519324,2018.9722967141533,-47.34611054627712,-47.34611054627712,1757.9918329140773,-52.634250205304056,-47973.23853370395 kJ/mol
Binding_donor1_row1185_cand00117,openmm,-146.24577157392358,AB,MP,P,M,MP_AB,M_P,-56.769412312231836,-56.769412312231836,2272.015235786726,-52.45193578425432,-52.45193578425432,1576.9018143131664,-56.769412312446434,-55038.74907420229 kJ/mol
Binding_donor1_row1192_cand00324,openmm,-132.63969058157892,AB,MP,P,M,MP_AB,M_P,-33.11438968933169,-33.11438968933169,1761.6315192651296,-62.12301088500371,-62.12301088500371,1798.019594073241,-33.1143896894439,-53530.64528375348 kJ/mol
Binding_donor1_row1203_cand00566,openmm,-368.9602316590791,AB,MP,P,M,MP_AB,M_P,-34.06999827949721,-34.06999827949721,2023.241651317212,-51.40437199426188,-51.40437199426188,1849.2803485973734,-34.06999827989546,-52844.11722006117 kJ/mol
Binding_donor1_row127_cand00178,openmm,-343.1451858053304,AB,MP,P,M,MP_AB,M_P,-32.80304180222231,-32.80304180222231,1953.6518756246746,-58.865431055374245,-58.865431055374245,1747.8250185255486,-32.80304180204706,-56452.73976740649 kJ/mol
Binding_donor1_row1339_cand00139,openmm,-154.14490773607926,AB,MP,P,M,MP_AB,M_P,-34.443459296372126,-34.443459296372126,1959.6353840207773,-51.0747099608035,-51.0747099608035,1732.2769817162148,-34.44345929650706,-53198.10853152913 kJ/mol
Binding_donor1_row1351_cand00345,openmm,-227.70742873408278,AB,MP,P,M,MP_AB,M_P,-33.551379830122926,-33.551379830122926,1712.3804842251027,-46.451989188397306,-46.451989188397306,1633.7022050980336,-33.55137983034649,-57145.97632713606 kJ/mol
Binding_donor1_row1381_cand00265,openmm,-294.277248783573,AB,MP,P,M,MP_AB,M_P,-41.20970066201477,-41.20970066201477,1872.5210210476087,-55.1858941548774,-55.1858941548774,1785.5333457070774,-41.209700662094036,-51940.66624593791 kJ/mol
Binding_donor1_row1426_cand00071,openmm,-81.47340796726202,AB,MP,P,M,MP_AB,M_P,-32.07529260103759,-32.07529260103759,1984.4604586089542,-52.940612151360966,-52.940612151360966,1801.5205694123633,-32.07529260113203,-56843.65958318335 kJ/mol
Binding_donor1_row1430_cand00195,openmm,-222.63318304244154,AB,MP,P,M,MP_AB,M_P,-43.51088027532464,-43.51088027532464,2097.0054556075725,-53.9321729915378,-53.9321729915378,1791.4721193751964,-43.51088027585507,-56684.9673636956 kJ/mol
Binding_donor1_row144_cand00402,openmm,-235.68246248246587,AB,MP,P,M,MP_AB,M_P,-38.394790885640674,-38.394790885640674,1998.9308127828238,-45.2570647254893,-45.2570647254893,1630.4402079971126,-38.39479088590244,-57894.651526606 kJ/mol
Binding_donor1_row1453_cand00431,openmm,-254.49284466379208,AB,MP,P,M,MP_AB,M_P,-45.36030396242376,-45.36030396242376,2008.7188752096308,-54.096572405773145,-54.096572405773145,1739.5293444785175,-45.36030396262993,-58942.817240768796 kJ/mol
Binding_donor1_row145_cand00274,openmm,-291.51858572126775,AB,MP,P,M,MP_AB,M_P,-30.6407463664911,-30.6407463664911,1911.4530412313134,-55.05948458201641,-55.05948458201641,1692.7692976460698,-30.640746366293627,-59775.49649378208 kJ/mol
Binding_donor1_row147_cand00576,openmm,-219.63498671476077,AB,MP,P,M,MP_AB,M_P,-39.891439588587616,-39.891439588587616,2418.034755781423,-48.01112142952654,-48.01112142952654,1688.3370844312533,-39.891439588251245,-56132.262161832026 kJ/mol
Binding_donor1_row1491_cand00495,openmm,283.0418829991787,AB,MP,P,M,MP_AB,M_P,-45.56693322848088,-45.56693322848088,1948.5843237770373,-51.61663459549903,-51.61663459549903,1820.5653229574464,-45.56693322814033,-40879.06154511697 kJ/mol
Binding_donor1_row1502_cand00108,openmm,-193.41197383048018,AB,MP,P,M,MP_AB,M_P,-43.3573403245008,-43.3573403245008,1999.9770019215637,-59.138705699530796,-59.138705699530796,1750.4815182453485,-43.357340324347035,-55979.383378581966 kJ/mol
Binding_donor1_row1548_cand00237,openmm,-361.67606860080167,AB,MP,P,M,MP_AB,M_P,-45.54103271441528,-45.54103271441528,2188.8946127781587,-55.73697120410807,-55.73697120410807,1725.8228006844533,-45.54103271436213,-56730.64484172408 kJ/mol
Binding_donor1_row1550_cand00041,openmm,-331.29581789644385,AB,MP,P,M,MP_AB,M_P,-41.192385912129,-41.192385912129,2048.86736661092,-61.38866062523782,-61.38866062523782,1786.4536461861253,-41.192385912055045,-57749.47728989748 kJ/mol
Binding_donor1_row1558_cand00144,openmm,173.29621878387707,AB,MP,P,M,MP_AB,M_P,322.49182065255195,322.49182065255195,2064.627519102013,-61.547829621173946,-61.547829621173946,1758.2170812288305,322.49182065297487,-47031.98921676325 kJ/mol
Binding_donor1_row1569_cand00264,openmm,-232.00569769576822,AB,MP,P,M,MP_AB,M_P,-49.47035281577516,-49.47035281577516,2040.9912929871246,-59.56259832331061,-59.56259832331061,1711.56930173089,-49.470352815600194,-54069.26865538802 kJ/mol
Binding_donor1_row1607_cand00275,openmm,-112.74620389384913,AB,MP,P,M,MP_AB,M_P,-49.01098920084988,-49.01098920084988,1910.5207949431626,-61.576113617881376,-61.576113617881376,1761.8264919351245,-49.010989200467094,-53208.09957204442 kJ/mol
Binding_donor1_row1635_cand00037,openmm,-270.8686749280268,AB,MP,P,M,MP_AB,M_P,-47.222238248288676,-47.222238248288676,2298.2985523574916,-52.87930461566319,-52.87930461566319,1718.292278981496,-47.222238248079236,-58016.35812731377 kJ/mol
Binding_donor1_row1640_cand00381,openmm,590.0300085150689,AB,MP,P,M,MP_AB,M_P,315.1884060567104,315.1884060567104,2354.2039072738617,-75.20605683004652,-75.20605683004652,1691.745867600776,315.18840605708954,-42644.296268873804 kJ/mol
Binding_donor1_row184_cand00432,openmm,-185.3025667917895,AB,MP,P,M,MP_AB,M_P,-36.48392380989404,-36.48392380989404,1876.4725240443124,-56.71318049735062,-56.71318049735062,1760.809492458497,-36.483923809898926,-56074.37436425974 kJ/mol
Binding_donor1_row190_cand00107,openmm,-164.605995945941,AB,MP,P,M,MP_AB,M_P,-33.604552711951925,-33.604552711951925,1845.1740387745265,-53.8343338462646,-53.8343338462646,1639.7543475973434,-33.6045527121197,-59665.698449288284 kJ/mol
Binding_donor1_row194_cand00593,openmm,-159.95654438601395,AB,MP,P,M,MP_AB,M_P,-41.503583062598565,-41.503583062598565,1813.4468153132432,-53.281937095814904,-53.281937095814904,1721.0635127678124,-41.5035830629086,-57433.175870895226 kJ/mol
Binding_donor1_row199_cand00569,openmm,17160.231125860486,AB,MP,P,M,MP_AB,M_P,6798.557772884344,6798.557772884344,1572.8105220789055,1218.3144523026817,1218.3144523026817,1668.3298399813382,6798.557772884189,2004888548.3849564 kJ/mol
Binding_donor1_row214_cand00356,openmm,-96.25843542287494,AB,MP,P,M,MP_AB,M_P,-43.02537195474992,-43.02537195474992,1820.2861711183732,-59.843276545133875,-59.843276545133875,1790.082084859776,-43.02537195485524,-51745.3211709063 kJ/mol
Binding_donor1_row236_cand00200,openmm,-339.77368108774465,AB,MP,P,M,MP_AB,M_P,-39.75368181145922,-39.75368181145922,2001.5093854907773,-47.43412314219317,-47.43412314219317,1643.407003683993,-39.7536818115463,-54690.972541559386 kJ/mol
Binding_donor1_row260_cand00331,openmm,-219.03356342845933,AB,MP,P,M,MP_AB,M_P,-45.35242528964491,-45.35242528964491,2050.603294356009,-51.97008966820789,-51.97008966820789,1677.2756763243033,-45.35242528990122,-51885.53302370769 kJ/mol
Binding_donor1_row265_cand00190,openmm,-139.38616740123513,AB,MP,P,M,MP_AB,M_P,-45.471452047269494,-45.471452047269494,1881.8672591920379,-42.83044124977771,-42.83044124977771,1621.8661965979927,-45.47145204740663,-52982.53109341429 kJ/mol
Binding_donor1_row27_cand00618,openmm,14768.264020312403,AB,MP,P,M,MP_AB,M_P,2920.9996428868,2920.9996428868,1796.6200649666896,2343.1797994108947,2343.1797994108947,1586.0106333801923,2920.999642886776,4416030031058.524 kJ/mol
Binding_donor1_row291_cand00351,openmm,12631.23338272179,AB,MP,P,M,MP_AB,M_P,2347.725780185716,2347.725780185716,1707.3710634770862,1166.0859907426639,1166.0859907426639,1501.346037816179,2347.7257801858777,1920867936.7848725 kJ/mol
Binding_donor1_row303_cand00229,openmm,7.724695362861283,AB,MP,P,M,MP_AB,M_P,-53.065849523686296,-53.065849523686296,1788.6115867873293,-50.84635987552889,-50.84635987552889,1701.1946690490715,-53.0658495236742,-53423.66413176131 kJ/mol
Binding_donor1_row308_cand00027,openmm,-173.4617983403293,AB,MP,P,M,MP_AB,M_P,-37.93842826968381,-37.93842826968381,1438.6472874316494,-62.271310134991445,-62.271310134991445,1843.677019454468,-37.93842826931811,-51284.761099598305 kJ/mol
Binding_donor1_row356_cand00021,openmm,-355.26790845877593,AB,MP,P,M,MP_AB,M_P,-44.73723573148942,-44.73723573148942,1900.3197022881252,-57.91287772404223,-57.91287772404223,1756.0884544020414,-44.73723573165722,-51955.629289422446 kJ/mol
Binding_donor1_row373_cand00173,openmm,-123.57990837388748,AB,MP,P,M,MP_AB,M_P,-39.66794224552447,-39.66794224552447,1924.4375849774322,-62.962896481734845,-62.962896481734845,1721.082238211432,-39.66794224551465,-57319.43284337777 kJ/mol
Binding_donor1_row400_cand00346,openmm,3113.955295402206,AB,MP,P,M,MP_AB,M_P,-25.01554074467458,-25.01554074467458,1628.3207344526234,-22.879617595298896,-22.879617595298896,1175.4464157571865,-25.01554074489286,-27482.710805706294 kJ/mol
Binding_donor1_row41_cand00363,openmm,-283.8891575557186,AB,MP,P,M,MP_AB,M_P,-52.336647655265295,-52.336647655265295,2243.910803889336,-60.81910438697881,-60.81910438697881,1805.3585174094237,-52.33664765523693,-54486.59186417976 kJ/mol
Binding_donor1_row424_cand00221,openmm,102.59177677617329,AB,MP,P,M,MP_AB,M_P,-37.993436128367506,-37.993436128367506,1893.634090597549,-60.17729538045165,-60.17729538045165,1748.4477132175662,-37.99343612813952,-52207.45431903054 kJ/mol
Binding_donor1_row445_cand00073,openmm,-113.75047518149141,AB,MP,P,M,MP_AB,M_P,-36.663139849500354,-36.663139849500354,1613.7441168768732,-57.130918366631754,-57.130918366631754,1711.357387731622,-36.66313985006012,-53590.156063168324 kJ/mol
Binding_donor1_row58_cand00088,openmm,-245.11555223363035,AB,MP,P,M,MP_AB,M_P,-44.08575642305854,-44.08575642305854,2084.5385222184627,-49.95025509056288,-49.95025509056288,1705.9188254271248,-44.08575642333855,-55370.192669275544 kJ/mol
Binding_donor1_row611_cand00489,openmm,-219.98343527930314,AB,MP,P,M,MP_AB,M_P,-44.13165899883546,-44.13165899883546,1795.2901240766707,-52.90515096234837,-52.90515096234837,1677.9326492828297,-44.131658999062836,-55978.65509926489 kJ/mol
Binding_donor1_row618_cand00055,openmm,-214.87404869166232,AB,MP,P,M,MP_AB,M_P,-39.7705948818157,-39.7705948818157,1799.8671298062322,-52.69424032095316,-52.69424032095316,1720.5766512337145,-39.77059488188161,-56579.71407886701 kJ/mol
Binding_donor1_row620_cand00539,openmm,-235.03585198243928,AB,MP,P,M,MP_AB,M_P,-55.00474812343836,-55.00474812343836,2004.7736010991018,-45.6346182237572,-45.6346182237572,1652.6887965154197,-55.00474812304657,-59165.23205862075 kJ/mol
Binding_donor1_row624_cand00597,openmm,-296.6578180695899,AB,MP,P,M,MP_AB,M_P,-31.873682336550473,-31.873682336550473,1800.8070633001114,-58.11390774161275,-58.11390774161275,1766.0374827279966,-31.873682336538764,-55705.29353401915 kJ/mol
