TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10128_cand000113,openmm,-326.23482060549384,AB,MP,P,M,MP_AB,M_P,-41.09828754141961,-41.09828754141961,2067.3412501072403,-71.81317532998511,-71.81317532998511,1951.134490281787,-41.098287541494585,-57593.65726943212 kJ/mol
Non-binding_donor1_row10178_cand000317,openmm,-210.81270807539124,AB,MP,P,M,MP_AB,M_P,-44.64688697539603,-44.64688697539603,2179.0018150821934,-65.13608157927503,-65.13608157927503,1999.6809087532176,-44.64688697529536,-55075.392895298384 kJ/mol
Non-binding_donor1_row10957_cand000296,openmm,-353.47419499371625,AB,MP,P,M,MP_AB,M_P,-43.6414333216249,-43.6414333216249,1958.6774697570945,-69.54528090017679,-69.54528090017679,2025.4996729762343,-43.64143332175928,-59555.5142120961 kJ/mol
Non-binding_donor1_row11150_cand000516,openmm,135.57304674375155,AB,MP,P,M,MP_AB,M_P,-40.103441146517184,-40.103441146517184,1902.0667613553333,243.08550877136065,243.08550877136065,1944.4704353467278,-40.103441146173054,-50015.57005462653 kJ/mol
Non-binding_donor1_row11214_cand000577,openmm,96.88626189587141,AB,MP,P,M,MP_AB,M_P,-37.28758660789185,-37.28758660789185,2222.9353671256977,-65.49515138239865,-65.49515138239865,1951.3768816083043,-37.28758660781149,-48722.49070326223 kJ/mol
Non-binding_donor1_row11172_cand000357,openmm,6176.6382060089545,AB,MP,P,M,MP_AB,M_P,-61.60722669554798,-61.60722669554798,2558.5944204547445,-37.866670141419945,-37.866670141419945,1689.5822643757772,-61.60722669590723,-9039.93449607561 kJ/mol
Non-binding_donor1_row11485_cand000452,openmm,-111.66158081114204,AB,MP,P,M,MP_AB,M_P,-44.41504790609653,-44.41504790609653,1957.7950855864187,-71.00869901279094,-71.00869901279094,1882.085983853898,-44.41504790614195,-57976.48669240898 kJ/mol
Non-binding_donor1_row11538_cand000078,openmm,-83.21254469730479,AB,MP,P,M,MP_AB,M_P,-45.7689927146753,-45.7689927146753,1809.3705251535305,-73.37161209390936,-73.37161209390936,2008.33837016164,-45.76899271447192,-50880.33709298729 kJ/mol
Non-binding_donor1_row1174_cand000153,openmm,-216.69612659734304,AB,MP,P,M,MP_AB,M_P,-41.12026422475634,-41.12026422475634,2069.4032518987165,-72.41599201646241,-72.41599201646241,1904.119904631229,-41.12026422444529,-51661.983058335136 kJ/mol
Non-binding_donor1_row12105_cand000009,openmm,-261.40223842706797,AB,MP,P,M,MP_AB,M_P,-58.364738644744904,-58.364738644744904,2380.9871481985483,-71.47740749036369,-71.47740749036369,1913.7047874620475,-58.36473864521719,-53152.771744179874 kJ/mol
Non-binding_donor1_row12124_cand000318,openmm,31.322307158207394,AB,MP,P,M,MP_AB,M_P,-52.38508537934072,-52.38508537934072,2087.320964897088,-79.73286654948961,-79.73286654948961,2056.282851723624,-52.38508537950189,-53535.44325248739 kJ/mol
Non-binding_donor1_row12430_cand000178,openmm,-377.1414304996703,AB,MP,P,M,MP_AB,M_P,-52.426977669323946,-52.426977669323946,2125.0258789903005,-67.20670209670257,-67.20670209670257,1997.675378059317,-52.42697766946924,-57138.34644175873 kJ/mol
Non-binding_donor1_row12544_cand000526,openmm,-303.97087186848046,AB,MP,P,M,MP_AB,M_P,-43.25185792110477,-43.25185792110477,2117.4920372832553,-65.82597967219483,-65.82597967219483,1958.7764570752488,-43.25185792131629,-59885.0268233946 kJ/mol
Non-binding_donor1_row12604_cand000211,openmm,-262.21351240175824,AB,MP,P,M,MP_AB,M_P,-49.69730191210587,-49.69730191210587,2078.41181149649,-68.01577671005734,-68.01577671005734,1897.5725075033727,-49.69730191201947,-55165.58103849602 kJ/mol
Non-binding_donor1_row12845_cand000226,openmm,-447.85854476976345,AB,MP,P,M,MP_AB,M_P,-55.15090946195744,-55.15090946195744,2172.184147901902,-69.01365157352119,-69.01365157352119,1879.006687819076,-55.150909462493644,-53974.22753571682 kJ/mol
Non-binding_donor1_row12924_cand000474,openmm,-210.0470325497791,AB,MP,P,M,MP_AB,M_P,-49.68746731318183,-49.68746731318183,2043.7578182629707,-70.56977600115773,-70.56977600115773,1978.8200276446614,-49.68746731370442,-54826.12837458606 kJ/mol
Non-binding_donor1_row12974_cand000423,openmm,-328.27179748168,AB,MP,P,M,MP_AB,M_P,-39.14165840521912,-39.14165840521912,2049.1492101355507,-73.83915991907354,-73.83915991907354,1885.817683963116,-39.141658404882946,-56172.42021955986 kJ/mol
Non-binding_donor1_row13476_cand000502,openmm,-39.50257065723994,AB,MP,P,M,MP_AB,M_P,263.73330537106403,263.73330537106403,1698.1917951644305,-60.51287755154323,-60.51287755154323,1839.2699079528045,263.7333053712605,-42657.81253325618 kJ/mol
Non-binding_donor1_row13700_cand000203,openmm,-194.40262779829064,AB,MP,P,M,MP_AB,M_P,-19.511180495597102,-19.511180495597102,1035.888888112282,-75.28088397785652,-75.28088397785652,1934.2264231061295,-19.511180495800602,-50223.87574504652 kJ/mol
Non-binding_donor1_row13781_cand000532,openmm,-320.96863629391135,AB,MP,P,M,MP_AB,M_P,-52.568677530302296,-52.568677530302296,2046.740554926553,-69.84907442775057,-69.84907442775057,1961.339686399822,-52.568677530591344,-52978.74785272428 kJ/mol
Non-binding_donor1_row14070_cand000031,openmm,-168.9991345540464,AB,MP,P,M,MP_AB,M_P,-36.473560297772025,-36.473560297772025,1708.2883542328016,-71.58752906408392,-71.58752906408392,1918.739038427557,-36.47356029802842,-55176.71123779029 kJ/mol
Non-binding_donor1_row14136_cand000414,openmm,-274.32289668465296,AB,MP,P,M,MP_AB,M_P,-46.25234421521537,-46.25234421521537,2050.453863143964,-70.5388327127522,-70.5388327127522,1975.1514696692718,-46.25234421471367,-55838.83344619073 kJ/mol
Non-binding_donor1_row14222_cand000425,openmm,-175.4300931437422,AB,MP,P,M,MP_AB,M_P,-49.445895941058524,-49.445895941058524,1958.300276956172,-62.196322144458584,-62.196322144458584,1958.3863721089183,-49.44589594098869,-55817.20815376096 kJ/mol
Non-binding_donor1_row14300_cand000430,openmm,-294.2696913526543,AB,MP,P,M,MP_AB,M_P,-38.033638173630436,-38.033638173630436,1867.1060323235413,-72.21254658284784,-72.21254658284784,1857.6537091886657,-38.033638173676366,-55246.007780982574 kJ/mol
Non-binding_donor1_row14388_cand000209,openmm,16.63477670568406,AB,MP,P,M,MP_AB,M_P,-36.26505027107572,-36.26505027107572,1796.8526126362256,-69.47538888037485,-69.47538888037485,2043.0429934575045,-36.2650502711752,-51635.25562671226 kJ/mol
Non-binding_donor1_row14710_cand000140,openmm,-170.85345108265835,AB,MP,P,M,MP_AB,M_P,-44.08398868396135,-44.08398868396135,1715.9184683013866,-70.4466245829619,-70.4466245829619,1947.230281829303,-44.083988684045664,-59646.76855188631 kJ/mol
Non-binding_donor1_row14827_cand000112,openmm,-228.11667046750574,AB,MP,P,M,MP_AB,M_P,-29.448160182847175,-29.448160182847175,1912.7583923714276,-69.31100539345184,-69.31100539345184,1886.549644023326,-29.44816018307671,-53309.124095234125 kJ/mol
Non-binding_donor1_row1489_cand000221,openmm,84.97022614755684,AB,MP,P,M,MP_AB,M_P,-36.81797118823039,-36.81797118823039,2228.257589660766,-59.570465441236344,-59.570465441236344,1823.5216314576442,-36.81797118794712,-51426.76283282658 kJ/mol
Non-binding_donor1_row15000_cand000509,openmm,190.39495560926215,AB,MP,P,M,MP_AB,M_P,321.2386367668496,321.2386367668496,2135.160137170514,-60.95428590591993,-60.95428590591993,1891.7448841590397,321.2386367668,-42482.67954108985 kJ/mol
Non-binding_donor1_row15123_cand000120,openmm,-247.3008497572685,AB,MP,P,M,MP_AB,M_P,-39.15020151211792,-39.15020151211792,1856.2202896665501,-78.68135715743873,-78.68135715743873,1990.282264189115,-39.15020151224911,-55419.696414187965 kJ/mol
Non-binding_donor1_row15209_cand000095,openmm,-45.42696928155431,AB,MP,P,M,MP_AB,M_P,-32.98844524680201,-32.98844524680201,1606.6838334165166,-79.0099059733021,-79.0099059733021,1955.2866983854522,-32.9884452467754,-49083.46378444459 kJ/mol
Non-binding_donor1_row15267_cand000019,openmm,218.95737408373708,AB,MP,P,M,MP_AB,M_P,266.2947910125381,266.2947910125381,2257.26898772172,-70.97989716045988,-70.97989716045988,1883.271302883588,266.2947910123254,-48267.16989775038 kJ/mol
Non-binding_donor1_row15386_cand000542,openmm,-225.7471949049141,AB,MP,P,M,MP_AB,M_P,-28.376954034206733,-28.376954034206733,1777.7733248430109,-78.27936323707928,-78.27936323707928,1986.9722588982359,-28.37695403462007,-51920.61284068319 kJ/mol
Non-binding_donor1_row15423_cand000299,openmm,-163.54139148819252,AB,MP,P,M,MP_AB,M_P,-45.57351313511448,-45.57351313511448,1895.4896005459677,-70.01292465521661,-70.01292465521661,2042.3533634494188,-45.573513135040656,-53606.210329235 kJ/mol
Non-binding_donor1_row15535_cand000168,openmm,-75.820118244797,AB,MP,P,M,MP_AB,M_P,-43.81180511154756,-43.81180511154756,1929.7158097013128,-71.49053956151815,-71.49053956151815,1846.6997513074875,-43.811805111806535,-52125.27422256827 kJ/mol
