TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10017_cand000128,openmm,440.4359362873013,AB,MP,P,M,MP_AB,M_P,-40.755904888856946,-40.755904888856946,2142.2912422134073,-65.04588431177594,-65.04588431177594,1701.3680306644176,-40.7559048891884,-49014.45187431955 kJ/mol
Non-binding_donor1_row10209_cand000233,openmm,-380.5905686858012,AB,MP,P,M,MP_AB,M_P,-48.3569852517943,-48.3569852517943,2099.698909765402,-71.28403901882993,-71.28403901882993,1802.4338420322908,-48.35698525177071,-55049.50377036458 kJ/mol
Non-binding_donor1_row10875_cand000523,openmm,-309.45698057551965,AB,MP,P,M,MP_AB,M_P,-40.79549970171752,-40.79549970171752,1816.907966117344,-65.08965137460278,-65.08965137460278,1772.911892501525,-40.795499701527206,-53651.07607220782 kJ/mol
Non-binding_donor1_row10465_cand000345,openmm,412.7224188596567,AB,MP,P,M,MP_AB,M_P,-37.48559330367243,-37.48559330367243,2080.276451456151,-69.52142072245071,-69.52142072245071,1712.7356238212988,-37.48559330370267,-41916.21518666696 kJ/mol
Non-binding_donor1_row10884_cand000312,openmm,-201.2951945774753,AB,MP,P,M,MP_AB,M_P,-44.396495889118256,-44.396495889118256,2180.490247382332,-50.41983521354486,-50.41983521354486,1698.7561415602981,-44.39649588894784,-53882.9508379806 kJ/mol
Non-binding_donor1_row11120_cand000343,openmm,-251.20635584464728,AB,MP,P,M,MP_AB,M_P,-58.45673848406494,-58.45673848406494,2212.5452359201217,-61.077496728403375,-61.077496728403375,1605.593817121005,-58.45673848417135,-54708.4611220439 kJ/mol
Non-binding_donor1_row11313_cand000517,openmm,-178.27523323013895,AB,MP,P,M,MP_AB,M_P,-44.39406670034191,-44.39406670034191,2093.988293294122,-65.42604535637415,-65.42604535637415,1711.3065792578416,-44.39406670059634,-53570.107083985546 kJ/mol
Non-binding_donor1_row11735_cand000161,openmm,-118.03543692308486,AB,MP,P,M,MP_AB,M_P,-71.15955455399461,-71.15955455399461,2407.509900671629,-61.90022822274122,-61.90022822274122,1768.5785347355409,-71.15955455361804,-55044.9571586473 kJ/mol
Non-binding_donor1_row11953_cand000034,openmm,-262.84596111993733,AB,MP,P,M,MP_AB,M_P,-57.21498774080456,-57.21498774080456,2241.9627294344104,-66.53121600224223,-66.53121600224223,1672.3671588781085,-57.21498774067223,-51624.038577652325 kJ/mol
Non-binding_donor1_row12047_cand000574,openmm,-341.1614235155543,AB,MP,P,M,MP_AB,M_P,-48.38819019851502,-48.38819019851502,2104.083774136866,-74.5116651880021,-74.5116651880021,1725.040202804878,-48.388190198669975,-56746.13005777111 kJ/mol
Non-binding_donor1_row12086_cand000439,openmm,-226.44062402375826,AB,MP,P,M,MP_AB,M_P,-52.460531864807706,-52.460531864807706,2123.5308377100614,-66.18233731826649,-66.18233731826649,1738.282023596778,-52.46053186477221,-55142.42779448787 kJ/mol
Non-binding_donor1_row12266_cand000235,openmm,-420.05939288795,AB,MP,P,M,MP_AB,M_P,-43.053286822437315,-43.053286822437315,1921.4721774940663,-63.24603019867348,-63.24603019867348,1725.8765800964711,-43.05328682238189,-54836.79478324846 kJ/mol
Non-binding_donor1_row12277_cand000436,openmm,-221.55924668798312,AB,MP,P,M,MP_AB,M_P,-43.610104055567376,-43.610104055567376,1899.9109461773076,-55.51917751922424,-55.51917751922424,1723.5150022351647,-43.61010405528887,-52576.92104575897 kJ/mol
Non-binding_donor1_row12760_cand000524,openmm,-185.61077067777208,AB,MP,P,M,MP_AB,M_P,-30.760886737664492,-30.760886737664492,1953.616573431671,-66.78702229199422,-66.78702229199422,1768.8142782968625,-30.76088673763914,-53788.050730172334 kJ/mol
Non-binding_donor1_row12800_cand000554,openmm,218.75882223508594,AB,MP,P,M,MP_AB,M_P,-49.63680103844516,-49.63680103844516,2161.733418864697,452.75109282478275,452.75109282478275,1781.8211700144257,-49.63680103851638,-41925.17457373986 kJ/mol
Non-binding_donor1_row12803_cand000433,openmm,239.05694621223466,AB,MP,P,M,MP_AB,M_P,-44.657819170852974,-44.657819170852974,2086.968858295281,460.07115092410123,460.07115092410123,1797.3831306726809,-44.65781917050782,-42483.96498085527 kJ/mol
Non-binding_donor1_row13932_cand000578,openmm,12667.08070034821,AB,MP,P,M,MP_AB,M_P,4628.276825814734,4628.276825814734,1912.451547974889,1771.0425306591744,1771.0425306591744,1707.2201972165435,4628.276825814868,11332527359.247667 kJ/mol
Non-binding_donor1_row13621_cand000272,openmm,-352.5130342951854,AB,MP,P,M,MP_AB,M_P,-47.42391704075254,-47.42391704075254,2065.8984368352394,-69.5569068314417,-69.5569068314417,1660.9437617272763,-47.42391704086543,-52468.1696272837 kJ/mol
Non-binding_donor1_row14995_cand000346,openmm,-369.5462428339513,AB,MP,P,M,MP_AB,M_P,-44.274171806207164,-44.274171806207164,1663.8567007348163,-61.640214604176606,-61.640214604176606,1729.7429808388486,-44.27417180618886,-52668.29922316347 kJ/mol
Non-binding_donor1_row14544_cand000444,openmm,-174.18727488428664,AB,MP,P,M,MP_AB,M_P,-40.98523348990767,-40.98523348990767,1831.9510287534536,-63.11047634737597,-63.11047634737597,1852.8914115486928,-40.985233489915316,-53048.34402256625 kJ/mol
Non-binding_donor1_row15201_cand000202,openmm,-395.0221947335095,AB,MP,P,M,MP_AB,M_P,-31.188783020181006,-31.188783020181006,1772.076267640765,-66.55858603536896,-66.55858603536896,1827.865205217516,-31.188783020329822,-53903.15355377483 kJ/mol
Non-binding_donor1_row15213_cand000241,openmm,-104.29487729829475,AB,MP,P,M,MP_AB,M_P,-34.639815968052204,-34.639815968052204,1735.1470166522327,-62.387081735149906,-62.387081735149906,1784.987949708376,-34.63981596807153,-47673.04776952065 kJ/mol
Non-binding_donor1_row15218_cand000349,openmm,-130.48990838516656,AB,MP,P,M,MP_AB,M_P,-35.085421486862955,-35.085421486862955,1695.1096988457857,-70.76302851322876,-70.76302851322876,1787.792848956709,-35.085421486876825,-47247.8910825035 kJ/mol
