TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row1001_cand000507,openmm,-291.04962134598924,AB,MP,P,M,MP_AB,M_P,-22.04859734307655,-22.04859734307655,1711.3564025902222,-57.19286308884463,-57.19286308884463,1550.9265056917739,-22.048597343582856,-55344.29964606766 kJ/mol
Non-binding_donor1_row10081_cand000598,openmm,-290.3979421907269,AB,MP,P,M,MP_AB,M_P,-34.68180350181598,-34.68180350181598,1926.1921062968195,-65.58276139911706,-65.58276139911706,1716.6795482105404,-34.68180350158647,-56719.54902594298 kJ/mol
Non-binding_donor1_row10289_cand000522,openmm,-215.61166681223295,AB,MP,P,M,MP_AB,M_P,-44.167247260481815,-44.167247260481815,2074.994588690406,-60.27556824690315,-60.27556824690315,1533.9825235186195,-44.16724726052985,-55580.52990864313 kJ/mol
Non-binding_donor1_row1046_cand000007,openmm,-333.7977921180411,AB,MP,P,M,MP_AB,M_P,-43.906406863169536,-43.906406863169536,1844.6075514414426,-59.694935265217694,-59.694935265217694,1643.3876809499188,-43.906406863239226,-53676.317131916745 kJ/mol
Non-binding_donor1_row1050_cand000587,openmm,-453.6092393886573,AB,MP,P,M,MP_AB,M_P,-40.65401525089669,-40.65401525089669,1728.283722686784,-61.99608020736795,-61.99608020736795,1672.9496023990646,-40.65401525078079,-55051.946560108845 kJ/mol
Non-binding_donor1_row10550_cand000353,openmm,-268.7572257519912,AB,MP,P,M,MP_AB,M_P,-49.94135861068975,-49.94135861068975,1732.5714924527063,-66.21626275642124,-66.21626275642124,1636.588258278075,-49.94135861153714,-53761.003513347816 kJ/mol
Non-binding_donor1_row10555_cand000359,openmm,323.1061218591483,AB,MP,P,M,MP_AB,M_P,-31.363415944391647,-31.363415944391647,1636.9392788972352,-68.92183619155594,-68.92183619155594,1700.050051097538,-31.363415944250903,-41544.43927917116 kJ/mol
Non-binding_donor1_row10556_cand000282,openmm,-308.24680919441744,AB,MP,P,M,MP_AB,M_P,-48.67705546562138,-48.67705546562138,2023.5131081935385,-58.38047159055847,-58.38047159055847,1733.4022381485795,-48.67705546610398,-53760.824611838245 kJ/mol
Non-binding_donor1_row10602_cand000182,openmm,401.15398967776594,AB,MP,P,M,MP_AB,M_P,-44.397012690896304,-44.397012690896304,1983.6712517492776,-56.26517287112176,-56.26517287112176,1658.736308074448,-44.397012691119016,-47679.73157371748 kJ/mol
Non-binding_donor1_row10611_cand000369,openmm,-256.95396843215997,AB,MP,P,M,MP_AB,M_P,-39.42970665981514,-39.42970665981514,1959.4095616866264,-53.79872592910674,-53.79872592910674,1632.7711146056984,-39.429706659309545,-56499.86086053998 kJ/mol
Non-binding_donor1_row10783_cand000307,openmm,738.5896313232408,AB,MP,P,M,MP_AB,M_P,-41.146106079509195,-41.146106079509195,1881.5969425974886,-62.864687330035906,-62.864687330035906,1681.1328694852489,-41.14610607908776,-39640.69725772208 kJ/mol
Non-binding_donor1_row10800_cand000152,openmm,310.7926860097563,AB,MP,P,M,MP_AB,M_P,-41.38492397164333,-41.38492397164333,1833.6419580319177,-70.30009950728116,-70.30009950728116,1647.8322123107453,-41.38492397159331,-42491.59040855673 kJ/mol
Non-binding_donor1_row10878_cand000525,openmm,-224.4892178601367,AB,MP,P,M,MP_AB,M_P,-30.453734781350562,-30.453734781350562,1845.813620496684,-62.700215134859164,-62.700215134859164,1708.7283245876636,-30.45373478151754,-52819.99427159169 kJ/mol
Non-binding_donor1_row10978_cand000478,openmm,207.7706864821921,AB,MP,P,M,MP_AB,M_P,310.6763507388819,310.6763507388819,1965.8724926357042,-65.8435546942733,-65.8435546942733,1668.7859604495447,310.67635073858014,-43444.87554380069 kJ/mol
Non-binding_donor1_row11048_cand000319,openmm,398.83006326980905,AB,MP,P,M,MP_AB,M_P,-44.192915071184814,-44.192915071184814,2051.246677017428,-53.29313508917602,-53.29313508917602,1584.0813076399431,-44.19291507140281,-42651.53771280397 kJ/mol
Non-binding_donor1_row110_cand000198,openmm,-151.35404477223,AB,MP,P,M,MP_AB,M_P,-45.65486596044745,-45.65486596044745,2047.5844487694585,-56.66948337858368,-56.66948337858368,1636.4724614999689,-45.65486596090889,-56511.64543288611 kJ/mol
Non-binding_donor1_row11126_cand000577,openmm,-349.816396528635,AB,MP,P,M,MP_AB,M_P,-33.128152896117854,-33.128152896117854,1964.4901142979368,-62.93524533760652,-62.93524533760652,1665.715383303964,-33.12815289656237,-53739.774304753344 kJ/mol
Non-binding_donor1_row11263_cand000110,openmm,-305.104043460641,AB,MP,P,M,MP_AB,M_P,-35.651036737192044,-35.651036737192044,1851.9989277394116,-63.436636538465805,-63.436636538465805,1668.0075668742115,-35.65103673687287,-53188.013091939116 kJ/mol
Non-binding_donor1_row11293_cand000138,openmm,-242.12541404537956,AB,MP,P,M,MP_AB,M_P,-42.331903857964875,-42.331903857964875,2066.044804024821,-62.36627571052196,-62.36627571052196,1739.2702057482004,-42.331903857818645,-52577.93549818821 kJ/mol
Non-binding_donor1_row11340_cand000100,openmm,-253.33002745225713,AB,MP,P,M,MP_AB,M_P,-32.28029677319742,-32.28029677319742,1803.3705098212133,-69.45370709042477,-69.45370709042477,1728.4146301377032,-32.28029677284724,-51142.77958287302 kJ/mol
Non-binding_donor1_row11436_cand000515,openmm,-229.88063788457362,AB,MP,P,M,MP_AB,M_P,-49.392507284679766,-49.392507284679766,2007.7570048663101,-59.98176139642425,-59.98176139642425,1679.2741093459124,-49.39250728468329,-53166.58767840941 kJ/mol
Non-binding_donor1_row11491_cand000286,openmm,-150.6059950331453,AB,MP,P,M,MP_AB,M_P,-37.38318971117283,-37.38318971117283,1717.8786049206988,-59.713945478464346,-59.713945478464346,1696.668006372156,-37.38318971155408,-54513.28763938013 kJ/mol
Non-binding_donor1_row11541_cand000202,openmm,-13.899304512381462,AB,MP,P,M,MP_AB,M_P,-30.298902027904496,-30.298902027904496,1795.4871058145604,-55.29775504205628,-55.29775504205628,1597.6713565242012,-30.298902028071964,-55881.68550471358 kJ/mol
Non-binding_donor1_row11664_cand000147,openmm,-203.05276803589464,AB,MP,P,M,MP_AB,M_P,-34.27994056412285,-34.27994056412285,1661.1176740909636,-59.099898178996426,-59.099898178996426,1552.0344794860343,-34.27994056407539,-56094.36503603601 kJ/mol
Non-binding_donor1_row1169_cand000347,openmm,-118.03843845788862,AB,MP,P,M,MP_AB,M_P,-35.20160496216066,-35.20160496216066,1648.5442756174828,-60.908625360740345,-60.908625360740345,1662.4129333494911,-35.201604962793894,-49271.932155429946 kJ/mol
Non-binding_donor1_row12000_cand000526,openmm,-60.908052957753014,AB,MP,P,M,MP_AB,M_P,-48.83203355380765,-48.83203355380765,2195.6610991477623,-55.85159274168845,-55.85159274168845,1589.8564314803768,-48.83203355317575,-51361.838612429725 kJ/mol
Non-binding_donor1_row12071_cand000043,openmm,-324.7175031115193,AB,MP,P,M,MP_AB,M_P,-36.573183254956064,-36.573183254956064,1755.8323409090942,-62.90969579890893,-62.90969579890893,1655.1524722594597,-36.57318325494708,-52275.66446563945 kJ/mol
Non-binding_donor1_row12425_cand000325,openmm,-311.70702520406815,AB,MP,P,M,MP_AB,M_P,-26.26002611220457,-26.26002611220457,1702.4171519563001,-56.08562525363432,-56.08562525363432,1562.837128956593,-26.260026112043874,-54678.50233022751 kJ/mol
Non-binding_donor1_row12490_cand000167,openmm,-336.9416694624734,AB,MP,P,M,MP_AB,M_P,-35.211788965028745,-35.211788965028745,1876.1651211424137,-70.0158088698316,-70.0158088698316,1643.8838896917891,-35.211788965010044,-51277.55303270821 kJ/mol
Non-binding_donor1_row12567_cand000387,openmm,-225.32876830451733,AB,MP,P,M,MP_AB,M_P,-12.19316784265851,-12.19316784265851,907.6858830474168,-62.955783020316616,-62.955783020316616,1617.7838559635397,-12.193167842888101,-55026.37812296493 kJ/mol
Non-binding_donor1_row12617_cand000048,openmm,-365.38940411878684,AB,MP,P,M,MP_AB,M_P,-27.413519809867466,-27.413519809867466,1550.5640279557015,-62.52289659269354,-62.52289659269354,1586.2004321185827,-27.41351980978584,-54419.07623236959 kJ/mol
Non-binding_donor1_row12654_cand000312,openmm,-301.98095692526863,AB,MP,P,M,MP_AB,M_P,-36.509628922101854,-36.509628922101854,1710.2936754871916,-62.736953731770484,-62.736953731770484,1569.1611937533635,-36.50962892179655,-54150.00840585951 kJ/mol
Non-binding_donor1_row12708_cand000135,openmm,-263.8666767253648,AB,MP,P,M,MP_AB,M_P,-30.081715717483775,-30.081715717483775,1807.6115513052957,-71.3790311148545,-71.3790311148545,1710.2109313666099,-30.08171571725714,-53356.257809991424 kJ/mol
Non-binding_donor1_row12729_cand000290,openmm,-337.1958652570982,AB,MP,P,M,MP_AB,M_P,-39.90896183590979,-39.90896183590979,1681.5434174674313,-69.25455711794913,-69.25455711794913,1661.1236547525339,-39.90896183601404,-54488.971028649255 kJ/mol
Non-binding_donor1_row12819_cand000350,openmm,-401.8338054947665,AB,MP,P,M,MP_AB,M_P,-26.37698622959988,-26.37698622959988,1472.3105929966423,-68.95975198179612,-68.95975198179612,1677.0242790988461,-26.37698622948841,-52977.2159725404 kJ/mol
Non-binding_donor1_row13019_cand000429,openmm,-371.8795755494557,AB,MP,P,M,MP_AB,M_P,-32.9071155626271,-32.9071155626271,1893.2421361896643,-64.03844227849996,-64.03844227849996,1670.8000548923083,-32.9071155625536,-50842.83499557864 kJ/mol
Non-binding_donor1_row13402_cand000136,openmm,-274.9335096837778,AB,MP,P,M,MP_AB,M_P,-30.7196218247245,-30.7196218247245,1977.7218664793058,-57.026038679828744,-57.026038679828744,1553.107740620728,-30.719621824915237,-46514.03916520986 kJ/mol
Non-binding_donor1_row13444_cand000567,openmm,-458.4270622638496,AB,MP,P,M,MP_AB,M_P,-45.0689005788098,-45.0689005788098,2057.177243759553,-56.287070075894945,-56.287070075894945,1653.131093975951,-45.06890057843168,-51644.684300084744 kJ/mol
Non-binding_donor1_row13465_cand000129,openmm,-336.54478624622436,AB,MP,P,M,MP_AB,M_P,-42.64687267003683,-42.64687267003683,1684.4667896653896,-59.14296511591979,-59.14296511591979,1648.7367427703748,-42.6468726700636,-51260.81112321758 kJ/mol
Non-binding_donor1_row13523_cand000227,openmm,-427.27925073002933,AB,MP,P,M,MP_AB,M_P,-45.533880529855594,-45.533880529855594,2007.8693187429303,-63.914383832863635,-63.914383832863635,1628.7019764174102,-45.53388052969507,-51531.80734739161 kJ/mol
Non-binding_donor1_row13567_cand000239,openmm,-445.33047196967095,AB,MP,P,M,MP_AB,M_P,-34.028095338137405,-34.028095338137405,1855.2583107249638,-61.123793002856345,-61.123793002856345,1642.1088510574166,-34.028095338317655,-51720.1129945602 kJ/mol
Non-binding_donor1_row13905_cand000438,openmm,-166.60973133892963,AB,MP,P,M,MP_AB,M_P,-35.166863707240196,-35.166863707240196,1625.7720728095405,-60.531984566654586,-60.531984566654586,1657.2800751597542,-35.16686370698238,-49741.54082152272 kJ/mol
Non-binding_donor1_row13966_cand000443,openmm,3619.137795555729,AB,MP,P,M,MP_AB,M_P,-24.589712541164317,-24.589712541164317,1346.4102046924422,-18.179926709269694,-18.179926709269694,1239.0630386738492,-24.58971254114749,-22163.474579467184 kJ/mol
Non-binding_donor1_row13997_cand000569,openmm,-89.491327148886,AB,MP,P,M,MP_AB,M_P,-48.41805069218965,-48.41805069218965,1674.6406247617554,-59.80932805284269,-59.80932805284269,1683.5596761184672,-48.41805069232345,-49074.203219776304 kJ/mol
Non-binding_donor1_row14037_cand000585,openmm,-229.62947177464247,AB,MP,P,M,MP_AB,M_P,-41.072078290100706,-41.072078290100706,1972.8891661358182,-58.842099257098894,-58.842099257098894,1535.189422574883,-41.07207829017656,-53610.76456419841 kJ/mol
Non-binding_donor1_row14332_cand000097,openmm,-179.76852635559123,AB,MP,P,M,MP_AB,M_P,-28.655361344536175,-28.655361344536175,1848.35205838886,-58.7760857516665,-58.7760857516665,1697.9962019329234,-28.65536134481431,-53503.89588324187 kJ/mol
Non-binding_donor1_row1468_cand000119,openmm,-307.4500860707681,AB,MP,P,M,MP_AB,M_P,-42.465476310228496,-42.465476310228496,1749.8233119208185,-64.97897679529784,-64.97897679529784,1573.3158685890376,-42.46547631020218,-55741.284125129896 kJ/mol
Non-binding_donor1_row14691_cand000448,openmm,-358.9802576807857,AB,MP,P,M,MP_AB,M_P,-34.24134222302882,-34.24134222302882,1482.8749468466617,-59.69954848715591,-59.69954848715591,1675.969844249018,-34.24134222281839,-54115.93983273243 kJ/mol
Non-binding_donor1_row14993_cand000490,openmm,-279.99381493134894,AB,MP,P,M,MP_AB,M_P,-26.162941676226097,-26.162941676226097,1490.5466230225013,-68.35199476245386,-68.35199476245386,1674.8712642046428,-26.162941676352233,-53379.315769901725 kJ/mol
Non-binding_donor1_row15069_cand000132,openmm,-188.57093155354164,AB,MP,P,M,MP_AB,M_P,-33.18016128962816,-33.18016128962816,1489.3033823327014,-67.89913736063014,-67.89913736063014,1658.9001207995311,-33.18016128947261,-50888.49822679919 kJ/mol
Non-binding_donor1_row15110_cand000028,openmm,-241.7304033286217,AB,MP,P,M,MP_AB,M_P,-25.351928279304445,-25.351928279304445,1357.4246595640038,-67.08914199245311,-67.08914199245311,1690.4634694795807,-25.351928278911572,-52840.55077573573 kJ/mol
Non-binding_donor1_row15460_cand000329,openmm,-127.6176146735341,AB,MP,P,M,MP_AB,M_P,-43.016790294149104,-43.016790294149104,2018.6806715886921,-61.99314748734746,-61.99314748734746,1656.634567075159,-43.01679029471043,-49885.06471494545 kJ/mol
Non-binding_donor1_row15502_cand000568,openmm,3447.248077779471,AB,MP,P,M,MP_AB,M_P,-19.25052087480617,-19.25052087480617,1070.6181864852606,-26.832457567375513,-26.832457567375513,1411.6260378961222,-19.250520874616086,-23909.272189132684 kJ/mol
Non-binding_donor1_row17128_cand000236,openmm,-310.40001168046797,AB,MP,P,M,MP_AB,M_P,-29.67170678969245,-29.67170678969245,1746.7506171090777,-59.766075549335426,-59.766075549335426,1707.9068485293728,-29.671706789168297,-55238.878540978396 kJ/mol
Non-binding_donor1_row17218_cand000087,openmm,-210.93159928461444,AB,MP,P,M,MP_AB,M_P,-51.85161149666581,-51.85161149666581,2169.76940343307,-51.987045013722025,-51.987045013722025,1454.7443350104909,-51.85161149685723,-52617.03678932352 kJ/mol
