TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10018_cand000128,openmm,364.603364764277,AB,MP,P,M,MP_AB,M_P,-40.76001652850533,-40.76001652850533,2105.8890186028266,-55.5624759962496,-55.5624759962496,1575.046358663881,-40.76001652841114,-51631.55873548104 kJ/mol
Non-binding_donor1_row10210_cand000230,openmm,-339.48949294757125,AB,MP,P,M,MP_AB,M_P,-40.83361397004404,-40.83361397004404,1999.8385779193331,-53.82189820352429,-53.82189820352429,1611.6436712997402,-40.8336139701093,-57565.92407747017 kJ/mol
Non-binding_donor1_row10466_cand000354,openmm,276.3680871197186,AB,MP,P,M,MP_AB,M_P,-52.1095663753631,-52.1095663753631,2332.368752348766,-66.31825603269871,-66.31825603269871,1510.6993969039568,-52.10956637551527,-44097.06371200243 kJ/mol
Non-binding_donor1_row10876_cand000532,openmm,-323.7947623611193,AB,MP,P,M,MP_AB,M_P,-42.31390301272728,-42.31390301272728,1958.2766025344968,-58.280808097731594,-58.280808097731594,1593.9051144098319,-42.31390301267368,-56978.48517958504 kJ/mol
Non-binding_donor1_row10885_cand000311,openmm,-302.2612045332358,AB,MP,P,M,MP_AB,M_P,-42.551376653013676,-42.551376653013676,2314.5330155261067,-64.54111369225512,-64.54111369225512,1603.526331117168,-42.55137665342221,-55773.41273110283 kJ/mol
Non-binding_donor1_row11121_cand000336,openmm,-330.79484705337745,AB,MP,P,M,MP_AB,M_P,-33.04150285704213,-33.04150285704213,1935.057254129211,-51.85526555119628,-51.85526555119628,1658.910910812818,-33.04150285695795,-56472.96231516082 kJ/mol
Non-binding_donor1_row11314_cand000530,openmm,-187.87418464207997,AB,MP,P,M,MP_AB,M_P,-35.506709552690324,-35.506709552690324,1989.8086283722362,-55.327585775235406,-55.327585775235406,1553.65031306455,-35.50670955240139,-55664.09172744156 kJ/mol
Non-binding_donor1_row11736_cand000165,openmm,358.66233712109386,AB,MP,P,M,MP_AB,M_P,324.5671221018806,324.5671221018806,1975.8235067584965,-46.529188221708935,-46.529188221708935,1549.90955275726,324.56712210198043,-51679.06385639441 kJ/mol
Non-binding_donor1_row12087_cand000435,openmm,-278.47398263512713,AB,MP,P,M,MP_AB,M_P,-40.31595213697531,-40.31595213697531,2066.6073973344187,-53.99509856491707,-53.99509856491707,1587.2769822292883,-40.315952136946464,-56977.52449472736 kJ/mol
Non-binding_donor1_row11954_cand000034,openmm,121.68580457618141,AB,MP,P,M,MP_AB,M_P,-39.50946626864497,-39.50946626864497,2059.3139611570523,-62.97629432165543,-62.97629432165543,1506.266966492611,-39.50946626898944,-46606.35415679715 kJ/mol
