TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10403_cand000414,rosetta_sidechain,1833.4046287913081,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-0.2240628801491198,-0.2240628801491198,44.573560401700504,0.0
Non-binding_donor1_row10012_cand000409,rosetta_sidechain,26202.12950680632,AB,MP,P,M,MP_AB,M_P,530.2923958927859,530.2923958927859,586.2972312161098,23898.04686349844,23898.04686349844,1419.3303323364269,530.2923958924039
Non-binding_donor1_row10514_cand000521,rosetta_sidechain,495.08085339489753,AB,MP,P,M,MP_AB,M_P,-7.194150445136586,-7.194150445136586,1016.1679940149778,-30.270903381389473,-30.270903381389473,1746.2983286082067,-7.194150445393802
Non-binding_donor1_row10570_cand000286,rosetta_sidechain,1302.7906942058078,AB,MP,P,M,MP_AB,M_P,0.02758057641517553,0.02758057641517553,0.0,0.0,0.0,0.0,0.027580576259197187
Non-binding_donor1_row10118_cand000320,rosetta_sidechain,2744.7760894129287,AB,MP,P,M,MP_AB,M_P,-3.8436490139679336,-3.8436490139679336,400.84210537086665,-20.722126167624083,-20.722126167624083,1783.605323146003,-3.8436490139483794
Non-binding_donor1_row11173_cand000585,rosetta_sidechain,8336.062356786046,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,0.0005381996434152825
Non-binding_donor1_row10743_cand000321,rosetta_sidechain,4060.2595745080725,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,2888.0796068572154,2888.0796068572154,337.4169799797328,0.000999697717361414
Non-binding_donor1_row10704_cand000432,rosetta_sidechain,625.7854696615344,AB,MP,P,M,MP_AB,M_P,-0.778160974917455,-0.778160974917455,246.3961978036929,-16.243177371408024,-16.243177371408024,1460.853158046887,-0.778160974951561
Non-binding_donor1_row10928_cand000254,rosetta_sidechain,28256.547039746536,AB,MP,P,M,MP_AB,M_P,2457.3994445136777,2457.3994445136777,648.2884173648619,22599.02366332059,22599.02366332059,1587.5651554813398,2457.3994445134304
Non-binding_donor1_row11437_cand000280,rosetta_sidechain,14285.594050529266,AB,MP,P,M,MP_AB,M_P,60.67063456492906,60.67063456492906,198.5005311616332,13187.38560700858,13187.38560700858,1239.7674768310108,60.67063456463984
Non-binding_donor1_row11240_cand000542,rosetta_sidechain,14419.270579365495,AB,MP,P,M,MP_AB,M_P,-0.5899900549393351,-0.5899900549393351,180.82395285271815,12893.685757253816,12893.685757253816,1273.145936905059,-0.5899900546992285
Non-binding_donor1_row11300_cand000356,rosetta_sidechain,1837.7477932077052,AB,MP,P,M,MP_AB,M_P,-2.2097911729547377,-2.2097911729547377,202.34765571204915,-20.43139850997636,-20.43139850997636,1475.9073209770388,-2.2097911731364093
