TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row1001_cand000507,openmm,-361.62030490243217,AB,MP,P,M,MP_AB,M_P,-49.64570190091945,-49.64570190091945,2114.837694014709,-38.92383118937842,-38.92383118937842,1844.9458117645165,-49.64570190031645,-61171.14273487272 kJ/mol
Non-binding_donor1_row10217_cand000284,openmm,845.1391656988778,AB,MP,P,M,MP_AB,M_P,288.5613202959461,288.5613202959461,2421.404559930983,-32.61951527560589,-32.61951527560589,1863.6221767251252,288.5613202959735,-38835.62064855835 kJ/mol
Non-binding_donor1_row10344_cand000167,openmm,358.42071919445937,AB,MP,P,M,MP_AB,M_P,-42.32397336008631,-42.32397336008631,2008.9811012334699,-57.154344391765456,-57.154344391765456,1887.5444041267738,-42.32397335993562,-50385.769077790115 kJ/mol
Non-binding_donor1_row1046_cand000007,openmm,-309.1602604023765,AB,MP,P,M,MP_AB,M_P,-49.00611851435133,-49.00611851435133,2382.175383867345,-50.194206020225906,-50.194206020225906,1994.9879821332477,-49.0061185143403,-59021.51766588174 kJ/mol
Non-binding_donor1_row10555_cand000286,openmm,358.29672068030663,AB,MP,P,M,MP_AB,M_P,-50.079036852573665,-50.079036852573665,2103.8745130380617,-54.90741202109123,-54.90741202109123,1836.5122489495586,-50.07903685267274,-47201.992763881615 kJ/mol
Non-binding_donor1_row10593_cand000330,openmm,-35.380753661053845,AB,MP,P,M,MP_AB,M_P,-61.10686777227647,-61.10686777227647,2093.686902081869,-42.840191974831924,-42.840191974831924,1909.884851262868,-61.106867772204026,-62857.419148582856 kJ/mol
Non-binding_donor1_row10600_cand000157,openmm,-250.81316385089684,AB,MP,P,M,MP_AB,M_P,-35.75224729141314,-35.75224729141314,2008.6409947398981,-39.32857357091184,-39.32857357091184,1871.921263860472,-35.75224729134129,-62532.88446303865 kJ/mol
Non-binding_donor1_row10697_cand000536,openmm,223.11963327805285,AB,MP,P,M,MP_AB,M_P,351.6337697337708,351.6337697337708,2591.1374108084115,-39.54453564718531,-39.54453564718531,1932.6333253500027,351.63376973393133,-57685.33368611738 kJ/mol
Non-binding_donor1_row10831_cand000170,openmm,-253.8799630034046,AB,MP,P,M,MP_AB,M_P,-38.67445650229763,-38.67445650229763,2136.6803887621727,-56.64164659204161,-56.64164659204161,1909.066206516475,-38.674456502258664,-60088.0357817479 kJ/mol
Non-binding_donor1_row10856_cand000431,openmm,77.38846247279139,AB,MP,P,M,MP_AB,M_P,-52.258188479556054,-52.258188479556054,2213.272471955823,-40.77696112295021,-40.77696112295021,1810.941686060214,-52.25818847935557,-54671.732153298704 kJ/mol
Non-binding_donor1_row10978_cand000585,openmm,-127.00524690505742,AB,MP,P,M,MP_AB,M_P,-59.572713769339856,-59.572713769339856,2276.0284613828,-42.534293650055844,-42.534293650055844,1865.0797128189943,-59.5727137698007,-57712.28440123997 kJ/mol
