TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10172_cand000314,openmm,88.81616438113385,AB,MP,P,M,MP_AB,M_P,-37.74724704031432,-37.74724704031432,1957.9962250864362,-53.04010226276897,-53.04010226276897,1885.3191791436514,-37.74724704041442,-53398.3104220312 kJ/mol
Non-binding_donor1_row10134_cand000369,openmm,-192.3086679207722,AB,MP,P,M,MP_AB,M_P,-42.96585247169452,-42.96585247169452,2238.0319531922005,-56.2025863361511,-56.2025863361511,2022.1710973821139,-42.96585247169807,-59314.60103989828 kJ/mol
Non-binding_donor1_row10403_cand000516,openmm,860.1688965672296,AB,MP,P,M,MP_AB,M_P,289.87948426283197,289.87948426283197,2036.8151001810284,-60.47823606739145,-60.47823606739145,1939.863185000483,289.87948426256764,-40087.64847864074 kJ/mol
Non-binding_donor1_row10852_cand000472,openmm,-141.45176470076004,AB,MP,P,M,MP_AB,M_P,-41.41176459881456,-41.41176459881456,1946.1234560738387,-68.2274443827047,-68.2274443827047,1848.6527824974885,-41.41176459887366,-54161.44624551999 kJ/mol
Non-binding_donor1_row1098_cand000305,openmm,-292.2396688275021,AB,MP,P,M,MP_AB,M_P,-29.316250838281633,-29.316250838281633,1803.795392774319,-60.53913212315734,-60.53913212315734,2042.2439429408478,-29.316250838130145,-54226.340662042894 kJ/mol
Non-binding_donor1_row10986_cand000133,openmm,-187.8245092762965,AB,MP,P,M,MP_AB,M_P,-48.564767507808455,-48.564767507808455,2162.424212425618,-56.54466205658847,-56.54466205658847,1971.8407352186164,-48.56476750810356,-54613.489642159446 kJ/mol
Non-binding_donor1_row11041_cand000389,openmm,-253.51079492477857,AB,MP,P,M,MP_AB,M_P,-40.9656400426218,-40.9656400426218,2059.459102737648,-51.70572553769965,-51.70572553769965,1851.1584004427082,-40.96564004305782,-56885.54509525713 kJ/mol
Non-binding_donor1_row11033_cand000294,openmm,-254.16949792832042,AB,MP,P,M,MP_AB,M_P,-28.63670994896927,-28.63670994896927,1796.371514567168,-54.05323348057081,-54.05323348057081,1942.8084087206769,-28.636709949169216,-58388.52496329225 kJ/mol
Non-binding_donor1_row11120_cand000456,openmm,-149.24099000656935,AB,MP,P,M,MP_AB,M_P,-45.68766521077151,-45.68766521077151,2074.2430886995908,-58.141675651103284,-58.141675651103284,1930.1571452915005,-45.68766521031222,-58053.42160925041 kJ/mol
Non-binding_donor1_row11086_cand000360,openmm,-164.31701049914727,AB,MP,P,M,MP_AB,M_P,-58.9697266021481,-58.9697266021481,2146.560232236579,-63.4544870144296,-63.4544870144296,2063.7869530202147,-58.96972660150257,-55430.96481767675 kJ/mol
Non-binding_donor1_row11666_cand000183,openmm,-126.82262480184761,AB,MP,P,M,MP_AB,M_P,-45.15042122163062,-45.15042122163062,1799.2218854602804,-66.57231859954484,-66.57231859954484,2042.0918278002623,-45.150421221695524,-62406.14122622688 kJ/mol
