TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Binding_donor1_row3_cand000023,none,18958.387633271985,AB,MP,P,M,MP_AB,M_P,4955.361747463321,4955.361747463321,1638.871001556324,6134.102928311932,6134.102928311932,1927.0684322357367,4955.361747463565
Binding_donor1_row0_cand000019,none,26486.407537716685,AB,MP,P,M,MP_AB,M_P,5950.9144819064095,5950.9144819064095,1996.8709364145257,5322.306198326599,5322.306198326599,1845.3456395465826,5950.914481906711
Binding_donor1_row2_cand000007,none,16179.91542350446,AB,MP,P,M,MP_AB,M_P,3750.1385306589927,3750.1385306589927,1855.6896630318297,5175.8820633550895,5175.8820633550895,1891.3453511436915,3750.13853065888
Binding_donor1_row1_cand000006,none,35841.36156966213,AB,MP,P,M,MP_AB,M_P,11835.926399780656,11835.926399780656,1948.7203896455233,6111.077829260847,6111.077829260847,1928.837048058462,11835.926399780812
Binding_donor1_row4_cand000025,none,19699.30585751757,AB,MP,P,M,MP_AB,M_P,4897.823466070749,4897.823466070749,1706.9435819226496,4074.20535418876,4074.20535418876,1831.9989748872608,4897.82346607088
Binding_donor1_row6_cand000013,none,15885.525778158235,AB,MP,P,M,MP_AB,M_P,3638.0414537419565,3638.0414537419565,1505.3757936195232,5339.628963702131,5339.628963702131,1870.7859776026723,3638.041453742193
Binding_donor1_row5_cand000002,none,25118.084883750933,AB,MP,P,M,MP_AB,M_P,8468.609197917554,8468.609197917554,1735.5799048488404,5411.694173897809,5411.694173897809,1852.8730196568863,8468.609197917292
Binding_donor2_row8_cand000005,none,20952.063161125607,AB,MP,P,M,MP_AB,M_P,7403.415965771606,7403.415965771606,1951.1015307084908,5491.015577599424,5491.015577599424,1866.3732034772133,7403.415965771193
Binding_donor3_row10_cand000010,none,18466.14989482476,AB,MP,P,M,MP_AB,M_P,8449.017409445833,8449.017409445833,1629.047621422475,4964.0863941323005,4964.0863941323005,1863.1299318199117,8449.017409445656
Binding_donor3_row11_cand000001,none,17806.448024121983,AB,MP,P,M,MP_AB,M_P,2675.7488023926544,2675.7488023926544,1834.2930123850251,6852.311490158859,6852.311490158859,1916.6918990842887,2675.74880239286
Binding_donor3_row13_cand000011,none,21023.2892736471,AB,MP,P,M,MP_AB,M_P,2809.142497762641,2809.142497762641,1443.4056910481358,6244.325611368646,6244.325611368646,1867.0279191432405,2809.142497762681
Binding_donor3_row12_cand000004,none,17860.273544654516,AB,MP,P,M,MP_AB,M_P,4619.15826753046,4619.15826753046,1953.8408133339674,4869.299520954964,4869.299520954964,1843.003981709805,4619.158267530278
Binding_donor3_row14_cand000020,none,24837.38592511964,AB,MP,P,M,MP_AB,M_P,6019.9856972388225,6019.9856972388225,1661.8834780246257,5537.012110027132,5537.012110027132,1865.6066781407942,6019.98569723879
Binding_donor3_row16_cand000016,none,30154.20233601694,AB,MP,P,M,MP_AB,M_P,8490.322143377343,8490.322143377343,1805.400180357923,6144.242311722739,6144.242311722739,1933.607125988389,8490.322143377245
Binding_donor3_row17_cand000015,none,29249.08831611844,AB,MP,P,M,MP_AB,M_P,6683.698243595838,6683.698243595838,1795.1044986144473,5885.774435994465,5885.774435994465,1851.6500092723716,6683.698243595558
Binding_donor3_row19_cand000018,none,21506.45435725803,AB,MP,P,M,MP_AB,M_P,8045.563012009441,8045.563012009441,1950.2604061213317,5380.57189858814,5380.57189858814,1905.1067525754006,8045.563012009385
Binding_donor3_row20_cand000014,none,21824.410012633874,AB,MP,P,M,MP_AB,M_P,9128.399856955426,9128.399856955426,1944.503883612215,6659.235356442588,6659.235356442588,1929.0655000220195,9128.399856955162
Binding_donor3_row9_cand000017,none,16702.222795343405,AB,MP,P,M,MP_AB,M_P,3006.2801850396245,3006.2801850396245,1909.5751367693374,5363.673511294857,5363.673511294857,1797.3791358079484,3006.2801850396336
Binding_donor3_row21_cand000024,none,21396.63405727563,AB,MP,P,M,MP_AB,M_P,5308.746055641537,5308.746055641537,1979.2528770561748,6519.607868738223,6519.607868738223,1988.0700011845702,5308.746055641615
Binding_donor4_row22_cand000003,none,29180.872845056077,AB,MP,P,M,MP_AB,M_P,11094.974407954887,11094.974407954887,1717.5382269314648,3530.2739895890318,3530.2739895890318,1839.7169139238063,11094.974407954429
Binding_donor4_row23_cand000008,none,19107.555384913467,AB,MP,P,M,MP_AB,M_P,5913.174197300845,5913.174197300845,1711.892552222397,5163.499741937235,5163.499741937235,1926.6190215888766,5913.1741973008175
Binding_donor4_row25_cand000009,none,32731.817510176315,AB,MP,P,M,MP_AB,M_P,13282.622184531738,13282.622184531738,1707.8596005272664,6691.099924963782,6691.099924963782,1922.4192086602366,13282.622184531876
Binding_donor4_row24_cand000012,none,22778.17012094421,AB,MP,P,M,MP_AB,M_P,9681.84472015194,9681.84472015194,1775.6376313720052,6057.408219274232,6057.408219274232,1929.5375689210805,9681.844720152025
