TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10136_cand000228,rosetta_sidechain,7870.170948025797,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,4.731454640625429,4.731454640625429,66.78929794497571,-9.094947017729282e-12
Non-binding_donor1_row10798_cand000511,rosetta_sidechain,25196.160739957995,AB,MP,P,M,MP_AB,M_P,23283.976540600608,23283.976540600608,1870.7985905153998,0.0,0.0,0.0,23283.976540600583
Non-binding_donor1_row10390_cand000349,rosetta_sidechain,6615.65563834825,AB,MP,P,M,MP_AB,M_P,350.2697608729868,350.2697608729868,354.92123611383437,2423.2244759659425,2423.2244759659425,835.6224250564622,350.26976087307776
Non-binding_donor1_row10807_cand000311,rosetta_sidechain,49040.32392903431,AB,MP,P,M,MP_AB,M_P,45194.565372087585,45194.565372087585,3010.007813239056,226.41688576601067,226.41688576601067,121.417281288395,45194.56471649382
Non-binding_donor1_row11040_cand000341,rosetta_sidechain,635.4512139762522,AB,MP,P,M,MP_AB,M_P,0.2778697546590365,0.2778697546590365,204.36614062750897,0.0,0.0,0.0,0.27786975488243115
Non-binding_donor1_row11649_cand000158,rosetta_sidechain,19525.339567731677,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,10414.55017462886,10414.55017462886,615.9220620885168,-1.4551915228366852e-11
Non-binding_donor1_row11866_cand000033,rosetta_sidechain,7965.521696132931,AB,MP,P,M,MP_AB,M_P,-3.3588415832091414,-3.3588415832091414,232.37294268505255,5227.034182446359,5227.034182446359,809.8234179605781,-3.358841583096364
Non-binding_donor1_row11232_cand000523,rosetta_sidechain,669.6685728197642,AB,MP,P,M,MP_AB,M_P,49.13177163649141,49.13177163649141,1063.2443643210568,-21.497834196111242,-21.497834196111242,1472.7263692095617,49.131771636647386
Non-binding_donor1_row11999_cand000437,rosetta_sidechain,15466.20577498224,AB,MP,P,M,MP_AB,M_P,12622.788146480398,12622.788146480398,1574.530959057257,756.4658718964155,756.4658718964155,384.8546567120316,12622.788146480983
Non-binding_donor1_row12177_cand000232,rosetta_sidechain,43010.87096170812,AB,MP,P,M,MP_AB,M_P,-0.7083678681519814,-0.7083678681519814,109.16777713899013,2850.007973426153,2850.007973426153,518.7243812782345,-0.7083678681156016
Non-binding_donor1_row12188_cand000445,rosetta_sidechain,1560.3124490374473,AB,MP,P,M,MP_AB,M_P,95.9437515134855,95.9437515134855,347.3935379657561,-1.1866447808235776,-1.1866447808235776,133.16421594043342,95.94375151360259
Non-binding_donor1_row12670_cand000520,rosetta_sidechain,25828.32030077093,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,25014.26455297754,25014.26455297754,1395.6565157079601,0.0
Non-binding_donor1_row11960_cand000571,rosetta_sidechain,-19.386221468948243,AB,MP,P,M,MP_AB,M_P,-17.930218249776225,-17.930218249776225,1069.5401780550021,-15.930985527245372,-15.930985527245372,1491.4476938517016,-17.930218249307025
Non-binding_donor1_row13523_cand000271,rosetta_sidechain,270.1504929667253,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-0.010399080481420242,-0.010399080481420242,14.037388407072278,-0.07417584919238607
Non-binding_donor1_row12713_cand000430,rosetta_sidechain,934.4176223964537,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,886.8128134424371,886.8128134424371,268.53957011767113,-4.7456703100579034e-05
Non-binding_donor1_row14438_cand000446,rosetta_sidechain,225.85062398385736,AB,MP,P,M,MP_AB,M_P,286.6748490094703,286.6748490094703,264.5116061856918,0.0,0.0,0.0,286.6748490096753
Non-binding_donor1_row15093_cand000197,rosetta_sidechain,1836.3664761401717,AB,MP,P,M,MP_AB,M_P,-2.6213734428440603,-2.6213734428440603,133.77184650175104,0.0,0.0,0.0,-2.62137344301982
Non-binding_donor1_row14888_cand000360,rosetta_sidechain,23090.73586198296,AB,MP,P,M,MP_AB,M_P,18812.970794138913,18812.970794138913,1455.7770657214435,521.0030357111107,521.0030357111107,832.8015075641055,18812.97079413921
Non-binding_donor1_row12710_cand000534,rosetta_sidechain,-20.024906700734334,AB,MP,P,M,MP_AB,M_P,-14.257283719898947,-14.257283719898947,1034.5722039675584,-16.340882775003266,-16.340882775003266,1555.6897884731466,-14.25728371911734
Non-binding_donor1_row15109_cand000346,rosetta_sidechain,1163.0978071246693,AB,MP,P,M,MP_AB,M_P,-2.6172379053027726,-2.6172379053027726,280.9507460549429,224.47222441050428,224.47222441050428,869.6077399899383,-2.6172379051420194
Non-binding_donor1_row15104_cand000234,rosetta_sidechain,40581.62325388853,AB,MP,P,M,MP_AB,M_P,35948.843238545436,35948.843238545436,3090.732145726749,2389.2077940693976,2389.2077940693976,551.609921586425,35948.84323854516
Non-binding_donor1_row15224_cand000342,rosetta_sidechain,6544.987730109228,AB,MP,P,M,MP_AB,M_P,-0.04512390992294968,-0.04512390992294968,21.328745703373812,318.7625945375203,318.7625945375203,372.09099407902715,-0.045123910134861944
Non-binding_donor1_row15227_cand000107,rosetta_sidechain,4321.4211909431415,AB,MP,P,M,MP_AB,M_P,-0.6776054024730911,-0.6776054024730911,194.36586167769647,-9.605660594547771,-9.605660594547771,1211.6241745119235,-0.6776054029423904
Non-binding_donor1_row16907_cand000579,rosetta_sidechain,12621.146070110046,AB,MP,P,M,MP_AB,M_P,640.3291003210943,640.3291003210943,268.24342265019277,0.0,0.0,0.0,640.3291003213963
Non-binding_donor1_row1626_cand000079,rosetta_sidechain,11348.691747823035,AB,MP,P,M,MP_AB,M_P,10941.62692669811,10941.62692669811,741.9768538538766,0.0,0.0,0.0,10941.626926698382
Non-binding_donor1_row17320_cand000388,rosetta_sidechain,611.8691413960968,AB,MP,P,M,MP_AB,M_P,-0.19605732011211785,-0.19605732011211785,150.69690930581413,0.0,0.0,0.0,-0.196057320280147
Non-binding_donor1_row17596_cand000023,rosetta_sidechain,2612.6471877014806,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,777.0067884126779,777.0067884126779,307.5302178502056,6.821210263296962e-12
Non-binding_donor1_row1746_cand000254,rosetta_sidechain,-87.63538861394767,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-0.18899009872626493,-0.18899009872626493,61.4047632771007,0.088172437573661
Non-binding_donor1_row18657_cand000237,rosetta_sidechain,1894.2694455153912,AB,MP,P,M,MP_AB,M_P,1067.3734142485423,1067.3734142485423,752.7479943136719,321.2221148510947,321.2221148510947,263.8665480081926,1067.3734142485996
Non-binding_donor1_row17677_cand000163,rosetta_sidechain,29175.8791888798,AB,MP,P,M,MP_AB,M_P,27053.470613759477,27053.470613759477,1912.8686506380404,-0.0032283284591869688,-0.0032283284591869688,0.0,27053.47061375884
Non-binding_donor1_row18662_cand000526,rosetta_sidechain,21819.81101846868,AB,MP,P,M,MP_AB,M_P,5671.968912325252,5671.968912325252,1159.6686470761765,15384.193954608878,15384.193954608878,737.106431127488,5671.968912325046
Non-binding_donor1_row18693_cand000222,rosetta_sidechain,3784.0887021681915,AB,MP,P,M,MP_AB,M_P,1921.270072621285,1921.270072621285,287.0466381408363,-4.067462514158706,-4.067462514158706,464.2961411714323,1921.2700726214503
Non-binding_donor1_row18689_cand000454,rosetta_sidechain,613.6527324909716,AB,MP,P,M,MP_AB,M_P,241.70844615354326,241.70844615354326,794.7318429282823,-0.00047329637649795586,-0.00047329637649795586,0.0,241.70844615381918
Non-binding_donor1_row18669_cand000201,rosetta_sidechain,1632.302512389456,AB,MP,P,M,MP_AB,M_P,-13.674037775704619,-13.674037775704619,1043.6969637084198,-11.52298954070244,-11.52298954070244,1362.7774137254548,-13.674037775567513
Non-binding_donor1_row1949_cand000555,rosetta_sidechain,5631.05650896525,AB,MP,P,M,MP_AB,M_P,-72.2120852501439,-72.2120852501439,9.380485382863213,0.0,0.0,0.0,-72.21208525025759
Non-binding_donor1_row19918_cand000128,rosetta_sidechain,1132.0030458977487,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-0.39761718835208626,-0.39761718835208626,89.2430828841851,-3.410605131648481e-12
Non-binding_donor1_row1954_cand000235,rosetta_sidechain,53106.52558190124,AB,MP,P,M,MP_AB,M_P,-0.9107421941880602,-0.9107421941880602,96.90406988798352,11204.70506077355,11204.70506077355,1242.0654471373566,-0.9107421944572707
Non-binding_donor1_row20170_cand000417,rosetta_sidechain,31141.35790461171,AB,MP,P,M,MP_AB,M_P,25152.073262792732,25152.073262792732,1990.6774144887856,2993.7139951696963,2993.7139951696963,553.4644851785375,25152.07326279258
Non-binding_donor1_row20444_cand000321,rosetta_sidechain,472.85924581143286,AB,MP,P,M,MP_AB,M_P,-198.21586023150496,-198.21586023150496,205.9777854158196,0.0,0.0,0.0,-198.21586023135546
Non-binding_donor1_row1957_cand000493,rosetta_sidechain,21204.55867791934,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,20731.092456315942,20731.092456315942,1553.9435594069605,1.0913936421275139e-11
Non-binding_donor1_row21312_cand000224,rosetta_sidechain,1048.8486874644123,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-41.559853262062234
