TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Binding_donor1_row10_cand000010,openmm,-176.57695169852423,AB,MP,P,M,MP_AB,M_P,-48.67285631186017,-48.67285631186017,2082.7947909123627,-58.5421726270664,-58.5421726270664,1952.7401931936217,-48.67285631206569,-55624.880295051116 kJ/mol
Binding_donor1_row0_cand000018,openmm,-77.45992528441698,AB,MP,P,M,MP_AB,M_P,-47.35689739026403,-47.35689739026403,1898.7308243502803,-52.69968614904026,-52.69968614904026,1881.8324146631492,-47.35689739051436,-56646.559962099425 kJ/mol
Binding_donor1_row12_cand000009,openmm,197.76759579121085,AB,MP,P,M,MP_AB,M_P,-37.29753829791025,-37.29753829791025,2009.9053965772507,-58.05969231683213,-58.05969231683213,1862.4816156944753,-37.297538298066485,-46933.61705085722 kJ/mol
Binding_donor1_row11_cand000013,openmm,-238.8245246078789,AB,MP,P,M,MP_AB,M_P,-56.178370021154365,-56.178370021154365,2138.84597002699,-61.02806075272806,-61.02806075272806,1923.4408080490707,-56.17837002152197,-52774.22283397863 kJ/mol
Binding_donor1_row14_cand000024,openmm,694.8078083223032,AB,MP,P,M,MP_AB,M_P,369.9408060932571,369.9408060932571,2077.7149752178475,-49.624545577075594,-49.624545577075594,1871.9652926997358,369.9408060934784,-33291.95465121798 kJ/mol
Binding_donor1_row13_cand000006,openmm,869.628789334446,AB,MP,P,M,MP_AB,M_P,312.89216223203766,312.89216223203766,2340.455033427671,-42.19177818935634,-42.19177818935634,1820.9845432867562,312.89216223167443,-35658.536461304655 kJ/mol
Binding_donor1_row15_cand000005,openmm,-210.57651103636687,AB,MP,P,M,MP_AB,M_P,-44.62488215428979,-44.62488215428979,1719.7287935541526,-46.21341561076768,-46.21341561076768,2025.0639534677287,-44.62488215458245,-51994.3505901221 kJ/mol
Binding_donor1_row1_cand000002,openmm,-261.37845844233044,AB,MP,P,M,MP_AB,M_P,-31.38935040953021,-31.38935040953021,1964.0725151855754,-49.476079587960974,-49.476079587960974,1876.9366730270785,-31.38935040920481,-53948.55392450726 kJ/mol
Binding_donor1_row2_cand000020,openmm,252.76960717593337,AB,MP,P,M,MP_AB,M_P,-37.53046175020327,-37.53046175020327,1613.8456097121323,-55.40844809944963,-55.40844809944963,1924.2850664718644,-37.53046175017417,-45758.5778927775 kJ/mol
Binding_donor1_row3_cand000022,openmm,260.7384461445556,AB,MP,P,M,MP_AB,M_P,-52.40536638017153,-52.40536638017153,2185.1365853468023,-52.45119503155286,-52.45119503155286,1920.495522272726,-52.40536637980108,-44371.30209546692 kJ/mol
Binding_donor1_row4_cand000027,openmm,902.0047795962048,AB,MP,P,M,MP_AB,M_P,448.02651657964725,448.02651657964725,2461.1374690448247,-45.904762823335375,-45.904762823335375,1784.596026328567,448.0265165800463,-34925.4317436838 kJ/mol
Binding_donor1_row5_cand000007,openmm,-337.1564291981865,AB,MP,P,M,MP_AB,M_P,-54.83355642499902,-54.83355642499902,1948.8883601327352,-56.49904958038347,-56.49904958038347,1941.4232533701427,-54.83355642467768,-54389.34308459565 kJ/mol
Binding_donor1_row6_cand000003,openmm,113.19312753757856,AB,MP,P,M,MP_AB,M_P,-41.717961570467224,-41.717961570467224,1677.5509186258523,-52.00230315588368,-52.00230315588368,1995.6682416625042,-41.717961570116955,-47182.48635420578 kJ/mol
Binding_donor1_row8_cand000011,openmm,-254.36603619893341,AB,MP,P,M,MP_AB,M_P,-40.106217877740505,-40.106217877740505,2210.0436826528044,-47.288788821093064,-47.288788821093064,1791.8448751613091,-40.10621787774957,-56873.136595850134 kJ/mol
Binding_donor1_row9_cand000015,openmm,575.91121897209,AB,MP,P,M,MP_AB,M_P,668.3452078577237,668.3452078577237,2098.153308235987,-38.81786581632896,-38.81786581632896,1993.977785562193,668.34520785781,-32776.86461808977 kJ/mol
