TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10060_cand000178,openmm,-301.1600026139463,AB,MP,P,M,MP_AB,M_P,-51.25225269023622,-51.25225269023622,1838.3185716411465,-51.144152269212825,-51.144152269212825,1990.2396393702713,-51.252252690363974,-55870.73862263591 kJ/mol
Non-binding_donor1_row10143_cand000266,openmm,-179.07056844063618,AB,MP,P,M,MP_AB,M_P,-50.46122679630295,-50.46122679630295,2308.916918330096,-53.27744212341423,-53.27744212341423,1874.682126512522,-50.4612267964028,-60550.0187372711 kJ/mol
Non-binding_donor1_row10193_cand000025,openmm,145.0233250084648,AB,MP,P,M,MP_AB,M_P,-37.14084124476986,-37.14084124476986,1788.7696515614086,-58.73583411963976,-58.73583411963976,1982.9035628600243,-37.14084124414515,-45119.37392762043 kJ/mol
Non-binding_donor1_row10444_cand000513,openmm,488.8661817467451,AB,MP,P,M,MP_AB,M_P,-50.274917914652576,-50.274917914652576,2076.2976747810017,-49.87945391540962,-49.87945391540962,1963.6714928226,-50.27491791436438,-48726.7648714166 kJ/mol
Non-binding_donor1_row10904_cand000485,openmm,-258.9014935315044,AB,MP,P,M,MP_AB,M_P,-42.072508574449245,-42.072508574449245,1979.123497737979,-60.51052906337097,-60.51052906337097,1928.74100065047,-42.07250857453678,-62620.31624016052 kJ/mol
Non-binding_donor1_row11043_cand000550,openmm,-344.6641488436587,AB,MP,P,M,MP_AB,M_P,-44.01888533778015,-44.01888533778015,2090.733936856815,-59.12563173072414,-59.12563173072414,1996.2017228801785,-44.01888533783631,-56147.21209995748 kJ/mol
Non-binding_donor1_row11121_cand000433,openmm,-205.19334918442746,AB,MP,P,M,MP_AB,M_P,-40.66232488077759,-40.66232488077759,1891.0408260958031,-56.58370377349322,-56.58370377349322,1903.5328534410469,-40.66232488059276,-57892.79067174795 kJ/mol
Non-binding_donor1_row1114_cand000239,openmm,-288.32789569578415,AB,MP,P,M,MP_AB,M_P,-49.64527556871013,-49.64527556871013,2227.5005123733645,-65.82991429951517,-65.82991429951517,1981.8307438754082,-49.64527556891798,-57541.14764749486 kJ/mol
Non-binding_donor1_row11151_cand000109,openmm,-216.04986031730945,AB,MP,P,M,MP_AB,M_P,-62.829514156807846,-62.829514156807846,2192.8057249774624,-61.7070128171651,-61.7070128171651,1971.5901214520682,-62.82951415686591,-56578.79678301192 kJ/mol
Non-binding_donor1_row11293_cand000275,openmm,15687.549170933002,AB,MP,P,M,MP_AB,M_P,1395.410605603076,1395.410605603076,1857.2533772003712,766.6769716217436,766.6769716217436,1977.939924037541,1395.410605603216,360791548663.578 kJ/mol
