TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10015_cand000408,openmm,433.541919992349,AB,MP,P,M,MP_AB,M_P,-39.688245412533036,-39.688245412533036,2100.641690085215,-59.323126168967235,-59.323126168967235,1663.7822488674362,-39.68824541217691,-48274.8244747895 kJ/mol
Non-binding_donor1_row10097_cand000332,openmm,-317.00010775706244,AB,MP,P,M,MP_AB,M_P,-50.02033136861138,-50.02033136861138,2297.9692048491306,-62.264441276545966,-62.264441276545966,1710.431890049912,-50.0203313688541,-52721.01381366435 kJ/mol
Non-binding_donor1_row1017_cand000075,openmm,-352.5652201975943,AB,MP,P,M,MP_AB,M_P,-32.307955485974674,-32.307955485974674,2042.38861134329,-57.40357342188017,-57.40357342188017,1696.1950997150545,-32.307955486059996,-51778.87165276386 kJ/mol
Non-binding_donor1_row10136_cand000581,openmm,-293.0004218890579,AB,MP,P,M,MP_AB,M_P,-42.6692428042785,-42.6692428042785,2057.720793587757,-52.38449154671112,-52.38449154671112,1720.3735492079147,-42.66924280439943,-55163.59740475412 kJ/mol
Non-binding_donor1_row10582_cand000316,openmm,-221.9912930924449,AB,MP,P,M,MP_AB,M_P,-42.12704844729146,-42.12704844729146,1851.1177226356074,-64.6217108008455,-64.6217108008455,1664.491449834201,-42.12704844714128,-56624.5591681518 kJ/mol
Non-binding_donor1_row10751_cand000205,openmm,471.9165416089097,AB,MP,P,M,MP_AB,M_P,-39.928472729684415,-39.928472729684415,1851.9064795881884,-68.2717291478714,-68.2717291478714,1713.0323608222136,-39.928472729779514,-48129.672312938426 kJ/mol
Non-binding_donor1_row10951_cand000580,openmm,-284.431341741779,AB,MP,P,M,MP_AB,M_P,-57.66275667925973,-57.66275667925973,2263.087411241641,-58.738319952940316,-58.738319952940316,1684.8724739967229,-57.662756679404765,-60131.229000531406 kJ/mol
Non-binding_donor1_row1110_cand000565,openmm,-206.17716440080343,AB,MP,P,M,MP_AB,M_P,-32.243947143756316,-32.243947143756316,1724.0263294068661,-63.28767088597705,-63.28767088597705,1702.378126394226,-32.24394714366005,-50109.17925212191 kJ/mol
Non-binding_donor1_row11168_cand000426,openmm,-354.04170600925806,AB,MP,P,M,MP_AB,M_P,-34.50207739990077,-34.50207739990077,1750.163255516993,-66.4887031036973,-66.4887031036973,1775.5438645275703,-34.502077399568634,-51563.64061962519 kJ/mol
Non-binding_donor1_row111_cand000067,openmm,166.1880719590725,AB,MP,P,M,MP_AB,M_P,279.4959794687319,279.4959794687319,2018.2993675677549,-61.541597223542986,-61.541597223542986,1719.8460331377732,279.4959794684277,-43784.74856494968 kJ/mol
