TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10265_cand000403,rosetta_sidechain,3172.935001289716,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,7.275957614183426e-12
Non-binding_donor1_row10059_cand000249,rosetta_sidechain,2762.9372583852905,AB,MP,P,M,MP_AB,M_P,-0.023825943127121718,-0.023825943127121718,7.331112018152581,0.0,0.0,0.0,-0.023831371722280892
Non-binding_donor1_row10249_cand000427,rosetta_sidechain,16754.291387603287,AB,MP,P,M,MP_AB,M_P,147.2035795075135,147.2035795075135,124.04552218835042,5184.157153688824,5184.157153688824,688.0995792853438,147.2035795076772
Non-binding_donor1_row10033_cand000319,rosetta_sidechain,32081.236877313208,AB,MP,P,M,MP_AB,M_P,1978.7610058450628,1978.7610058450628,272.32502636785006,33.12887505301438,33.12887505301438,415.13738362821346,1978.7610058448372
Non-binding_donor1_row10556_cand000584,rosetta_sidechain,1400.7320457102276,AB,MP,P,M,MP_AB,M_P,-0.5427358877584538,-0.5427358877584538,79.34756247458671,0.0,0.0,0.0,-0.5427358872987043
Non-binding_donor1_row1066_cand000124,rosetta_sidechain,4544.235395912352,AB,MP,P,M,MP_AB,M_P,3563.8909409914995,3563.8909409914995,787.9193496795956,0.0,0.0,0.0,3563.890940991887
Non-binding_donor1_row10635_cand000274,rosetta_sidechain,133368.01584097903,AB,MP,P,M,MP_AB,M_P,-3.447680243756622,-3.447680243756622,100.48790570297193,472.14738632897206,472.14738632897206,307.35498679330533,-3.447680244076764
Non-binding_donor1_row10654_cand000340,rosetta_sidechain,26363.693103404796,AB,MP,P,M,MP_AB,M_P,20221.267456122012,20221.267456122012,2881.166335705735,2096.3401853899386,2096.3401853899386,315.1203444863731,20221.267456121852
Non-binding_donor1_row10430_cand000306,rosetta_sidechain,149111.94043541426,AB,MP,P,M,MP_AB,M_P,129724.24394780314,129724.24394780314,4497.378666182705,10224.005969243124,10224.005969243124,1164.4089768386316,129724.24394780277
Non-binding_donor1_row10871_cand000126,rosetta_sidechain,2250.3117102907067,AB,MP,P,M,MP_AB,M_P,-2.1424519491374667,-2.1424519491374667,92.3960240564223,1106.535093273651,1106.535093273651,694.7185038844561,-2.142451949340284
Non-binding_donor1_row10916_cand000002,rosetta_sidechain,5216.251314322489,AB,MP,P,M,MP_AB,M_P,2754.7715877797064,2754.7715877797064,806.8422327007746,-0.13476938914186576,-0.13476938914186576,49.31801689820855,2754.7715877797937
