TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10876_cand000532,none,22922.81597249313,AB,MP,P,M,MP_AB,M_P,8428.549705510932,8428.549705510932,1517.226284473847,5161.680138496353,5161.680138496353,2020.2458983759184,8428.549705510743
Non-binding_donor1_row10210_cand000230,none,26124.8784468734,AB,MP,P,M,MP_AB,M_P,8407.045532823911,8407.045532823911,1545.80065984712,4897.908816911278,4897.908816911278,1989.823188296708,8407.04553282438
Non-binding_donor1_row10018_cand000128,none,28489.233084335418,AB,MP,P,M,MP_AB,M_P,6680.676697658491,6680.676697658491,1894.205224384953,4753.803232801891,4753.803232801891,1966.7044872116207,6680.67669765895
Non-binding_donor1_row10466_cand000354,none,35114.3798282305,AB,MP,P,M,MP_AB,M_P,9772.696269974134,9772.696269974134,1752.4413213128464,4809.933015860759,4809.933015860759,1916.1649647905647,9772.696269973956
Non-binding_donor1_row11314_cand000530,none,20371.925929991612,AB,MP,P,M,MP_AB,M_P,4886.45403397203,4886.45403397203,1629.597640604439,4251.2200209671,4251.2200209671,1943.5463261714012,4886.454033971957
Non-binding_donor1_row10885_cand000311,none,23357.838545226507,AB,MP,P,M,MP_AB,M_P,8642.749590104893,8642.749590104893,1823.4313940568065,4417.8696943993245,4417.8696943993245,1934.9994720954412,8642.749590105315
Non-binding_donor1_row11736_cand000165,none,43940.859378945715,AB,MP,P,M,MP_AB,M_P,16944.89323786892,16944.89323786892,1688.753519990779,4501.078079711457,4501.078079711457,1998.4168327106588,16944.893237869186
Non-binding_donor1_row11121_cand000336,none,29143.142741422085,AB,MP,P,M,MP_AB,M_P,12464.73458464265,12464.73458464265,1898.2743393021842,4611.230191079259,4611.230191079259,1959.7702475513338,12464.734584642261
Non-binding_donor1_row12267_cand000237,none,16450.09768922283,AB,MP,P,M,MP_AB,M_P,5705.206086486023,5705.206086486023,1698.9605777933489,4824.029646885232,4824.029646885232,1964.5490133424269,5705.2060864865325
Non-binding_donor1_row11954_cand000034,none,30855.295704965916,AB,MP,P,M,MP_AB,M_P,14211.980355888256,14211.980355888256,1933.6989846061763,4765.705215483803,4765.705215483803,1949.7535314784768,14211.98035588831
Non-binding_donor1_row12278_cand000441,none,18691.24501319754,AB,MP,P,M,MP_AB,M_P,7515.346245822528,7515.346245822528,1698.4185328268118,4375.021485167997,4375.021485167997,1954.3028058654797,7515.346245822806
Non-binding_donor1_row12087_cand000435,none,25366.21023308871,AB,MP,P,M,MP_AB,M_P,13203.47613635643,13203.47613635643,1960.4156392806458,4722.009525245715,4722.009525245715,2002.2248773998679,13203.476136356298
Non-binding_donor1_row12761_cand000526,none,23076.789309854463,AB,MP,P,M,MP_AB,M_P,6940.989748200567,6940.989748200567,1565.811790563503,5198.184922001146,5198.184922001146,2077.4376617922535,6940.989748200394
Non-binding_donor1_row12801_cand000559,none,20783.81467106769,AB,MP,P,M,MP_AB,M_P,9965.703145554482,9965.703145554482,1925.074730995655,4007.2453910781314,4007.2453910781314,2004.932790640922,9965.703145554162
Non-binding_donor1_row12804_cand000426,none,21303.974840343235,AB,MP,P,M,MP_AB,M_P,9172.668793781115,9172.668793781115,1834.6358958913631,4032.9494082130304,4032.9494082130304,2010.891290408098,9172.66879378114
Non-binding_donor1_row13622_cand000276,none,18748.048269495906,AB,MP,P,M,MP_AB,M_P,9696.639852611956,9696.639852611956,2011.6140584009158,4599.938014524463,4599.938014524463,1964.8578900779162,9696.639852611534
Non-binding_donor1_row14996_cand000349,none,17290.355265019098,AB,MP,P,M,MP_AB,M_P,1363.031634455354,1363.031634455354,1401.0770196724634,4942.025614686026,4942.025614686026,1904.4755717047092,1363.0316344551975
Non-binding_donor1_row14545_cand000443,none,21714.46970708032,AB,MP,P,M,MP_AB,M_P,6841.60131386347,6841.60131386347,1901.4526691972746,4222.87545034587,4222.87545034587,1926.6691707160505,6841.601313863248
Non-binding_donor1_row15202_cand000202,none,20822.374444188048,AB,MP,P,M,MP_AB,M_P,6239.2686748635115,6239.2686748635115,1674.57683879536,5190.427158406916,5190.427158406916,1920.3185769146496,6239.268674863457
Non-binding_donor1_row15214_cand000240,none,17557.06324590945,AB,MP,P,M,MP_AB,M_P,5198.335723128275,5198.335723128275,1665.3073951380177,5190.757663429353,5190.757663429353,1898.6865705574683,5198.335723128013
Non-binding_donor1_row15219_cand000345,none,17972.41476310062,AB,MP,P,M,MP_AB,M_P,5236.323554800292,5236.323554800292,1630.6366545006983,5063.80746461381,5063.80746461381,2006.8582223576843,5236.323554800274
Non-binding_donor1_row15335_cand000348,none,17305.776592497896,AB,MP,P,M,MP_AB,M_P,5205.975763648028,5205.975763648028,1584.8857803128103,5412.180711797489,5412.180711797489,1916.6606538121682,5205.975763647986
Non-binding_donor1_row15338_cand000110,none,16727.642033682274,AB,MP,P,M,MP_AB,M_P,4955.058831420249,4955.058831420249,1566.6319556856001,5175.909076048965,5175.909076048965,1925.6483237580492,4955.058831420105
Non-binding_donor1_row1636_cand000082,none,16981.47199793692,AB,MP,P,M,MP_AB,M_P,7227.857711857672,7227.857711857672,1671.8265799881426,4342.420371802114,4342.420371802114,1958.761167991001,7227.857711857803
Non-binding_donor1_row1756_cand000260,none,16897.046750563142,AB,MP,P,M,MP_AB,M_P,6128.79438466823,6128.79438466823,1888.0712608503095,4733.187066667484,4733.187066667484,1879.408369528658,6128.794384668325
Non-binding_donor1_row17439_cand000402,none,27755.97347022918,AB,MP,P,M,MP_AB,M_P,11261.83445476713,11261.83445476713,1806.450395389472,5291.450485216654,5291.450485216654,1980.8859001885676,11261.83445476734
Non-binding_donor1_row17720_cand000024,none,28856.1898977112,AB,MP,P,M,MP_AB,M_P,10916.231285950864,10916.231285950864,1615.587921483775,4834.396205296621,4834.396205296621,1926.1467122222302,10916.231285950875
Non-binding_donor1_row17801_cand000173,none,28314.189498325177,AB,MP,P,M,MP_AB,M_P,12255.349792500998,12255.349792500998,2118.530322019738,4084.823686996754,4084.823686996754,1952.3063120985958,12255.349792500941
Non-binding_donor1_row18268_cand000510,none,20546.129622819295,AB,MP,P,M,MP_AB,M_P,8139.281692840919,8139.281692840919,1787.7687091138987,4611.225412933241,4611.225412933241,1958.639281953061,8139.281692840661
Non-binding_donor1_row18215_cand000006,none,26019.967811548995,AB,MP,P,M,MP_AB,M_P,10906.925325117983,10906.925325117983,1786.6492859597458,4674.4132678975075,4674.4132678975075,1966.9129570944979,10906.925325117769
