TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10852_cand000472,rosetta_sidechain,11332.923958419186,AB,MP,P,M,MP_AB,M_P,10086.444602122565,10086.444602122565,1210.9211558892205,0.0,0.0,0.0,10086.444602122705
Non-binding_donor1_row10403_cand000516,rosetta_sidechain,1673.841529120618,AB,MP,P,M,MP_AB,M_P,-1.484541474226944,-1.484541474226944,188.72979015802412,7.929096960177617,7.929096960177617,232.69513822198974,-1.4845414745443577
Non-binding_donor1_row10134_cand000369,rosetta_sidechain,2152.587329238256,AB,MP,P,M,MP_AB,M_P,0.2594901016504991,0.2594901016504991,94.83986510314033,0.9745998479111222,0.9745998479111222,126.99848741340358,0.2594901015954747
Non-binding_donor1_row10986_cand000133,rosetta_sidechain,2586.8340239494655,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-0.028452868336898973
Non-binding_donor1_row10172_cand000314,rosetta_sidechain,2519.4499956651302,AB,MP,P,M,MP_AB,M_P,-5.304360404013551,-5.304360404013551,376.9050853341802,-9.793991466504053,-9.793991466504053,1590.3381190828707,-5.304360403756618
Non-binding_donor1_row11033_cand000294,rosetta_sidechain,6430.379731429339,AB,MP,P,M,MP_AB,M_P,2337.4091001369684,2337.4091001369684,877.963313736898,2742.8050614587746,2742.8050614587746,768.0240933115078,2337.415395920795
Non-binding_donor1_row11086_cand000360,rosetta_sidechain,3958.2299221516137,AB,MP,P,M,MP_AB,M_P,-6.548361852765083e-11,-6.548361852765083e-11,0.0,1.5543682341823342,1.5543682341823342,527.2268729631178,-8.640199666842818e-12
Non-binding_donor1_row1098_cand000305,rosetta_sidechain,12469.561600465173,AB,MP,P,M,MP_AB,M_P,12525.971318904574,12525.971318904574,1110.6894722774598,-5.016957231873675e-07,-5.016957231873675e-07,0.0,12525.971318904572
Non-binding_donor1_row11041_cand000389,rosetta_sidechain,1067.9661688832728,AB,MP,P,M,MP_AB,M_P,-7.683175677567533,-7.683175677567533,841.9003666188669,-3.7792735872482126,-3.7792735872482126,1921.3705217614113,-7.68317567774443
Non-binding_donor1_row11666_cand000183,rosetta_sidechain,1320.7414546596344,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,4.320099833421409e-12
Non-binding_donor1_row11622_cand000138,rosetta_sidechain,25396.19236977024,AB,MP,P,M,MP_AB,M_P,5499.165377701131,5499.165377701131,557.2024684730621,17733.98208621909,17733.98208621909,1343.099346129485,5499.165377701109
Non-binding_donor1_row11120_cand000456,rosetta_sidechain,1709.9427844880654,AB,MP,P,M,MP_AB,M_P,-0.27732602607648005,-0.27732602607648005,1049.9722756414183,-11.564255474331276,-11.564255474331276,1824.6907305608192,-0.2773260256897174
Non-binding_donor1_row12464_cand000002,rosetta_sidechain,10610.9910170143,AB,MP,P,M,MP_AB,M_P,0.016123681947647128,0.016123681947647128,7.741070466898805,94.45649062549603,94.45649062549603,286.5672931580499,0.016123681894896436
Non-binding_donor1_row1247_cand000028,rosetta_sidechain,535.700886377806,AB,MP,P,M,MP_AB,M_P,-5.184378942324656,-5.184378942324656,356.73538563748957,6.283916275481602,6.283916275481602,1349.3380449332856,-5.184378942408102
Non-binding_donor1_row13012_cand000160,rosetta_sidechain,5053.8160226105065,AB,MP,P,M,MP_AB,M_P,3363.0425853243205,3363.0425853243205,465.2926155760563,-0.07942981749857836,-0.07942981749857836,75.45149889194482,3363.0425853243937
Non-binding_donor1_row12960_cand000221,rosetta_sidechain,32936.439511579905,AB,MP,P,M,MP_AB,M_P,30718.54114346412,30718.54114346412,3064.910713089231,0.0,0.0,0.0,30718.54114346412
Non-binding_donor1_row13939_cand000499,rosetta_sidechain,40087.21503718432,AB,MP,P,M,MP_AB,M_P,38885.70240806375,38885.70240806375,2111.8842013123704,55.5122321835797,55.5122321835797,138.1890809130763,38885.70240806378
Non-binding_donor1_row13954_cand000026,rosetta_sidechain,1960.1979185999148,AB,MP,P,M,MP_AB,M_P,-2.752689978933631,-2.752689978933631,292.0547944947733,1030.2270972500435,1030.2270972500435,1193.6468100382294,-2.7526899787994807
Non-binding_donor1_row13987_cand000520,rosetta_sidechain,1402.6311342639642,AB,MP,P,M,MP_AB,M_P,-2.935992443438863,-2.935992443438863,247.73561777080585,-20.786559386644285,-20.786559386644285,1754.3886278229018,-2.935992443897703
