TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10171_cand000482,none,33640.65091535024,AB,MP,P,M,MP_AB,M_P,8917.921319639812,8917.921319639812,1902.9053261262559,2599.444387642682,2599.444387642682,1855.0025307838296,8917.921319640343
Non-binding_donor1_row10218_cand000401,none,32348.62400271931,AB,MP,P,M,MP_AB,M_P,10400.237788339833,10400.237788339833,1883.5669849299322,1431.598472928952,1431.598472928952,1853.1700824525944,10400.237788339171
Non-binding_donor1_row10194_cand000250,none,23625.896701460922,AB,MP,P,M,MP_AB,M_P,7455.291682750629,7455.291682750629,1790.4011543180977,1397.173135158413,1397.173135158413,1878.387413972393,7455.29168275062
Non-binding_donor1_row10375_cand000488,none,24270.294269174956,AB,MP,P,M,MP_AB,M_P,9548.24223561557,9548.24223561557,2289.2523557040254,1192.6044718598596,1192.6044718598596,1879.1321575997472,9548.242235615613
Non-binding_donor1_row10434_cand000424,none,31058.44753001313,AB,MP,P,M,MP_AB,M_P,8779.402659876567,8779.402659876567,1991.9618061638375,1849.8034146955338,1849.8034146955338,1938.3761877488412,8779.402659876603
Non-binding_donor1_row10662_cand000466,none,26589.818974888047,AB,MP,P,M,MP_AB,M_P,4027.815077873667,4027.815077873667,1675.3996102758063,1914.8339060127264,1914.8339060127264,1836.890814742826,4027.815077873951
Non-binding_donor1_row10719_cand000421,none,27689.753848213768,AB,MP,P,M,MP_AB,M_P,7781.75143285601,7781.75143285601,1860.9501396964736,1300.6544639353924,1300.6544639353924,1888.5066235359454,7781.751432856043
Non-binding_donor1_row10942_cand000192,none,21381.44812966813,AB,MP,P,M,MP_AB,M_P,6365.86985243398,6365.86985243398,2190.9259355598947,1154.2876528906654,1154.2876528906654,1820.0093541419874,6365.869852434294
Non-binding_donor1_row109_cand000018,none,24945.552648963963,AB,MP,P,M,MP_AB,M_P,5773.1829714368,5773.1829714368,1825.5911187723561,1316.2218454093381,1316.2218454093381,1863.3854402653851,5773.18297143621
Non-binding_donor1_row11054_cand000410,none,29451.851934571903,AB,MP,P,M,MP_AB,M_P,8657.36755161906,8657.36755161906,1715.8418444687152,3431.714264817593,3431.714264817593,2038.0478223532025,8657.367551619362
